"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"N53LC","india","fall17","111",0,2,2,4,10,14,"1","1","full",578902,736426,248723,330179,1,"English","Fourth","Social Sciences (incl. CogSci)","US","Female",21
"LJTDL","foxtrot","fall17","121",4,9,13,0,1,1,"1","2","full",635592,930809,349495,286097,1,"English","First","Engineering","USA","Male",18
"5WPCV","mike","fall17","121",0,2,2,0,10,10,"1","2","full",919890,1069788,597908,321982,1,"English","First","Social Sciences (incl. CogSci)","United States of America","Male",18
"KBQPW","echo","fall17","121",1,2,3,0,9,9,"1","2","full",672579,783246,200108,472471,1,"English","Fifth","Social Sciences (incl. CogSci)","United States","Male",27
"KUHF1","mike","fall17","121",4,10,14,0,2,2,"1","2","full",345506,543814,159499,186007,1,"English","First","Biomedical & Health Sciences","United States","Male",19
"R8PM2","charlie","fall17","111",0,2,2,4,10,14,"1","1","full",362278,505184,169373,192905,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"OQB9V","kilo","fall17","111",5,10,15,0,2,2,"1","1","full",271539,433045,94723,176816,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"MABX4","kilo","fall17","121",3,8,11,0,1,1,"1","2","full",423582,583213,152938,270644,1,"English","Third","Social Sciences (incl. CogSci)","United States","Male",20
"TX10R","india","fall17","111",0,2,2,5,8,13,"1","1","full",511221,629994,253224,257997,1,"English","Third","Engineering","USA","Male",20
"M1REU","juliet","fall17","111",5,10,15,0,2,2,"1","1","full",612448,832906,197899,414549,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",22
"SAAFX","lima","fall17","121",5,8,13,0,1,1,"1","2","full",438086,613870,116888,321198,1,"English","First","Natural Sciences","United States","Female",18
"4GSTQ","delta","fall17","111",0,2,2,4,9,13,"1","1","full",523058,805271,275159,247899,1,"English","Fifth","Social Sciences (incl. CogSci)","United States of America","Male",22
