"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","absolute_score"
"DMJ14","121","winter22","asynch","Female",25,"Cantonese","Fourth","United States","I tried my best on each question","3","3","3","it would be useful if the question have some instruction to indicate whether it is a multiple-choice or just leave the blank if there is no right answer ","no",5.8638,1
"UJFX9","121","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","2","2","3","","no",9.82103333333333,0
"34FAZ","121","winter22","asynch","Female",22,"Arabic","Fourth","US","I tried my best on each question","3","4","5","adding a control question to see if people are paying attention or adding a ""none"" option","no",13.5930166666667,0
"RDYS7","111","winter22","asynch","Female",19,"Spanish","First","United States","I tried my best on most questions","2","1","4","I think you guys did well, I just misunderstood the graph and realized it on the last question.","",20.51585,3
"NBR5N","121","winter22","asynch","Female",19,"English","Second","United States of America","I tried my best on each question","3","4","5","","No",12.97525,12
"QWPKO","121","winter22","asynch","Other-Not Listed",19,"English","Third","US","I tried my best on each question","4","2","5","Best study I've done, would do these on my own time.","No",5.79518333333333,9
"2KS3T","121","winter22","asynch","Male",21,"X-Other","Fourth","United States","I tried my best on each question","4","3","3","The first half was hard the second half was easier","n/a",13.2959,1
"UN7PD","111","winter22","asynch","Male",19,"English","Second","United States","I tried my best on most questions","3","4","4","I believe I had been reading the graph wrong within the first initial questions, but one of the questions changed how I read the graph.","NA",11.8386,9
"JHTYA","111","winter22","asynch","Female",24,"Spanish","Fourth","United States","I tried my best on each question","1","3","4","","",18.8103833333333,2
"HV8ZE","121","winter22","asynch","Female",20,"Spanish","Third","USA","I tried my best on each question","5","2","5","","NO",10.9188166666667,2
"43L8M","121","winter22","asynch","Male",22,"English","Fourth","US","I tried my best on each question","2","3","4","I misunderstood the graph for the first 3 or so questions, so those answers are blank. :(","Nope",6.2756,9
"WBJ2T","121","winter22","asynch","Male",21,"English","Fourth","United States of America","I tried my best on each question","2","4","4","","No",7.32353333333333,5
"KGNC3","121","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question","3","3","4","","N/A",10.1517333333333,11
"BBPLJ","121","winter22","asynch","Female",20,"English","Third","United States","I tried my best on most questions","3","2","2","I realized about halfway through that I had messed up on some questions because I didn't fully understand the question and left it blank. Towards the end, I tried a little harder because I understood it better, I hope.","N/A",15.9513833333333,0
"TAEHJ","121","winter22","asynch","Other-Not Listed",22,"English","Fourth","United States","I tried my best on each question","3","3","4","","",17.1030333333333,1
"6HUZT","121","winter22","asynch","Female",18,"Spanish","First","USA","I tried my best on each question","3","3","4","n/a","none",18.8906166666667,11
"NEK50","111","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question","3","4","3","","",14.9882166666667,0
"C2AHN","111","winter22","asynch","Male",20,"English","Third","U.S.","I tried my best on most questions","4","3","4","I'm pretty sure I did the first few questions wrong because I misunderstood the graph but I hopefully understood it by the end. At least, I thought I understood it a little better than at first.","None",19.5675,0
"4GC8J","121","winter22","asynch","Female",19,"Mandarin","Second","China","I tried my best on each question","1","4","4","","no",8.68185,12
"SKPWA","111","winter22","asynch","Female",20,"Korean","Second","United States of America","I tried my best on each question","4","2","4","","No",9.74928333333333,0
"E0F55","121","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","3","4","5","","",14.9812333333333,4
"X7HS7","121","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question","4","3","2","","no",16.0360666666667,6
"A3QHP","111","winter22","asynch","Female",22,"X-Other","Fourth","PHL","I tried my best on each question","4","3","4","","",21.0474666666667,0
"EBSJV","111","winter22","asynch","Female",19,"English","First","U.S","I tried my best on most questions","4","3","4","INSTRUCTIONS ON HOW TO READ THE GRAPH.","NO.",12.72805,0
"JCKEW","111","winter22","asynch","Female",20,"English","Second","USA","I tried my best on each question","3","4","2","im v tired; could have done better","nope",8.68666666666667,0
"853JQ","111","winter22","asynch","Female",20,"Arabic","Third","Kuwait","I tried my best on most questions","2","4","3","","no",13.2265166666667,0
"NDBCA","121","winter22","asynch","Female",20,"English","Second","USA","I tried my best on most questions","4","2","3","I think having a calculator or clock on the screen would help","Anxiety",22.9969333333333,9
"EBSH0","111","winter22","asynch","Female",20,"X-Other","Third","u.s","I tried my best on most questions","4","2","2","","",11.94095,1
"05EWA","121","winter22","asynch","Female",20,"English","Third","united states","I tried my best on each question","5","2","2","i kept confusing myself after ithought i had the pattern down","",8.32365,3
"G5HED","111","winter22","asynch","Male",20,"Spanish","Third","United States","I tried my best on each question","3","4","3","","",8.69843333333333,0
"23WXV","121","winter22","asynch","Female",23,"Spanish","Fifth","United States","I tried my best on most questions","1","4","3","Not applicable. ","Not applicable.",20.2262833333333,10
"4YF1J","111","winter22","asynch","Male",21,"English","Third","United States","I tried my best on each question","3","3","1","","",6.9107,1
"G1GGZ","121","winter22","asynch","Female",23,"English","Third","United States","I tried my best on each question","3","3","5","I am very perplexed by the first round of questions because from my observations (which could definitely be wrong) there were no correct answers so I left them blank and clicked submit. So please do not think I was not participating or not trying from those first round of submissions. I just did not see that there was answer so I submitted it blank as an answer. That is all. Thank you!","",22.2724833333333,0
"RVTK3","111","winter22","asynch","Male",21,"English","Fourth","USA","I tried my best on each question","3","4","5","The letters are a little small on the graph.","",7.12755,12
"EH3ED","121","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question","5","2","4","","",12.2307333333333,1
