"block","answer","correct","scaffold","question","scenario","graph","condition","session","experiment","subject","time_elapsed","trial_index","rt","rt_sec","q_order","score","order","pretty_condition","q","study"
"linear_scaffolded","HO",1,"none","start","axis","linear","0","november","experiment","5HJKF",291750,5,14996,15,1,"1","LM-First","control","1","SGC2"
"linear_scaffolded","4",1,"none","end","axis","linear","0","november","experiment","5HJKF",303092,6,10087,10,2,"1","LM-First","control","2","SGC2"
"linear_scaffolded","ACEFHIKL",0,"none","duration","axis","linear","0","november","experiment","5HJKF",346136,7,41790,42,3,"0","LM-First","control","3","SGC2"
"linear_scaffolded","8",1,"none","midpoint","axis","linear","0","november","experiment","5HJKF",364081,8,16685,17,4,"1","LM-First","control","4","SGC2"
"linear_scaffolded","10",0,"none","start+overlap","axis","linear","0","november","experiment","5HJKF",378644,9,13293,13,5,"0","LM-First","control","5","SGC2"
"linear_testing","CF",0,"none","overlap+overlap","axis","linear","0","november","experiment","5HJKF",388569,10,8669,9,6,"0","LM-First","control","6","SGC2"
"linear_testing","9",1,"none","start+duration","axis","linear","0","november","experiment","5HJKF",424432,11,34601,35,7,"1","LM-First","control","7","SGC2"
"linear_testing","GO",1,"none","finishes","axis","linear","0","november","experiment","5HJKF",439736,12,14053,14,8,"1","LM-First","control","8","SGC2"
"linear_testing","GHLO",0,"none","before+overlap","axis","linear","0","november","experiment","5HJKF",466721,13,25723,26,9,"0","LM-First","control","9","SGC2"
"linear_testing","DNO",0,"none","contain+duration","axis","linear","0","november","experiment","5HJKF",497249,14,29270,29,10,"0","LM-First","control","10","SGC2"
"linear_testing","FMO",1,"none","during","axis","linear","0","november","experiment","5HJKF",522369,15,23863,24,11,"1","LM-First","control","11","SGC2"
"linear_testing","DJMNO",0,"none","meets","axis","linear","0","november","experiment","5HJKF",581699,16,58067,58,12,"0","LM-First","control","12","SGC2"
"linear_testing","6",1,"none","starts","axis","linear","0","november","experiment","5HJKF",612544,17,29587,30,13,"1","LM-First","control","13","SGC2"
