SUBJECTID,order_num,math_acc,order_acc,weighted
02DBM,28,1,0.9333333333333333,28
07MCH,29,0.9655172413793104,0.9666666666666667,28
0C5DM,2,0.6551724137931034,0.06666666666666667,1.3103448275862069
0EMZW,23,0.9655172413793104,0.7666666666666667,22.20689655172414
0F1A8,25,0.9310344827586207,0.8333333333333334,23.275862068965516
0LCME,21,0.9655172413793104,0.7,20.27586206896552
0YVPY,24,0.8275862068965517,0.8,19.862068965517242
1H0SY,20,0.9655172413793104,0.6666666666666666,19.310344827586206
1JW7Y,27,0.9655172413793104,0.9,26.06896551724138
1QMGP,13,0.9310344827586207,0.43333333333333335,12.10344827586207
1SY41,16,1,0.5333333333333333,16
240Y4,11,1,0.36666666666666664,11
3KOBJ,25,1,0.8333333333333334,25
3LN24,12,0.9655172413793104,0.4,11.586206896551724
3PADQ,26,0.896551724137931,0.8666666666666667,23.310344827586206
3SYRX,26,0.9310344827586207,0.8666666666666667,24.20689655172414
431GR,22,0.9655172413793104,0.7333333333333333,21.24137931034483
47SB1,25,0.9655172413793104,0.8333333333333334,24.137931034482758
57C0V,19,1,0.6333333333333333,19
57KJC,23,0.9655172413793104,0.7666666666666667,22.20689655172414
5MQ25,2,0.8275862068965517,0.06666666666666667,1.6551724137931034
5N035,24,0.9655172413793104,0.8,23.17241379310345
5P3XF,19,0.896551724137931,0.6333333333333333,17.03448275862069
5TMTW,29,0.9655172413793104,0.9666666666666667,28
60VNG,12,0.896551724137931,0.4,10.758620689655173
63VL0,30,0.9310344827586207,1,27.93103448275862
694WT,14,0.9310344827586207,0.4666666666666667,13.034482758620689
6VLV8,9,0.7586206896551724,0.3,6.827586206896552
776UX,22,1,0.7333333333333333,22
77SKE,23,1,0.7666666666666667,23
7BV0L,30,0.9655172413793104,1,28.965517241379313
7DJGJ,10,0.9655172413793104,0.3333333333333333,9.655172413793103
7K6V3,1,0.9655172413793104,0.03333333333333333,0.9655172413793104
7METL,13,0.9655172413793104,0.43333333333333335,12.551724137931036
7SQGH,19,0.9310344827586207,0.6333333333333333,17.689655172413794
802RA,29,1,0.9666666666666667,29
8BB1M,16,0.9310344827586207,0.5333333333333333,14.89655172413793
8DL90,7,0.896551724137931,0.23333333333333334,6.275862068965518
8MT4O,18,0.9655172413793104,0.6,17.379310344827587
8V8HJ,23,0.9310344827586207,0.7666666666666667,21.413793103448274
95L0W,4,0.8620689655172413,0.13333333333333333,3.4482758620689653
96GEP,17,0.9655172413793104,0.5666666666666667,16.413793103448278
98R7E,15,0.896551724137931,0.5,13.448275862068966
98VDX,14,0.9310344827586207,0.4666666666666667,13.034482758620689
99VLZ,2,0.6206896551724138,0.06666666666666667,1.2413793103448276
9EYZ0,28,0.896551724137931,0.9333333333333333,25.10344827586207
9NYL1,4,0.9310344827586207,0.13333333333333333,3.7241379310344827
9PELV,26,0.9310344827586207,0.8666666666666667,24.20689655172414
9S5Z0,3,0.7241379310344828,0.1,2.1724137931034484
A9JCU,25,0.9310344827586207,0.8333333333333334,23.275862068965516
ACEXT,30,1,1,30
ALN2P,7,0.7931034482758621,0.23333333333333334,5.551724137931035
ARCSZ,30,0.8275862068965517,1,24.82758620689655
AU0MW,30,0.9310344827586207,1,27.93103448275862
B0QF0,28,0.9655172413793104,0.9333333333333333,27.03448275862069
