"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode"
"DMJ14","121","winter22","asynch","Female",25,"Cantonese","Fourth","United States","I tried my best on each question","3","3","3","it would be useful if the question have some instruction to indicate whether it is a multiple-choice or just leave the blank if there is no right answer ","no",5.8638,"1","chrome","1680","939","impasse","online-replication"
"UJFX9","121","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","2","2","3","","no",9.82103333333333,"1","chrome","1440","789","impasse","online-replication"
"34FAZ","121","winter22","asynch","Female",22,"Arabic","Fourth","US","I tried my best on each question","3","4","5","adding a control question to see if people are paying attention or adding a ""none"" option","no",13.5930166666667,"1","chrome","1440","789","impasse","online-replication"
"RDYS7","111","winter22","asynch","Female",19,"Spanish","First","United States","I tried my best on most questions","2","1","4","I think you guys did well, I just misunderstood the graph and realized it on the last question.","",20.51585,"1","chrome","1440","789","control","online-replication"
"NBR5N","121","winter22","asynch","Female",19,"English","Second","United States of America","I tried my best on each question","3","4","5","","No",12.97525,"3","chrome","1440","789","impasse","online-replication"
"QWPKO","121","winter22","asynch","Other-Not Listed",19,"English","Third","US","I tried my best on each question","4","2","5","Best study I've done, would do these on my own time.","No",5.79518333333333,"1","chrome","1920","937","impasse","online-replication"
"2KS3T","121","winter22","asynch","Male",21,"X-Other","Fourth","United States","I tried my best on each question","4","3","3","The first half was hard the second half was easier","n/a",13.2959,"2","chrome","1920","937","impasse","online-replication"
"UN7PD","111","winter22","asynch","Male",19,"English","Second","United States","I tried my best on most questions","3","4","4","I believe I had been reading the graph wrong within the first initial questions, but one of the questions changed how I read the graph.","NA",11.8386,"1","chrome","1440","796","control","online-replication"
"JHTYA","111","winter22","asynch","Female",24,"Spanish","Fourth","United States","I tried my best on each question","1","3","4","","",18.8103833333333,"2","chrome","1366","689","control","online-replication"
"HV8ZE","121","winter22","asynch","Female",20,"Spanish","Third","USA","I tried my best on each question","5","2","5","","NO",10.9188166666667,"1","chrome","1395","693","impasse","online-replication"
"43L8M","121","winter22","asynch","Male",22,"English","Fourth","US","I tried my best on each question","2","3","4","I misunderstood the graph for the first 3 or so questions, so those answers are blank. :(","Nope",6.2756,"3","chrome","2048","1042","impasse","online-replication"
"WBJ2T","121","winter22","asynch","Male",21,"English","Fourth","United States of America","I tried my best on each question","2","4","4","","No",7.32353333333333,"1.5","chrome","1440","821","impasse","online-replication"
"KGNC3","121","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question","3","3","4","","N/A",10.1517333333333,"2","chrome","1620","929","impasse","online-replication"
"BBPLJ","121","winter22","asynch","Female",20,"English","Third","United States","I tried my best on most questions","3","2","2","I realized about halfway through that I had messed up on some questions because I didn't fully understand the question and left it blank. Towards the end, I tried a little harder because I understood it better, I hope.","N/A",15.9513833333333,"1","chrome","1500","857","impasse","online-replication"
"TAEHJ","121","winter22","asynch","Other-Not Listed",22,"English","Fourth","United States","I tried my best on each question","3","3","4","","",17.1030333333333,"1","chrome","1440","701","impasse","online-replication"
"6HUZT","121","winter22","asynch","Female",18,"Spanish","First","USA","I tried my best on each question","3","3","4","n/a","none",18.8906166666667,"1","chrome","1440","737","impasse","online-replication"
"NEK50","111","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question","3","4","3","","",14.9882166666667,"1","chrome","1634","1026","control","online-replication"
"C2AHN","111","winter22","asynch","Male",20,"English","Third","U.S.","I tried my best on most questions","4","3","4","I'm pretty sure I did the first few questions wrong because I misunderstood the graph but I hopefully understood it by the end. At least, I thought I understood it a little better than at first.","None",19.5675,"1","chrome","1500","889","control","online-replication"
"4GC8J","121","winter22","asynch","Female",19,"Mandarin","Second","China","I tried my best on each question","1","4","4","","no",8.68185,"1","chrome","1440","789","impasse","online-replication"
"SKPWA","111","winter22","asynch","Female",20,"Korean","Second","United States of America","I tried my best on each question","4","2","4","","No",9.74928333333333,"1","chrome","1440","821","control","online-replication"
"E0F55","121","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","3","4","5","","",14.9812333333333,"2","chrome","1536","754","impasse","online-replication"
"X7HS7","121","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question","4","3","2","","no",16.0360666666667,"1","chrome","1438","752","impasse","online-replication"
"A3QHP","111","winter22","asynch","Female",22,"X-Other","Fourth","PHL","I tried my best on each question","4","3","4","","",21.0474666666667,"1","chrome","1440","764","control","online-replication"
"EBSJV","111","winter22","asynch","Female",19,"English","First","U.S","I tried my best on most questions","4","3","4","INSTRUCTIONS ON HOW TO READ THE GRAPH.","NO.",12.72805,"3","chrome","1440","789","control","online-replication"
"JCKEW","111","winter22","asynch","Female",20,"English","Second","USA","I tried my best on each question","3","4","2","im v tired; could have done better","nope",8.68666666666667,"1","chrome","1536","722","control","online-replication"
"853JQ","111","winter22","asynch","Female",20,"Arabic","Third","Kuwait","I tried my best on most questions","2","4","3","","no",13.2265166666667,"2","chrome","1368","742","control","online-replication"
"NDBCA","121","winter22","asynch","Female",20,"English","Second","USA","I tried my best on most questions","4","2","3","I think having a calculator or clock on the screen would help","Anxiety",22.9969333333333,"1","chrome","1549","910","impasse","online-replication"
"EBSH0","111","winter22","asynch","Female",20,"X-Other","Third","u.s","I tried my best on most questions","4","2","2","","",11.94095,"1","chrome","1440","821","control","online-replication"
"05EWA","121","winter22","asynch","Female",20,"English","Third","united states","I tried my best on each question","5","2","2","i kept confusing myself after ithought i had the pattern down","",8.32365,"1","chrome","1440","789","impasse","online-replication"
"G5HED","111","winter22","asynch","Male",20,"Spanish","Third","United States","I tried my best on each question","3","4","3","","",8.69843333333333,"2","chrome","1920","937","control","online-replication"
"23WXV","121","winter22","asynch","Female",23,"Spanish","Fifth","United States","I tried my best on most questions","1","4","3","Not applicable. ","Not applicable.",20.2262833333333,"1","chrome","1368","808","impasse","online-replication"
"4YF1J","111","winter22","asynch","Male",21,"English","Third","United States","I tried my best on each question","3","3","1","","",6.9107,"2","chrome","1920","937","control","online-replication"
"G1GGZ","121","winter22","asynch","Female",23,"English","Third","United States","I tried my best on each question","3","3","5","I am very perplexed by the first round of questions because from my observations (which could definitely be wrong) there were no correct answers so I left them blank and clicked submit. So please do not think I was not participating or not trying from those first round of submissions. I just did not see that there was answer so I submitted it blank as an answer. That is all. Thank you!","",22.2724833333333,"1","chrome","1536","721","impasse","online-replication"
"RVTK3","111","winter22","asynch","Male",21,"English","Fourth","USA","I tried my best on each question","3","4","5","The letters are a little small on the graph.","",7.12755,"1","chrome","1920","937","control","online-replication"
"EH3ED","121","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question","5","2","4","","",12.2307333333333,"1.5","chrome","1440","764","impasse","online-replication"
"P189K","121","winter22","asynch","Female",20,"Spanish","Second","Ecuador","I tried my best on each question","2","4","4","I think I messed up because I assumed the break lasted an hour and I might have gotten some things mixed up regarding the breaks, I think I at least got it right the second time, anyway, just letting you know :) (ps: i love happy faces in this font :) hihihih )","",16.4680333333333,"1","chrome","1440","821","impasse","online-replication"
"JDHT2","111","winter22","asynch","Female",20,"Korean","Second","Korea ","I tried my best on most questions","3","2","3","","",9.68616666666667,"2.5","chrome","1280","688","control","online-replication"
"H0HHM","121","winter22","asynch","Female",24,"Spanish","Fourth","United States","I tried my best on each question","1","5","5","I somewhat like looking at graphs, & I like to organize & plan. So I was actually very interested & intrigued by the study description when I first learned that I'd be looking at schedules. ","",14.01835,"1","chrome","1366","689","impasse","online-replication"
"S4T2X","121","winter22","asynch","Female",22,"English","Fourth","usa","I tried my best on each question","2","4","3","n/a! really liked it","",11.5459333333333,"1","chrome","1440","680","impasse","online-replication"
"WOJNW","121","winter22","asynch","Male",21,"Spanish","Fourth","United States","I tried my best on each question","2","4","4","I think I got most of them right, there was definitely a learning curve at the start until I figured out how the graphs work. Overall I like the lay out and how most information is presented. ","N/A",11.9848,"1","chrome","1440","789","impasse","online-replication"
"19SNU","111","winter22","asynch","Female",21,"X-Other","Fourth","USA","I tried my best on most questions","3","2","3","whether or not I got the questions right to know if I'm on the right track","undiagnosed attention disorder",9.4534,"1","chrome","1826","910","control","online-replication"
"76UV0","111","winter22","asynch","Female",20,"English","Second","United States","I tried my best on most questions","2","2","2","","",37.6728,"2","chrome","1440","732","control","online-replication"
"86P6B","111","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","3","5","I was very confused at first, I do not know if i did it right but the way  answered is what made sense in my head ","No ",15.8369833333333,"1","chrome","1600","752","control","online-replication"
"5QAJA","121","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","2","3","3","","No",10.93155,"1","chrome","1920","943","impasse","online-replication"
