"","subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt","item_q1_state","OSPAN.weighted","OSPAN.math_acc","OSPAN.order_acc","z_ospan","ospan_split"
"1","02DBM","121","fall21","asynch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",17.1542,"NULL","NULL","NULL","NULL","impasse","online-replication",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,1,14.0414333333333,64.8066153846154,16.104,273.493,13,0,0,0,0,0,0,0,1,1,"Triangular",273.493,1,1,"Triangular",24.343,1,"Triangular",53.318,1,"Triangular",29.652,5,5,7.38545,8,8,6.65598333333333,"tri-like",28,1,0.933333333333333,1.20653885974128,"high-memory"
"2","0EMZW","121","fall21","asynch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.06588333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,1,3.77121666666667,17.4056153846154,6.33,36.201,13,0,0,0,0,0,0,0,1,1,"Triangular",36.201,1,1,"Triangular",24.547,1,"Triangular",28.63,1,"Triangular",13.474,5,5,1.79901666666667,8,8,1.9722,"tri-like",22.2068965517241,0.96551724137931,0.766666666666667,0.422735856919377,"high-memory"
"3","0F1A8","111","fall21","asynch","Female",21,"Other","Fourth","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",13.58045,"NULL","NULL","NULL","NULL","control","online-replication",-0.522594072594073,9.78974358974359,-0.664350355526826,0,0,0,0,-11,0,10.0521333333333,46.3944615384615,5.662,118.934,0,10,0,0,3,0,2,1,0,-1,"Orthogonal",48.286,0,-0.5,"?",118.934,0,"Orthogonal",15.187,0,"Orthogonal",64.121,0,-4.5,5.26808333333333,0,-6.5,4.78405,"orth-like",23.2758620689655,0.931034482758621,0.833333333333333,0.567366172916277,"high-memory"
"4","0LCME","121","fall21","asynch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.31845,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.263585434173669,8,-0.497899159663866,-0.0769230769230769,0,0,0,-8.5,0,7.40471666666667,34.1756153846154,6.458,136.179,0,8,0,0,5,0,1,4,0,0,"blank",30.34,0,0,"blank",45.126,0,"Orthogonal",32.994,0,"Orthogonal",45.994,0,-0.5,2.10931666666667,0,-8,5.2954,"unknown",20.2758620689655,0.96551724137931,0.7,0.161468189312081,"low-memory"
"5","0YVPY","121","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9586833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",3.02434012066365,0.299019607843137,2.65816365007541,0.114468864468864,0,4,4,-1.5,0.307692307692308,5.82913333333333,26.9036923076923,2.148,111.597,4,1,0,1,7,0,7,0,1,1,"Triangular",54.865,1,1,"Triangular",77.392,0,"Orthogonal",36.243,0,"?",3.13,4,3,4.56255,0,-4.5,1.26658333333333,"tri-like",19.8620689655172,0.827586206896552,0.8,0.105482260539085,"low-memory"
"6","1JW7Y","121","fall21","asynch","Female",18,"Spanish","First","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",18.5217833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.101039646627882,0.979166666666667,0.672659448394743,0.538461538461538,0,0,0,-5,0,15.5765833333333,71.8919230769231,8.908,169.615,1,1,1,1,9,1,9,0,0,-1,"Satisfice",8.908,0,-0.5,"?",73.394,0,"Triangular",123.021,0,"?",34.21,0,-2,6.74013333333333,0,-3,8.83645,"orth-like",26.0689655172414,0.96551724137931,0.9,0.945271192133982,"high-memory"
"7","1QMGP","121","fall21","asynch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",9.783,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.289285714285714,4.86666666666667,-0.581932773109244,2,0,0,0,-7.5,0,6.874,31.7261538461538,3.505,97.109,0,5,0,2,6,0,1,5,0,-1,"Satisfice",22.277,0,0,"blank",36.449,0,"Orthogonal",16.808,0,"?",57.936,0,-2,2.23831666666667,0,-5.5,4.63568333333333,"orth-like",12.1034482758621,0.931034482758621,0.433333333333333,-0.944253903954517,"low-memory"
"8","1SY41","121","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.7524333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,1,11.17565,51.5799230769231,10.349,180.359,13,0,0,0,0,0,0,0,1,1,"Triangular",180.359,1,1,"Triangular",91.223,1,"Triangular",34.994,1,"Triangular",111.081,5,5,6.01858333333333,8,8,5.15706666666667,"tri-like",16,1,0.533333333333333,-0.417053074675507,"low-memory"
"9","240Y4","121","fall21","asynch","Female",21,"Other","Third","South Korea","NULL","NULL","NULL","NULL","NULL","NULL",111.016266666667,"NULL","NULL","NULL","NULL","impasse","online-replication",0.721991488903254,5.87083333333333,-0.599332040508511,-0.230769230769231,0,1,1,-7,0.0769230769230769,5.31231666666667,24.5183846153846,5.856,55.383,1,6,0,0,6,0,4,2,0,0,"blank",41.14,1,1,"Triangular",19.82,0,"Orthogonal",27.24,0,"Orthogonal",29.737,1,0,1.66375,0,-7,3.64856666666667,"unknown",11,1,0.366666666666667,-1.09354971401583,"low-memory"
"10","3PADQ","111","fall21","asynch","Female",22,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",21.9320166666667,"NULL","NULL","NULL","NULL","control","online-replication",-0.510584268672504,9.27724358974359,0.294925662572721,0,0,0,0,-10,0,15.8831333333333,73.3067692307692,13.639,193.304,0,9,1,0,3,1,3,0,0,-1,"Orthogonal",31.01,0,-0.5,"?",193.304,0,"Orthogonal",93.822,0,"Orthogonal",142.898,0,-3,6.3334,0,-7,9.54973333333333,"orth-like",23.3103448275862,0.896551724137931,0.866666666666667,0.572031666980695,"high-memory"
