"subject","mode","condition","question","score"
"JCKEW","asynch","111",1,0
"JCKEW","asynch","111",2,0
"JCKEW","asynch","111",3,0
"JCKEW","asynch","111",4,0
"JCKEW","asynch","111",5,0
"JCKEW","asynch","111",6,0
"JCKEW","asynch","111",7,0
"JCKEW","asynch","111",8,0
"JCKEW","asynch","111",9,0
"JCKEW","asynch","111",10,0
"JCKEW","asynch","111",11,0
"JCKEW","asynch","111",12,0
"JCKEW","asynch","111",13,0
"NBR5N","asynch","121",1,1
"NBR5N","asynch","121",2,2
"NBR5N","asynch","121",3,3
"NBR5N","asynch","121",4,4
"NBR5N","asynch","121",5,5
"NBR5N","asynch","121",6,6
"NBR5N","asynch","121",7,7
"NBR5N","asynch","121",8,8
"NBR5N","asynch","121",9,9
"NBR5N","asynch","121",10,10
"NBR5N","asynch","121",11,11
"NBR5N","asynch","121",12,12
"NBR5N","asynch","121",13,13
"FPSQJ","asynch","121",1,1
"FPSQJ","asynch","121",2,2
"FPSQJ","asynch","121",3,3
"FPSQJ","asynch","121",4,4
"FPSQJ","asynch","121",5,5
"FPSQJ","asynch","121",6,6
"FPSQJ","asynch","121",7,6
"FPSQJ","asynch","121",8,7
"FPSQJ","asynch","121",9,8
"FPSQJ","asynch","121",10,9
"FPSQJ","asynch","121",11,10
"FPSQJ","asynch","121",12,11
"FPSQJ","asynch","121",13,12
"S4T2X","asynch","121",1,0
"S4T2X","asynch","121",2,0
"S4T2X","asynch","121",3,0
"S4T2X","asynch","121",4,0
"S4T2X","asynch","121",5,1
"S4T2X","asynch","121",6,1
"S4T2X","asynch","121",7,1
"S4T2X","asynch","121",8,1
"S4T2X","asynch","121",9,1
"S4T2X","asynch","121",10,1
"S4T2X","asynch","121",11,1
"S4T2X","asynch","121",12,1
"S4T2X","asynch","121",13,1
"86P6B","asynch","111",1,1
"86P6B","asynch","111",2,2
"86P6B","asynch","111",3,3
"86P6B","asynch","111",4,4
"86P6B","asynch","111",5,5
"86P6B","asynch","111",6,6
"86P6B","asynch","111",7,6
"86P6B","asynch","111",8,7
"86P6B","asynch","111",9,8
"86P6B","asynch","111",10,9
"86P6B","asynch","111",11,10
"86P6B","asynch","111",12,11
"86P6B","asynch","111",13,12
"WZFMC","asynch","111",1,0
"WZFMC","asynch","111",2,0
"WZFMC","asynch","111",3,0
"WZFMC","asynch","111",4,0
"WZFMC","asynch","111",5,1
"WZFMC","asynch","111",6,1
"WZFMC","asynch","111",7,1
"WZFMC","asynch","111",8,1
"WZFMC","asynch","111",9,1
"WZFMC","asynch","111",10,1
"WZFMC","asynch","111",11,1
"WZFMC","asynch","111",12,1
"WZFMC","asynch","111",13,1
"E0F55","asynch","121",1,0
"E0F55","asynch","121",2,0
"E0F55","asynch","121",3,0
"E0F55","asynch","121",4,0
"E0F55","asynch","121",5,0
"E0F55","asynch","121",6,0
"E0F55","asynch","121",7,0
"E0F55","asynch","121",8,1
"E0F55","asynch","121",9,1
"E0F55","asynch","121",10,2
"E0F55","asynch","121",11,3
"E0F55","asynch","121",12,4
"E0F55","asynch","121",13,5
"NDBCA","asynch","121",1,1
"NDBCA","asynch","121",2,2
"NDBCA","asynch","121",3,3
"NDBCA","asynch","121",4,4
"NDBCA","asynch","121",5,4
"NDBCA","asynch","121",6,5
"NDBCA","asynch","121",7,5
"NDBCA","asynch","121",8,6
"NDBCA","asynch","121",9,7
"NDBCA","asynch","121",10,8
"NDBCA","asynch","121",11,9
"NDBCA","asynch","121",12,10
"NDBCA","asynch","121",13,10
"BDQEZ","asynch","121",1,1
"BDQEZ","asynch","121",2,2
"BDQEZ","asynch","121",3,3
"BDQEZ","asynch","121",4,4
"BDQEZ","asynch","121",5,5
"BDQEZ","asynch","121",6,5
"BDQEZ","asynch","121",7,6
"BDQEZ","asynch","121",8,7
"BDQEZ","asynch","121",9,8
"BDQEZ","asynch","121",10,9
"BDQEZ","asynch","121",11,10
"BDQEZ","asynch","121",12,11
"BDQEZ","asynch","121",13,12
"ZDA7B","asynch","121",1,0
"ZDA7B","asynch","121",2,0
"ZDA7B","asynch","121",3,0
"ZDA7B","asynch","121",4,0
"ZDA7B","asynch","121",5,0
"ZDA7B","asynch","121",6,0
"ZDA7B","asynch","121",7,0
"ZDA7B","asynch","121",8,1
"ZDA7B","asynch","121",9,1
"ZDA7B","asynch","121",10,1
"ZDA7B","asynch","121",11,1
"ZDA7B","asynch","121",12,1
"ZDA7B","asynch","121",13,1
"KGNC3","asynch","121",1,1
"KGNC3","asynch","121",2,2
"KGNC3","asynch","121",3,3
"KGNC3","asynch","121",4,3
"KGNC3","asynch","121",5,4
"KGNC3","asynch","121",6,5
"KGNC3","asynch","121",7,6
"KGNC3","asynch","121",8,7
"KGNC3","asynch","121",9,8
"KGNC3","asynch","121",10,9
"KGNC3","asynch","121",11,10
"KGNC3","asynch","121",12,11
"KGNC3","asynch","121",13,12
"HV8ZE","asynch","121",1,0
"HV8ZE","asynch","121",2,0
"HV8ZE","asynch","121",3,0
"HV8ZE","asynch","121",4,0
"HV8ZE","asynch","121",5,0
"HV8ZE","asynch","121",6,0
"HV8ZE","asynch","121",7,0
"HV8ZE","asynch","121",8,0
"HV8ZE","asynch","121",9,0
"HV8ZE","asynch","121",10,0
"HV8ZE","asynch","121",11,0
"HV8ZE","asynch","121",12,1
"HV8ZE","asynch","121",13,2
"G5HED","asynch","111",1,0
"G5HED","asynch","111",2,0
"G5HED","asynch","111",3,0
"G5HED","asynch","111",4,0
"G5HED","asynch","111",5,0
"G5HED","asynch","111",6,0
"G5HED","asynch","111",7,0
"G5HED","asynch","111",8,0
"G5HED","asynch","111",9,0
"G5HED","asynch","111",10,0
"G5HED","asynch","111",11,0
"G5HED","asynch","111",12,0
"G5HED","asynch","111",13,0
"V9JKJ","asynch","111",1,0
"V9JKJ","asynch","111",2,0
"V9JKJ","asynch","111",3,0
"V9JKJ","asynch","111",4,0
"V9JKJ","asynch","111",5,0
"V9JKJ","asynch","111",6,0
"V9JKJ","asynch","111",7,0
"V9JKJ","asynch","111",8,0
"V9JKJ","asynch","111",9,0
"V9JKJ","asynch","111",10,0
"V9JKJ","asynch","111",11,0
"V9JKJ","asynch","111",12,0
"V9JKJ","asynch","111",13,0
"4YF1J","asynch","111",1,0
"4YF1J","asynch","111",2,0
"4YF1J","asynch","111",3,0
"4YF1J","asynch","111",4,0
"4YF1J","asynch","111",5,1
"4YF1J","asynch","111",6,1
"4YF1J","asynch","111",7,1
"4YF1J","asynch","111",8,1
"4YF1J","asynch","111",9,1
"4YF1J","asynch","111",10,1
"4YF1J","asynch","111",11,1
"4YF1J","asynch","111",12,1
"4YF1J","asynch","111",13,1
"5QAJA","asynch","121",1,1
"5QAJA","asynch","121",2,2
"5QAJA","asynch","121",3,2
"5QAJA","asynch","121",4,2
"5QAJA","asynch","121",5,2
"5QAJA","asynch","121",6,3
"5QAJA","asynch","121",7,3
"5QAJA","asynch","121",8,4
"5QAJA","asynch","121",9,5
"5QAJA","asynch","121",10,6
"5QAJA","asynch","121",11,7
"5QAJA","asynch","121",12,8
"5QAJA","asynch","121",13,9
"04YXZ","asynch","111",1,0
"04YXZ","asynch","111",2,0
"04YXZ","asynch","111",3,0
"04YXZ","asynch","111",4,0
"04YXZ","asynch","111",5,0
"04YXZ","asynch","111",6,0
"04YXZ","asynch","111",7,0
"04YXZ","asynch","111",8,0
"04YXZ","asynch","111",9,0
"04YXZ","asynch","111",10,0
"04YXZ","asynch","111",11,0
"04YXZ","asynch","111",12,0
"04YXZ","asynch","111",13,0
"SKPWA","asynch","111",1,0
"SKPWA","asynch","111",2,0
"SKPWA","asynch","111",3,0
"SKPWA","asynch","111",4,0
"SKPWA","asynch","111",5,0
"SKPWA","asynch","111",6,0
"SKPWA","asynch","111",7,0
"SKPWA","asynch","111",8,0
"SKPWA","asynch","111",9,0
"SKPWA","asynch","111",10,0
"SKPWA","asynch","111",11,0
"SKPWA","asynch","111",12,0
