"subject","mode","pretty_condition","question","score"
"JCKEW","asynch","control",1,0
"JCKEW","asynch","control",2,0
"JCKEW","asynch","control",3,0
"JCKEW","asynch","control",4,0
"JCKEW","asynch","control",5,0
"JCKEW","asynch","control",6,0
"JCKEW","asynch","control",7,0
"JCKEW","asynch","control",8,0
"JCKEW","asynch","control",9,0
"JCKEW","asynch","control",10,0
"JCKEW","asynch","control",11,0
"JCKEW","asynch","control",12,0
"JCKEW","asynch","control",13,0
"NBR5N","asynch","impasse",1,1
"NBR5N","asynch","impasse",2,2
"NBR5N","asynch","impasse",3,3
"NBR5N","asynch","impasse",4,4
"NBR5N","asynch","impasse",5,5
"NBR5N","asynch","impasse",6,6
"NBR5N","asynch","impasse",7,7
"NBR5N","asynch","impasse",8,8
"NBR5N","asynch","impasse",9,9
"NBR5N","asynch","impasse",10,10
"NBR5N","asynch","impasse",11,11
"NBR5N","asynch","impasse",12,12
"NBR5N","asynch","impasse",13,13
"FPSQJ","asynch","impasse",1,1
"FPSQJ","asynch","impasse",2,2
"FPSQJ","asynch","impasse",3,3
"FPSQJ","asynch","impasse",4,4
"FPSQJ","asynch","impasse",5,5
"FPSQJ","asynch","impasse",6,6
"FPSQJ","asynch","impasse",7,6
"FPSQJ","asynch","impasse",8,7
"FPSQJ","asynch","impasse",9,8
"FPSQJ","asynch","impasse",10,9
"FPSQJ","asynch","impasse",11,10
"FPSQJ","asynch","impasse",12,11
"FPSQJ","asynch","impasse",13,12
"S4T2X","asynch","impasse",1,0
"S4T2X","asynch","impasse",2,0
"S4T2X","asynch","impasse",3,0
"S4T2X","asynch","impasse",4,0
"S4T2X","asynch","impasse",5,1
"S4T2X","asynch","impasse",6,1
"S4T2X","asynch","impasse",7,1
"S4T2X","asynch","impasse",8,1
"S4T2X","asynch","impasse",9,1
"S4T2X","asynch","impasse",10,1
"S4T2X","asynch","impasse",11,1
"S4T2X","asynch","impasse",12,1
"S4T2X","asynch","impasse",13,1
"86P6B","asynch","control",1,1
"86P6B","asynch","control",2,2
"86P6B","asynch","control",3,3
"86P6B","asynch","control",4,4
"86P6B","asynch","control",5,5
"86P6B","asynch","control",6,6
"86P6B","asynch","control",7,6
"86P6B","asynch","control",8,7
"86P6B","asynch","control",9,8
"86P6B","asynch","control",10,9
"86P6B","asynch","control",11,10
"86P6B","asynch","control",12,11
"86P6B","asynch","control",13,12
"WZFMC","asynch","control",1,0
"WZFMC","asynch","control",2,0
"WZFMC","asynch","control",3,0
"WZFMC","asynch","control",4,0
"WZFMC","asynch","control",5,1
"WZFMC","asynch","control",6,1
"WZFMC","asynch","control",7,1
"WZFMC","asynch","control",8,1
"WZFMC","asynch","control",9,1
"WZFMC","asynch","control",10,1
"WZFMC","asynch","control",11,1
"WZFMC","asynch","control",12,1
"WZFMC","asynch","control",13,1
"E0F55","asynch","impasse",1,0
"E0F55","asynch","impasse",2,0
"E0F55","asynch","impasse",3,0
"E0F55","asynch","impasse",4,0
"E0F55","asynch","impasse",5,0
"E0F55","asynch","impasse",6,0
"E0F55","asynch","impasse",7,0
"E0F55","asynch","impasse",8,1
