"subject","mode","pretty_condition","question","score"
"3QO3J","lab-synch","control",1,1
"3QO3J","lab-synch","control",2,1
"3QO3J","lab-synch","control",3,1
"3QO3J","lab-synch","control",4,1
"3QO3J","lab-synch","control",5,1
"3QO3J","lab-synch","control",6,1
"3QO3J","lab-synch","control",7,1
"3QO3J","lab-synch","control",8,1
"3QO3J","lab-synch","control",9,1
"3QO3J","lab-synch","control",10,1
"3QO3J","lab-synch","control",11,1
"3QO3J","lab-synch","control",12,1
"3QO3J","lab-synch","control",13,2
"M675E","lab-synch","impasse",1,0
"M675E","lab-synch","impasse",2,1
"M675E","lab-synch","impasse",3,2
"M675E","lab-synch","impasse",4,3
"M675E","lab-synch","impasse",5,4
"M675E","lab-synch","impasse",6,5
"M675E","lab-synch","impasse",7,6
"M675E","lab-synch","impasse",8,7
"M675E","lab-synch","impasse",9,8
"M675E","lab-synch","impasse",10,9
"M675E","lab-synch","impasse",11,10
"M675E","lab-synch","impasse",12,11
"M675E","lab-synch","impasse",13,12
"R8PM2","lab-synch","control",1,0
"R8PM2","lab-synch","control",2,0
"R8PM2","lab-synch","control",3,0
"R8PM2","lab-synch","control",4,0
"R8PM2","lab-synch","control",5,0
"R8PM2","lab-synch","control",6,0
"R8PM2","lab-synch","control",7,0
"R8PM2","lab-synch","control",8,0
"R8PM2","lab-synch","control",9,0
"R8PM2","lab-synch","control",10,0
"R8PM2","lab-synch","control",11,0
"R8PM2","lab-synch","control",12,0
"R8PM2","lab-synch","control",13,0
"JFFAY","lab-synch","control",1,0
"JFFAY","lab-synch","control",2,0
"JFFAY","lab-synch","control",3,0
"JFFAY","lab-synch","control",4,0
"JFFAY","lab-synch","control",5,0
"JFFAY","lab-synch","control",6,0
"JFFAY","lab-synch","control",7,0
"JFFAY","lab-synch","control",8,0
"JFFAY","lab-synch","control",9,0
"JFFAY","lab-synch","control",10,0
"JFFAY","lab-synch","control",11,0
"JFFAY","lab-synch","control",12,0
"JFFAY","lab-synch","control",13,0
"HKSU4","lab-synch","impasse",1,1
"HKSU4","lab-synch","impasse",2,1
"HKSU4","lab-synch","impasse",3,1
"HKSU4","lab-synch","impasse",4,1
"HKSU4","lab-synch","impasse",5,1
"HKSU4","lab-synch","impasse",6,2
"HKSU4","lab-synch","impasse",7,2
"HKSU4","lab-synch","impasse",8,2
"HKSU4","lab-synch","impasse",9,3
"HKSU4","lab-synch","impasse",10,3
"HKSU4","lab-synch","impasse",11,3
"HKSU4","lab-synch","impasse",12,3
"HKSU4","lab-synch","impasse",13,3
"FUV6R","lab-synch","impasse",1,0
"FUV6R","lab-synch","impasse",2,0
"FUV6R","lab-synch","impasse",3,1
"FUV6R","lab-synch","impasse",4,2
"FUV6R","lab-synch","impasse",5,3
"FUV6R","lab-synch","impasse",6,3
"FUV6R","lab-synch","impasse",7,3
"FUV6R","lab-synch","impasse",8,4
"FUV6R","lab-synch","impasse",9,5
"FUV6R","lab-synch","impasse",10,6
"FUV6R","lab-synch","impasse",11,7
"FUV6R","lab-synch","impasse",12,8
"FUV6R","lab-synch","impasse",13,9
"4GSTQ","lab-synch","control",1,0
"4GSTQ","lab-synch","control",2,0
"4GSTQ","lab-synch","control",3,0
"4GSTQ","lab-synch","control",4,0
"4GSTQ","lab-synch","control",5,0
"4GSTQ","lab-synch","control",6,0
"4GSTQ","lab-synch","control",7,0
"4GSTQ","lab-synch","control",8,0
"4GSTQ","lab-synch","control",9,0
"4GSTQ","lab-synch","control",10,0
"4GSTQ","lab-synch","control",11,0
"4GSTQ","lab-synch","control",12,0
"4GSTQ","lab-synch","control",13,0
"EN7PB","lab-synch","control",1,0
"EN7PB","lab-synch","control",2,0
"EN7PB","lab-synch","control",3,0
"EN7PB","lab-synch","control",4,0
"EN7PB","lab-synch","control",5,0
"EN7PB","lab-synch","control",6,0
"EN7PB","lab-synch","control",7,0
"EN7PB","lab-synch","control",8,0
"EN7PB","lab-synch","control",9,0
"EN7PB","lab-synch","control",10,0
"EN7PB","lab-synch","control",11,0
"EN7PB","lab-synch","control",12,0
"EN7PB","lab-synch","control",13,0
"KBQPW","lab-synch","impasse",1,0
"KBQPW","lab-synch","impasse",2,0
"KBQPW","lab-synch","impasse",3,0
"KBQPW","lab-synch","impasse",4,0
"KBQPW","lab-synch","impasse",5,1
"KBQPW","lab-synch","impasse",6,1
"KBQPW","lab-synch","impasse",7,1
"KBQPW","lab-synch","impasse",8,1
"KBQPW","lab-synch","impasse",9,1
"KBQPW","lab-synch","impasse",10,1
"KBQPW","lab-synch","impasse",11,1
"KBQPW","lab-synch","impasse",12,1
"KBQPW","lab-synch","impasse",13,1
"YGEAY","lab-synch","control",1,0
"YGEAY","lab-synch","control",2,0
"YGEAY","lab-synch","control",3,0
"YGEAY","lab-synch","control",4,0
"YGEAY","lab-synch","control",5,0
"YGEAY","lab-synch","control",6,0
"YGEAY","lab-synch","control",7,0
"YGEAY","lab-synch","control",8,0
"YGEAY","lab-synch","control",9,0
"YGEAY","lab-synch","control",10,0
"YGEAY","lab-synch","control",11,1
"YGEAY","lab-synch","control",12,1
"YGEAY","lab-synch","control",13,1
"LJTDL","lab-synch","impasse",1,1
"LJTDL","lab-synch","impasse",2,2
"LJTDL","lab-synch","impasse",3,3
"LJTDL","lab-synch","impasse",4,4
"LJTDL","lab-synch","impasse",5,5
"LJTDL","lab-synch","impasse",6,6
"LJTDL","lab-synch","impasse",7,7
"LJTDL","lab-synch","impasse",8,8
"LJTDL","lab-synch","impasse",9,9
"LJTDL","lab-synch","impasse",10,10
"LJTDL","lab-synch","impasse",11,11
"LJTDL","lab-synch","impasse",12,12
"LJTDL","lab-synch","impasse",13,13
"OTVZR","lab-synch","impasse",1,0
"OTVZR","lab-synch","impasse",2,0
"OTVZR","lab-synch","impasse",3,0
"OTVZR","lab-synch","impasse",4,1
"OTVZR","lab-synch","impasse",5,2
"OTVZR","lab-synch","impasse",6,2
"OTVZR","lab-synch","impasse",7,3
"OTVZR","lab-synch","impasse",8,4
"OTVZR","lab-synch","impasse",9,5
"OTVZR","lab-synch","impasse",10,5
