"subject","mode","pretty_condition","question","score"
"1SY41","asynch","impasse",1,1
"1SY41","asynch","impasse",2,2
"1SY41","asynch","impasse",3,3
"1SY41","asynch","impasse",4,4
"1SY41","asynch","impasse",5,5
"1SY41","asynch","impasse",6,6
"1SY41","asynch","impasse",7,7
"1SY41","asynch","impasse",8,8
"1SY41","asynch","impasse",9,9
"1SY41","asynch","impasse",10,10
"1SY41","asynch","impasse",11,11
"1SY41","asynch","impasse",12,12
"1SY41","asynch","impasse",13,13
"LNVKO","asynch","control",1,1
"LNVKO","asynch","control",2,2
"LNVKO","asynch","control",3,3
"LNVKO","asynch","control",4,4
"LNVKO","asynch","control",5,5
"LNVKO","asynch","control",6,6
"LNVKO","asynch","control",7,7
"LNVKO","asynch","control",8,8
"LNVKO","asynch","control",9,9
"LNVKO","asynch","control",10,10
"LNVKO","asynch","control",11,11
"LNVKO","asynch","control",12,12
"LNVKO","asynch","control",13,13
"OUCFL","asynch","impasse",1,0
"OUCFL","asynch","impasse",2,0
"OUCFL","asynch","impasse",3,0
"OUCFL","asynch","impasse",4,1
"OUCFL","asynch","impasse",5,1
"OUCFL","asynch","impasse",6,2
"OUCFL","asynch","impasse",7,2
"OUCFL","asynch","impasse",8,2
"OUCFL","asynch","impasse",9,3
"OUCFL","asynch","impasse",10,4
"OUCFL","asynch","impasse",11,4
"OUCFL","asynch","impasse",12,5
"OUCFL","asynch","impasse",13,5
"KT7ZF","asynch","impasse",1,0
"KT7ZF","asynch","impasse",2,0
"KT7ZF","asynch","impasse",3,0
"KT7ZF","asynch","impasse",4,0
"KT7ZF","asynch","impasse",5,0
"KT7ZF","asynch","impasse",6,0
"KT7ZF","asynch","impasse",7,0
"KT7ZF","asynch","impasse",8,0
"KT7ZF","asynch","impasse",9,0
"KT7ZF","asynch","impasse",10,0
"KT7ZF","asynch","impasse",11,0
"KT7ZF","asynch","impasse",12,0
"KT7ZF","asynch","impasse",13,0
"WWMDF","asynch","control",1,0
"WWMDF","asynch","control",2,0
"WWMDF","asynch","control",3,0
"WWMDF","asynch","control",4,0
"WWMDF","asynch","control",5,0
"WWMDF","asynch","control",6,0
"WWMDF","asynch","control",7,0
"WWMDF","asynch","control",8,0
"WWMDF","asynch","control",9,0
"WWMDF","asynch","control",10,0
"WWMDF","asynch","control",11,0
"WWMDF","asynch","control",12,0
"WWMDF","asynch","control",13,0
"ACEXT","asynch","impasse",1,0
"ACEXT","asynch","impasse",2,0
"ACEXT","asynch","impasse",3,0
"ACEXT","asynch","impasse",4,0
"ACEXT","asynch","impasse",5,0
"ACEXT","asynch","impasse",6,0
"ACEXT","asynch","impasse",7,1
"ACEXT","asynch","impasse",8,1
"ACEXT","asynch","impasse",9,1
"ACEXT","asynch","impasse",10,1
"ACEXT","asynch","impasse",11,1
"ACEXT","asynch","impasse",12,1
"ACEXT","asynch","impasse",13,1
"ALN2P","asynch","impasse",1,0
"ALN2P","asynch","impasse",2,0
"ALN2P","asynch","impasse",3,0
"ALN2P","asynch","impasse",4,0
"ALN2P","asynch","impasse",5,0
"ALN2P","asynch","impasse",6,0
"ALN2P","asynch","impasse",7,0
"ALN2P","asynch","impasse",8,0
"ALN2P","asynch","impasse",9,0
"ALN2P","asynch","impasse",10,0
"ALN2P","asynch","impasse",11,0
"ALN2P","asynch","impasse",12,0
"ALN2P","asynch","impasse",13,0
"TD0NU","asynch","control",1,0
"TD0NU","asynch","control",2,0
"TD0NU","asynch","control",3,0
"TD0NU","asynch","control",4,0
"TD0NU","asynch","control",5,0
"TD0NU","asynch","control",6,0
"TD0NU","asynch","control",7,0
"TD0NU","asynch","control",8,0
"TD0NU","asynch","control",9,0
"TD0NU","asynch","control",10,0
"TD0NU","asynch","control",11,0
"TD0NU","asynch","control",12,0
"TD0NU","asynch","control",13,0
"Q7A44","asynch","impasse",1,1
"Q7A44","asynch","impasse",2,2
"Q7A44","asynch","impasse",3,3
"Q7A44","asynch","impasse",4,4
"Q7A44","asynch","impasse",5,5
"Q7A44","asynch","impasse",6,6
"Q7A44","asynch","impasse",7,7
"Q7A44","asynch","impasse",8,8
"Q7A44","asynch","impasse",9,9
"Q7A44","asynch","impasse",10,10
"Q7A44","asynch","impasse",11,11
"Q7A44","asynch","impasse",12,12
"Q7A44","asynch","impasse",13,13
"5TMTW","asynch","impasse",1,0
"5TMTW","asynch","impasse",2,0
"5TMTW","asynch","impasse",3,0
"5TMTW","asynch","impasse",4,0
"5TMTW","asynch","impasse",5,0
"5TMTW","asynch","impasse",6,0
"5TMTW","asynch","impasse",7,0
"5TMTW","asynch","impasse",8,0
"5TMTW","asynch","impasse",9,0
"5TMTW","asynch","impasse",10,0
"5TMTW","asynch","impasse",11,0
"5TMTW","asynch","impasse",12,0
"5TMTW","asynch","impasse",13,0
"QOR74","asynch","impasse",1,0
"QOR74","asynch","impasse",2,0
"QOR74","asynch","impasse",3,0
"QOR74","asynch","impasse",4,1
"QOR74","asynch","impasse",5,1
"QOR74","asynch","impasse",6,1
"QOR74","asynch","impasse",7,1
"QOR74","asynch","impasse",8,1
"QOR74","asynch","impasse",9,1
"QOR74","asynch","impasse",10,1
"QOR74","asynch","impasse",11,1
"QOR74","asynch","impasse",12,1
"QOR74","asynch","impasse",13,1
"431GR","asynch","control",1,1
"431GR","asynch","control",2,2
"431GR","asynch","control",3,2
"431GR","asynch","control",4,3
"431GR","asynch","control",5,4
"431GR","asynch","control",6,5
"431GR","asynch","control",7,5
"431GR","asynch","control",8,6
"431GR","asynch","control",9,7
"431GR","asynch","control",10,8
"431GR","asynch","control",11,9
"431GR","asynch","control",12,10
"431GR","asynch","control",13,11
"HUNJ8","asynch","impasse",1,0
"HUNJ8","asynch","impasse",2,0
"HUNJ8","asynch","impasse",3,0
"HUNJ8","asynch","impasse",4,0
"HUNJ8","asynch","impasse",5,0
"HUNJ8","asynch","impasse",6,0
"HUNJ8","asynch","impasse",7,0
"HUNJ8","asynch","impasse",8,0
"HUNJ8","asynch","impasse",9,0
"HUNJ8","asynch","impasse",10,0
"HUNJ8","asynch","impasse",11,0
"HUNJ8","asynch","impasse",12,0
"HUNJ8","asynch","impasse",13,0
"SGTQJ","asynch","control",1,0
"SGTQJ","asynch","control",2,0
"SGTQJ","asynch","control",3,0
"SGTQJ","asynch","control",4,0
"SGTQJ","asynch","control",5,0
"SGTQJ","asynch","control",6,0
"SGTQJ","asynch","control",7,0
"SGTQJ","asynch","control",8,0
"SGTQJ","asynch","control",9,0
"SGTQJ","asynch","control",10,0
"SGTQJ","asynch","control",11,0
"SGTQJ","asynch","control",12,0
"SGTQJ","asynch","control",13,0
"QVWU9","asynch","impasse",1,0
"QVWU9","asynch","impasse",2,0
"QVWU9","asynch","impasse",3,0
"QVWU9","asynch","impasse",4,0
"QVWU9","asynch","impasse",5,1
"QVWU9","asynch","impasse",6,1
"QVWU9","asynch","impasse",7,1
"QVWU9","asynch","impasse",8,1
"QVWU9","asynch","impasse",9,1
"QVWU9","asynch","impasse",10,1
"QVWU9","asynch","impasse",11,1
"QVWU9","asynch","impasse",12,1
"QVWU9","asynch","impasse",13,1
"YAZM5","asynch","impasse",1,0
"YAZM5","asynch","impasse",2,1
"YAZM5","asynch","impasse",3,2
"YAZM5","asynch","impasse",4,3
"YAZM5","asynch","impasse",5,4
"YAZM5","asynch","impasse",6,5
"YAZM5","asynch","impasse",7,5
"YAZM5","asynch","impasse",8,6
"YAZM5","asynch","impasse",9,7
"YAZM5","asynch","impasse",10,8
"YAZM5","asynch","impasse",11,9
"YAZM5","asynch","impasse",12,10
"YAZM5","asynch","impasse",13,11
"ZL796","asynch","control",1,0
"ZL796","asynch","control",2,0
"ZL796","asynch","control",3,0
"ZL796","asynch","control",4,0
"ZL796","asynch","control",5,0
"ZL796","asynch","control",6,0
"ZL796","asynch","control",7,0
"ZL796","asynch","control",8,0
"ZL796","asynch","control",9,0
"ZL796","asynch","control",10,0
"ZL796","asynch","control",11,0
"ZL796","asynch","control",12,0
"ZL796","asynch","control",13,0
"P83KE","asynch","impasse",1,0
"P83KE","asynch","impasse",2,0
"P83KE","asynch","impasse",3,0
"P83KE","asynch","impasse",4,0
"P83KE","asynch","impasse",5,0
"P83KE","asynch","impasse",6,0
"P83KE","asynch","impasse",7,0
"P83KE","asynch","impasse",8,0
"P83KE","asynch","impasse",9,0
"P83KE","asynch","impasse",10,0
"P83KE","asynch","impasse",11,0
"P83KE","asynch","impasse",12,0
"P83KE","asynch","impasse",13,0
"57KJC","asynch","impasse",1,0
"57KJC","asynch","impasse",2,1
"57KJC","asynch","impasse",3,2
"57KJC","asynch","impasse",4,3
"57KJC","asynch","impasse",5,4
"57KJC","asynch","impasse",6,5
"57KJC","asynch","impasse",7,6
"57KJC","asynch","impasse",8,7
"57KJC","asynch","impasse",9,8
"57KJC","asynch","impasse",10,9
"57KJC","asynch","impasse",11,10
"57KJC","asynch","impasse",12,11
"57KJC","asynch","impasse",13,12
"8DL90","asynch","impasse",1,1
"8DL90","asynch","impasse",2,2
"8DL90","asynch","impasse",3,3
"8DL90","asynch","impasse",4,3
"8DL90","asynch","impasse",5,4
"8DL90","asynch","impasse",6,5
"8DL90","asynch","impasse",7,5
"8DL90","asynch","impasse",8,5
"8DL90","asynch","impasse",9,5
"8DL90","asynch","impasse",10,5
"8DL90","asynch","impasse",11,5
"8DL90","asynch","impasse",12,6
"8DL90","asynch","impasse",13,7
"YK2A6","asynch","control",1,0
"YK2A6","asynch","control",2,0
"YK2A6","asynch","control",3,0
"YK2A6","asynch","control",4,0
"YK2A6","asynch","control",5,0
"YK2A6","asynch","control",6,0
"YK2A6","asynch","control",7,0
"YK2A6","asynch","control",8,0
"YK2A6","asynch","control",9,0
"YK2A6","asynch","control",10,0
"YK2A6","asynch","control",11,0
"YK2A6","asynch","control",12,0
"YK2A6","asynch","control",13,0
"LS93R","asynch","impasse",1,0
