"subject","mode","pretty_condition","question","score"
"3QO3J","lab-synch","control",1,1
"3QO3J","lab-synch","control",2,0
"3QO3J","lab-synch","control",3,-0.5
"3QO3J","lab-synch","control",4,0
"3QO3J","lab-synch","control",5,-0.5
"3QO3J","lab-synch","control",6,-1.5
"3QO3J","lab-synch","control",7,-2
"3QO3J","lab-synch","control",8,-2.5
"3QO3J","lab-synch","control",9,-3.5
"3QO3J","lab-synch","control",10,-4.5
"3QO3J","lab-synch","control",11,-5
"3QO3J","lab-synch","control",12,-5.5
"3QO3J","lab-synch","control",13,-4.5
"M675E","lab-synch","impasse",1,0
"M675E","lab-synch","impasse",2,1
"M675E","lab-synch","impasse",3,2
"M675E","lab-synch","impasse",4,3
"M675E","lab-synch","impasse",5,4
"M675E","lab-synch","impasse",6,5
"M675E","lab-synch","impasse",7,6
"M675E","lab-synch","impasse",8,7
"M675E","lab-synch","impasse",9,8
"M675E","lab-synch","impasse",10,9
"M675E","lab-synch","impasse",11,10
"M675E","lab-synch","impasse",12,11
"M675E","lab-synch","impasse",13,12
"R8PM2","lab-synch","control",1,-1
"R8PM2","lab-synch","control",2,-2
"R8PM2","lab-synch","control",3,-3
"R8PM2","lab-synch","control",4,-4
"R8PM2","lab-synch","control",5,-4.5
"R8PM2","lab-synch","control",6,-5.5
"R8PM2","lab-synch","control",7,-6.5
"R8PM2","lab-synch","control",8,-7.5
"R8PM2","lab-synch","control",9,-8.5
"R8PM2","lab-synch","control",10,-9.5
"R8PM2","lab-synch","control",11,-10.5
"R8PM2","lab-synch","control",12,-11.5
"R8PM2","lab-synch","control",13,-12.5
"JFFAY","lab-synch","control",1,-1
"JFFAY","lab-synch","control",2,-1
"JFFAY","lab-synch","control",3,-2
"JFFAY","lab-synch","control",4,-3
"JFFAY","lab-synch","control",5,-4
"JFFAY","lab-synch","control",6,-5
"JFFAY","lab-synch","control",7,-6
"JFFAY","lab-synch","control",8,-7
"JFFAY","lab-synch","control",9,-8
"JFFAY","lab-synch","control",10,-9
"JFFAY","lab-synch","control",11,-10
"JFFAY","lab-synch","control",12,-11
"JFFAY","lab-synch","control",13,-12
"HKSU4","lab-synch","impasse",1,1
"HKSU4","lab-synch","impasse",2,1.5
"HKSU4","lab-synch","impasse",3,1.5
"HKSU4","lab-synch","impasse",4,1
"HKSU4","lab-synch","impasse",5,0
"HKSU4","lab-synch","impasse",6,1
"HKSU4","lab-synch","impasse",7,0
"HKSU4","lab-synch","impasse",8,-0.5
"HKSU4","lab-synch","impasse",9,0.5
"HKSU4","lab-synch","impasse",10,-0.5
"HKSU4","lab-synch","impasse",11,-1.5
"HKSU4","lab-synch","impasse",12,-2
"HKSU4","lab-synch","impasse",13,-3
"FUV6R","lab-synch","impasse",1,-1
"FUV6R","lab-synch","impasse",2,-0.5
"FUV6R","lab-synch","impasse",3,0.5
"FUV6R","lab-synch","impasse",4,1.5
"FUV6R","lab-synch","impasse",5,2.5
"FUV6R","lab-synch","impasse",6,1.5
"FUV6R","lab-synch","impasse",7,0.5
"FUV6R","lab-synch","impasse",8,1.5
"FUV6R","lab-synch","impasse",9,2.5
"FUV6R","lab-synch","impasse",10,3.5
"FUV6R","lab-synch","impasse",11,4.5
"FUV6R","lab-synch","impasse",12,5.5
"FUV6R","lab-synch","impasse",13,6.5
"4GSTQ","lab-synch","control",1,-1
"4GSTQ","lab-synch","control",2,-2
"4GSTQ","lab-synch","control",3,-3
"4GSTQ","lab-synch","control",4,-4
"4GSTQ","lab-synch","control",5,-5
"4GSTQ","lab-synch","control",6,-6
"4GSTQ","lab-synch","control",7,-7
"4GSTQ","lab-synch","control",8,-8
"4GSTQ","lab-synch","control",9,-9
"4GSTQ","lab-synch","control",10,-10
"4GSTQ","lab-synch","control",11,-11
"4GSTQ","lab-synch","control",12,-12
"4GSTQ","lab-synch","control",13,-13
"EN7PB","lab-synch","control",1,-1
"EN7PB","lab-synch","control",2,-2
"EN7PB","lab-synch","control",3,-2.5
"EN7PB","lab-synch","control",4,-3
"EN7PB","lab-synch","control",5,-3
"EN7PB","lab-synch","control",6,-4
"EN7PB","lab-synch","control",7,-4
"EN7PB","lab-synch","control",8,-5
"EN7PB","lab-synch","control",9,-6
"EN7PB","lab-synch","control",10,-7
"EN7PB","lab-synch","control",11,-8
"EN7PB","lab-synch","control",12,-9
"EN7PB","lab-synch","control",13,-10
"KBQPW","lab-synch","impasse",1,0
"KBQPW","lab-synch","impasse",2,-0.5
"KBQPW","lab-synch","impasse",3,-1
"KBQPW","lab-synch","impasse",4,-1.5
"KBQPW","lab-synch","impasse",5,-0.5
"KBQPW","lab-synch","impasse",6,-1.5
"KBQPW","lab-synch","impasse",7,-2.5
"KBQPW","lab-synch","impasse",8,-3.5
"KBQPW","lab-synch","impasse",9,-4.5
"KBQPW","lab-synch","impasse",10,-5.5
"KBQPW","lab-synch","impasse",11,-6.5
"KBQPW","lab-synch","impasse",12,-7.5
"KBQPW","lab-synch","impasse",13,-8.5
"YGEAY","lab-synch","control",1,-1
"YGEAY","lab-synch","control",2,-2
"YGEAY","lab-synch","control",3,-2.5
"YGEAY","lab-synch","control",4,-3.5
"YGEAY","lab-synch","control",5,-4.5
"YGEAY","lab-synch","control",6,-5.5
"YGEAY","lab-synch","control",7,-6.5
"YGEAY","lab-synch","control",8,-7.5
"YGEAY","lab-synch","control",9,-8.5
"YGEAY","lab-synch","control",10,-9.5
"YGEAY","lab-synch","control",11,-8.5
"YGEAY","lab-synch","control",12,-9.5
"YGEAY","lab-synch","control",13,-10.5
"LJTDL","lab-synch","impasse",1,1
"LJTDL","lab-synch","impasse",2,2
"LJTDL","lab-synch","impasse",3,3
"LJTDL","lab-synch","impasse",4,4
"LJTDL","lab-synch","impasse",5,5
"LJTDL","lab-synch","impasse",6,6
"LJTDL","lab-synch","impasse",7,7
"LJTDL","lab-synch","impasse",8,8
"LJTDL","lab-synch","impasse",9,9
"LJTDL","lab-synch","impasse",10,10
"LJTDL","lab-synch","impasse",11,11
"LJTDL","lab-synch","impasse",12,12
"LJTDL","lab-synch","impasse",13,13
"OTVZR","lab-synch","impasse",1,0
"OTVZR","lab-synch","impasse",2,0.5
"OTVZR","lab-synch","impasse",3,-0.5
"OTVZR","lab-synch","impasse",4,0.5
"OTVZR","lab-synch","impasse",5,1.5
"OTVZR","lab-synch","impasse",6,0.5
"OTVZR","lab-synch","impasse",7,1.5
"OTVZR","lab-synch","impasse",8,2.5
"OTVZR","lab-synch","impasse",9,3.5
