"subject","mode","pretty_condition","question","score"
"1SY41","asynch","impasse",1,1
"1SY41","asynch","impasse",2,2
"1SY41","asynch","impasse",3,3
"1SY41","asynch","impasse",4,4
"1SY41","asynch","impasse",5,5
"1SY41","asynch","impasse",6,6
"1SY41","asynch","impasse",7,7
"1SY41","asynch","impasse",8,8
"1SY41","asynch","impasse",9,9
"1SY41","asynch","impasse",10,10
"1SY41","asynch","impasse",11,11
"1SY41","asynch","impasse",12,12
"1SY41","asynch","impasse",13,13
"LNVKO","asynch","control",1,1
"LNVKO","asynch","control",2,2
"LNVKO","asynch","control",3,3
"LNVKO","asynch","control",4,4
"LNVKO","asynch","control",5,5
"LNVKO","asynch","control",6,6
"LNVKO","asynch","control",7,7
"LNVKO","asynch","control",8,8
"LNVKO","asynch","control",9,9
"LNVKO","asynch","control",10,10
"LNVKO","asynch","control",11,11
"LNVKO","asynch","control",12,12
"LNVKO","asynch","control",13,13
"OUCFL","asynch","impasse",1,0.5
"OUCFL","asynch","impasse",2,1
"OUCFL","asynch","impasse",3,0.5
"OUCFL","asynch","impasse",4,1.5
"OUCFL","asynch","impasse",5,2
"OUCFL","asynch","impasse",6,3
"OUCFL","asynch","impasse",7,2.5
"OUCFL","asynch","impasse",8,3
"OUCFL","asynch","impasse",9,4
"OUCFL","asynch","impasse",10,5
"OUCFL","asynch","impasse",11,4.5
"OUCFL","asynch","impasse",12,5.5
"OUCFL","asynch","impasse",13,4.5
"KT7ZF","asynch","impasse",1,-1
"KT7ZF","asynch","impasse",2,-2
"KT7ZF","asynch","impasse",3,-2.5
"KT7ZF","asynch","impasse",4,-3
"KT7ZF","asynch","impasse",5,-2.5
"KT7ZF","asynch","impasse",6,-3.5
"KT7ZF","asynch","impasse",7,-4.5
"KT7ZF","asynch","impasse",8,-4
"KT7ZF","asynch","impasse",9,-3
"KT7ZF","asynch","impasse",10,-4
"KT7ZF","asynch","impasse",11,-5
"KT7ZF","asynch","impasse",12,-6
"KT7ZF","asynch","impasse",13,-5.5
"WWMDF","asynch","control",1,-1
"WWMDF","asynch","control",2,-2
"WWMDF","asynch","control",3,-3
"WWMDF","asynch","control",4,-4
"WWMDF","asynch","control",5,-5
"WWMDF","asynch","control",6,-6
"WWMDF","asynch","control",7,-7
"WWMDF","asynch","control",8,-8
"WWMDF","asynch","control",9,-9
"WWMDF","asynch","control",10,-10
"WWMDF","asynch","control",11,-11
"WWMDF","asynch","control",12,-12
"WWMDF","asynch","control",13,-13
"ACEXT","asynch","impasse",1,-0.5
"ACEXT","asynch","impasse",2,-1
"ACEXT","asynch","impasse",3,-1
"ACEXT","asynch","impasse",4,-1.5
"ACEXT","asynch","impasse",5,-2
"ACEXT","asynch","impasse",6,-2.5
"ACEXT","asynch","impasse",7,-1.5
"ACEXT","asynch","impasse",8,-2
"ACEXT","asynch","impasse",9,-2.5
"ACEXT","asynch","impasse",10,-3
"ACEXT","asynch","impasse",11,-3.5
"ACEXT","asynch","impasse",12,-3.5
"ACEXT","asynch","impasse",13,-3
"ALN2P","asynch","impasse",1,0
"ALN2P","asynch","impasse",2,0
"ALN2P","asynch","impasse",3,0
"ALN2P","asynch","impasse",4,0
"ALN2P","asynch","impasse",5,0
"ALN2P","asynch","impasse",6,-1
"ALN2P","asynch","impasse",7,-2
"ALN2P","asynch","impasse",8,-3
"ALN2P","asynch","impasse",9,-4
"ALN2P","asynch","impasse",10,-5
"ALN2P","asynch","impasse",11,-6
"ALN2P","asynch","impasse",12,-6
"ALN2P","asynch","impasse",13,-6
"TD0NU","asynch","control",1,-1
"TD0NU","asynch","control",2,-2
"TD0NU","asynch","control",3,-3
"TD0NU","asynch","control",4,-4
"TD0NU","asynch","control",5,-4.5
"TD0NU","asynch","control",6,-5.5
"TD0NU","asynch","control",7,-6.5
"TD0NU","asynch","control",8,-7.5
"TD0NU","asynch","control",9,-8.5
"TD0NU","asynch","control",10,-9.5
"TD0NU","asynch","control",11,-10.5
"TD0NU","asynch","control",12,-11.5
"TD0NU","asynch","control",13,-12.5
"Q7A44","asynch","impasse",1,1
"Q7A44","asynch","impasse",2,2
"Q7A44","asynch","impasse",3,3
"Q7A44","asynch","impasse",4,4
"Q7A44","asynch","impasse",5,5
"Q7A44","asynch","impasse",6,6
"Q7A44","asynch","impasse",7,7
"Q7A44","asynch","impasse",8,8
"Q7A44","asynch","impasse",9,9
"Q7A44","asynch","impasse",10,10
"Q7A44","asynch","impasse",11,11
"Q7A44","asynch","impasse",12,12
"Q7A44","asynch","impasse",13,13
"5TMTW","asynch","impasse",1,-1
"5TMTW","asynch","impasse",2,-2
"5TMTW","asynch","impasse",3,-3
"5TMTW","asynch","impasse",4,-4
"5TMTW","asynch","impasse",5,-4
"5TMTW","asynch","impasse",6,-5
"5TMTW","asynch","impasse",7,-6
"5TMTW","asynch","impasse",8,-7
"5TMTW","asynch","impasse",9,-8
"5TMTW","asynch","impasse",10,-9
"5TMTW","asynch","impasse",11,-10
"5TMTW","asynch","impasse",12,-11
"5TMTW","asynch","impasse",13,-12
"QOR74","asynch","impasse",1,-1
"QOR74","asynch","impasse",2,-0.5
"QOR74","asynch","impasse",3,-0.5
"QOR74","asynch","impasse",4,0.5
"QOR74","asynch","impasse",5,-0.5
"QOR74","asynch","impasse",6,-1.5
"QOR74","asynch","impasse",7,-2.5
"QOR74","asynch","impasse",8,-2
"QOR74","asynch","impasse",9,-3
"QOR74","asynch","impasse",10,-4
"QOR74","asynch","impasse",11,-4.5
"QOR74","asynch","impasse",12,-5.5
"QOR74","asynch","impasse",13,-6.5
"431GR","asynch","control",1,1
"431GR","asynch","control",2,2
"431GR","asynch","control",3,1.5
"431GR","asynch","control",4,2.5
"431GR","asynch","control",5,3.5
"431GR","asynch","control",6,4.5
"431GR","asynch","control",7,5
"431GR","asynch","control",8,6
"431GR","asynch","control",9,7
"431GR","asynch","control",10,8
"431GR","asynch","control",11,9
"431GR","asynch","control",12,10
"431GR","asynch","control",13,11
"HUNJ8","asynch","impasse",1,0
"HUNJ8","asynch","impasse",2,0
"HUNJ8","asynch","impasse",3,0
"HUNJ8","asynch","impasse",4,0
"HUNJ8","asynch","impasse",5,0
"HUNJ8","asynch","impasse",6,-1
"HUNJ8","asynch","impasse",7,-2
"HUNJ8","asynch","impasse",8,-3
"HUNJ8","asynch","impasse",9,-4
"HUNJ8","asynch","impasse",10,-5
"HUNJ8","asynch","impasse",11,-6
"HUNJ8","asynch","impasse",12,-7
"HUNJ8","asynch","impasse",13,-8
"SGTQJ","asynch","control",1,-1
"SGTQJ","asynch","control",2,-2
"SGTQJ","asynch","control",3,-3
"SGTQJ","asynch","control",4,-4
"SGTQJ","asynch","control",5,-5
"SGTQJ","asynch","control",6,-6
"SGTQJ","asynch","control",7,-7
"SGTQJ","asynch","control",8,-8
"SGTQJ","asynch","control",9,-9
"SGTQJ","asynch","control",10,-10
"SGTQJ","asynch","control",11,-11
"SGTQJ","asynch","control",12,-12
"SGTQJ","asynch","control",13,-13
"QVWU9","asynch","impasse",1,-1
"QVWU9","asynch","impasse",2,-2
"QVWU9","asynch","impasse",3,-2.5
"QVWU9","asynch","impasse",4,-3
"QVWU9","asynch","impasse",5,-2
"QVWU9","asynch","impasse",6,-2
"QVWU9","asynch","impasse",7,-2.5
"QVWU9","asynch","impasse",8,-2
"QVWU9","asynch","impasse",9,-3
"QVWU9","asynch","impasse",10,-4
"QVWU9","asynch","impasse",11,-4.5
"QVWU9","asynch","impasse",12,-4.5
"QVWU9","asynch","impasse",13,-5
"YAZM5","asynch","impasse",1,0
"YAZM5","asynch","impasse",2,1
"YAZM5","asynch","impasse",3,2
"YAZM5","asynch","impasse",4,3
"YAZM5","asynch","impasse",5,4
"YAZM5","asynch","impasse",6,5
"YAZM5","asynch","impasse",7,5.5
"YAZM5","asynch","impasse",8,6.5
"YAZM5","asynch","impasse",9,7.5
"YAZM5","asynch","impasse",10,8.5
"YAZM5","asynch","impasse",11,9.5
"YAZM5","asynch","impasse",12,10.5
"YAZM5","asynch","impasse",13,11.5
"ZL796","asynch","control",1,-1
"ZL796","asynch","control",2,-2
"ZL796","asynch","control",3,-3
"ZL796","asynch","control",4,-4
"ZL796","asynch","control",5,-4.5
"ZL796","asynch","control",6,-5.5
"ZL796","asynch","control",7,-6.5
"ZL796","asynch","control",8,-7.5
"ZL796","asynch","control",9,-8.5
"ZL796","asynch","control",10,-9.5
"ZL796","asynch","control",11,-10.5
"ZL796","asynch","control",12,-11.5
"ZL796","asynch","control",13,-12.5
"P83KE","asynch","impasse",1,0
"P83KE","asynch","impasse",2,0
"P83KE","asynch","impasse",3,0
"P83KE","asynch","impasse",4,0
"P83KE","asynch","impasse",5,0
"P83KE","asynch","impasse",6,-1
"P83KE","asynch","impasse",7,-2
"P83KE","asynch","impasse",8,-2
"P83KE","asynch","impasse",9,-3
"P83KE","asynch","impasse",10,-4
"P83KE","asynch","impasse",11,-5
"P83KE","asynch","impasse",12,-6
"P83KE","asynch","impasse",13,-7
"57KJC","asynch","impasse",1,0.5
"57KJC","asynch","impasse",2,1.5
"57KJC","asynch","impasse",3,2.5
"57KJC","asynch","impasse",4,3.5
"57KJC","asynch","impasse",5,4.5
"57KJC","asynch","impasse",6,5.5
"57KJC","asynch","impasse",7,6.5
"57KJC","asynch","impasse",8,7.5
"57KJC","asynch","impasse",9,8.5
"57KJC","asynch","impasse",10,9.5
"57KJC","asynch","impasse",11,10.5
"57KJC","asynch","impasse",12,11.5
"57KJC","asynch","impasse",13,12.5
"8DL90","asynch","impasse",1,1
"8DL90","asynch","impasse",2,2
"8DL90","asynch","impasse",3,3
"8DL90","asynch","impasse",4,3.5
"8DL90","asynch","impasse",5,4.5
"8DL90","asynch","impasse",6,5.5
"8DL90","asynch","impasse",7,5
"8DL90","asynch","impasse",8,4.5
"8DL90","asynch","impasse",9,4
"8DL90","asynch","impasse",10,3.5
