"subject","mode","pretty_condition","question","score"
"JCKEW","asynch","control",1,-1
"JCKEW","asynch","control",2,-2
"JCKEW","asynch","control",3,-3
"JCKEW","asynch","control",4,-4
"JCKEW","asynch","control",5,-5
"JCKEW","asynch","control",6,-6
"JCKEW","asynch","control",7,-7
"JCKEW","asynch","control",8,-8
"JCKEW","asynch","control",9,-9
"JCKEW","asynch","control",10,-10
"JCKEW","asynch","control",11,-11
"JCKEW","asynch","control",12,-12
"JCKEW","asynch","control",13,-13
"NBR5N","asynch","impasse",1,1
"NBR5N","asynch","impasse",2,2
"NBR5N","asynch","impasse",3,3
"NBR5N","asynch","impasse",4,4
"NBR5N","asynch","impasse",5,5
"NBR5N","asynch","impasse",6,6
"NBR5N","asynch","impasse",7,7
"NBR5N","asynch","impasse",8,8
"NBR5N","asynch","impasse",9,9
"NBR5N","asynch","impasse",10,10
"NBR5N","asynch","impasse",11,11
"NBR5N","asynch","impasse",12,12
"NBR5N","asynch","impasse",13,13
"FPSQJ","asynch","impasse",1,1
"FPSQJ","asynch","impasse",2,2
"FPSQJ","asynch","impasse",3,3
"FPSQJ","asynch","impasse",4,4
"FPSQJ","asynch","impasse",5,5
"FPSQJ","asynch","impasse",6,6
"FPSQJ","asynch","impasse",7,5.5
"FPSQJ","asynch","impasse",8,6.5
"FPSQJ","asynch","impasse",9,7.5
"FPSQJ","asynch","impasse",10,8.5
"FPSQJ","asynch","impasse",11,9.5
"FPSQJ","asynch","impasse",12,10.5
"FPSQJ","asynch","impasse",13,11.5
"S4T2X","asynch","impasse",1,-1
"S4T2X","asynch","impasse",2,-1
"S4T2X","asynch","impasse",3,-1.5
"S4T2X","asynch","impasse",4,-2.5
"S4T2X","asynch","impasse",5,-1.5
"S4T2X","asynch","impasse",6,-2.5
"S4T2X","asynch","impasse",7,-3.5
"S4T2X","asynch","impasse",8,-3
"S4T2X","asynch","impasse",9,-4
"S4T2X","asynch","impasse",10,-5
"S4T2X","asynch","impasse",11,-5.5
"S4T2X","asynch","impasse",12,-6.5
"S4T2X","asynch","impasse",13,-7.5
"86P6B","asynch","control",1,1
"86P6B","asynch","control",2,2
"86P6B","asynch","control",3,3
"86P6B","asynch","control",4,4
"86P6B","asynch","control",5,5
"86P6B","asynch","control",6,6
"86P6B","asynch","control",7,5.5
"86P6B","asynch","control",8,6.5
"86P6B","asynch","control",9,7.5
"86P6B","asynch","control",10,8.5
"86P6B","asynch","control",11,9.5
"86P6B","asynch","control",12,10.5
"86P6B","asynch","control",13,11.5
"WZFMC","asynch","control",1,-1
"WZFMC","asynch","control",2,-2
"WZFMC","asynch","control",3,-1.5
"WZFMC","asynch","control",4,-1.5
"WZFMC","asynch","control",5,-0.5
"WZFMC","asynch","control",6,-1.5
"WZFMC","asynch","control",7,-2
"WZFMC","asynch","control",8,-1.5
"WZFMC","asynch","control",9,-2.5
"WZFMC","asynch","control",10,-2
"WZFMC","asynch","control",11,-3
"WZFMC","asynch","control",12,-3
"WZFMC","asynch","control",13,-2
"E0F55","asynch","impasse",1,0
"E0F55","asynch","impasse",2,-1
"E0F55","asynch","impasse",3,-0.5
"E0F55","asynch","impasse",4,-1
"E0F55","asynch","impasse",5,-1
"E0F55","asynch","impasse",6,-2
"E0F55","asynch","impasse",7,-1
"E0F55","asynch","impasse",8,0
"E0F55","asynch","impasse",9,1
"E0F55","asynch","impasse",10,2
"E0F55","asynch","impasse",11,3
"E0F55","asynch","impasse",12,4
"E0F55","asynch","impasse",13,5
"NDBCA","asynch","impasse",1,1
"NDBCA","asynch","impasse",2,2
"NDBCA","asynch","impasse",3,3
"NDBCA","asynch","impasse",4,4
"NDBCA","asynch","impasse",5,3.5
"NDBCA","asynch","impasse",6,4.5
"NDBCA","asynch","impasse",7,4
"NDBCA","asynch","impasse",8,5
"NDBCA","asynch","impasse",9,6
"NDBCA","asynch","impasse",10,7
"NDBCA","asynch","impasse",11,8
"NDBCA","asynch","impasse",12,9
"NDBCA","asynch","impasse",13,10
"BDQEZ","asynch","impasse",1,1
"BDQEZ","asynch","impasse",2,2
"BDQEZ","asynch","impasse",3,3
"BDQEZ","asynch","impasse",4,4
"BDQEZ","asynch","impasse",5,5
"BDQEZ","asynch","impasse",6,4
"BDQEZ","asynch","impasse",7,5
