"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","pretty_condition","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_rt","item_test_NABS","item_test_rt"
"02DBM","121","fall21","asynch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",17.1542,"impasse",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,14.0414333333333,64.8066153846154,16.104,273.493,13,0,0,0,0,0,0,0,1,"Triangular",273.493,1,"Triangular",24.343,1,"Triangular",53.318,1,"Triangular",29.652,5,443.127,8,399.359
"04YXZ","111","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on most questions","4","1","2","I was being distracted by my environment unwillingly ","no",9.67681666666667,"control",-0.402846173434409,3.92483031674208,0.139463477698772,0,0,0,0,-6.5,6.24956666666667,28.8441538461538,5.564,61.336,1,5,1,0,6,1,6,0,0,"Orthogonal",38.809,0,"Triangular",61.336,0,"Orthogonal",34.787,0,"?",22.61,0,177.427,0,197.547
"05EWA","121","winter22","asynch","Female",20,"English","Third","united states","I tried my best on each question","5","2","2","i kept confusing myself after ithought i had the pattern down","",8.32365,"impasse",2.51957821590175,-0.400980392156863,4.95518207282913,-0.379120879120879,0,3,3,2,5.4824,25.3033846153846,5.089,56.565,3,1,4,0,5,4,4,1,1,"Triangular",42.008,0,"?",56.565,0,"Tversky",40.82,0,"?",40.822,2,122.831,1,206.113
"0EMZW","121","fall21","asynch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.06588333333333,"impasse",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,3.77121666666667,17.4056153846154,6.33,36.201,13,0,0,0,0,0,0,0,1,"Triangular",36.201,1,"Triangular",24.547,1,"Triangular",28.63,1,"Triangular",13.474,5,107.941,8,118.332
"0F1A8","111","fall21","asynch","Female",21,"Other","Fourth","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",13.58045,"control",-0.522594072594073,9.78974358974359,-0.664350355526826,0,0,0,0,-11,10.0521333333333,46.3944615384615,5.662,118.934,0,10,0,0,3,0,2,1,0,"Orthogonal",48.286,0,"?",118.934,0,"Orthogonal",15.187,0,"Orthogonal",64.121,0,316.085,0,287.043
"0LCME","121","fall21","asynch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.31845,"impasse",-0.263585434173669,8,-0.497899159663866,-0.0769230769230769,0,0,0,-8.5,7.40471666666667,34.1756153846154,6.458,136.179,0,8,0,0,5,0,1,4,0,"blank",30.34,0,"blank",45.126,0,"Orthogonal",32.994,0,"Orthogonal",45.994,0,126.559,0,317.724
"0YVPY","121","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9586833333333,"impasse",3.02434012066365,0.299019607843137,2.65816365007541,0.114468864468864,0,4,4,-1.5,5.82913333333333,26.9036923076923,2.148,111.597,4,1,0,1,7,0,7,0,1,"Triangular",54.865,1,"Triangular",77.392,0,"Orthogonal",36.243,0,"?",3.13,4,273.753,0,75.995
"0ZCT1","121","fall17","lab-synch","Male",19,"English","First","US","NULL","NULL","NULL","NULL","NULL","NULL",10.3987166666667,"impasse",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,5.50403333333333,25.4032307692308,8.502,81.393,13,0,0,0,0,0,0,0,1,"Triangular",81.393,1,"Triangular",27.721,1,"Triangular",32.398,1,"Triangular",14.277,5,181.417,8,148.825
"194UU","111","fall21","asynch","Male",21,"English","Other","United States of America\nUnited States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2448333333333,"control",-1.26475093533917,9.575,0.850072721396251,0,0,0,0,-11,15.4186666666667,71.1630769230769,10.481,367.447,0,11,1,0,1,1,1,0,0,"Orthogonal",26.91,0,"Orthogonal",76.571,0,"Orthogonal",17.512,0,"Orthogonal",80.269,0,555.016,0,370.104
"19SNU","111","winter22","asynch","Female",21,"X-Other","Fourth","USA","I tried my best on most questions","3","2","3","whether or not I got the questions right to know if I'm on the right track","undiagnosed attention disorder",9.4534,"control",-0.455927405927406,11.4333333333333,-0.0874272786037492,0,0,0,0,-11.5,6.56165,30.2845384615385,8.705,64.707,0,11,0,0,2,0,1,1,0,"Orthogonal",17.75,0,"Orthogonal",64.707,0,"Orthogonal",14.228,0,"Orthogonal",37.317,0,159.725,0,233.974
