"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"0ZCT1","121","fall17","lab-synch","Male",19,"English","First","US","NULL","NULL","NULL","NULL","NULL","NULL",10.3987166666667,"NULL","NULL","NULL","NULL","impasse","laboratory",13,-0.213585434173669,7.50641025641026,0.697802197802198,0,13,13,13,1,5.50403333333333,25.4032307692308,8.502,81.393,13,0,0,0,0,0,0,0,1,1,"Triangular",81.393,1,1,"Triangular",27.721,1,"Triangular",32.398,1,"Triangular",14.277,5,5,3.02361666666667,8,8,2.48041666666667
"1FO1D","121","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",18.50985,"NULL","NULL","NULL","NULL","impasse","laboratory",4.55416666666667,1.97331932773109,3.47916666666667,-0.0769230769230769,0,5,5,2,0.384615384615385,6.91235,31.9031538461538,7.804,72.965,5,2,0,0,6,0,2,4,0,0,"blank",46.119,0,0,"blank",72.965,0,"Orthogonal",23.913,1,"Triangular",24.291,1,1,4.40163333333333,4,1,2.51071666666667
"1THJX","121","fall17","lab-synch","Male",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.3307,"NULL","NULL","NULL","NULL","impasse","laboratory",0.273960353372118,8,-1.04368670545141,3.58333333333333,0,0,0,-12,0,7.45835,34.4231538461538,8.633,138.494,0,8,0,4,1,0,0,1,0,0,"blank",138.494,0,-1,"Satisfice",73.627,0,"Orthogonal",13.901,0,"Orthogonal",21.266,0,-4,4.69563333333333,0,-8,2.76271666666667
"1ZY3L","111","spring18","lab-synch","Male",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",10.4007333333333,"NULL","NULL","NULL","NULL","control","laboratory",12.8017533936652,1.95949148890325,7.95399698340875,0,0,10,10,11.5,0.769230769230769,5.88351666666667,27.1546923076923,5.731,77.015,10,0,0,0,3,3,0,0,0,0.5,"both tri + orth",60.225,1,1,"Triangular",77.015,1,"Triangular",23.992,1,"Triangular",27.436,4,4.5,3.17326666666667,6,7,2.71025
"2BBZ9","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.39085,"NULL","NULL","NULL","NULL","control","laboratory",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,9.53566666666667,44.0107692307692,12.437,156.974,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",23.208,0,-1,"Orthogonal",156.974,0,"Orthogonal",20.594,0,"Orthogonal",26.737,0,-5,5.95416666666667,0,-8,3.5815
"2JRT6","111","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",23.8553666666667,"NULL","NULL","NULL","NULL","control","laboratory",8.50115815556992,-1.18385585003232,5.81113984055161,0,0,4,4,2,0.307692307692308,16.26485,75.0685384615385,11.51,223.726,4,1,3,0,5,3,5,0,0,-1,"Orthogonal",37.902,1,1,"Triangular",29.908,1,"Triangular",68.712,1,"Triangular",13.077,2,1,5.41825,2,1,10.8466
"38NFJ","121","spring18","lab-synch","Female",20,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",9.21,"NULL","NULL","NULL","NULL","impasse","laboratory",9.55998168498168,0.919747899159664,4.15064102564103,0.538461538461539,0,8,8,7.5,0.615384615384615,4.18416666666667,19.3115384615385,5.541,52.954,8,1,2,0,2,2,1,1,0,0,"blank",20.033,1,1,"Triangular",21.978,0,"Orthogonal",34.02,1,"Triangular",11.723,1,1.5,2.22125,7,6,1.96291666666667
"39GMD","121","spring18","lab-synch","Female",25,"Other","Fifth","the Philippines","NULL","NULL","NULL","NULL","NULL","NULL",12.1174333333333,"NULL","NULL","NULL","NULL","impasse","laboratory",-0.586616569704805,6.36666666666667,-0.241273432449903,3.42307692307692,0,0,0,-10.5,0,7.34795,33.9136153846154,8.535,66.151,0,6,1,4,2,1,2,0,0,-1,"Satisfice",51.939,0,0.5,"Tversky",60.599,0,"Orthogonal",21.557,0,"?",10.408,0,-3.5,4.07538333333333,0,-7,3.27256666666667
"3B1TL","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.5042666666667,"NULL","NULL","NULL","NULL","control","laboratory",13,-0.540508511096746,8.08974358974359,0,0,12,13,13,1,12.6517666666667,58.3927692307692,9.469,183.944,13,0,0,0,0,0,0,0,1,1,"Triangular",69.242,1,1,"Triangular",145.979,1,"Triangular",47.132,1,"Triangular",29.539,5,5,8.86508333333333,8,8,3.78668333333333
"3OTEP","121","fall17","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.8743833333333,"NULL","NULL","NULL","NULL","impasse","laboratory",13,-0.213585434173669,7.50641025641026,0.697802197802198,0,13,13,13,1,5.67395,26.1874615384615,4.371,70.592,13,0,0,0,0,0,0,0,1,1,"Triangular",24.737,1,1,"Triangular",70.592,1,"Triangular",70.219,1,"Triangular",18.961,5,5,2.97506666666667,8,8,2.69888333333333
