"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"04YXZ","111","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on most questions","4","1","2","I was being distracted by my environment unwillingly ","no",9.67681666666667,"1","chrome","1189","735","control","online-replication",-0.402846173434409,3.92006841198018,0.139463477698772,0,0,0,0,-7,0,6.24956666666667,28.8441538461538,5.564,61.336,0,5,2,0,6,2,6,0,0,-1,"Orthogonal",38.809,0,0.5,"Tversky",61.336,0,"Orthogonal",34.787,0,"?",22.61,0,-1.5,2.95711666666667,0,-5.5,3.29245
"05EWA","121","winter22","asynch","Female",20,"English","Third","united states","I tried my best on each question","5","2","2","i kept confusing myself after ithought i had the pattern down","",8.32365,"1","chrome","1440","789","impasse","online-replication",2.51957821590175,-0.405742296918768,4.95518207282913,-0.379120879120879,0,3,3,2,0.230769230769231,5.4824,25.3033846153846,5.089,56.565,3,1,4,0,5,4,4,1,1,1,"Triangular",42.008,0,-0.5,"?",56.565,0,"Tversky",40.82,0,"?",40.822,2,2,2.04718333333333,1,0,3.43521666666667
"194UU","111","fall21","asynch","Male",21,"English","Other","United States of America\nUnited States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2448333333333,"NULL","NULL","NULL","NULL","control","online-replication",-1.26475093533917,9.575,0.850072721396251,0,0,0,0,-11,0,15.4186666666667,71.1630769230769,10.481,367.447,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",26.91,0,-1,"Orthogonal",76.571,0,"Orthogonal",17.512,0,"Orthogonal",80.269,0,-3.5,9.25026666666667,0,-7.5,6.1684
"19SNU","111","winter22","asynch","Female",21,"X-Other","Fourth","USA","I tried my best on most questions","3","2","3","whether or not I got the questions right to know if I'm on the right track","undiagnosed attention disorder",9.4534,"1","chrome","1826","910","control","online-replication",-0.455927405927406,11.4333333333333,-0.0874272786037492,0,0,0,0,-11.5,0,6.56165,30.2845384615385,8.705,64.707,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",17.75,0,-1,"Orthogonal",64.707,0,"Orthogonal",14.228,0,"Orthogonal",37.317,0,-5,2.66208333333333,0,-6.5,3.89956666666667
"1HLEP","121","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","2","3","","",44.3193,"3","chrome","1500","857","impasse","online-replication",-0.558260611937083,6.29831932773109,-0.146250808015514,-0.302197802197802,1,0,0,-8.5,0,20.69575,95.5188461538462,5.442,305.939,0,7,1,0,5,1,4,1,0,-0.5,"?",305.939,0,0.5,"Tversky",252.681,0,"Orthogonal",22.266,0,"Orthogonal",65.201,0,-1,15.3905166666667,0,-7.5,5.30523333333333
"23WXV","121","winter22","asynch","Female",23,"Spanish","Fifth","United States","I tried my best on most questions","1","4","3","Not applicable. ","Not applicable.",20.2262833333333,"1","chrome","1368","808","impasse","online-replication",11.9333333333333,-0.226190476190476,6.50641025641026,0.697802197802198,0,11,11,11.5,0.846153846153846,12.1067833333333,55.8774615384615,10.403,278.084,11,0,1,0,1,1,0,1,1,1,"Triangular",150.903,1,1,"Triangular",50.705,1,"Triangular",36.197,1,"Triangular",39.017,5,5,4.62973333333333,6,6.5,7.47705
"2CZP7","111","fall21","asynch","Female",19,"English","Second","Untied States of America","NULL","NULL","NULL","NULL","NULL","NULL",19.0795833333333,"NULL","NULL","NULL","NULL","control","online-replication",-0.952250935339171,9.86057692307692,0.398149644473174,0,0,0,0,-11,0,15.4328833333333,71.2286923076923,16.185,199.396,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",29.627,0,-0.5,"?",63.714,0,"Orthogonal",199.396,0,"Orthogonal",41.599,0,-4.5,4.51475,0,-6.5,10.9181333333333
"2KS3T","121","winter22","asynch","Male",21,"X-Other","Fourth","United States","I tried my best on each question","4","3","3","The first half was hard the second half was easier","n/a",13.2959,"2","chrome","1920","937","impasse","online-replication",0.567229584141349,5.87083333333333,0.323744882568412,0.197802197802198,0,1,1,-7.5,0.0769230769230769,9.52603333333333,43.9663076923077,5.754,140.175,1,6,1,1,4,1,4,0,0,0.5,"Tversky",72.598,1,1,"Triangular",17.427,0,"Orthogonal",28.587,0,"?",93.771,1,-0.5,5.53205,0,-7,3.99398333333333
"34FAZ","121","winter22","asynch","Female",22,"Arabic","Fourth","US","I tried my best on each question","3","4","5","adding a control question to see if people are paying attention or adding a ""none"" option","no",13.5930166666667,"1","chrome","1440","789","impasse","online-replication",-0.206579939668175,7.5,-0.450980392156863,0.333333333333333,0,0,0,-8.5,0,7.43055,34.2948461538462,5.395,86.557,0,8,0,0,5,0,1,4,0,0,"blank",22.324,0,-0.5,"?",86.557,0,"Orthogonal",22.282,0,"Orthogonal",40.533,0,-0.5,3.74255,0,-8,3.688
"43L8M","121","winter22","asynch","Male",22,"English","Fourth","US","I tried my best on each question","2","3","4","I misunderstood the graph for the first 3 or so questions, so those answers are blank. :(","Nope",6.2756,"3","chrome","2048","1042","impasse","online-replication",10,-0.213585434173669,5.58333333333333,-0.153846153846154,0,10,10,10,0.769230769230769,2.65368333333333,12.2477692307692,6.544,25.412,10,0,0,0,3,0,0,3,0,0,"blank",15.473,1,1,"Triangular",13.965,1,"Triangular",11.683,1,"Triangular",11.435,2,2,1.22651666666667,8,8,1.42716666666667
