"subject","session","term","condition","q","question","answer","rt","correct","orth_correct","explicit","impasse","axis"
"3QO3J","bravo","fall17","111","1","starttime","F",17607,1,0,"1","1","full"
"3QO3J","bravo","fall17","111","2","starts","E",16269,0,1,"1","1","full"
"3QO3J","bravo","fall17","111","3","meets","K",17232,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","4","endtime","B",22597,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","5","midpoint","J",10350,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","6","duration","EG",6458,1,1,"1","1","full"
"3QO3J","bravo","fall17","111","7","duration+starts","FB",27558,0,1,"1","1","full"
"3QO3J","bravo","fall17","111","8","duration+contained","O",15799,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","9","starttime+before+endtime+during","I",13808,1,1,"1","1","full"
"3QO3J","bravo","fall17","111","10","ends","B",9391,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","11","starttime","FB",7053,0,1,"1","1","full"
"3QO3J","bravo","fall17","111","12","starts","B",5403,0,1,"1","1","full"
"3QO3J","bravo","fall17","111","13","meets","LH",14358,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","14","endtime","PLH",30711,0,0,"1","1","full"
"3QO3J","bravo","fall17","111","15","midpoint","KX",11654,1,0,"1","1","full"
"O577M","pinecone","fall17","211","1","starttime","F",51599,1,0,"2","1","full"
"O577M","pinecone","fall17","211","2","starts","K",22952,1,0,"2","1","full"
"O577M","pinecone","fall17","211","3","meets","F",21956,1,0,"2","1","full"
"O577M","pinecone","fall17","211","4","endtime","H",8543,1,0,"2","1","full"
"O577M","pinecone","fall17","211","5","midpoint","X",26388,0,0,"2","1","full"
"O577M","pinecone","fall17","211","6","duration","EG",52601,1,1,"2","1","full"
"O577M","pinecone","fall17","211","7","duration+starts","XO",29837,1,0,"2","1","full"
"O577M","pinecone","fall17","211","8","duration+contained","G",18294,1,0,"2","1","full"
"O577M","pinecone","fall17","211","9","starttime+before+endtime+during","E",26714,0,0,"2","1","full"
"O577M","pinecone","fall17","211","10","ends","E",6248,1,0,"2","1","full"
"O577M","pinecone","fall17","211","11","starttime","M",5086,0,0,"2","1","full"
"O577M","pinecone","fall17","211","12","starts","G",5165,1,0,"2","1","full"
"O577M","pinecone","fall17","211","13","meets","HN",12224,0,0,"2","1","full"
"O577M","pinecone","fall17","211","14","endtime","X",5460,1,0,"2","1","full"
"O577M","pinecone","fall17","211","15","midpoint","KX",18265,1,0,"2","1","full"
"AHBMC","bravo","fall17","321","1","starttime","F",68664,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","2","starts","K",34347,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","3","meets","F",17482,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","4","endtime","H",7988,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","5","midpoint","A",25378,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","6","duration","EG",11647,1,1,"3","2","full"
"AHBMC","bravo","fall17","321","7","duration+starts","FB",24856,0,1,"3","2","full"
"AHBMC","bravo","fall17","321","8","duration+contained","EF",37259,0,0,"3","2","full"
"AHBMC","bravo","fall17","321","9","starttime+before+endtime+during","I",43327,1,1,"3","2","full"
"AHBMC","bravo","fall17","321","10","ends","E",9838,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","11","starttime","ML",26088,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","12","starts","G",7447,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","13","meets","EF",16287,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","14","endtime","X",10766,1,0,"3","2","full"
"AHBMC","bravo","fall17","321","15","midpoint","KX",21250,1,0,"3","2","full"
"M675E","bravo","fall17","121","1","starttime","",25885,0,0,"1","2","full"
"M675E","bravo","fall17","121","2","starts","K",62392,1,0,"1","2","full"
"M675E","bravo","fall17","121","3","meets","F",32925,1,0,"1","2","full"
"M675E","bravo","fall17","121","4","endtime","H",20972,1,0,"1","2","full"
"M675E","bravo","fall17","121","5","midpoint","A",15895,1,0,"1","2","full"
"M675E","bravo","fall17","121","6","duration","EG",13199,1,1,"1","2","full"
"M675E","bravo","fall17","121","7","duration+starts","XO",45576,1,0,"1","2","full"
"M675E","bravo","fall17","121","8","duration+contained","G",59171,1,0,"1","2","full"
"M675E","bravo","fall17","121","9","starttime+before+endtime+during","",16166,0,0,"1","2","full"
"M675E","bravo","fall17","121","10","ends","E",21647,1,0,"1","2","full"
"M675E","bravo","fall17","121","11","starttime","ML",15520,1,0,"1","2","full"
"M675E","bravo","fall17","121","12","starts","G",24122,1,0,"1","2","full"
"M675E","bravo","fall17","121","13","meets","EF",26296,1,0,"1","2","full"
"M675E","bravo","fall17","121","14","endtime","X",10559,1,0,"1","2","full"
"M675E","bravo","fall17","121","15","midpoint","KX",11685,1,0,"1","2","full"
"HK4RU","pinecone","fall17","311","1","starttime","F",45861,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","2","starts","K",33620,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","3","meets","F",12177,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","4","endtime","H",25672,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","5","midpoint","O",149152,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","6","duration","EG",27943,1,1,"3","1","full"
"HK4RU","pinecone","fall17","311","7","duration+starts","XO",42723,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","8","duration+contained","G",150032,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","9","starttime+before+endtime+during","I",52445,1,1,"3","1","full"
"HK4RU","pinecone","fall17","311","10","ends","E",12422,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","11","starttime","ML",8455,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","12","starts","G",7483,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","13","meets","EF",26209,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","14","endtime","X",11141,1,0,"3","1","full"
"HK4RU","pinecone","fall17","311","15","midpoint","KX",78685,1,0,"3","1","full"
"SZH6M","bravo","fall17","321","1","starttime","F",74614,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","2","starts","D",31014,0,0,"3","2","full"
"SZH6M","bravo","fall17","321","3","meets","F",44709,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","4","endtime","H",36196,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","5","midpoint","A",39056,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","6","duration","EG",18832,1,1,"3","2","full"
"SZH6M","bravo","fall17","321","7","duration+starts","XO",69397,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","8","duration+contained","G",35679,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","9","starttime+before+endtime+during","E",13605,0,0,"3","2","full"
"SZH6M","bravo","fall17","321","10","ends","E",17372,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","11","starttime","ML",22636,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","12","starts","G",11709,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","13","meets","EF",25657,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","14","endtime","X",8478,1,0,"3","2","full"
"SZH6M","bravo","fall17","321","15","midpoint","KX",44348,1,0,"3","2","full"
"18BB6","bravo","fall17","321","1","starttime","F",63820,1,0,"3","2","full"
"18BB6","bravo","fall17","321","2","starts","K",33742,1,0,"3","2","full"
"18BB6","bravo","fall17","321","3","meets","F",29693,1,0,"3","2","full"
"18BB6","bravo","fall17","321","4","endtime","H",18389,1,0,"3","2","full"
"18BB6","bravo","fall17","321","5","midpoint","A",38685,1,0,"3","2","full"
"18BB6","bravo","fall17","321","6","duration","EG",17274,1,1,"3","2","full"
"18BB6","bravo","fall17","321","7","duration+starts","XO",26224,1,0,"3","2","full"
"18BB6","bravo","fall17","321","8","duration+contained","G",46537,1,0,"3","2","full"
"18BB6","bravo","fall17","321","9","starttime+before+endtime+during","I",40572,1,1,"3","2","full"
"18BB6","bravo","fall17","321","10","ends","E",10360,1,0,"3","2","full"
"18BB6","bravo","fall17","321","11","starttime","ML",10385,1,0,"3","2","full"
"18BB6","bravo","fall17","321","12","starts","G",12019,1,0,"3","2","full"
"18BB6","bravo","fall17","321","13","meets","EF",17310,1,0,"3","2","full"
"18BB6","bravo","fall17","321","14","endtime","X",10954,1,0,"3","2","full"
"18BB6","bravo","fall17","321","15","midpoint","KX",33639,1,0,"3","2","full"
"DXES9","charlie","fall17","221","1","starttime","F",30533,1,0,"2","2","full"
"DXES9","charlie","fall17","221","2","starts","K",11333,1,0,"2","2","full"
"DXES9","charlie","fall17","221","3","meets","F",14635,1,0,"2","2","full"
"DXES9","charlie","fall17","221","4","endtime","H",9179,1,0,"2","2","full"
"DXES9","charlie","fall17","221","5","midpoint","A",16435,1,0,"2","2","full"
"DXES9","charlie","fall17","221","6","duration","EG",11096,1,1,"2","2","full"
"DXES9","charlie","fall17","221","7","duration+starts","XO",31708,1,0,"2","2","full"
"DXES9","charlie","fall17","221","8","duration+contained","G",34687,1,0,"2","2","full"
"DXES9","charlie","fall17","221","9","starttime+before+endtime+during","E",92784,0,0,"2","2","full"
"DXES9","charlie","fall17","221","10","ends","E",11409,1,0,"2","2","full"
"DXES9","charlie","fall17","221","11","starttime","ML",16009,1,0,"2","2","full"
"DXES9","charlie","fall17","221","12","starts","G",16662,1,0,"2","2","full"
"DXES9","charlie","fall17","221","13","meets","EF",12960,1,0,"2","2","full"
"DXES9","charlie","fall17","221","14","endtime","X",7045,1,0,"2","2","full"
"DXES9","charlie","fall17","221","15","midpoint","KX",22576,1,0,"2","2","full"
"137NC","bravo","fall17","321","1","starttime","F",33069,1,0,"3","2","full"
"137NC","bravo","fall17","321","2","starts","K",42275,1,0,"3","2","full"
"137NC","bravo","fall17","321","3","meets","F",10767,1,0,"3","2","full"
"137NC","bravo","fall17","321","4","endtime","H",10594,1,0,"3","2","full"
"137NC","bravo","fall17","321","5","midpoint","O",61218,0,0,"3","2","full"
"137NC","bravo","fall17","321","6","duration","EG",69872,1,1,"3","2","full"
"137NC","bravo","fall17","321","7","duration+starts","XO",115087,1,0,"3","2","full"
"137NC","bravo","fall17","321","8","duration+contained","G",65878,1,0,"3","2","full"
"137NC","bravo","fall17","321","9","starttime+before+endtime+during","I",40959,1,1,"3","2","full"
"137NC","bravo","fall17","321","10","ends","E",15845,1,0,"3","2","full"
"137NC","bravo","fall17","321","11","starttime","ML",16961,1,0,"3","2","full"
"137NC","bravo","fall17","321","12","starts","G",11404,1,0,"3","2","full"
"137NC","bravo","fall17","321","13","meets","EF",15417,1,0,"3","2","full"
"137NC","bravo","fall17","321","14","endtime","X",9739,1,0,"3","2","full"
"137NC","bravo","fall17","321","15","midpoint","KX",26303,1,0,"3","2","full"
"R8PM2","charlie","fall17","111","1","starttime","A",17154,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","2","starts","E",11655,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","3","meets","Z",17040,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","4","endtime","U",44879,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","5","midpoint","F",78645,0,0,"1","1","full"
"R8PM2","charlie","fall17","111","6","duration","EG",5894,1,1,"1","1","full"
"R8PM2","charlie","fall17","111","7","duration+starts","FB",23738,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","8","duration+contained","E",32199,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","9","starttime+before+endtime+during","I",28644,1,1,"1","1","full"
"R8PM2","charlie","fall17","111","10","ends","X",25671,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","11","starttime","FB",8462,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","12","starts","B",7112,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","13","meets","FX",19799,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","14","endtime","B",21753,0,1,"1","1","full"
"R8PM2","charlie","fall17","111","15","midpoint","EF",19633,0,1,"1","1","full"
"J9XH8","charlie","fall17","221","1","starttime","CF",59849,0,0,"2","2","full"
"J9XH8","charlie","fall17","221","2","starts","K",25720,1,0,"2","2","full"
"J9XH8","charlie","fall17","221","3","meets","A",20603,0,0,"2","2","full"
"J9XH8","charlie","fall17","221","4","endtime","H",8095,1,0,"2","2","full"
"J9XH8","charlie","fall17","221","5","midpoint","O",23685,0,0,"2","2","full"
"J9XH8","charlie","fall17","221","6","duration","EG",51415,1,1,"2","2","full"
"J9XH8","charlie","fall17","221","7","duration+starts","IJBMXOND",34532,0,0,"2","2","full"
"J9XH8","charlie","fall17","221","8","duration+contained","E",34368,0,1,"2","2","full"
"J9XH8","charlie","fall17","221","9","starttime+before+endtime+during","F",18288,0,0,"2","2","full"
"J9XH8","charlie","fall17","221","10","ends","E",10894,1,0,"2","2","full"
"J9XH8","charlie","fall17","221","11","starttime","ML",8767,1,0,"2","2","full"
"J9XH8","charlie","fall17","221","12","starts","GP",8712,0,0,"2","2","full"
"J9XH8","charlie","fall17","221","13","meets","AH",39670,0,0,"2","2","full"
"J9XH8","charlie","fall17","221","14","endtime","X",6803,1,0,"2","2","full"
"J9XH8","charlie","fall17","221","15","midpoint","GC",37725,0,0,"2","2","full"
"6NY13","charlie","fall17","311","1","starttime","F",35954,1,0,"3","1","full"
"6NY13","charlie","fall17","311","2","starts","K",24224,1,0,"3","1","full"
"6NY13","charlie","fall17","311","3","meets","F",19227,1,0,"3","1","full"
"6NY13","charlie","fall17","311","4","endtime","H",8659,1,0,"3","1","full"
"6NY13","charlie","fall17","311","5","midpoint","O",23537,1,0,"3","1","full"
"6NY13","charlie","fall17","311","6","duration","EG",15095,1,1,"3","1","full"
"6NY13","charlie","fall17","311","7","duration+starts","XO",36558,1,0,"3","1","full"
"6NY13","charlie","fall17","311","8","duration+contained","G",80290,1,0,"3","1","full"
"6NY13","charlie","fall17","311","9","starttime+before+endtime+during","E",18655,0,0,"3","1","full"
"6NY13","charlie","fall17","311","10","ends","E",8796,1,0,"3","1","full"
"6NY13","charlie","fall17","311","11","starttime","ML",12592,1,0,"3","1","full"
"6NY13","charlie","fall17","311","12","starts","G",7871,1,0,"3","1","full"
"6NY13","charlie","fall17","311","13","meets","EF",11137,1,0,"3","1","full"
"6NY13","charlie","fall17","311","14","endtime","X",6357,1,0,"3","1","full"
"6NY13","charlie","fall17","311","15","midpoint","KX",13901,1,0,"3","1","full"
"JFFAY","bravo","fall17","111","1","starttime","A",13167,0,1,"1","1","full"
"JFFAY","bravo","fall17","111","2","starts","D",27797,0,0,"1","1","full"
