"subject","mode","pretty_condition","question","score"
"3QO3J","lab-synch","none-none",1,1
"3QO3J","lab-synch","none-none",2,0
"3QO3J","lab-synch","none-none",3,-0.5
"3QO3J","lab-synch","none-none",4,0
"3QO3J","lab-synch","none-none",5,-0.5
"3QO3J","lab-synch","none-none",6,-1.5
"3QO3J","lab-synch","none-none",7,-2
"3QO3J","lab-synch","none-none",8,-2.5
"3QO3J","lab-synch","none-none",9,-3.5
"3QO3J","lab-synch","none-none",10,-4.5
"3QO3J","lab-synch","none-none",11,-5
"3QO3J","lab-synch","none-none",12,-5.5
"3QO3J","lab-synch","none-none",13,-4.5
"O577M","lab-synch","img-none",1,1
"O577M","lab-synch","img-none",2,2
"O577M","lab-synch","img-none",3,3
"O577M","lab-synch","img-none",4,4
"O577M","lab-synch","img-none",5,4.5
"O577M","lab-synch","img-none",6,5.5
"O577M","lab-synch","img-none",7,6.5
"O577M","lab-synch","img-none",8,7.5
"O577M","lab-synch","img-none",9,8.5
"O577M","lab-synch","img-none",10,9.5
"O577M","lab-synch","img-none",11,9
"O577M","lab-synch","img-none",12,10
"O577M","lab-synch","img-none",13,11
"AHBMC","lab-synch","ixv-impasse",1,1
"AHBMC","lab-synch","ixv-impasse",2,2
"AHBMC","lab-synch","ixv-impasse",3,3
"AHBMC","lab-synch","ixv-impasse",4,4
"AHBMC","lab-synch","ixv-impasse",5,3.5
"AHBMC","lab-synch","ixv-impasse",6,2.5
"AHBMC","lab-synch","ixv-impasse",7,1.5
"AHBMC","lab-synch","ixv-impasse",8,2.5
"AHBMC","lab-synch","ixv-impasse",9,3.5
"AHBMC","lab-synch","ixv-impasse",10,4.5
"AHBMC","lab-synch","ixv-impasse",11,5.5
"AHBMC","lab-synch","ixv-impasse",12,6.5
"AHBMC","lab-synch","ixv-impasse",13,7.5
"M675E","lab-synch","none-impasse",1,0
"M675E","lab-synch","none-impasse",2,1
"M675E","lab-synch","none-impasse",3,2
"M675E","lab-synch","none-impasse",4,3
"M675E","lab-synch","none-impasse",5,4
"M675E","lab-synch","none-impasse",6,5
"M675E","lab-synch","none-impasse",7,6
"M675E","lab-synch","none-impasse",8,7
"M675E","lab-synch","none-impasse",9,8
"M675E","lab-synch","none-impasse",10,9
"M675E","lab-synch","none-impasse",11,10
"M675E","lab-synch","none-impasse",12,11
"M675E","lab-synch","none-impasse",13,12
"HK4RU","lab-synch","ixv-none",1,1
"HK4RU","lab-synch","ixv-none",2,2
"HK4RU","lab-synch","ixv-none",3,3
"HK4RU","lab-synch","ixv-none",4,4
"HK4RU","lab-synch","ixv-none",5,5
"HK4RU","lab-synch","ixv-none",6,6
"HK4RU","lab-synch","ixv-none",7,7
"HK4RU","lab-synch","ixv-none",8,8
"HK4RU","lab-synch","ixv-none",9,9
"HK4RU","lab-synch","ixv-none",10,10
"HK4RU","lab-synch","ixv-none",11,11
"HK4RU","lab-synch","ixv-none",12,12
"HK4RU","lab-synch","ixv-none",13,13
"SZH6M","lab-synch","ixv-impasse",1,1
"SZH6M","lab-synch","ixv-impasse",2,1
"SZH6M","lab-synch","ixv-impasse",3,2
