"subject","mode","pretty_condition","question","score"
"3QO3J","lab-synch","none-control",1,1
"3QO3J","lab-synch","none-control",2,1
"3QO3J","lab-synch","none-control",3,1
"3QO3J","lab-synch","none-control",4,1
"3QO3J","lab-synch","none-control",5,1
"3QO3J","lab-synch","none-control",6,1
"3QO3J","lab-synch","none-control",7,1
"3QO3J","lab-synch","none-control",8,1
"3QO3J","lab-synch","none-control",9,1
"3QO3J","lab-synch","none-control",10,1
"3QO3J","lab-synch","none-control",11,1
"3QO3J","lab-synch","none-control",12,1
"3QO3J","lab-synch","none-control",13,2
"O577M","lab-synch","img-control",1,1
"O577M","lab-synch","img-control",2,2
"O577M","lab-synch","img-control",3,3
"O577M","lab-synch","img-control",4,4
"O577M","lab-synch","img-control",5,4
"O577M","lab-synch","img-control",6,5
"O577M","lab-synch","img-control",7,6
"O577M","lab-synch","img-control",8,7
"O577M","lab-synch","img-control",9,8
"O577M","lab-synch","img-control",10,9
"O577M","lab-synch","img-control",11,9
"O577M","lab-synch","img-control",12,10
"O577M","lab-synch","img-control",13,11
"AHBMC","lab-synch","ixv-impasse",1,1
"AHBMC","lab-synch","ixv-impasse",2,2
"AHBMC","lab-synch","ixv-impasse",3,3
"AHBMC","lab-synch","ixv-impasse",4,4
"AHBMC","lab-synch","ixv-impasse",5,5
"AHBMC","lab-synch","ixv-impasse",6,5
"AHBMC","lab-synch","ixv-impasse",7,5
"AHBMC","lab-synch","ixv-impasse",8,6
"AHBMC","lab-synch","ixv-impasse",9,7
"AHBMC","lab-synch","ixv-impasse",10,8
"AHBMC","lab-synch","ixv-impasse",11,9
"AHBMC","lab-synch","ixv-impasse",12,10
"AHBMC","lab-synch","ixv-impasse",13,11
"M675E","lab-synch","none-impasse",1,0
"M675E","lab-synch","none-impasse",2,1
"M675E","lab-synch","none-impasse",3,2
"M675E","lab-synch","none-impasse",4,3
"M675E","lab-synch","none-impasse",5,4
"M675E","lab-synch","none-impasse",6,5
"M675E","lab-synch","none-impasse",7,6
"M675E","lab-synch","none-impasse",8,7
"M675E","lab-synch","none-impasse",9,8
"M675E","lab-synch","none-impasse",10,9
"M675E","lab-synch","none-impasse",11,10
"M675E","lab-synch","none-impasse",12,11
"M675E","lab-synch","none-impasse",13,12
"HK4RU","lab-synch","ixv-control",1,1
"HK4RU","lab-synch","ixv-control",2,2
"HK4RU","lab-synch","ixv-control",3,3
"HK4RU","lab-synch","ixv-control",4,4
"HK4RU","lab-synch","ixv-control",5,5
"HK4RU","lab-synch","ixv-control",6,6
"HK4RU","lab-synch","ixv-control",7,7
"HK4RU","lab-synch","ixv-control",8,8
"HK4RU","lab-synch","ixv-control",9,9
"HK4RU","lab-synch","ixv-control",10,10
"HK4RU","lab-synch","ixv-control",11,11
"HK4RU","lab-synch","ixv-control",12,12
"HK4RU","lab-synch","ixv-control",13,13
"SZH6M","lab-synch","ixv-impasse",1,1
"SZH6M","lab-synch","ixv-impasse",2,1
"SZH6M","lab-synch","ixv-impasse",3,2
"SZH6M","lab-synch","ixv-impasse",4,3
"SZH6M","lab-synch","ixv-impasse",5,4
"SZH6M","lab-synch","ixv-impasse",6,5
"SZH6M","lab-synch","ixv-impasse",7,6
"SZH6M","lab-synch","ixv-impasse",8,7
"SZH6M","lab-synch","ixv-impasse",9,8
"SZH6M","lab-synch","ixv-impasse",10,9
"SZH6M","lab-synch","ixv-impasse",11,10
"SZH6M","lab-synch","ixv-impasse",12,11
"SZH6M","lab-synch","ixv-impasse",13,12
"18BB6","lab-synch","ixv-impasse",1,1
"18BB6","lab-synch","ixv-impasse",2,2
"18BB6","lab-synch","ixv-impasse",3,3
"18BB6","lab-synch","ixv-impasse",4,4
"18BB6","lab-synch","ixv-impasse",5,5
"18BB6","lab-synch","ixv-impasse",6,6
"18BB6","lab-synch","ixv-impasse",7,7
"18BB6","lab-synch","ixv-impasse",8,8
"18BB6","lab-synch","ixv-impasse",9,9
"18BB6","lab-synch","ixv-impasse",10,10
"18BB6","lab-synch","ixv-impasse",11,11
"18BB6","lab-synch","ixv-impasse",12,12
"18BB6","lab-synch","ixv-impasse",13,13
"DXES9","lab-synch","img-impasse",1,1
"DXES9","lab-synch","img-impasse",2,2
"DXES9","lab-synch","img-impasse",3,3
"DXES9","lab-synch","img-impasse",4,4
"DXES9","lab-synch","img-impasse",5,5
"DXES9","lab-synch","img-impasse",6,6
"DXES9","lab-synch","img-impasse",7,7
"DXES9","lab-synch","img-impasse",8,8
"DXES9","lab-synch","img-impasse",9,9
"DXES9","lab-synch","img-impasse",10,10
"DXES9","lab-synch","img-impasse",11,11
"DXES9","lab-synch","img-impasse",12,12
"DXES9","lab-synch","img-impasse",13,13
"137NC","lab-synch","ixv-impasse",1,1
"137NC","lab-synch","ixv-impasse",2,2
"137NC","lab-synch","ixv-impasse",3,3
"137NC","lab-synch","ixv-impasse",4,4
"137NC","lab-synch","ixv-impasse",5,4
"137NC","lab-synch","ixv-impasse",6,5
"137NC","lab-synch","ixv-impasse",7,6
"137NC","lab-synch","ixv-impasse",8,7
"137NC","lab-synch","ixv-impasse",9,8
"137NC","lab-synch","ixv-impasse",10,9
"137NC","lab-synch","ixv-impasse",11,10
"137NC","lab-synch","ixv-impasse",12,11
"137NC","lab-synch","ixv-impasse",13,12
"R8PM2","lab-synch","none-control",1,0
"R8PM2","lab-synch","none-control",2,0
"R8PM2","lab-synch","none-control",3,0
"R8PM2","lab-synch","none-control",4,0
"R8PM2","lab-synch","none-control",5,0
"R8PM2","lab-synch","none-control",6,0
"R8PM2","lab-synch","none-control",7,0
"R8PM2","lab-synch","none-control",8,0
