"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode","score_TRI","score_ORTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_BOTH","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","score_SCALED"
"3QO3J","111","fall17","lab-synch","starttime",1,"F",TRUE,17.607,1,"none-none","laboratory",1,-0.0833333333333333,NA,NA,0.5,1,-0.0714285714285714,NA,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1
"3QO3J","111","fall17","lab-synch","starts",2,"E",FALSE,16.269,1,"none-none","laboratory",-0.0833333333333333,1,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal",-1
"3QO3J","111","fall17","lab-synch","meets",3,"K",FALSE,17.232,1,"none-none","laboratory",-0.0833333333333333,-0.1,NA,NA,-0.125,-0.0833333333333333,-0.0833333333333333,-0.0909090909090909,0,0,0,0,-0.0833333333333333,"score_TV_start",NA,NA,-0.0833333333333333,"score_TRI",0.0166666666666667,"?","?","neg.trans",-0.5
"3QO3J","111","fall17","lab-synch","endtime",4,"B",FALSE,22.597,1,"none-none","laboratory",-0.0714285714285714,-0.0833333333333333,NA,NA,0.5,1,-0.0714285714285714,NA,0,0,0,0,1,"score_TV_start",NA,NA,1,"score_TVERSKY",1.08333333333333,"Tversky","Tversky","pos.trans",0.5
"3QO3J","111","fall17","lab-synch","midpoint",5,"J",FALSE,10.35,1,"none-none","laboratory",-0.0909090909090909,-0.0769230769230769,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0,0,0,-0.0769230769230769,"score_TV_start",NA,NA,-0.0769230769230769,"score_TVERSKY",0.013986013986014,"?","?","neg.trans",-0.5
"3QO3J","111","fall17","lab-synch","duration",6,"EG",TRUE,6.458,2,"none-none","laboratory",1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5
"3QO3J","111","fall17","lab-synch","duration+starts",7,"BF",FALSE,27.558,2,"none-none","laboratory",-0.125,1,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1
"3QO3J","111","fall17","lab-synch","duration+contained",8,"O",FALSE,15.799,1,"none-none","laboratory",-0.0666666666666667,-0.0666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-0.0666666666666667,"score_TRI",0,"?","?","neg.trans",-0.5
"3QO3J","111","fall17","lab-synch","starttime+before+endtime+during",9,"I",TRUE,13.808,1,"none-none","laboratory",1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5
"3QO3J","111","fall17","lab-synch","ends",10,"B",FALSE,9.391,1,"none-none","laboratory",-0.0625,-0.0625,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,0,-0.0625,"score_TV_start",NA,NA,-0.0625,"score_TRI",0,"?","?","neg.trans",-0.5
"3QO3J","111","fall17","lab-synch","starttime",11,"BF",FALSE,7.053,2,"none-none","laboratory",-0.125,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1
"3QO3J","111","fall17","lab-synch","starts",12,"B",FALSE,5.403,1,"none-none","laboratory",-0.0625,1,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal",-1
"3QO3J","111","fall17","lab-synch","meets",13,"HL",FALSE,14.358,2,"none-none","laboratory",-0.133333333333333,-0.133333333333333,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-0.133333333333333,"score_TRI",0,"?","?","neg.trans",-0.5
"3QO3J","111","fall17","lab-synch","endtime",14,"HLP",FALSE,30.711,3,"none-none","laboratory",-0.176470588235294,-0.176470588235294,NA,NA,-0.214285714285714,NA,-0.176470588235294,-0.2,0,0,0,0,-0.176470588235294,"score_TV_end",NA,NA,-0.176470588235294,"score_TRI",0,"?","?","neg.trans",-0.5
"3QO3J","111","fall17","lab-synch","midpoint",15,"KX",TRUE,11.654,2,"none-none","laboratory",1,-0.133333333333333,NA,NA,0.666666666666667,-0.117647058823529,NA,NA,0,0,1,1,0.666666666666667,"score_TV_max",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","starttime",1,"F",TRUE,51.599,1,"img-none","laboratory",1,-0.0833333333333333,NA,NA,0.5,1,-0.0714285714285714,NA,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","starts",2,"K",TRUE,22.952,1,"img-none","laboratory",1,-0.0833333333333333,NA,NA,0.25,0.5,-0.0769230769230769,-0.0769230769230769,0,0,1,1,0.5,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","meets",3,"F",TRUE,21.956,1,"img-none","laboratory",1,0,NA,NA,0.166666666666667,-0.0833333333333333,1,-0.0909090909090909,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","endtime",4,"H",TRUE,8.543,1,"img-none","laboratory",1,-0.0833333333333333,NA,NA,0.5,-0.0714285714285714,1,NA,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","midpoint",5,"X",FALSE,26.388,1,"img-none","laboratory",-0.0909090909090909,-0.0769230769230769,NA,NA,0.333333333333333,1,-0.0833333333333333,NA,0,0,0,0,1,"score_TV_start",NA,NA,1,"score_TVERSKY",1.09090909090909,"Tversky","Tversky","pos.trans",0.5
"O577M","211","fall17","lab-synch","duration",6,"EG",TRUE,52.601,2,"img-none","laboratory",1,1,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5
"O577M","211","fall17","lab-synch","duration+starts",7,"OX",TRUE,29.837,2,"img-none","laboratory",1,-0.133333333333333,NA,NA,0.25,1,-0.142857142857143,-0.125,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","duration+contained",8,"G",TRUE,18.294,1,"img-none","laboratory",1,-0.0666666666666667,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.06666666666667,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","starttime+before+endtime+during",9,"E",FALSE,26.714,1,"img-none","laboratory",-0.0666666666666667,-0.0666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-0.0666666666666667,"score_TRI",0,"?","?","neg.trans",-0.5
"O577M","211","fall17","lab-synch","ends",10,"E",TRUE,6.248,1,"img-none","laboratory",1,-0.0625,NA,NA,0.333333333333333,-0.0625,1,-0.0625,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","starttime",11,"M",FALSE,5.086,1,"img-none","laboratory",0.5,-0.0625,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0.5,"score_TRI",0.5625,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","starts",12,"G",TRUE,5.165,1,"img-none","laboratory",1,-0.0625,NA,NA,0.5,1,NA,-0.0625,0,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","meets",13,"HN",FALSE,12.224,2,"img-none","laboratory",-0.133333333333333,-0.133333333333333,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-0.133333333333333,"score_TRI",0,"?","?","neg.trans",-0.5
"O577M","211","fall17","lab-synch","endtime",14,"X",TRUE,5.46,1,"img-none","laboratory",1,-0.0588235294117647,NA,NA,0.25,NA,1,-0.0666666666666667,0,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular",1
"O577M","211","fall17","lab-synch","midpoint",15,"KX",TRUE,18.265,2,"img-none","laboratory",1,-0.133333333333333,NA,NA,0.666666666666667,-0.117647058823529,NA,NA,0,0,1,1,0.666666666666667,"score_TV_max",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1
