"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"06217","211","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.4479166666667,"NULL","NULL","NULL","NULL","img-control","laboratory",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,3.54581666666667,16.3653076923077,6.066,61.168,13,0,0,0,0,0,0,0,1,1,"Triangular",23.937,1,1,"Triangular",13.245,1,"Triangular",30.299,1,"Triangular",11.002,5,5,1.12848333333333,8,8,2.41733333333333
"07MCH","321","fall21","asynch","Male",22,"Mandarin or Cantonese","Fourth","China","NULL","NULL","NULL","NULL","NULL","NULL",6.90528333333333,"NULL","NULL","NULL","NULL","ixv-impasse","online-replication",13,-0.213585434173669,7.50641025641026,0.697802197802198,0,13,13,13,1,3.503,16.1676923076923,5.2,44.439,13,0,0,0,0,0,0,0,1,1,"Triangular",26.15,1,1,"Triangular",12.378,1,"Triangular",34.6,1,"Triangular",14.79,5,5,1.13616666666667,8,8,2.36683333333333
"0C5DM","221","fall21","asynch","Female",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.81485,"NULL","NULL","NULL","NULL","img-impasse","online-replication",12.8452380952381,-0.213585434173669,7.42307692307692,0.549450549450549,0,11,11,12,0.846153846153846,7.18665,33.1691538461538,5.448,85.972,11,0,2,0,0,2,0,0,0,0.5,"Tversky",51.755,1,1,"Triangular",18.533,1,"Triangular",38.108,1,"Triangular",9.254,3,4,2.8717,8,8,4.31495
"0LJCD","221","summer22","asynch","Other-Not Listed",18,"English",NA,"USA","I tried my best on each question","3","4","5","","",9.17291666666667,"3","chrome","1920","969","img-impasse","online-replication",11.9333333333333,-0.213585434173669,7.50641025641026,0.697802197802198,0,12,12,11.5,0.923076923076923,4.09843333333333,18.9158461538462,6.49,48.833,12,0,0,0,1,0,1,0,1,1,"Triangular",47.49,1,1,"Triangular",14.141,1,"Triangular",30.043,1,"Triangular",7.198,5,5,1.79831666666667,7,6.5,2.30011666666667
"0NZH6","221","fall17","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.82045,"NULL","NULL","NULL","NULL","img-impasse","laboratory",7.64807692307692,-0.213585434173669,5.46474358974359,0.697802197802198,0,8,8,8,0.615384615384615,5.7182,26.3916923076923,7.433,62.89,8,0,2,0,3,2,2,1,1,1,"Triangular",55.034,0,0.5,"Tversky",17.833,1,"Triangular",43.163,1,"Triangular",30.889,3,4,1.79028333333333,5,4,3.92791666666667
"0W2TN","221","fall17","lab-synch","Female",18,"English","Second","america","NULL","NULL","NULL","NULL","NULL","NULL",8.9594,"NULL","NULL","NULL","NULL","img-impasse","laboratory",11.9285714285714,-0.213585434173669,6.43498168498169,1.76923076923077,0,12,12,11,0.923076923076923,4.29081666666667,19.8037692307692,6.792,53.653,12,0,0,1,0,0,0,0,0,-1,"Satisfice",53.653,1,1,"Triangular",22.12,1,"Triangular",34.49,1,"Triangular",17.648,4,3,2.06536666666667,8,8,2.22545
"0ZCT1","121","fall17","lab-synch","Male",19,"English","First","US","NULL","NULL","NULL","NULL","NULL","NULL",10.3987166666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory",13,-0.213585434173669,7.50641025641026,0.697802197802198,0,13,13,13,1,5.50403333333333,25.4032307692308,8.502,81.393,13,0,0,0,0,0,0,0,1,1,"Triangular",81.393,1,1,"Triangular",27.721,1,"Triangular",32.398,1,"Triangular",14.277,5,5,3.02361666666667,8,8,2.48041666666667
"137NC","321","fall17","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.0534,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory",11.9230769230769,-0.213585434173669,8.08974358974359,0.697802197802198,0,12,12,12.5,0.923076923076923,7.24261666666667,33.4274615384615,9.739,115.087,12,0,1,0,0,1,0,0,1,1,"Triangular",33.069,0,0.5,"Tversky",61.218,1,"Triangular",115.087,1,"Triangular",26.303,4,4.5,2.63205,8,8,4.61056666666667
"13RHM","311","spring18","lab-synch","Female",19,"English","First","JAPAN","NULL","NULL","NULL","NULL","NULL","NULL",16.6670666666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory",11.8,0.459491488903254,8.08974358974359,0,0,12,12,11,0.923076923076923,6.4193,29.6275384615385,7.294,77.45,12,1,0,0,0,0,0,0,1,1,"Triangular",55.647,1,1,"Triangular",28.282,1,"Triangular",77.45,1,"Triangular",16.74,5,5,2.59088333333333,7,6,3.82841666666667
"18BB6","321","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.3592666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory",13,-0.213585434173669,7.50641025641026,0.697802197802198,0,13,13,13,1,5.86261666666667,27.0582307692308,10.36,63.82,13,0,0,0,0,0,0,0,1,1,"Triangular",63.82,1,1,"Triangular",38.685,1,"Triangular",26.224,1,"Triangular",33.639,5,5,3.07215,8,8,2.79046666666667
