"subject","mode","condition","question","score","pretty_condition"
"JCKEW","asynch","111",1,-1,"control"
"JCKEW","asynch","111",2,-2,"control"
"JCKEW","asynch","111",3,-3,"control"
"JCKEW","asynch","111",4,-4,"control"
"JCKEW","asynch","111",5,-5,"control"
"JCKEW","asynch","111",6,-6,"control"
"JCKEW","asynch","111",7,-7,"control"
"JCKEW","asynch","111",8,-8,"control"
"JCKEW","asynch","111",9,-9,"control"
"JCKEW","asynch","111",10,-10,"control"
"JCKEW","asynch","111",11,-11,"control"
"JCKEW","asynch","111",12,-12,"control"
"JCKEW","asynch","111",13,-13,"control"
"NBR5N","asynch","121",1,1,"impasse"
"NBR5N","asynch","121",2,2,"impasse"
"NBR5N","asynch","121",3,3,"impasse"
"NBR5N","asynch","121",4,4,"impasse"
"NBR5N","asynch","121",5,5,"impasse"
"NBR5N","asynch","121",6,6,"impasse"
"NBR5N","asynch","121",7,7,"impasse"
"NBR5N","asynch","121",8,8,"impasse"
"NBR5N","asynch","121",9,9,"impasse"
"NBR5N","asynch","121",10,10,"impasse"
"NBR5N","asynch","121",11,11,"impasse"
"NBR5N","asynch","121",12,12,"impasse"
"NBR5N","asynch","121",13,13,"impasse"
"FPSQJ","asynch","121",1,1,"impasse"
"FPSQJ","asynch","121",2,2,"impasse"
"FPSQJ","asynch","121",3,3,"impasse"
"FPSQJ","asynch","121",4,4,"impasse"
"FPSQJ","asynch","121",5,5,"impasse"
"FPSQJ","asynch","121",6,6,"impasse"
"FPSQJ","asynch","121",7,5.5,"impasse"
"FPSQJ","asynch","121",8,6.5,"impasse"
"FPSQJ","asynch","121",9,7.5,"impasse"
"FPSQJ","asynch","121",10,8.5,"impasse"
"FPSQJ","asynch","121",11,9.5,"impasse"
"FPSQJ","asynch","121",12,10.5,"impasse"
"FPSQJ","asynch","121",13,11.5,"impasse"
"S4T2X","asynch","121",1,-1,"impasse"
"S4T2X","asynch","121",2,-1,"impasse"
"S4T2X","asynch","121",3,-1.5,"impasse"
"S4T2X","asynch","121",4,-2.5,"impasse"
"S4T2X","asynch","121",5,-1.5,"impasse"
"S4T2X","asynch","121",6,-2.5,"impasse"
"S4T2X","asynch","121",7,-3.5,"impasse"
"S4T2X","asynch","121",8,-3,"impasse"
"S4T2X","asynch","121",9,-4,"impasse"
"S4T2X","asynch","121",10,-5,"impasse"
"S4T2X","asynch","121",11,-5.5,"impasse"
"S4T2X","asynch","121",12,-6.5,"impasse"
"S4T2X","asynch","121",13,-7.5,"impasse"
"86P6B","asynch","111",1,1,"control"
"86P6B","asynch","111",2,2,"control"
"86P6B","asynch","111",3,3,"control"
"86P6B","asynch","111",4,4,"control"
"86P6B","asynch","111",5,5,"control"
"86P6B","asynch","111",6,6,"control"
"86P6B","asynch","111",7,5.5,"control"
"86P6B","asynch","111",8,6.5,"control"
"86P6B","asynch","111",9,7.5,"control"
"86P6B","asynch","111",10,8.5,"control"
"86P6B","asynch","111",11,9.5,"control"
"86P6B","asynch","111",12,10.5,"control"
"86P6B","asynch","111",13,11.5,"control"
"WZFMC","asynch","111",1,-1,"control"
"WZFMC","asynch","111",2,-2,"control"
"WZFMC","asynch","111",3,-1.5,"control"
"WZFMC","asynch","111",4,-1.5,"control"
"WZFMC","asynch","111",5,-0.5,"control"
"WZFMC","asynch","111",6,-1.5,"control"
"WZFMC","asynch","111",7,-2,"control"
"WZFMC","asynch","111",8,-1.5,"control"
"WZFMC","asynch","111",9,-2.5,"control"
"WZFMC","asynch","111",10,-2,"control"
"WZFMC","asynch","111",11,-3,"control"
"WZFMC","asynch","111",12,-3,"control"
"WZFMC","asynch","111",13,-2,"control"
"E0F55","asynch","121",1,0,"impasse"
"E0F55","asynch","121",2,-1,"impasse"
"E0F55","asynch","121",3,-0.5,"impasse"
"E0F55","asynch","121",4,-1,"impasse"
"E0F55","asynch","121",5,-1,"impasse"
"E0F55","asynch","121",6,-2,"impasse"
"E0F55","asynch","121",7,-1,"impasse"
"E0F55","asynch","121",8,0,"impasse"
"E0F55","asynch","121",9,1,"impasse"
"E0F55","asynch","121",10,2,"impasse"
"E0F55","asynch","121",11,3,"impasse"
"E0F55","asynch","121",12,4,"impasse"
"E0F55","asynch","121",13,5,"impasse"
"NDBCA","asynch","121",1,1,"impasse"
"NDBCA","asynch","121",2,2,"impasse"
"NDBCA","asynch","121",3,3,"impasse"
"NDBCA","asynch","121",4,4,"impasse"
"NDBCA","asynch","121",5,3.5,"impasse"
"NDBCA","asynch","121",6,4.5,"impasse"
"NDBCA","asynch","121",7,4,"impasse"
"NDBCA","asynch","121",8,5,"impasse"
"NDBCA","asynch","121",9,6,"impasse"
"NDBCA","asynch","121",10,7,"impasse"
"NDBCA","asynch","121",11,8,"impasse"
"NDBCA","asynch","121",12,9,"impasse"
"NDBCA","asynch","121",13,10,"impasse"
"BDQEZ","asynch","121",1,1,"impasse"
"BDQEZ","asynch","121",2,2,"impasse"
"BDQEZ","asynch","121",3,3,"impasse"
"BDQEZ","asynch","121",4,4,"impasse"
"BDQEZ","asynch","121",5,5,"impasse"
"BDQEZ","asynch","121",6,4,"impasse"
"BDQEZ","asynch","121",7,5,"impasse"
"BDQEZ","asynch","121",8,6,"impasse"
"BDQEZ","asynch","121",9,7,"impasse"
"BDQEZ","asynch","121",10,8,"impasse"
"BDQEZ","asynch","121",11,9,"impasse"
"BDQEZ","asynch","121",12,10,"impasse"
"BDQEZ","asynch","121",13,11,"impasse"
"ZDA7B","asynch","121",1,0,"impasse"
"ZDA7B","asynch","121",2,0.5,"impasse"
"ZDA7B","asynch","121",3,0.5,"impasse"
"ZDA7B","asynch","121",4,-0.5,"impasse"
"ZDA7B","asynch","121",5,-1.5,"impasse"
"ZDA7B","asynch","121",6,-1,"impasse"
"ZDA7B","asynch","121",7,-2,"impasse"
"ZDA7B","asynch","121",8,-1,"impasse"
"ZDA7B","asynch","121",9,-2,"impasse"
"ZDA7B","asynch","121",10,-3,"impasse"
"ZDA7B","asynch","121",11,-3.5,"impasse"
"ZDA7B","asynch","121",12,-4,"impasse"
"ZDA7B","asynch","121",13,-5,"impasse"
"KGNC3","asynch","121",1,1,"impasse"
"KGNC3","asynch","121",2,2,"impasse"
"KGNC3","asynch","121",3,3,"impasse"
"KGNC3","asynch","121",4,3.5,"impasse"
"KGNC3","asynch","121",5,4.5,"impasse"
"KGNC3","asynch","121",6,5.5,"impasse"
"KGNC3","asynch","121",7,6.5,"impasse"
"KGNC3","asynch","121",8,7.5,"impasse"
"KGNC3","asynch","121",9,8.5,"impasse"
"KGNC3","asynch","121",10,9.5,"impasse"
"KGNC3","asynch","121",11,10.5,"impasse"
"KGNC3","asynch","121",12,11.5,"impasse"
"KGNC3","asynch","121",13,12.5,"impasse"
"HV8ZE","asynch","121",1,-1,"impasse"
"HV8ZE","asynch","121",2,-0.5,"impasse"
"HV8ZE","asynch","121",3,-1,"impasse"
"HV8ZE","asynch","121",4,-0.5,"impasse"
"HV8ZE","asynch","121",5,0.5,"impasse"
"HV8ZE","asynch","121",6,1.5,"impasse"
"HV8ZE","asynch","121",7,0.5,"impasse"
"HV8ZE","asynch","121",8,1,"impasse"
"HV8ZE","asynch","121",9,0,"impasse"
"HV8ZE","asynch","121",10,-1,"impasse"
"HV8ZE","asynch","121",11,-1.5,"impasse"
"HV8ZE","asynch","121",12,-0.5,"impasse"
"HV8ZE","asynch","121",13,0.5,"impasse"
"G5HED","asynch","111",1,-1,"control"
"G5HED","asynch","111",2,-2,"control"
"G5HED","asynch","111",3,-3,"control"
"G5HED","asynch","111",4,-4,"control"
"G5HED","asynch","111",5,-5,"control"
"G5HED","asynch","111",6,-6,"control"
"G5HED","asynch","111",7,-7,"control"
"G5HED","asynch","111",8,-8,"control"
"G5HED","asynch","111",9,-9,"control"
"G5HED","asynch","111",10,-10,"control"
"G5HED","asynch","111",11,-11,"control"
"G5HED","asynch","111",12,-12,"control"
"G5HED","asynch","111",13,-13,"control"
"V9JKJ","asynch","111",1,-1,"control"
"V9JKJ","asynch","111",2,-2,"control"
"V9JKJ","asynch","111",3,-3,"control"
"V9JKJ","asynch","111",4,-4,"control"
"V9JKJ","asynch","111",5,-5,"control"
"V9JKJ","asynch","111",6,-6,"control"
"V9JKJ","asynch","111",7,-7,"control"
"V9JKJ","asynch","111",8,-8,"control"
"V9JKJ","asynch","111",9,-9,"control"
"V9JKJ","asynch","111",10,-10,"control"
"V9JKJ","asynch","111",11,-11,"control"
"V9JKJ","asynch","111",12,-12,"control"
"V9JKJ","asynch","111",13,-13,"control"
"4YF1J","asynch","111",1,-1,"control"
"4YF1J","asynch","111",2,-2,"control"
"4YF1J","asynch","111",3,-3,"control"
"4YF1J","asynch","111",4,-3.5,"control"
"4YF1J","asynch","111",5,-2.5,"control"
"4YF1J","asynch","111",6,-3.5,"control"
"4YF1J","asynch","111",7,-4.5,"control"
"4YF1J","asynch","111",8,-5.5,"control"
"4YF1J","asynch","111",9,-6.5,"control"
"4YF1J","asynch","111",10,-7.5,"control"
"4YF1J","asynch","111",11,-8.5,"control"
"4YF1J","asynch","111",12,-8.5,"control"
"4YF1J","asynch","111",13,-9.5,"control"
"5QAJA","asynch","121",1,1,"impasse"
"5QAJA","asynch","121",2,2,"impasse"
