"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"3Z8ZL","kilo","spring18","113",0,2,2,4,10,14,"1","1","Triangular-XInside-YInside",508511,627701,204789,303722,1,"Other","First","Social Sciences (incl. CogSci)","USA","Male",18
"GQ35Z","charlie","spring18","111",5,10,15,0,2,2,"1","1","Orthogonal-XInside-YFull",528083,760792,162584,365499,1,"Other","First","Social Sciences (incl. CogSci)","Israel","Male",19
"PQN6T","thine","spring18","111",1,1,2,2,4,6,"1","1","full",327184,424958,74110,253074,1,"English","Third","Biomedical & Health Sciences","India","Female",20
"SQ6AK","tango","spring18","113",0,2,2,3,4,7,"1","1","Triangular-XInside-YInside",985019,1181855,499045,485974,1,"English","Third","Social Sciences (incl. CogSci)","US","Male",24
"WBR05","kilo","spring18","113",0,2,2,5,10,15,"1","1","Triangular-XInside-YInside",619304,763525,305918,313386,1,"English","Second","Social Sciences (incl. CogSci)","united states","Female",19
"G92Y8","bravo","spring18","113",0,2,2,5,10,15,"1","1","diagonal",498211,761327,218430,279781,1,"English","Fourth","Biomedical & Health Sciences","USA","Female",21
"781AU","alpha","spring18","111",0,2,2,3,7,10,"1","1","Orthogonal-XInside-YFull",706776,991689,312613,394163,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"YS42C","bravo","spring18","113",0,2,2,4,10,14,"1","1","diagonal",303433,565093,140568,162865,1,"English","First","Humanities","United States","Female",18
"WJWFF","bravo","spring18","112",0,2,2,5,9,14,"1","1","partial",451184,555865,172842,278342,1,"English","Fourth","Biomedical & Health Sciences","Korea ","Male",21
"GKC1Y","bravo","spring18","113",0,2,2,3,9,12,"1","1","diagonal",369973,667869,223424,146549,1,"English","Third","Humanities","United States","Female",22
"KGNTA","bravo","spring18","112",0,2,2,4,10,14,"1","1","partial",307275,573391,118339,188936,1,"English","Fifth","Social Sciences (incl. CogSci)","United States of America","Female",23
"NVGH4","kilo","spring18","113",2,9,11,0,1,1,"1","1","Triangular-XInside-YInside",1125663,1288053,340237,785426,1,"English","Second","Biomedical & Health Sciences","United States","Female",20
"BKTUJ","heaven","spring18","111",0,2,2,5,9,14,"1","1","full",722877,844727,375530,347347,1,"English","Third","Biomedical & Health Sciences","USA","Female",20
"2492T","bravo","spring18","112",5,8,13,0,2,2,"1","1","partial",325289,661610,123427,201862,1,"English","First","Social Sciences (incl. CogSci)","United States ","Female",18
"HYNA2","bravo","spring18","112",0,2,2,5,8,13,"1","1","partial",581888,861868,341814,240074,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"WWOFR","bravo","spring18","113",0,7,7,2,2,4,"1","1","diagonal",402389,674066,160905,241484,1,"English","Fifth","Biomedical & Health Sciences","USA","Female",22
"HZWEH","kilo","spring18","113",0,2,2,5,8,13,"1","1","Triangular-XInside-YInside",891065,1163882,391252,499813,1,"Other","Fourth","Biomedical & Health Sciences","USA","Female",22
"4RGO3","alpha","spring18","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",922004,1216969,364513,557491,1,"English","Fourth","Social Sciences (incl. CogSci)","United States of America","Male",21
"ELUPZ","delta","spring18","113",0,2,2,2,9,11,"1","1","Triangular-XInside-YInside",839426,1026446,334627,504799,1,"Spanish","Second","Social Sciences (incl. CogSci)","USA","Female",20
