"subject","session","term","condition","q","question","answer","rt","correct","orth_correct","explicit","impasse","axis"
"ZUJQV","kilo","spring18","113","16",NA,"Search the y-axis for the desired start time. In this case, it is 12pm. Then trace the line stemming from the mark at 12pm that angles to the right until a point is reached to find the event starting at 12pm.",84435,NA,NA,NA,NA,NA
"XKNWZ","kilo","spring18","113","16",NA,"Look on the horizontal axis and go vertical ",22502,NA,NA,NA,NA,NA
"ZB1L5","kilo","spring18","113","16",NA,"Find 12 PM on the horizontal line and go straight up to see if there are any points that indicate events that start at 12 pm.",45457,NA,NA,NA,NA,NA
"3Z8ZL","kilo","spring18","113","16",NA,"Shifts F and B start. Shift J ends, Shift I and J ends. Shift E is still going on.

Look to the left of 12 to see what shifts are still occurring/ending, and also look at 12 to see what shifts are starting.  ",61038,NA,NA,NA,NA,NA
"FN9LT","kilo","spring18","113","16",NA,"Go on the bottom, find 12pm and look to see which letters fall on that line vertically. ",30325,NA,NA,NA,NA,NA
"M3NXB","kilo","spring18","113","16",NA,"To determine what events start at 12pm, locate the 12pm time at the base of the pyramid and observe which letters are dotted along the right horizontal line coming from ""12pm""",78182,NA,NA,NA,NA,NA
"SWST4","kilo","spring18","113","16",NA,"you look where it says 12 pm
",49707,NA,NA,NA,NA,NA
"WBR05","kilo","spring18","113","16",NA,"I look at the x-axis which is the bottom axis who's title is start & end time. I look at the x-axis, i find 12pm on it and that helps me determine what starts at 12pm.",43185,NA,NA,NA,NA,NA
"X66XB","kilo","spring18","113","16",NA,"you look at the x axis, find 12pm, and movce up from there to see if either a shift starts,ends, etc.",47379,NA,NA,NA,NA,NA
"K2YPP","kilo","spring18","113","16",NA,"x axis 12 PM, so F & B",21385,NA,NA,NA,NA,NA
"NVGH4","kilo","spring18","113","16",NA,"Any dot that the diagonal line with positive/increasing slope beginning at 12pm passes through",155007,NA,NA,NA,NA,NA
"HZWEH","kilo","spring18","113","16",NA,"Compare the various start times to see who's breaks overlap and who starts work and who is finished up for the day.",29520,NA,NA,NA,NA,NA
"F98S2","kilo","spring18","113","16",NA,"i personally find 12pm on the x-axis and drag my finger upward. whichever shift overlaps i note down.",52087,NA,NA,NA,NA,NA
"UQWX4","alpha","spring18","111","16",NA,"The events that start at 12 PM will fall on a straight, upward line protruding from the 12 PM spot on the x-axis.",74211,NA,NA,NA,NA,NA
"4RGO3","alpha","spring18","111","16",NA,"Look at the x-axis(which is for start & end times), and then follow the time up vertically to see which letters start at a given time. In this case, B and F start at 12",86637,NA,NA,NA,NA,NA
"Z5Z7P","alpha","spring18","111","16",NA,"LOOK AT THE X-AXIS FOR 12 pm AND GO UP THE GRAPH",30693,NA,NA,NA,NA,NA
"781AU","alpha","spring18","111","16",NA,"Look at the x-axis (start and end time) and then look up the graph",25947,NA,NA,NA,NA,NA
"CC7G0","charlie","spring18","111","16",NA,"shifts on the line that start at 12 and goes upper right direction",124841,NA,NA,NA,NA,NA
"A9CZD","charlie","spring18","111","16",NA,"There are two diagonal lines leading away from 12PM. The one towards the left means any events ending at 12pm, and one towards the right is any events starting at 12pm. You can follow the right line to see that M and L both start at 12pm, since they are both on this line.",132503,NA,NA,NA,NA,NA
"Q8EDD","charlie","spring18","111","16",NA,"you look at the time on the bottom and then look at what dots are on that line",21600,NA,NA,NA,NA,NA
"W7EBS","charlie","spring18","111","16",NA,"Find the point of 12 PM at x axis, and the line that begins at this point and positive ",130506,NA,NA,NA,NA,NA
"EGP0T","charlie","spring18","111","16",NA,"lOOK AT THE X-AXIS FOR 12 PM AND SEE THE DOTS THAT MATCH UP WITH IT.",20801,NA,NA,NA,NA,NA
