"subject","condition","term","mode","q","response","question"
"ZUJQV","113","spring18","lab-synch",16,"Search the y-axis for the desired start time. In this case it is 12pm. Then trace the line stemming from the mark at 12pm that angles to the right until a point is reached to find the event starting at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"XKNWZ","113","spring18","lab-synch",16,"Look on the horizontal axis and go vertical","Please describe how to determine what event(s) start at 12pm?"
"ZB1L5","113","spring18","lab-synch",16,"Find 12 PM on the horizontal line and go straight up to see if there are any points that indicate events that start at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"3Z8ZL","113","spring18","lab-synch",16,"Shifts F and B start. Shift J ends Shift I and J ends. Shift E is still going on.

Look to the left of 12 to see what shifts are still occurring/ending and also look at 12 to see what shifts are starting.","Please describe how to determine what event(s) start at 12pm?"
"FN9LT","113","spring18","lab-synch",16,"Go on the bottom find 12pm and look to see which letters fall on that line vertically.","Please describe how to determine what event(s) start at 12pm?"
"M3NXB","113","spring18","lab-synch",16,"To determine what events start at 12pm locate the 12pm time at the base of the pyramid and observe which letters are dotted along the right horizontal line coming from ""12pm""","Please describe how to determine what event(s) start at 12pm?"
"SWST4","113","spring18","lab-synch",16,"you look where it says 12 pm
","Please describe how to determine what event(s) start at 12pm?"
"WBR05","113","spring18","lab-synch",16,"I look at the x-axis which is the bottom axis who's title is start & end time. I look at the x-axis i find 12pm on it and that helps me determine what starts at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"X66XB","113","spring18","lab-synch",16,"you look at the x axis find 12pm and movce up from there to see if either a shift startsends etc.","Please describe how to determine what event(s) start at 12pm?"
"K2YPP","113","spring18","lab-synch",16,"x axis 12 PM so F & B","Please describe how to determine what event(s) start at 12pm?"
"NVGH4","113","spring18","lab-synch",16,"Any dot that the diagonal line with positive/increasing slope beginning at 12pm passes through","Please describe how to determine what event(s) start at 12pm?"
"HZWEH","113","spring18","lab-synch",16,"Compare the various start times to see who's breaks overlap and who starts work and who is finished up for the day.","Please describe how to determine what event(s) start at 12pm?"
"F98S2","113","spring18","lab-synch",16,"i personally find 12pm on the x-axis and drag my finger upward. whichever shift overlaps i note down.","Please describe how to determine what event(s) start at 12pm?"
"UQWX4","111","spring18","lab-synch",16,"The events that start at 12 PM will fall on a straight upward line protruding from the 12 PM spot on the x-axis.","Please describe how to determine what event(s) start at 12pm?"
"4RGO3","111","spring18","lab-synch",16,"Look at the x-axis(which is for start & end times) and then follow the time up vertically to see which letters start at a given time. In this case B and F start at 12","Please describe how to determine what event(s) start at 12pm?"
"Z5Z7P","111","spring18","lab-synch",16,"LOOK AT THE X-AXIS FOR 12 pm AND GO UP THE GRAPH","Please describe how to determine what event(s) start at 12pm?"
"781AU","111","spring18","lab-synch",16,"Look at the x-axis (start and end time) and then look up the graph","Please describe how to determine what event(s) start at 12pm?"
"CC7G0","111","spring18","lab-synch",16,"shifts on the line that start at 12 and goes upper right direction","Please describe how to determine what event(s) start at 12pm?"
