"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode"
"G6J4A","111","winter22","asynch","Which shift(s) start at 11 am?",1,"I",FALSE,21.506,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"J",FALSE,16.131,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) begin when C ends?",3,"J",FALSE,11.161,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"B",FALSE,14.669,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,13.216,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,15.131,2,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BFIJOZ",FALSE,23.121,6,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"BFG",FALSE,5.163,3,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"M",FALSE,11.539,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"Z",FALSE,7.39,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,8.607,2,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"Z",FALSE,7.077,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"DN",FALSE,17.372,2,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Which shift(s) end at 3pm?",14,"O",FALSE,17.581,1,"Orth-Full","online-replication"
"G6J4A","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"KX",TRUE,33.727,2,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,34.002,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,8.358,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,38.638,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,145.419,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"OIJHDE",FALSE,33.98,6,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,7.876,2,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,34.386,2,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,66.185,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,89.071,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,109.111,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,11.712,2,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,10.047,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,30.765,2,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,73.377,1,"Orth-Full","online-replication"
"XAT3N","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,47.771,2,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,29.75,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,13.213,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) begin when C ends?",3,"A",FALSE,11.561,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,20.636,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,158.314,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,16.638,2,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"FZ",FALSE,34.37,2,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"EIJ",FALSE,67.886,3,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,19.462,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,35.089,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,12.738,2,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,75.068,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,87.669,2,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,35.499,1,"Orth-Full","online-replication"
"ZTKAA","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E",FALSE,66.339,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,38.258,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,57.353,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,25.315,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"DE",FALSE,12.899,2,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"JH",FALSE,109.704,2,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,16.894,2,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,50.789,2,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,133.165,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,75.81,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,290.149,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,8.825,2,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,17.594,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,59.329,2,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Which shift(s) end at 3pm?",14,"F",FALSE,93.947,1,"Orth-Full","online-replication"
"LY8BF","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,97.564,2,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,41.165,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,23.904,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,12.687,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,23.942,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,99.301,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,9.554,2,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,78.588,2,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,45.678,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,24.635,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,48.131,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,11.887,2,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,10.664,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,16.187,2,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,32.041,1,"Orth-Full","online-replication"
"58DU7","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,79.083,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,11.682,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,13.093,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,34.739,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"F",FALSE,61.366,1,"Orth-Full","online-replication"
