"subject","mode","pretty_condition","question","score"
"G6J4A","asynch","Orth-Full",1,0
"G6J4A","asynch","Orth-Full",2,0
"G6J4A","asynch","Orth-Full",3,0
"G6J4A","asynch","Orth-Full",4,0
"G6J4A","asynch","Orth-Full",5,1
"G6J4A","asynch","Orth-Full",6,1
"G6J4A","asynch","Orth-Full",7,1
"G6J4A","asynch","Orth-Full",8,1
"G6J4A","asynch","Orth-Full",9,1
"G6J4A","asynch","Orth-Full",10,1
"G6J4A","asynch","Orth-Full",11,1
"G6J4A","asynch","Orth-Full",12,1
"G6J4A","asynch","Orth-Full",13,2
"XAT3N","asynch","Orth-Full",1,0
"XAT3N","asynch","Orth-Full",2,0
"XAT3N","asynch","Orth-Full",3,0
"XAT3N","asynch","Orth-Full",4,0
"XAT3N","asynch","Orth-Full",5,0
"XAT3N","asynch","Orth-Full",6,0
"XAT3N","asynch","Orth-Full",7,0
"XAT3N","asynch","Orth-Full",8,0
"XAT3N","asynch","Orth-Full",9,0
"XAT3N","asynch","Orth-Full",10,0
"XAT3N","asynch","Orth-Full",11,0
"XAT3N","asynch","Orth-Full",12,0
"XAT3N","asynch","Orth-Full",13,0
"ZTKAA","asynch","Orth-Full",1,0
"ZTKAA","asynch","Orth-Full",2,0
"ZTKAA","asynch","Orth-Full",3,0
"ZTKAA","asynch","Orth-Full",4,0
"ZTKAA","asynch","Orth-Full",5,0
"ZTKAA","asynch","Orth-Full",6,0
"ZTKAA","asynch","Orth-Full",7,0
"ZTKAA","asynch","Orth-Full",8,0
"ZTKAA","asynch","Orth-Full",9,0
"ZTKAA","asynch","Orth-Full",10,0
"ZTKAA","asynch","Orth-Full",11,0
"ZTKAA","asynch","Orth-Full",12,0
"ZTKAA","asynch","Orth-Full",13,0
"LY8BF","asynch","Orth-Full",1,0
"LY8BF","asynch","Orth-Full",2,0
"LY8BF","asynch","Orth-Full",3,0
"LY8BF","asynch","Orth-Full",4,0
"LY8BF","asynch","Orth-Full",5,0
"LY8BF","asynch","Orth-Full",6,0
"LY8BF","asynch","Orth-Full",7,0
"LY8BF","asynch","Orth-Full",8,0
"LY8BF","asynch","Orth-Full",9,0
"LY8BF","asynch","Orth-Full",10,0
"LY8BF","asynch","Orth-Full",11,0
"LY8BF","asynch","Orth-Full",12,0
"LY8BF","asynch","Orth-Full",13,0
"58DU7","asynch","Orth-Full",1,0
"58DU7","asynch","Orth-Full",2,0
"58DU7","asynch","Orth-Full",3,0
"58DU7","asynch","Orth-Full",4,0
"58DU7","asynch","Orth-Full",5,0
"58DU7","asynch","Orth-Full",6,0
"58DU7","asynch","Orth-Full",7,0
"58DU7","asynch","Orth-Full",8,0
"58DU7","asynch","Orth-Full",9,0
"58DU7","asynch","Orth-Full",10,0
"58DU7","asynch","Orth-Full",11,0
"58DU7","asynch","Orth-Full",12,0
"58DU7","asynch","Orth-Full",13,0
"P9XXX","asynch","Orth-Full",1,0
"P9XXX","asynch","Orth-Full",2,0
"P9XXX","asynch","Orth-Full",3,0
"P9XXX","asynch","Orth-Full",4,0
"P9XXX","asynch","Orth-Full",5,0
"P9XXX","asynch","Orth-Full",6,0
"P9XXX","asynch","Orth-Full",7,0
"P9XXX","asynch","Orth-Full",8,0
"P9XXX","asynch","Orth-Full",9,0
"P9XXX","asynch","Orth-Full",10,0
"P9XXX","asynch","Orth-Full",11,0
"P9XXX","asynch","Orth-Full",12,0
"P9XXX","asynch","Orth-Full",13,0
"VO9EL","asynch","Orth-Full",1,0
"VO9EL","asynch","Orth-Full",2,0
"VO9EL","asynch","Orth-Full",3,0
"VO9EL","asynch","Orth-Full",4,0
"VO9EL","asynch","Orth-Full",5,0
"VO9EL","asynch","Orth-Full",6,0
"VO9EL","asynch","Orth-Full",7,0
"VO9EL","asynch","Orth-Full",8,0
"VO9EL","asynch","Orth-Full",9,0
"VO9EL","asynch","Orth-Full",10,0
"VO9EL","asynch","Orth-Full",11,0
"VO9EL","asynch","Orth-Full",12,0
"VO9EL","asynch","Orth-Full",13,0
"XTF1P","asynch","Orth-Full",1,0
"XTF1P","asynch","Orth-Full",2,0
"XTF1P","asynch","Orth-Full",3,0
"XTF1P","asynch","Orth-Full",4,0
"XTF1P","asynch","Orth-Full",5,1
"XTF1P","asynch","Orth-Full",6,1
"XTF1P","asynch","Orth-Full",7,1
"XTF1P","asynch","Orth-Full",8,1
"XTF1P","asynch","Orth-Full",9,1
"XTF1P","asynch","Orth-Full",10,1
"XTF1P","asynch","Orth-Full",11,1
"XTF1P","asynch","Orth-Full",12,1
"XTF1P","asynch","Orth-Full",13,2
"HMOWY","asynch","Orth-Full",1,0
"HMOWY","asynch","Orth-Full",2,0
"HMOWY","asynch","Orth-Full",3,0
"HMOWY","asynch","Orth-Full",4,0
"HMOWY","asynch","Orth-Full",5,0
"HMOWY","asynch","Orth-Full",6,0
"HMOWY","asynch","Orth-Full",7,0
"HMOWY","asynch","Orth-Full",8,0
"HMOWY","asynch","Orth-Full",9,1
"HMOWY","asynch","Orth-Full",10,1
"HMOWY","asynch","Orth-Full",11,1
"HMOWY","asynch","Orth-Full",12,1
"HMOWY","asynch","Orth-Full",13,1
"D1CG5","asynch","Orth-Full",1,0
"D1CG5","asynch","Orth-Full",2,0
"D1CG5","asynch","Orth-Full",3,0
"D1CG5","asynch","Orth-Full",4,0
"D1CG5","asynch","Orth-Full",5,1
"D1CG5","asynch","Orth-Full",6,1
"D1CG5","asynch","Orth-Full",7,1
"D1CG5","asynch","Orth-Full",8,1
"D1CG5","asynch","Orth-Full",9,1
"D1CG5","asynch","Orth-Full",10,1
"D1CG5","asynch","Orth-Full",11,1
"D1CG5","asynch","Orth-Full",12,1
"D1CG5","asynch","Orth-Full",13,1
"O1OA5","asynch","Orth-Full",1,0
"O1OA5","asynch","Orth-Full",2,0
"O1OA5","asynch","Orth-Full",3,0
"O1OA5","asynch","Orth-Full",4,0
"O1OA5","asynch","Orth-Full",5,1
"O1OA5","asynch","Orth-Full",6,2
"O1OA5","asynch","Orth-Full",7,2
"O1OA5","asynch","Orth-Full",8,3
"O1OA5","asynch","Orth-Full",9,4
"O1OA5","asynch","Orth-Full",10,5
"O1OA5","asynch","Orth-Full",11,6
"O1OA5","asynch","Orth-Full",12,7
"O1OA5","asynch","Orth-Full",13,8
"JX5XC","asynch","Orth-Full",1,0
"JX5XC","asynch","Orth-Full",2,0
"JX5XC","asynch","Orth-Full",3,0
"JX5XC","asynch","Orth-Full",4,0
"JX5XC","asynch","Orth-Full",5,0
"JX5XC","asynch","Orth-Full",6,0
"JX5XC","asynch","Orth-Full",7,0
"JX5XC","asynch","Orth-Full",8,0
"JX5XC","asynch","Orth-Full",9,0
"JX5XC","asynch","Orth-Full",10,0
"JX5XC","asynch","Orth-Full",11,0
"JX5XC","asynch","Orth-Full",12,0
"JX5XC","asynch","Orth-Full",13,0
"B570P","asynch","Orth-Full",1,0
"B570P","asynch","Orth-Full",2,0
"B570P","asynch","Orth-Full",3,0
"B570P","asynch","Orth-Full",4,1
"B570P","asynch","Orth-Full",5,1
"B570P","asynch","Orth-Full",6,1
"B570P","asynch","Orth-Full",7,1
"B570P","asynch","Orth-Full",8,1
"B570P","asynch","Orth-Full",9,1
"B570P","asynch","Orth-Full",10,1
"B570P","asynch","Orth-Full",11,1
"B570P","asynch","Orth-Full",12,1
"B570P","asynch","Orth-Full",13,2
"E0XXW","asynch","Orth-Full",1,0
"E0XXW","asynch","Orth-Full",2,0
"E0XXW","asynch","Orth-Full",3,0
"E0XXW","asynch","Orth-Full",4,0
"E0XXW","asynch","Orth-Full",5,1
"E0XXW","asynch","Orth-Full",6,1
"E0XXW","asynch","Orth-Full",7,1
"E0XXW","asynch","Orth-Full",8,1
"E0XXW","asynch","Orth-Full",9,1
"E0XXW","asynch","Orth-Full",10,1
"E0XXW","asynch","Orth-Full",11,1
"E0XXW","asynch","Orth-Full",12,1
"E0XXW","asynch","Orth-Full",13,2
"E7OZO","asynch","Orth-Full",1,0
"E7OZO","asynch","Orth-Full",2,0
"E7OZO","asynch","Orth-Full",3,0
"E7OZO","asynch","Orth-Full",4,0
"E7OZO","asynch","Orth-Full",5,0
"E7OZO","asynch","Orth-Full",6,0
"E7OZO","asynch","Orth-Full",7,0
"E7OZO","asynch","Orth-Full",8,0
"E7OZO","asynch","Orth-Full",9,0
"E7OZO","asynch","Orth-Full",10,0
"E7OZO","asynch","Orth-Full",11,0
"E7OZO","asynch","Orth-Full",12,0
"E7OZO","asynch","Orth-Full",13,1
"6XOP3","asynch","Orth-Full",1,0
"6XOP3","asynch","Orth-Full",2,0
"6XOP3","asynch","Orth-Full",3,0
"6XOP3","asynch","Orth-Full",4,0
"6XOP3","asynch","Orth-Full",5,1
"6XOP3","asynch","Orth-Full",6,1
"6XOP3","asynch","Orth-Full",7,1
"6XOP3","asynch","Orth-Full",8,1
"6XOP3","asynch","Orth-Full",9,1
"6XOP3","asynch","Orth-Full",10,1
"6XOP3","asynch","Orth-Full",11,2
"6XOP3","asynch","Orth-Full",12,2
"6XOP3","asynch","Orth-Full",13,2
"QTJAD","asynch","Orth-Full",1,0
"QTJAD","asynch","Orth-Full",2,1
"QTJAD","asynch","Orth-Full",3,2
"QTJAD","asynch","Orth-Full",4,3
"QTJAD","asynch","Orth-Full",5,4
"QTJAD","asynch","Orth-Full",6,5
"QTJAD","asynch","Orth-Full",7,6
"QTJAD","asynch","Orth-Full",8,7
"QTJAD","asynch","Orth-Full",9,8
"QTJAD","asynch","Orth-Full",10,9
"QTJAD","asynch","Orth-Full",11,10
"QTJAD","asynch","Orth-Full",12,11
"QTJAD","asynch","Orth-Full",13,12
"N7DH0","asynch","Orth-Full",1,1
"N7DH0","asynch","Orth-Full",2,2
"N7DH0","asynch","Orth-Full",3,2
"N7DH0","asynch","Orth-Full",4,2
"N7DH0","asynch","Orth-Full",5,2
"N7DH0","asynch","Orth-Full",6,3
"N7DH0","asynch","Orth-Full",7,3
"N7DH0","asynch","Orth-Full",8,4
"N7DH0","asynch","Orth-Full",9,5
"N7DH0","asynch","Orth-Full",10,6
"N7DH0","asynch","Orth-Full",11,7
"N7DH0","asynch","Orth-Full",12,8
"N7DH0","asynch","Orth-Full",13,8
"FRBN1","asynch","Orth-Full",1,0
"FRBN1","asynch","Orth-Full",2,0
"FRBN1","asynch","Orth-Full",3,0
"FRBN1","asynch","Orth-Full",4,0
"FRBN1","asynch","Orth-Full",5,1
"FRBN1","asynch","Orth-Full",6,1
"FRBN1","asynch","Orth-Full",7,1
"FRBN1","asynch","Orth-Full",8,1
"FRBN1","asynch","Orth-Full",9,1
"FRBN1","asynch","Orth-Full",10,1
"FRBN1","asynch","Orth-Full",11,1
"FRBN1","asynch","Orth-Full",12,1
"FRBN1","asynch","Orth-Full",13,1
"7U3D3","asynch","Orth-Full",1,0
"7U3D3","asynch","Orth-Full",2,0
"7U3D3","asynch","Orth-Full",3,0
"7U3D3","asynch","Orth-Full",4,0
"7U3D3","asynch","Orth-Full",5,0
"7U3D3","asynch","Orth-Full",6,0
"7U3D3","asynch","Orth-Full",7,0
"7U3D3","asynch","Orth-Full",8,0
"7U3D3","asynch","Orth-Full",9,0
"7U3D3","asynch","Orth-Full",10,0
"7U3D3","asynch","Orth-Full",11,0
"7U3D3","asynch","Orth-Full",12,0
"7U3D3","asynch","Orth-Full",13,0
"1TY3A","asynch","Orth-Full",1,0
"1TY3A","asynch","Orth-Full",2,0
"1TY3A","asynch","Orth-Full",3,1
"1TY3A","asynch","Orth-Full",4,2
"1TY3A","asynch","Orth-Full",5,3
"1TY3A","asynch","Orth-Full",6,4
"1TY3A","asynch","Orth-Full",7,5
"1TY3A","asynch","Orth-Full",8,6
"1TY3A","asynch","Orth-Full",9,7
"1TY3A","asynch","Orth-Full",10,8
"1TY3A","asynch","Orth-Full",11,9
"1TY3A","asynch","Orth-Full",12,10
"1TY3A","asynch","Orth-Full",13,11
"FVVX3","asynch","Orth-Full",1,0
"FVVX3","asynch","Orth-Full",2,0
"FVVX3","asynch","Orth-Full",3,0
"FVVX3","asynch","Orth-Full",4,0
"FVVX3","asynch","Orth-Full",5,0
"FVVX3","asynch","Orth-Full",6,0
"FVVX3","asynch","Orth-Full",7,0
"FVVX3","asynch","Orth-Full",8,0
"FVVX3","asynch","Orth-Full",9,0
"FVVX3","asynch","Orth-Full",10,0
"FVVX3","asynch","Orth-Full",11,0
"FVVX3","asynch","Orth-Full",12,0
"FVVX3","asynch","Orth-Full",13,0
"78OYN","asynch","Orth-Full",1,0
"78OYN","asynch","Orth-Full",2,0
"78OYN","asynch","Orth-Full",3,0
"78OYN","asynch","Orth-Full",4,0
"78OYN","asynch","Orth-Full",5,0
"78OYN","asynch","Orth-Full",6,0
"78OYN","asynch","Orth-Full",7,0
"78OYN","asynch","Orth-Full",8,0
"78OYN","asynch","Orth-Full",9,0
"78OYN","asynch","Orth-Full",10,0
"78OYN","asynch","Orth-Full",11,0
"78OYN","asynch","Orth-Full",12,0
"78OYN","asynch","Orth-Full",13,0
"NTFMX","asynch","Orth-Full",1,0
"NTFMX","asynch","Orth-Full",2,0
"NTFMX","asynch","Orth-Full",3,0
"NTFMX","asynch","Orth-Full",4,0
"NTFMX","asynch","Orth-Full",5,0
"NTFMX","asynch","Orth-Full",6,0
"NTFMX","asynch","Orth-Full",7,0
"NTFMX","asynch","Orth-Full",8,0
"NTFMX","asynch","Orth-Full",9,0
"NTFMX","asynch","Orth-Full",10,0
"NTFMX","asynch","Orth-Full",11,0
"NTFMX","asynch","Orth-Full",12,0
"NTFMX","asynch","Orth-Full",13,0
"QLD8P","asynch","Orth-Full",1,0
"QLD8P","asynch","Orth-Full",2,0
"QLD8P","asynch","Orth-Full",3,0
"QLD8P","asynch","Orth-Full",4,0
"QLD8P","asynch","Orth-Full",5,0
"QLD8P","asynch","Orth-Full",6,0
"QLD8P","asynch","Orth-Full",7,0
"QLD8P","asynch","Orth-Full",8,0
"QLD8P","asynch","Orth-Full",9,0
"QLD8P","asynch","Orth-Full",10,0
"QLD8P","asynch","Orth-Full",11,0
"QLD8P","asynch","Orth-Full",12,0
"QLD8P","asynch","Orth-Full",13,1
"MWN89","asynch","Orth-Full",1,0
"MWN89","asynch","Orth-Full",2,0
"MWN89","asynch","Orth-Full",3,0
"MWN89","asynch","Orth-Full",4,0
"MWN89","asynch","Orth-Full",5,0
"MWN89","asynch","Orth-Full",6,0
"MWN89","asynch","Orth-Full",7,0
"MWN89","asynch","Orth-Full",8,0
"MWN89","asynch","Orth-Full",9,0
"MWN89","asynch","Orth-Full",10,0
"MWN89","asynch","Orth-Full",11,0
"MWN89","asynch","Orth-Full",12,0
"MWN89","asynch","Orth-Full",13,0
"XCEL0","asynch","Orth-Full",1,0
"XCEL0","asynch","Orth-Full",2,0
"XCEL0","asynch","Orth-Full",3,0
"XCEL0","asynch","Orth-Full",4,0
"XCEL0","asynch","Orth-Full",5,0
"XCEL0","asynch","Orth-Full",6,0
"XCEL0","asynch","Orth-Full",7,0
"XCEL0","asynch","Orth-Full",8,0
"XCEL0","asynch","Orth-Full",9,0
"XCEL0","asynch","Orth-Full",10,0
"XCEL0","asynch","Orth-Full",11,0
"XCEL0","asynch","Orth-Full",12,0
"XCEL0","asynch","Orth-Full",13,0
"WFBRO","asynch","Orth-Full",1,0
"WFBRO","asynch","Orth-Full",2,0
"WFBRO","asynch","Orth-Full",3,0
"WFBRO","asynch","Orth-Full",4,0
"WFBRO","asynch","Orth-Full",5,0
"WFBRO","asynch","Orth-Full",6,0
"WFBRO","asynch","Orth-Full",7,0
"WFBRO","asynch","Orth-Full",8,0
"WFBRO","asynch","Orth-Full",9,0
"WFBRO","asynch","Orth-Full",10,0
"WFBRO","asynch","Orth-Full",11,0
"WFBRO","asynch","Orth-Full",12,0
"WFBRO","asynch","Orth-Full",13,0
"LO5PT","asynch","Orth-Full",1,0
"LO5PT","asynch","Orth-Full",2,0
"LO5PT","asynch","Orth-Full",3,0
"LO5PT","asynch","Orth-Full",4,0
"LO5PT","asynch","Orth-Full",5,0
"LO5PT","asynch","Orth-Full",6,0
"LO5PT","asynch","Orth-Full",7,0
"LO5PT","asynch","Orth-Full",8,0
"LO5PT","asynch","Orth-Full",9,0
"LO5PT","asynch","Orth-Full",10,0
"LO5PT","asynch","Orth-Full",11,0
"LO5PT","asynch","Orth-Full",12,0
"LO5PT","asynch","Orth-Full",13,0
"7FMA3","asynch","Orth-Grid",1,0
"7FMA3","asynch","Orth-Grid",2,0
"7FMA3","asynch","Orth-Grid",3,0
"7FMA3","asynch","Orth-Grid",4,0
"7FMA3","asynch","Orth-Grid",5,1
"7FMA3","asynch","Orth-Grid",6,1
"7FMA3","asynch","Orth-Grid",7,1
"7FMA3","asynch","Orth-Grid",8,1
"7FMA3","asynch","Orth-Grid",9,1
"7FMA3","asynch","Orth-Grid",10,1
"7FMA3","asynch","Orth-Grid",11,1
"7FMA3","asynch","Orth-Grid",12,1
"7FMA3","asynch","Orth-Grid",13,1
"AA4UN","asynch","Orth-Full",1,0
"AA4UN","asynch","Orth-Full",2,0
"AA4UN","asynch","Orth-Full",3,0
"AA4UN","asynch","Orth-Full",4,1
"AA4UN","asynch","Orth-Full",5,2
"AA4UN","asynch","Orth-Full",6,3
"AA4UN","asynch","Orth-Full",7,4
"AA4UN","asynch","Orth-Full",8,5
"AA4UN","asynch","Orth-Full",9,6
"AA4UN","asynch","Orth-Full",10,6
"AA4UN","asynch","Orth-Full",11,7
"AA4UN","asynch","Orth-Full",12,8
"AA4UN","asynch","Orth-Full",13,9
"JPGBL","asynch","Orth-Full",1,1
"JPGBL","asynch","Orth-Full",2,2
"JPGBL","asynch","Orth-Full",3,3
"JPGBL","asynch","Orth-Full",4,4
"JPGBL","asynch","Orth-Full",5,5
"JPGBL","asynch","Orth-Full",6,6
"JPGBL","asynch","Orth-Full",7,7
"JPGBL","asynch","Orth-Full",8,8
"JPGBL","asynch","Orth-Full",9,9
"JPGBL","asynch","Orth-Full",10,10
"JPGBL","asynch","Orth-Full",11,11
"JPGBL","asynch","Orth-Full",12,12
"JPGBL","asynch","Orth-Full",13,13
"1NXAS","asynch","Orth-Grid",1,0
"1NXAS","asynch","Orth-Grid",2,0
"1NXAS","asynch","Orth-Grid",3,0
"1NXAS","asynch","Orth-Grid",4,0
"1NXAS","asynch","Orth-Grid",5,0
"1NXAS","asynch","Orth-Grid",6,0
"1NXAS","asynch","Orth-Grid",7,0
"1NXAS","asynch","Orth-Grid",8,0
"1NXAS","asynch","Orth-Grid",9,0
"1NXAS","asynch","Orth-Grid",10,0
"1NXAS","asynch","Orth-Grid",11,0
"1NXAS","asynch","Orth-Grid",12,0
"1NXAS","asynch","Orth-Grid",13,0
"FGQ0U","asynch","Orth-Grid",1,0
"FGQ0U","asynch","Orth-Grid",2,0
"FGQ0U","asynch","Orth-Grid",3,0
"FGQ0U","asynch","Orth-Grid",4,0
"FGQ0U","asynch","Orth-Grid",5,0
"FGQ0U","asynch","Orth-Grid",6,0
"FGQ0U","asynch","Orth-Grid",7,0
"FGQ0U","asynch","Orth-Grid",8,0
"FGQ0U","asynch","Orth-Grid",9,0
"FGQ0U","asynch","Orth-Grid",10,0
"FGQ0U","asynch","Orth-Grid",11,0
"FGQ0U","asynch","Orth-Grid",12,0
"FGQ0U","asynch","Orth-Grid",13,0
"LS40A","asynch","Orth-Sparse",1,0
"LS40A","asynch","Orth-Sparse",2,0
"LS40A","asynch","Orth-Sparse",3,0
"LS40A","asynch","Orth-Sparse",4,0
"LS40A","asynch","Orth-Sparse",5,1
"LS40A","asynch","Orth-Sparse",6,1
"LS40A","asynch","Orth-Sparse",7,1
"LS40A","asynch","Orth-Sparse",8,1
"LS40A","asynch","Orth-Sparse",9,1
"LS40A","asynch","Orth-Sparse",10,1
"LS40A","asynch","Orth-Sparse",11,1
"LS40A","asynch","Orth-Sparse",12,1
"LS40A","asynch","Orth-Sparse",13,1
"Y2RLM","asynch","Orth-Grid",1,0
"Y2RLM","asynch","Orth-Grid",2,0
"Y2RLM","asynch","Orth-Grid",3,0
"Y2RLM","asynch","Orth-Grid",4,0
"Y2RLM","asynch","Orth-Grid",5,0
"Y2RLM","asynch","Orth-Grid",6,0
"Y2RLM","asynch","Orth-Grid",7,0
"Y2RLM","asynch","Orth-Grid",8,1
"Y2RLM","asynch","Orth-Grid",9,1
"Y2RLM","asynch","Orth-Grid",10,1
"Y2RLM","asynch","Orth-Grid",11,1
"Y2RLM","asynch","Orth-Grid",12,1
"Y2RLM","asynch","Orth-Grid",13,1
"R8DPA","asynch","Orth-Grid",1,0
"R8DPA","asynch","Orth-Grid",2,0
"R8DPA","asynch","Orth-Grid",3,0
"R8DPA","asynch","Orth-Grid",4,0
"R8DPA","asynch","Orth-Grid",5,0
"R8DPA","asynch","Orth-Grid",6,0
"R8DPA","asynch","Orth-Grid",7,0
"R8DPA","asynch","Orth-Grid",8,0
