"subject","mode","pretty_condition","question","score"
"G6J4A","asynch","Orth-Full",1,-0.5
"G6J4A","asynch","Orth-Full",2,0
"G6J4A","asynch","Orth-Full",3,0.5
"G6J4A","asynch","Orth-Full",4,1
"G6J4A","asynch","Orth-Full",5,2
"G6J4A","asynch","Orth-Full",6,1.5
"G6J4A","asynch","Orth-Full",7,2.5
"G6J4A","asynch","Orth-Full",8,3
"G6J4A","asynch","Orth-Full",9,2
"G6J4A","asynch","Orth-Full",10,2.5
"G6J4A","asynch","Orth-Full",11,2
"G6J4A","asynch","Orth-Full",12,1.5
"G6J4A","asynch","Orth-Full",13,2.5
"XAT3N","asynch","Orth-Full",1,-1
"XAT3N","asynch","Orth-Full",2,-2
"XAT3N","asynch","Orth-Full",3,-3
"XAT3N","asynch","Orth-Full",4,-4
"XAT3N","asynch","Orth-Full",5,-4.5
"XAT3N","asynch","Orth-Full",6,-5.5
"XAT3N","asynch","Orth-Full",7,-6.5
"XAT3N","asynch","Orth-Full",8,-7.5
"XAT3N","asynch","Orth-Full",9,-8.5
"XAT3N","asynch","Orth-Full",10,-9.5
"XAT3N","asynch","Orth-Full",11,-10.5
"XAT3N","asynch","Orth-Full",12,-11.5
"XAT3N","asynch","Orth-Full",13,-12.5
"ZTKAA","asynch","Orth-Full",1,-1
"ZTKAA","asynch","Orth-Full",2,-2
"ZTKAA","asynch","Orth-Full",3,-2.5
"ZTKAA","asynch","Orth-Full",4,-3.5
"ZTKAA","asynch","Orth-Full",5,-4.5
"ZTKAA","asynch","Orth-Full",6,-5.5
"ZTKAA","asynch","Orth-Full",7,-6.5
"ZTKAA","asynch","Orth-Full",8,-7.5
"ZTKAA","asynch","Orth-Full",9,-8.5
"ZTKAA","asynch","Orth-Full",10,-9.5
"ZTKAA","asynch","Orth-Full",11,-10.5
"ZTKAA","asynch","Orth-Full",12,-11.5
"ZTKAA","asynch","Orth-Full",13,-12.5
"LY8BF","asynch","Orth-Full",1,-1
"LY8BF","asynch","Orth-Full",2,-2
"LY8BF","asynch","Orth-Full",3,-3
"LY8BF","asynch","Orth-Full",4,-3.5
"LY8BF","asynch","Orth-Full",5,-4
"LY8BF","asynch","Orth-Full",6,-5
"LY8BF","asynch","Orth-Full",7,-6
"LY8BF","asynch","Orth-Full",8,-7
"LY8BF","asynch","Orth-Full",9,-8
"LY8BF","asynch","Orth-Full",10,-9
"LY8BF","asynch","Orth-Full",11,-10
"LY8BF","asynch","Orth-Full",12,-10.5
"LY8BF","asynch","Orth-Full",13,-11.5
"58DU7","asynch","Orth-Full",1,-1
"58DU7","asynch","Orth-Full",2,-2
"58DU7","asynch","Orth-Full",3,-3
"58DU7","asynch","Orth-Full",4,-4
"58DU7","asynch","Orth-Full",5,-5
"58DU7","asynch","Orth-Full",6,-6
"58DU7","asynch","Orth-Full",7,-7
"58DU7","asynch","Orth-Full",8,-8
"58DU7","asynch","Orth-Full",9,-9
"58DU7","asynch","Orth-Full",10,-10
"58DU7","asynch","Orth-Full",11,-11
"58DU7","asynch","Orth-Full",12,-12
"58DU7","asynch","Orth-Full",13,-13
"P9XXX","asynch","Orth-Full",1,-1
"P9XXX","asynch","Orth-Full",2,-2
"P9XXX","asynch","Orth-Full",3,-3
"P9XXX","asynch","Orth-Full",4,-3.5
"P9XXX","asynch","Orth-Full",5,-4
"P9XXX","asynch","Orth-Full",6,-5
"P9XXX","asynch","Orth-Full",7,-5.5
"P9XXX","asynch","Orth-Full",8,-6
"P9XXX","asynch","Orth-Full",9,-7
"P9XXX","asynch","Orth-Full",10,-8
"P9XXX","asynch","Orth-Full",11,-9
"P9XXX","asynch","Orth-Full",12,-8
"P9XXX","asynch","Orth-Full",13,-7
"VO9EL","asynch","Orth-Full",1,-1
"VO9EL","asynch","Orth-Full",2,-2
"VO9EL","asynch","Orth-Full",3,-3
"VO9EL","asynch","Orth-Full",4,-4
"VO9EL","asynch","Orth-Full",5,-5
"VO9EL","asynch","Orth-Full",6,-6
"VO9EL","asynch","Orth-Full",7,-7
"VO9EL","asynch","Orth-Full",8,-8
"VO9EL","asynch","Orth-Full",9,-9
"VO9EL","asynch","Orth-Full",10,-10
"VO9EL","asynch","Orth-Full",11,-11
"VO9EL","asynch","Orth-Full",12,-12
"VO9EL","asynch","Orth-Full",13,-13
"XTF1P","asynch","Orth-Full",1,-1
"XTF1P","asynch","Orth-Full",2,-2
"XTF1P","asynch","Orth-Full",3,-3
"XTF1P","asynch","Orth-Full",4,-4
"XTF1P","asynch","Orth-Full",5,-3
"XTF1P","asynch","Orth-Full",6,-4
"XTF1P","asynch","Orth-Full",7,-5
"XTF1P","asynch","Orth-Full",8,-6
"XTF1P","asynch","Orth-Full",9,-7
"XTF1P","asynch","Orth-Full",10,-8
"XTF1P","asynch","Orth-Full",11,-9
"XTF1P","asynch","Orth-Full",12,-10
"XTF1P","asynch","Orth-Full",13,-9
"HMOWY","asynch","Orth-Full",1,-1
"HMOWY","asynch","Orth-Full",2,-2
"HMOWY","asynch","Orth-Full",3,-3
"HMOWY","asynch","Orth-Full",4,-4
"HMOWY","asynch","Orth-Full",5,-4.5
"HMOWY","asynch","Orth-Full",6,-5.5
"HMOWY","asynch","Orth-Full",7,-6.5
"HMOWY","asynch","Orth-Full",8,-7.5
"HMOWY","asynch","Orth-Full",9,-6.5
"HMOWY","asynch","Orth-Full",10,-7.5
"HMOWY","asynch","Orth-Full",11,-8.5
"HMOWY","asynch","Orth-Full",12,-9.5
"HMOWY","asynch","Orth-Full",13,-10.5
"D1CG5","asynch","Orth-Full",1,-1
"D1CG5","asynch","Orth-Full",2,-2
"D1CG5","asynch","Orth-Full",3,-2.5
"D1CG5","asynch","Orth-Full",4,-3
"D1CG5","asynch","Orth-Full",5,-2
"D1CG5","asynch","Orth-Full",6,-3
"D1CG5","asynch","Orth-Full",7,-4
"D1CG5","asynch","Orth-Full",8,-5
"D1CG5","asynch","Orth-Full",9,-6
"D1CG5","asynch","Orth-Full",10,-7
"D1CG5","asynch","Orth-Full",11,-7.5
"D1CG5","asynch","Orth-Full",12,-8.5
"D1CG5","asynch","Orth-Full",13,-9.5
"O1OA5","asynch","Orth-Full",1,-1
"O1OA5","asynch","Orth-Full",2,-2
"O1OA5","asynch","Orth-Full",3,-3
