"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode","IMPASSE","score_TRI","score_ORTH","score_BOTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","override","score_SCALED","score_STATE"
"G6J4A","111","winter22","asynch","Which shift(s) start at 11 am?",1,"I",FALSE,21.506,1,"Orth-Full","online-replication","none",-0.0769230769230769,0,-0.0769230769230769,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,0,"score_ORTH",0.0769230769230769,"?","?","neg.trans","",-0.5,"unknown"
"G6J4A","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"J",FALSE,16.131,1,"Orth-Full","online-replication","none",-0.0833333333333333,-0.0833333333333333,-0.0769230769230769,NA,NA,0.25,-0.0909090909090909,-0.0769230769230769,1,0,0,0,1,"score_TV_duration",NA,NA,1,"score_TVERSKY",1.08333333333333,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
"G6J4A","111","winter22","asynch","Which shift(s) begin when C ends?",3,"J",FALSE,11.161,1,"Orth-Full","online-replication","none",-0.0833333333333333,-0.1,-0.0769230769230769,NA,NA,0.166666666666667,0.5,-0.0833333333333333,-0.0909090909090909,0,0,0,0.5,"score_TV_start",NA,NA,0.5,"score_TVERSKY",0.6,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
"G6J4A","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"B",FALSE,14.669,1,"Orth-Full","online-replication","none",-0.0714285714285714,-0.0833333333333333,-0.0769230769230769,NA,NA,0.5,1,-0.0714285714285714,NA,0,0,0,1,"score_TV_start",NA,NA,1,"score_TVERSKY",1.08333333333333,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
"G6J4A","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,13.216,1,"Orth-Full","online-replication","none",1,-0.0769230769230769,0.5,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,1,1,-0.0769230769230769,"score_TV_start",NA,NA,1,"score_TRI",1.07692307692308,"Triangular","Triangular","triangular","",1,"tri-like"
"G6J4A","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,15.131,2,"Orth-Full","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"G6J4A","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BFIJOZ",FALSE,23.121,6,"Orth-Full","online-replication","none",0.1875,0.733333333333333,0.535714285714286,NA,NA,0.3,0.1875,0.535714285714286,-0.375,0,0,0,0.535714285714286,"score_TV_end",NA,NA,0.733333333333333,"score_ORTH",0.545833333333333,"frenzy","frenzy","neg.trans","",-0.5,"unknown"
"G6J4A","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"BFG",FALSE,5.163,3,"Orth-Full","online-replication","none",0.933333333333333,-0.0714285714285714,0.375,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0.933333333333333,"score_TRI",1.0047619047619,"Tversky","Tversky","pos.trans","Triangular",0.5,"tri-like"
"G6J4A","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"M",FALSE,11.539,1,"Orth-Full","online-replication","none",-0.0666666666666667,-0.0666666666666667,-0.0588235294117647,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,-0.0666666666666667,"score_TRI",0,"?","?","neg.trans","",-0.5,"unknown"
"G6J4A","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"Z",FALSE,7.39,1,"Orth-Full","online-replication","none",-0.0625,-0.0625,-0.0625,NA,NA,0.333333333333333,-0.0625,-0.0625,1,0,0,0,1,"score_TV_duration",NA,NA,1,"score_TVERSKY",1.0625,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
