"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"06PK3","114","Orth-Sparse","summer22","asynch","Female",20,"English","Fourth","United States","I tried my best on each question","3","3","4","","no",14.9628166666667,"1.5","chrome","1920","937","online-replication",-0.42384184443008,12,-0.646250808015514,0,0,0,0,-12,0,12.2562,56.5670769230769,7.894,338.932,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",16.779,0,0,"blank",338.932,0,"Orthogonal",25.165,0,"Orthogonal",59.11,0,-4,7.65821666666667,0,-8,4.59798333333333
"075KR","115","Orth-Grid","winter22","asynch","Male",21,"Mandarin","Third","China","I tried my best on each question","3","4","3","","",5.97968333333333,"1","chrome","1920","937","online-replication",0.447644022644023,2.57248168498168,2.76071428571429,0,0,1,1,-4,0.0769230769230769,3.66985,16.9377692307692,4.712,44.448,1,3,2,0,7,2,6,1,0,-1,"Orthogonal",11.284,0,0.5,"Tversky",14.076,0,"frenzy",44.448,1,"Triangular",16.35,0,-1,0.96695,1,-3,2.7029
"07FGZ","114","Orth-Sparse","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on most questions","3","2","3","","",8.332,"1","chrome","1326","690","online-replication",-0.452250935339171,12.5,-0.0874272786037492,0,0,0,0,-13,0,5.58111666666667,25.759,6.877,58.738,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",31.719,0,-1,"Orthogonal",27.507,0,"Orthogonal",14.767,0,"Orthogonal",26.494,0,-5,2.54838333333333,0,-8,3.03273333333333
"083AY","113","Tri-Sparse","winter22","asynch","Female",21,"X-Other","Fourth","U.S. ","I tried my best on most questions","3","3","2","","no",12.2249833333333,"1","chrome","1440","732","online-replication",10.8397435897436,1.62615815556992,6.44139194139194,0,0,11,11,9,0.846153846153846,6.59071666666667,30.4186923076923,9.005,57.304,11,2,0,0,0,0,0,0,0,-1,"Orthogonal",51.354,1,1,"Triangular",17.96,1,"Triangular",49.967,1,"Triangular",24.919,3,1,2.5152,8,8,4.07551666666667
"08WET","113","Tri-Sparse","spring18","lab-synch","Female",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.16745,"NULL","NULL","NULL","NULL","laboratory",8.63141025641026,2.65949148890325,4.64972527472527,0,0,9,9,6.5,0.692307692307692,7.36886666666667,34.0101538461538,7.405,173.73,9,3,1,0,0,1,0,0,0,-1,"Orthogonal",32.45,1,1,"Triangular",21.63,0,"Orthogonal",21.114,1,"Triangular",19.913,2,0.5,4.78118333333333,7,6,2.58768333333333
"0BTAJ","113","Tri-Sparse","winter22","asynch","Female",21,"English","Fourth","USA","I tried my best on most questions","4","4","3","","nO",6.33011666666667,"1","chrome","1440","764","online-replication",10.444696969697,0.228722258134023,7.07466063348416,0,0,10,10,9.5,0.769230769230769,3.93103333333333,18.1432307692308,5.677,33.817,10,0,0,0,3,1,2,0,1,1,"Triangular",25.148,0,-0.5,"?",25.428,1,"Triangular",15.427,0,"?",23.41,4,3.5,1.49655,6,6,2.43448333333333
"0CR6Z","113","Tri-Sparse","spring18","lab-synch","Female",22,"Other","Fourth","Burma / Myanmar","NULL","NULL","NULL","NULL","NULL","NULL",14.3154833333333,"NULL","NULL","NULL","NULL","laboratory",10.8333333333333,-0.740508511096746,7.40909090909091,0,0,11,11,10,0.846153846153846,7.81705,36.0786923076923,5.728,169.744,11,0,0,0,2,0,2,0,1,1,"Triangular",28.493,0,-0.5,"?",169.744,1,"Triangular",64.31,1,"Triangular",16.002,3,2,4.9286,8,8,2.88845
"0EBNN","114","Orth-Sparse","summer22","asynch","Female",23,"X-Other","Fifth","United States","I tried my best on each question","2","4","4","","",21.5342166666667,"1","chrome","2240","1181","online-replication",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,17.6649166666667,81.5303846153846,5.312,630.954,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",25.31,0,-1,"Orthogonal",630.954,0,"Orthogonal",17.121,0,"Orthogonal",39.921,0,-5,12.9145333333333,0,-8,4.75038333333333
"0L78J","113","Tri-Sparse","winter22","asynch","Female",22,"X-Other","Third","America","I tried my best on each question","4","2","3","","",18.5825666666667,"1","chrome","1440","735","online-replication",4.13376305067482,-0.08409825468649,6.16968325791855,0,0,5,5,3,0.384615384615385,5.01531666666667,23.1476153846154,8.325,52.198,5,2,3,0,3,3,3,0,1,1,"Triangular",16.014,0,-0.5,"?",14.035,1,"Triangular",17.123,0,"Orthogonal",25.968,2,2.5,1.94661666666667,3,0.5,3.0687
"0LNDY","115","Orth-Grid","summer22","asynch","Female",22,"Cantonese","Fourth","China","I tried my best on each question","1","2","1","What is this task for?","No",15.0210666666667,"1","chrome","2560","1337","online-replication",-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,0,10.06245,46.4420769230769,8.216,153.358,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",23.972,0,-0.5,"?",153.358,0,"Orthogonal",20.905,0,"Orthogonal",98.934,0,-4.5,3.82606666666667,0,-8,6.23638333333333
"0PWK1","114","Orth-Sparse","winter22","asynch","Female",20,"English","Second","usa","I tried my best on each question","1","3","3","","",18.18505,"1","chrome","1387","932","online-replication",0.846396250808016,3.48746767937944,0.626616031027796,0,0,2,2,-5,0.153846153846154,14.6178666666667,67.4670769230769,7.206,364.987,2,5,1,0,5,1,5,0,0,-1,"Orthogonal",364.987,1,1,"Triangular",45.012,0,"Orthogonal",84.718,1,"Triangular",30.386,1,-1,8.64428333333333,1,-4,5.97358333333333
"0W4LT","115","Orth-Grid","winter22","asynch","Female",26,"English","Third","Syria","I tried my best on most questions","2","2","3","","no",8.8216,"2","chrome","1257","712","online-replication",-0.529761904761905,0.575,3.92857142857143,0,0,0,0,0.5,0,4.56718333333333,21.0793076923077,6.239,55.773,0,1,4,0,8,4,1,7,0,0,"blank",9.371,0,0,"blank",26.617,0,"Tversky",31.795,0,"blank",16.692,0,0,1.20958333333333,0,0.5,3.3576
"0X2GC","114","Orth-Sparse","summer22","asynch","Female",21,"English","Third","Hong Kong","I tried my best on each question","4","2","2","i was just mentally tired after this","slower mental processing suggested by my clinical psychologist",17.9563333333333,"1","chrome","1145","821","online-replication",-0.29884184443008,11,-0.528603749191984,0,1,0,0,-11,0,12.6473833333333,58.3725384615385,6.586,209.297,0,11,0,0,2,0,0,2,0,-1,"Orthogonal",21.171,0,0,"reference",209.297,0,"Orthogonal",24.538,0,"blank",29.557,0,-4,6.6787,0,-7,5.96868333333333
"0YUQD","115","Orth-Grid","winter22","asynch","Female",22,"Korean","Third","North America","I tried my best on each question","5","3","5","","",6.32101666666667,"1","chrome","1440","789","online-replication",-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,0,4.02825,18.5919230769231,5.476,42.143,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",7.331,0,-0.5,"?",42.143,0,"Orthogonal",15.034,0,"Orthogonal",36.328,0,-4.5,1.57291666666667,0,-8,2.45533333333333
"100LQ","113","Tri-Sparse","winter22","asynch","Female",18,"English","Second","United States","I tried my best on each question","4","2","2","","No",13.1387333333333,"1","chrome","1440","696","online-replication",0.368982977806507,7.40959653092006,-0.924854557207498,0,0,1,1,-9,0.0769230769230769,9.29753333333333,42.9116923076923,13.718,128.792,1,8,0,0,4,0,4,0,0,-0.5,"?",128.792,1,1,"Triangular",18.691,0,"Orthogonal",23.123,0,"Orthogonal",34.666,1,-2,4.09648333333333,0,-7,5.20105
"10XMB","113","Tri-Sparse","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.1564666666667,"NULL","NULL","NULL","NULL","laboratory",0.596991488903254,8.61057692307692,-0.646250808015514,0,1,1,1,-9.5,0.0769230769230769,10.3714333333333,47.8681538461538,12.329,117.547,1,10,0,0,2,0,1,1,0,-1,"Orthogonal",17.88,1,1,"Triangular",117.547,0,"Orthogonal",22.199,0,"Orthogonal",94.756,1,-2,4.01516666666667,0,-7.5,6.35626666666667
"18WDR","111","Orth-Full","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question","1","4","3","took a couple questions to learn the graph","no",8.65465,"1","chrome","1920","937","online-replication",11.9230769230769,0.542824822236587,7.01831501831502,0,0,12,12,11,0.923076923076923,4.71481666666667,21.7606923076923,6.545,41.298,12,1,0,0,0,0,0,0,0,-1,"Orthogonal",32.795,1,1,"Triangular",22.691,1,"Triangular",41.298,1,"Triangular",11.68,4,3,2.19151666666667,8,8,2.5233
"1AHKL","113","Tri-Sparse","winter22","asynch","Female",20,"Spanish","Third","United States","I tried my best on each question","2","4","5","","",9.06335,"2","chrome","1256","692","online-replication",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,6.15963333333333,28.4290769230769,10.224,76.709,13,0,0,0,0,0,0,0,1,1,"Triangular",30.396,1,1,"Triangular",31.616,1,"Triangular",37.448,1,"Triangular",15.57,5,5,2.67016666666667,8,8,3.48946666666667
"1F3SX","115","Orth-Grid","summer22","asynch","Female",20,"X-Other","Third","United States","I tried my best on each question","4","1","2","I liked the meme at the end. Very cute.","",11.1397666666667,"1","chrome","2048","1042","online-replication",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,7.4023,34.1644615384615,4.935,79.828,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",25.733,0,-1,"Orthogonal",79.828,0,"Orthogonal",21.634,0,"Orthogonal",50.31,0,-5,3.20105,0,-8,4.20125
"1L782","113","Tri-Sparse","winter22","asynch","Female",22,"English","Third","United States","I tried my best on each question","5","2","3","","No",13.7557,"1","chrome","1440","755","online-replication",-0.419512840101075,3.38032482223659,1.92080101271278,0,0,0,0,-5.5,0,9.99245,46.119,11.199,124.694,0,4,2,0,7,2,5,2,0,-1,"Orthogonal",24.147,0,-0.5,"?",69.468,0,"blank",61.026,0,"blank",79.785,0,-2,2.72198333333333,0,-3.5,7.27046666666667
"1NKF3","115","Orth-Grid","winter22","asynch","Female",19,"Mandarin","First","china ","I tried my best on most questions","2","3","2","","no",12.2764,"1","chrome","1512","834","online-replication",-0.523679506767742,11.4166666666667,0.918067226890756,0,0,0,0,-11.5,0,9.49941666666667,43.8434615384615,7.351,142.161,0,12,1,0,0,1,0,0,0,-1,"Orthogonal",21.659,0,-1,"Orthogonal",89.13,0,"Orthogonal",33.279,0,"Orthogonal",88.707,0,-3.5,3.08393333333333,0,-8,6.41548333333333
"1NXAS","115","Orth-Grid","winter22","asynch","Female",19,"Spanish","First","United States","I tried my best on most questions","3","3","3","N/A","Suffer ADD.",9.50533333333333,"1","chrome","1200","698","online-replication",-0.968917602005837,7.76057692307692,0.749582525317819,0,0,0,0,-9.5,0,6.25146666666667,28.8529230769231,2.152,113.079,0,9,1,0,3,1,2,1,0,-1,"Orthogonal",31.4,0,-0.5,"?",113.079,0,"Orthogonal",21.253,0,"Orthogonal",20.809,0,-4,3.72136666666667,0,-5.5,2.5301
"1QH5E","115","Orth-Grid","winter22","asynch","Female",20,"Spanish","Second","United States","I tried my best on each question","2","5","3","","No",13.7207,"1","chrome","1159","726","online-replication",1.13865815556992,10.7897435897436,-0.338860159448395,0,0,1,2,-9,0.153846153846154,9.72958333333333,44.9057692307692,16.345,104.586,2,11,0,0,0,0,0,0,0,-1,"Orthogonal",23.154,1,1,"Triangular",24.027,0,"Orthogonal",33.575,1,"Triangular",36.039,1,-3,3.18823333333333,1,-6,6.54135
"1S6DV","113","Tri-Sparse","winter22","asynch","Male",19,"English","Second","United States","I tried my best on each question","3","3","3","","",13.9875666666667,"1","chrome","1366","768","online-replication",-0.455927405927406,10.9230769230769,-0.664350355526826,0,0,0,0,-11.5,0,9.31581666666667,42.9960769230769,9.227,95.749,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",21.344,0,-0.5,"?",95.749,0,"Orthogonal",23.059,0,"Orthogonal",78.706,0,-4.5,4.05291666666667,0,-7,5.2629
"1TD7F","115","Orth-Grid","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question","4","2","4","","",17.7825666666667,"2","chrome","1600","722","online-replication",0.63865815556992,10.3605769230769,-0.664350355526826,0,0,1,1,-10.5,0.0769230769230769,9.55991666666667,44.1226923076923,3.827,193.553,1,11,0,0,1,0,1,0,0,-1,"Orthogonal",49.231,1,1,"Triangular",34.865,0,"Orthogonal",25.849,0,"Orthogonal",44.368,1,-3,6.32313333333333,0,-7.5,3.23678333333333
"1TMX1","114","Orth-Sparse","winter22","asynch","Female",21,"English","Fourth","USA","I tried my best on each question","4","3","2","","No.",7.5839,"1.5","chrome","1289","796","online-replication",-0.514750935339171,10.8605769230769,0.339326115061409,0,0,0,0,-11,0,5.01838333333333,23.1617692307692,4.682,54.377,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",9.295,0,-0.5,"?",44.695,0,"Orthogonal",17.819,0,"Orthogonal",35.846,0,-4.5,2.29056666666667,0,-6.5,2.72781666666667
"1TY3A","111","Orth-Full","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question","2","3","5","","",11.7402333333333,"2","chrome","1440","704","online-replication",10.8397435897436,1.62615815556992,6.44139194139194,0,0,11,11,9,0.846153846153846,5.88393333333333,27.1566153846154,7.323,95.422,11,2,0,0,0,0,0,0,0,-1,"Orthogonal",35.577,1,1,"Triangular",18.477,1,"Triangular",58.191,1,"Triangular",22.01,3,1,2.88471666666667,8,8,2.99921666666667
"1UMKK","111","Orth-Full","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question","3","3","2","","no",10.96325,"1","chrome","1440","821","online-replication",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,7.45398333333333,34.403,7.639,74.93,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",74.93,0,-1,"Orthogonal",60.54,0,"Orthogonal",16.408,0,"Orthogonal",61.011,0,-5,4.06265,0,-8,3.39133333333333
"1ZY3L","111","Orth-Full","spring18","lab-synch","Male",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",10.4007333333333,"NULL","NULL","NULL","NULL","laboratory",12.8017533936652,1.95949148890325,7.95399698340875,0,0,10,10,11.5,0.769230769230769,5.88351666666667,27.1546923076923,5.731,77.015,10,0,0,0,3,3,0,0,0,0.5,"both tri + orth",60.225,1,1,"Triangular",77.015,1,"Triangular",23.992,1,"Triangular",27.436,4,4.5,3.17326666666667,6,7,2.71025
"20LM4","113","Tri-Sparse","winter22","asynch","Male",22,"English","Fourth","USA","I tried my best on each question","4","4","2","","No",13.8327833333333,"2","chrome","1920","937","online-replication",-1.21475093533917,11.7333333333333,-0.146250808015514,0,0,0,0,-12.5,0,9.68531666666667,44.7014615384615,6.646,105.184,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",33.458,0,-1,"Orthogonal",75.784,0,"Orthogonal",17.111,0,"Orthogonal",43.861,0,-5,3.15835,0,-7.5,6.52696666666667
"26S2T","115","Orth-Grid","summer22","asynch","Female",21,"X-Other","Fourth","Moldova","I tried my best on most questions","3","4","1","","No",16.6278333333333,"1","chrome","1280","689","online-replication",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,10.7009,49.3887692307692,11.042,124.983,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",24.621,0,-1,"Orthogonal",80.217,0,"Orthogonal",19.708,0,"Orthogonal",55.393,0,-5,4.4475,0,-8,6.2534
"27JZD","115","Orth-Grid","summer22","asynch","Female",21,"English","Third","Malaysia","I tried my best on each question","3","4","4","Everything went well!","Nope",8.91455,"1","chrome","1440","822","online-replication",-0.586179506767742,13,-0.217679379444085,0,0,0,0,-13,0,5.68451666666667,26.2362307692308,7.295,61.69,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",15.024,0,-1,"Orthogonal",61.69,0,"Orthogonal",23.555,0,"Orthogonal",46.409,0,-5,2.4527,0,-8,3.23181666666667
"293QB","113","Tri-Sparse","winter22","asynch","Female",23,"Spanish","Fourth","United States","I tried my best on each question","4","3","3","","No",11.7343166666667,"1","chrome","1280","721","online-replication",2.24699148890325,6.12248168498169,1.12363984055161,0,0,2,3,-4,0.230769230769231,8.9011,41.082,8.14,83.952,3,6,1,0,3,1,3,0,0,-1,"Orthogonal",23.994,1,1,"Triangular",78.433,0,"Orthogonal",72.04,1,"Triangular",11.095,1,-1,3.2837,2,-3,5.6174
