"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s","condition","pretty_condition"
"ZG3VV","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",2.19806666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",33.061,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",2.36866666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",10.151,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",2.63213333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",15.52,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",5.05751666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",145.441,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",8.00923333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","I,U",176.86,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","2","",600,600,"triangular",8.56316666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",15.2,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",9.188,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",37.408,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",10.4965166666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",78.429,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","2","",600,600,"triangular",11.04555,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",32.699,"1112","arrow"
"ZG3VV","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",13.1791833333333,"Which shift(s) end at the same time as F?","ends","10","FALSE","F,X",127.808,"1112","arrow"
