"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","absolute_score"
"L65ZP","1113","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question",2,3,5,"I enjoyed this experiment! I would love to read the results!","",9.56605,0
"X4TP8","1112","winter22","asynch","Other-Not Listed",18,"Mandarin","First","China","I tried my best on most questions",2,4,3,"","",6.25385,3
"B4JZK","1112","winter22","asynch","Female",21,"Spanish","Third","United States","I tried my best on most questions",4,3,4,"","i wear glasses",14.1734833333333,1
"FL4GS","1112","winter22","asynch","Female",20,"English","Second","United States","I tried my best on most questions",2,4,3,"","",4.22141666666667,1
"MQ4PF","1112","winter22","asynch","Male",21,"Korean","Second","South Korea","I tried my best on each question",4,3,2,"The grid, which I assume was a control, was quite distractive.","N/A - just a little sleepy",20.8559333333333,1
"NLUQH","1113","winter22","asynch","Female",22,"English","Third","United States","I tried my best on each question",2,4,4,"","No",12.9586833333333,0
"B9KFN","1113","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",1,5,2,"N/A","N/A",8.86553333333333,0
"CSQRM","1113","winter22","asynch","Female",18,"Spanish","First","United States","I tried my best on most questions",4,4,2,"THE ONLY PART I COULDNT FIGURE OUT WAS THE BREAKS.","NO",10.87225,0
"1NO19","1112","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question",2,5,5,"","",10.31265,11
"32HTL","1113","winter22","asynch","Female",19,"Spanish","Second","United States","I tried my best on each question",4,3,2,"n/a","n/a",10.7539833333333,0
"X93Z3","1113","winter22","asynch","Female",21,"Cantonese","Fourth","Hong Kong ","I tried my best on each question",3,2,5,"I am really bad at comprehending graphs so it took me a while to understand what going on. Therefore I think I did a pretty bad job(almost all wrong) in the first part. But in the second part of the experiment, I slowly understand how to look at the graph correctly and enjoyed doing the questions. ","No. Other than really bad at mathematics. ",21.9983666666667,6
"M0PWZ","1113","winter22","asynch","Male",22,"Mandarin","Fourth","United States","I tried my best on each question",4,3,2,"","",11.0844333333333,0
"XL4NH","1113","winter22","asynch","Male",21,"English","Third","USA","I tried my best on most questions",4,4,4,"pretty good overall
","no",11.4990666666667,0
"ZA61G","1112","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",2,3,3,"","",16.4093666666667,0
"O4O2T","1112","winter22","asynch","Female",18,"English","First","United States","I tried my best on each question",2,4,3,"","",6.88236666666667,12
"ULTZD","1113","winter22","asynch","Male",20,"Mandarin","Second","China","I tried my best on each question",4,3,2,"It was a fun experiment!","No",18.9110166666667,0
"PN0SV","1112","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",3,4,4,"","",6.4909,0
"CL5EN","1112","winter22","asynch","Male",20,"X-Other","Third","Russia","I tried my best on most questions",3,3,3,"","",5.38431666666667,5
"WNU5S","1113","winter22","asynch","Male",19,"English","Second","United States","I tried my best on each question",2,4,3,"","",10.3036333333333,0
"637XQ","1113","winter22","asynch","Female",20,"English","Third","United States of America","I tried my best on each question",4,4,3,"","No",7.01366666666667,0
"4R2H3","1112","winter22","asynch","Male",22,"English","Fourth","us","I tried my best on most questions",3,3,3,"","",3.93728333333333,3
"FUE06","1112","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question",3,3,5,"","",11.2317333333333,0
"N2UOM","1113","winter22","asynch","Male",22,"English","Fourth","U.S.","I tried my best on each question",1,5,3,"","no",6.19325,11
"NYN9R","1113","winter22","asynch","Female",20,"X-Other","Third","United States","I tried my best on most questions",3,3,3,"","no",5.25758333333333,0
"QXWAO","1113","winter22","asynch","Female",19,"Mandarin","Second","United States","I tried my best on each question",2,4,4,"","",8.47225,0
"R4RE9","1112","winter22","asynch","Female",22,"Arabic","Third","Morocco","I tried my best on most questions",5,3,1,"","",12.8203,1
"K882Z","1112","winter22","asynch","Female",23,"English","Fourth","United States","I tried my best on each question",3,3,4,"","N/A",15.2875,0
"E6WKX","1113","winter22","asynch","Female",22,"Cantonese","Third","United States","I tried my best on each question",4,2,4,"","",5.7678,2
"YMH3D","1112","winter22","asynch","Female",25,"English","Third","United States","I tried my best on each question",4,2,5,"","",5.7666,0
