"subject","mode","pretty_condition","question","score"
"ZG3VV","asynch","arrow",1,0
"ZG3VV","asynch","arrow",2,0
"ZG3VV","asynch","arrow",3,0
"ZG3VV","asynch","arrow",4,0
"ZG3VV","asynch","arrow",5,0
"ZG3VV","asynch","arrow",6,0
"ZG3VV","asynch","arrow",7,0
"ZG3VV","asynch","arrow",8,0
"ZG3VV","asynch","arrow",9,0
"ZG3VV","asynch","arrow",10,0
"ZG3VV","asynch","arrow",11,0
"ZG3VV","asynch","arrow",12,0
"ZG3VV","asynch","arrow",13,0
"ZSAAY","asynch","cross",1,0
"ZSAAY","asynch","cross",2,0
"ZSAAY","asynch","cross",3,0
"ZSAAY","asynch","cross",4,0
"ZSAAY","asynch","cross",5,1
"ZSAAY","asynch","cross",6,1
"ZSAAY","asynch","cross",7,1
"ZSAAY","asynch","cross",8,1
"ZSAAY","asynch","cross",9,1
"ZSAAY","asynch","cross",10,1
"ZSAAY","asynch","cross",11,1
"ZSAAY","asynch","cross",12,1
"ZSAAY","asynch","cross",13,1
"N4119","asynch","cross",1,0
"N4119","asynch","cross",2,0
"N4119","asynch","cross",3,0
"N4119","asynch","cross",4,0
"N4119","asynch","cross",5,1
"N4119","asynch","cross",6,1
"N4119","asynch","cross",7,1
"N4119","asynch","cross",8,2
"N4119","asynch","cross",9,3
"N4119","asynch","cross",10,4
"N4119","asynch","cross",11,5
"N4119","asynch","cross",12,6
"N4119","asynch","cross",13,7
"YO7KR","asynch","cross",1,0
"YO7KR","asynch","cross",2,0
"YO7KR","asynch","cross",3,0
"YO7KR","asynch","cross",4,0
"YO7KR","asynch","cross",5,0
"YO7KR","asynch","cross",6,0
"YO7KR","asynch","cross",7,0
"YO7KR","asynch","cross",8,0
"YO7KR","asynch","cross",9,0
"YO7KR","asynch","cross",10,0
"YO7KR","asynch","cross",11,0
"YO7KR","asynch","cross",12,0
"YO7KR","asynch","cross",13,0
"7UK5N","asynch","cross",1,0
"7UK5N","asynch","cross",2,0
"7UK5N","asynch","cross",3,0
"7UK5N","asynch","cross",4,0
"7UK5N","asynch","cross",5,1
"7UK5N","asynch","cross",6,1
"7UK5N","asynch","cross",7,1
"7UK5N","asynch","cross",8,1
"7UK5N","asynch","cross",9,1
"7UK5N","asynch","cross",10,1
"7UK5N","asynch","cross",11,1
"7UK5N","asynch","cross",12,1
"7UK5N","asynch","cross",13,2
"0XJM4","asynch","cross",1,0
"0XJM4","asynch","cross",2,0
"0XJM4","asynch","cross",3,0
"0XJM4","asynch","cross",4,0
"0XJM4","asynch","cross",5,0
"0XJM4","asynch","cross",6,0
"0XJM4","asynch","cross",7,0
"0XJM4","asynch","cross",8,0
"0XJM4","asynch","cross",9,0
"0XJM4","asynch","cross",10,0
"0XJM4","asynch","cross",11,0
"0XJM4","asynch","cross",12,0
"0XJM4","asynch","cross",13,0
"OP042","asynch","cross",1,0
"OP042","asynch","cross",2,0
"OP042","asynch","cross",3,0
"OP042","asynch","cross",4,1
"OP042","asynch","cross",5,1
"OP042","asynch","cross",6,1
"OP042","asynch","cross",7,1
"OP042","asynch","cross",8,2
"OP042","asynch","cross",9,2
"OP042","asynch","cross",10,2
"OP042","asynch","cross",11,2
"OP042","asynch","cross",12,3
"OP042","asynch","cross",13,3
"K2NYT","asynch","cross",1,0
"K2NYT","asynch","cross",2,0
"K2NYT","asynch","cross",3,0
"K2NYT","asynch","cross",4,0
"K2NYT","asynch","cross",5,0
"K2NYT","asynch","cross",6,0
"K2NYT","asynch","cross",7,0
