"subject","mode","pretty_condition","question","score"
"ZG3VV","asynch","arrow",1,-1
"ZG3VV","asynch","arrow",2,-2
"ZG3VV","asynch","arrow",3,-3
"ZG3VV","asynch","arrow",4,-4
"ZG3VV","asynch","arrow",5,-5
"ZG3VV","asynch","arrow",6,-6
"ZG3VV","asynch","arrow",7,-7
"ZG3VV","asynch","arrow",8,-8
"ZG3VV","asynch","arrow",9,-9
"ZG3VV","asynch","arrow",10,-10
"ZG3VV","asynch","arrow",11,-11
"ZG3VV","asynch","arrow",12,-12
"ZG3VV","asynch","arrow",13,-13
"ZSAAY","asynch","cross",1,-1
"ZSAAY","asynch","cross",2,-2
"ZSAAY","asynch","cross",3,-1.5
"ZSAAY","asynch","cross",4,-2
"ZSAAY","asynch","cross",5,-1
"ZSAAY","asynch","cross",6,-2
"ZSAAY","asynch","cross",7,-3
"ZSAAY","asynch","cross",8,-3.5
"ZSAAY","asynch","cross",9,-4.5
"ZSAAY","asynch","cross",10,-5.5
"ZSAAY","asynch","cross",11,-6
"ZSAAY","asynch","cross",12,-6
"ZSAAY","asynch","cross",13,-5
"N4119","asynch","cross",1,-1
"N4119","asynch","cross",2,-2
"N4119","asynch","cross",3,-3
"N4119","asynch","cross",4,-4
"N4119","asynch","cross",5,-3
"N4119","asynch","cross",6,-4
"N4119","asynch","cross",7,-5
"N4119","asynch","cross",8,-4
"N4119","asynch","cross",9,-3
"N4119","asynch","cross",10,-2
"N4119","asynch","cross",11,-1
"N4119","asynch","cross",12,0
"N4119","asynch","cross",13,1
"YO7KR","asynch","cross",1,-1
"YO7KR","asynch","cross",2,-2
"YO7KR","asynch","cross",3,-3
"YO7KR","asynch","cross",4,-4
"YO7KR","asynch","cross",5,-4.5
"YO7KR","asynch","cross",6,-5.5
"YO7KR","asynch","cross",7,-6.5
"YO7KR","asynch","cross",8,-7.5
"YO7KR","asynch","cross",9,-8.5
"YO7KR","asynch","cross",10,-9.5
"YO7KR","asynch","cross",11,-10.5
"YO7KR","asynch","cross",12,-9.5
"YO7KR","asynch","cross",13,-10.5
"7UK5N","asynch","cross",1,-1
"7UK5N","asynch","cross",2,-2
"7UK5N","asynch","cross",3,-2.5
"7UK5N","asynch","cross",4,-3
"7UK5N","asynch","cross",5,-2
"7UK5N","asynch","cross",6,-3
"7UK5N","asynch","cross",7,-3.5
"7UK5N","asynch","cross",8,-4
"7UK5N","asynch","cross",9,-5
"7UK5N","asynch","cross",10,-6
"7UK5N","asynch","cross",11,-6.5
"7UK5N","asynch","cross",12,-6.5
"7UK5N","asynch","cross",13,-5.5
"0XJM4","asynch","cross",1,-1
"0XJM4","asynch","cross",2,-2
"0XJM4","asynch","cross",3,-2.5
"0XJM4","asynch","cross",4,-3
"0XJM4","asynch","cross",5,-3.5
"0XJM4","asynch","cross",6,-4.5
"0XJM4","asynch","cross",7,-5.5
"0XJM4","asynch","cross",8,-6.5
"0XJM4","asynch","cross",9,-7.5
"0XJM4","asynch","cross",10,-8.5
"0XJM4","asynch","cross",11,-9.5
"0XJM4","asynch","cross",12,-10.5
"0XJM4","asynch","cross",13,-11.5
"OP042","asynch","cross",1,-1
"OP042","asynch","cross",2,-2
"OP042","asynch","cross",3,-3
"OP042","asynch","cross",4,-2
"OP042","asynch","cross",5,-2
"OP042","asynch","cross",6,-3
"OP042","asynch","cross",7,-3.5
"OP042","asynch","cross",8,-2.5
"OP042","asynch","cross",9,-3.5
"OP042","asynch","cross",10,-4.5
"OP042","asynch","cross",11,-5
"OP042","asynch","cross",12,-4
"OP042","asynch","cross",13,-4.5
"K2NYT","asynch","cross",1,-1
"K2NYT","asynch","cross",2,-2
"K2NYT","asynch","cross",3,-3
"K2NYT","asynch","cross",4,-3.5
"K2NYT","asynch","cross",5,-4
"K2NYT","asynch","cross",6,-5
"K2NYT","asynch","cross",7,-6
"K2NYT","asynch","cross",8,-7
"K2NYT","asynch","cross",9,-8
"K2NYT","asynch","cross",10,-9
"K2NYT","asynch","cross",11,-10
"K2NYT","asynch","cross",12,-11
"K2NYT","asynch","cross",13,-12
"TZV3W","asynch","arrow",1,-1
"TZV3W","asynch","arrow",2,-2
"TZV3W","asynch","arrow",3,-3
"TZV3W","asynch","arrow",4,-4
"TZV3W","asynch","arrow",5,-5
"TZV3W","asynch","arrow",6,-6
"TZV3W","asynch","arrow",7,-7
"TZV3W","asynch","arrow",8,-8
