"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"03DH0","11111","point","SGC4B","winter22","asynch","Male",20,"Spanish","Third","United States","I tried my best on each question",1,5,4,"At first I didn't understand the graph, but after about a minute of looking at it, it started to make more and more sense.
","no",9.61305,1,"chrome",1536,722,13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,4.30351666666667,19.8623846153846,9.438,41.239,13,0,0,0,0,0,0,0,1,1,"Triangular",38.134,1,1,"Triangular",23.128,1,"Triangular",37.22,1,"Triangular",18.126,5,5,1.49911666666667,8,8,2.8044
"04TE9","11111","point","SGC4B","winter22","asynch","Female",20,"English","Third","United States","I tried my best on most questions",3,3,2,"","No",9.90221666666667,1,"chrome",1357,706,-0.514750935339171,11.3564102564103,-0.723173884938591,0,0,0,0,-12.5,0,6.32301666666667,29.1831538461538,7.35,58.062,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",37.51,0,-0.5,"?",23.676,0,"Orthogonal",42.151,0,"Orthogonal",50.479,0,-4.5,2.52168333333333,0,-8,3.80133333333333
"0EJVN","11111","point","SGC4B","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",3,5,4,"","No",9.61463333333333,1,"chrome",1536,713,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,4.96195,22.9013076923077,5.177,59.888,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",14.45,0,-1,"Orthogonal",59.888,0,"Orthogonal",15.276,0,"Orthogonal",50.946,0,-5,2.29195,0,-8,2.67
"0FHV9","11111","point","SGC4B","winter22","asynch","Female",22,"Spanish","Fourth","United States","I tried my best on each question",1,5,5,"","None.",11.9577833333333,2,"chrome",1440,821,-0.514750935339171,12.5,-0.146250808015514,0,0,0,0,-13,0,8.75383333333333,40.4023076923077,8.108,193.06,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",12.816,0,-1,"Orthogonal",97.549,0,"Orthogonal",16.806,0,"Orthogonal",33.244,0,-5,2.92753333333333,0,-8,5.8263
"0J5TD","11111","point","SGC4B","winter22","asynch","Male",22,"English","Fourth","United States","I tried my best on each question",3,4,3,"Stimulating","no",12.26,2.5,"chrome",1920,969,-0.605660026248262,11.8461538461538,-0.800096961861668,0,0,0,0,-12.5,0,9.43223333333333,43.5333846153846,7.964,70.453,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",51.64,0,-0.5,"?",68.821,0,"Orthogonal",25.345,0,"Orthogonal",35.548,0,-4.5,4.56808333333333,0,-8,4.86415
"0JK2M","1112","arrow","SGC4B","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question",2,3,2,"Nothing really","No",8.34305,1,"chrome",1919,898,0.547749064660829,8.70581501831502,1.55199579831933,0,0,0,0,-7.5,0,5.59066666666667,25.8030769230769,7.858,54.575,0,8,2,0,3,3,2,0,0,-1,"Orthogonal",16.809,0,-0.5,"?",42.012,0,"Orthogonal",22.772,0,"?",17.032,0,-3,2.41296666666667,0,-4.5,3.1777
"0KQWY","1112","arrow","SGC4B","winter22","asynch","Female",19,"English","Second","Italy","I tried my best on each question",3,3,3,"","no",8.68813333333333,1,"chrome",1366,689,-0.332932753520989,12.2307692307692,-0.396250808015514,0,0,0,0,-12.5,0,5.74293333333333,26.5058461538462,8.695,71.012,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",17.718,0,-0.5,"frenzy",49.929,0,"Orthogonal",24.807,0,"Orthogonal",33.992,0,-4.5,2.74648333333333,0,-8,2.99645
"0MDW3","11111","point","SGC4B","winter22","asynch","Male",22,"Korean","Fourth","South Korea","I tried my best on each question",2,4,4,"N/A","No",15.0404666666667,2.5,"chrome",1440,821,-0.514750935339171,11.9230769230769,-0.646250808015514,0,0,0,0,-12.5,0,8.87618333333333,40.967,8.929,202.403,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",29.708,0,-0.5,"?",202.403,0,"Orthogonal",23.916,0,"Orthogonal",60.349,0,-4.5,4.45186666666667,0,-8,4.42431666666667
"0TYDS","1113","cross","SGC4B","winter22","asynch","Female",22,"Spanish","Fourth","U.S.","I tried my best on each question",4,3,4,"The chart was a bit confusing.","N/A",6.61521666666667,1,"chrome",1223,734,1.05665266106443,4.26842006033182,0.394473173884939,0,0,2,2,-5.5,0.153846153846154,4.0373,18.6336923076923,6.576,28.439,2,5,0,0,6,0,5,1,0,0,"blank",17.647,1,1,"Triangular",15.642,0,"Orthogonal",22.553,1,"Triangular",20.367,1,-1,1.68961666666667,1,-4.5,2.34768333333333
"0UMRY","1113","cross","SGC4B","winter22","asynch","Female",19,"Mandarin","Second","United States","I tried my best on each question",4,3,4,"","no",8.54048333333333,1,"chrome",1429,720,8.62307692307692,0.959491488903254,5.77472527472527,0,0,9,9,6,0.692307692307692,5.97121666666667,27.5594615384615,7.355,94.252,9,2,0,0,2,0,2,0,0,-1,"Orthogonal",69.898,1,1,"Triangular",9.275,1,"Triangular",94.252,1,"Triangular",11.719,2,-0.5,2.21076666666667,7,6.5,3.76045
"0XJM4","1113","cross","SGC4B","winter22","asynch","Female",25,"English","Third","United States","I tried my best on each question",4,3,5,"","",8.83495,1,"chrome",1277,721,0.00786492918845862,9.37963800904977,0.184820081878905,0,0,0,0,-11.5,0,6.70978333333333,30.9682307692308,7.207,72.948,0,10,0,0,3,0,3,0,0,-1,"Orthogonal",11.366,0,-0.5,"frenzy",72.948,0,"Orthogonal",21.241,0,"Orthogonal",33.322,0,-3.5,2.78335,0,-8,3.92643333333333
"0XMTM","1112","arrow","SGC4B","winter22","asynch","Male",20,"English","Third","Hong Kong","I tried my best on each question",4,4,3,"interesting graph","no",7.52743333333333,1,"chrome",1536,754,1.70115815556992,10.7897435897436,0.0611398405516052,0,0,2,2,-9,0.153846153846154,5.3284,24.5926153846154,7.669,60.986,2,11,0,0,0,0,0,0,0,-1,"Orthogonal",23.334,1,1,"Triangular",9.394,0,"Orthogonal",50.941,1,"Triangular",19.855,1,-3,1.4233,1,-6,3.9051
"0YMRZ","11111","point","SGC4B","winter22","asynch","Female",21,"Spanish","Third","USA","I tried my best on most questions",4,3,3,"","",8.03216666666667,2,"chrome",1440,789,0.871886446886447,3.48914835164835,1.35210622710623,0,0,2,2,-4.5,0.153846153846154,4.7235,21.8007692307692,7.969,65.736,2,5,1,0,5,1,4,1,0,-1,"Orthogonal",20.7,1,1,"Triangular",13.013,0,"Orthogonal",18.874,1,"Triangular",40.111,1,-1,2.12673333333333,1,-3.5,2.59676666666667
"11XCH","11111","point","SGC4B","winter22","asynch","Male",21,"Arabic","Fourth","United States","I tried my best on most questions",3,2,5,"Really fun but frustrating lol","no",32.6356,3,"chrome",2195,1092,-1.19430275606746,6.40791585865115,-0.392921784098255,0,0,0,0,-9.5,0,4.62855,21.3625384615385,2.505,51.002,0,7,0,0,6,0,5,1,0,-1,"Orthogonal",7.146,0,-0.5,"?",26.719,0,"Orthogonal",15.265,0,"Orthogonal",44.94,0,-3.5,2.05613333333333,0,-6,2.57241666666667
"153VV","1113","cross","SGC4B","winter22","asynch","Male",19,"English","First","United States","I tried my best on each question",3,4,3,"","none",8.79601666666667,2,"chrome",1360,707,13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,5.6614,26.1295384615385,8.078,82.541,13,0,0,0,0,0,0,0,1,1,"Triangular",82.541,1,1,"Triangular",32.744,1,"Triangular",38.544,1,"Triangular",18.488,5,5,3.13336666666667,8,8,2.52803333333333
"1BOTW","11111","point","SGC4B","winter22","asynch","Female",20,"English","Third","India","I tried my best on each question",2,4,4,"","",6.6602,1,"chrome",1200,754,12.3125,-0.67384184443008,7.55641025641026,0,0,12,12,13,0.923076923076923,3.82621666666667,17.6594615384615,6.558,47.195,13,0,0,0,0,0,0,0,1,1,"Triangular",8.735,1,1,"Triangular",19.844,1,"Triangular",23.819,0,"Triangular",21.642,5,5,0.94125,7,8,2.88496666666667
