"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"0TUJO","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","60e9c78a617cbabf4732fee6","prolific","asynch","TRUE","I tried my best on each question",5,2,4,"I would have liked the graphs to be larger in size because I found it difficult to locate points on the graph at its current size.",62,"USA","English","Secondary School/Highschool","Humanities","Male","No","chrome",1366,768,"Windows 10","2022-07-20T18:27:17.964Z","success","summer22",1,1,16.12825
"SSKFO","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","62d44d484a28cd313e2c3ba4","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"The shape of the chart was interesting, but I would have found it a bit easier if the text on the axis was aligned upright for reading instead of tilted.",53,"USA","English","Bachelors Degree","Engineering","Female","no","chrome",1280,689,"Mac OS","2022-07-20T18:36:27.655Z","success","summer22",2,12,18.26795
"GV92N","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","5cbc97cd214b1a0001ccfa53","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"I spent most of the time with my head tilted in order to get a clear line of sight on the data, almost resorted to using a straight edge to line up the intersections so could see where data aligned.  Would not find that particular chart useful.  ",69,"usa","English","Graduate Degree","Social Sciences (incl. CogSci)","Female","none","chrome",1600,757,"Windows 10","2022-07-20T19:16:40.451Z","success","summer22",1,0,20.2498
"UEETV","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","62d7858e9d0bb849183e1500","prolific","asynch","TRUE","I tried my best on each question",1,5,5,"Very cool way of representing shifts",25,"United States","English","Bachelors Degree","Engineering","Male","No","chrome",1408,764,"Mac OS","2022-07-20T19:48:18.092Z","success","summer22",1,11,3.37018333333333
"CT1PY","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","62d59ab6f7d966eece474824","prolific","asynch","TRUE","I tried my best on each question",4,2,3,"",19,"United States","English","Secondary School/Highschool","Natural Sciences","Female","","chrome",1440,821,"Mac OS","2022-07-20T06:18:17.696Z","success","summer22",2,7,8.6733
"SV20G","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","62962188ab5037f57b743543","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"",24,"United States","English","Bachelors Degree","Fine Arts","Female","","chrome",1335,705,"Mac OS","2022-07-20T19:21:23.925Z","success","summer22",1,11,5.86446666666667
"CBCXK","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","6075ff702ca9dd94767cca11","prolific","asynch","TRUE","I tried my best on each question",3,5,5,"Nothing comes to mind.",43,"United States","English","some college","Math or Computer Sciences","Male","no","chrome",1549,885,"Windows 10","2022-07-20T19:44:36.148Z","success","summer22",3,0,15.1563166666667
"MLNH1","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","627ad907d485eb4e0546a534","prolific","asynch","TRUE","I tried my best on each question",3,5,4,"",22,"United States","English","Bachelors Degree","Biomedical & Health Sciences","Female","No","chrome",1440,764,"Mac OS","2022-07-20T19:25:59.959Z","success","summer22",1,4,12.1469666666667
"TTB8O","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","59c0782e5364260001dc4740","prolific","asynch","TRUE","I tried my best on each question",3,3,5,"",58,"United States","English","some college","Social Sciences (incl. CogSci)","Female","no","chrome",1366,768,"Windows 10","2022-07-20T18:29:32.571Z","success","summer22",2.5,5,9.07701666666667
"395C5","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","6114d1493d0852b43237d591","prolific","asynch","TRUE","I tried my best on each question",5,1,1,"",24,"United States","English","some college","Engineering","Female","","chrome",1352,794,"Windows 10","2022-07-20T18:26:14.986Z","success","summer22",1,8,9.08995
