"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE"
"DR8S7","11111331","ORTH-90","SGC4C","summer22","asynch","Male",73,"English",NA,"usa","I tried my best on each question","5","5","1","","no",15.4522333333333,"1","chrome","1920","929","90","ORTH"
"O4PRC","11311221","TRI-45","SGC4C","summer22","asynch","Male",32,"English",NA,"United States","I tried my best on each question","5","4","4","","",7.80775,"1","chrome","1678","915","45","TRI"
"21HBX","11111221","ORTH-45","SGC4C","summer22","asynch","Male",41,"English",NA,"United States","I tried my best on each question","3","4","4","N/A, the directions were thorough.","",7.10503333333333,"1","chrome","1440","788","45","ORTH"
"RV5TO","11311331","TRI-90","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on each question","3","4","4","","",13.5601166666667,"1","chrome","1536","864","90","TRI"
"Z4N5B","11111331","ORTH-90","SGC4C","summer22","asynch","Male",30,"English",NA,"USA","I tried my best on most questions","5","3","1","Some examples at the beginning would help.","no",11.3457,"1","chrome","1920","979","90","ORTH"
"BECZE","11111331","ORTH-90","SGC4C","summer22","asynch","Male",47,"English",NA,"United States","I tried my best on each question","4","2","3","Nothing comes to mind. ","No, none. ",16.0032333333333,"2","chrome","1366","768","90","ORTH"
"19J1Q","11111331","ORTH-90","SGC4C","summer22","asynch","Male",27,"English",NA,"United States","I tried my best on each question","3","4","3","There was one question where I didn't see any valid answers, I left that response blank.","",12.1171,"2.5","chrome","2560","1329","90","ORTH"
"FEOH4","11111331","ORTH-90","SGC4C","summer22","asynch","Male",24,"English",NA,"United States of America","I tried my best on each question","4","4","1","I'm not sure; I feel like some of the data points weren't as clear maybe, since I don't think they started on-the-hour (11:30 for example).","No.",15.4294833333333,"1","chrome","1536","714","90","ORTH"
"KUB28","11111221","ORTH-45","SGC4C","summer22","asynch","Other-Not Listed",24,"English",NA,"United States","I tried my best on each question","3","2","3","it took a minute to figure out how the graph actually worked. it was not easy to read","",14.1635,"1","chrome","1486","939","45","ORTH"
"Y2L3R","11311221","TRI-45","SGC4C","summer22","asynch","Female",43,"English",NA,"United States","I tried my best on each question","4","3","4","I got confused sometimes. ","",5.91341666666667,"1","chrome","1536","754","45","TRI"
"9CODD","11311331","TRI-90","SGC4C","summer22","asynch","Female",27,"English",NA,"United States","I tried my best on each question","1","5","5","","",11.4856333333333,"4","chrome","1536","746","90","TRI"
"TTJYZ","11111331","ORTH-90","SGC4C","summer22","asynch","Female",22,"English",NA,"USA","I tried my best on each question","3","3","3","n/a","NO",26.38235,"1","chrome","1440","821","90","ORTH"
