"subject","mode","pretty_condition","question","score","ROTATION","SHAPE"
"CT1PY","asynch","TRI-45",1,1,"45","TRI"
"CT1PY","asynch","TRI-45",2,2,"45","TRI"
"CT1PY","asynch","TRI-45",3,3,"45","TRI"
"CT1PY","asynch","TRI-45",4,3,"45","TRI"
"CT1PY","asynch","TRI-45",5,3,"45","TRI"
"CT1PY","asynch","TRI-45",6,4,"45","TRI"
"CT1PY","asynch","TRI-45",7,4,"45","TRI"
"CT1PY","asynch","TRI-45",8,5,"45","TRI"
"CT1PY","asynch","TRI-45",9,6,"45","TRI"
"CT1PY","asynch","TRI-45",10,7,"45","TRI"
"CT1PY","asynch","TRI-45",11,7,"45","TRI"
"CT1PY","asynch","TRI-45",12,7,"45","TRI"
"CT1PY","asynch","TRI-45",13,7,"45","TRI"
"F1E89","asynch","TRI-45",1,0,"45","TRI"
"F1E89","asynch","TRI-45",2,0,"45","TRI"
"F1E89","asynch","TRI-45",3,1,"45","TRI"
"F1E89","asynch","TRI-45",4,2,"45","TRI"
"F1E89","asynch","TRI-45",5,3,"45","TRI"
"F1E89","asynch","TRI-45",6,4,"45","TRI"
"F1E89","asynch","TRI-45",7,5,"45","TRI"
"F1E89","asynch","TRI-45",8,6,"45","TRI"
"F1E89","asynch","TRI-45",9,7,"45","TRI"
"F1E89","asynch","TRI-45",10,8,"45","TRI"
"F1E89","asynch","TRI-45",11,9,"45","TRI"
"F1E89","asynch","TRI-45",12,10,"45","TRI"
"F1E89","asynch","TRI-45",13,11,"45","TRI"
"TTB8O","asynch","TRI-45",1,1,"45","TRI"
"TTB8O","asynch","TRI-45",2,2,"45","TRI"
"TTB8O","asynch","TRI-45",3,2,"45","TRI"
"TTB8O","asynch","TRI-45",4,2,"45","TRI"
"TTB8O","asynch","TRI-45",5,2,"45","TRI"
"TTB8O","asynch","TRI-45",6,2,"45","TRI"
"TTB8O","asynch","TRI-45",7,2,"45","TRI"
"TTB8O","asynch","TRI-45",8,2,"45","TRI"
"TTB8O","asynch","TRI-45",9,3,"45","TRI"
"TTB8O","asynch","TRI-45",10,4,"45","TRI"
"TTB8O","asynch","TRI-45",11,4,"45","TRI"
"TTB8O","asynch","TRI-45",12,5,"45","TRI"
"TTB8O","asynch","TRI-45",13,5,"45","TRI"
"8SWVG","asynch","TRI-45",1,1,"45","TRI"
"8SWVG","asynch","TRI-45",2,1,"45","TRI"
"8SWVG","asynch","TRI-45",3,2,"45","TRI"
"8SWVG","asynch","TRI-45",4,2,"45","TRI"
"8SWVG","asynch","TRI-45",5,2,"45","TRI"
"8SWVG","asynch","TRI-45",6,3,"45","TRI"
"8SWVG","asynch","TRI-45",7,3,"45","TRI"
"8SWVG","asynch","TRI-45",8,3,"45","TRI"
"8SWVG","asynch","TRI-45",9,4,"45","TRI"
"8SWVG","asynch","TRI-45",10,5,"45","TRI"
"8SWVG","asynch","TRI-45",11,5,"45","TRI"
"8SWVG","asynch","TRI-45",12,6,"45","TRI"
"8SWVG","asynch","TRI-45",13,6,"45","TRI"
"6YNOF","asynch","TRI-45",1,1,"45","TRI"
"6YNOF","asynch","TRI-45",2,2,"45","TRI"
"6YNOF","asynch","TRI-45",3,3,"45","TRI"
"6YNOF","asynch","TRI-45",4,4,"45","TRI"
"6YNOF","asynch","TRI-45",5,5,"45","TRI"
"6YNOF","asynch","TRI-45",6,6,"45","TRI"
"6YNOF","asynch","TRI-45",7,6,"45","TRI"
"6YNOF","asynch","TRI-45",8,7,"45","TRI"
"6YNOF","asynch","TRI-45",9,8,"45","TRI"
"6YNOF","asynch","TRI-45",10,9,"45","TRI"
"6YNOF","asynch","TRI-45",11,9,"45","TRI"
"6YNOF","asynch","TRI-45",12,10,"45","TRI"
"6YNOF","asynch","TRI-45",13,11,"45","TRI"
"395C5","asynch","TRI-45",1,0,"45","TRI"
"395C5","asynch","TRI-45",2,1,"45","TRI"
"395C5","asynch","TRI-45",3,2,"45","TRI"
"395C5","asynch","TRI-45",4,3,"45","TRI"
"395C5","asynch","TRI-45",5,3,"45","TRI"
"395C5","asynch","TRI-45",6,4,"45","TRI"
"395C5","asynch","TRI-45",7,4,"45","TRI"
"395C5","asynch","TRI-45",8,5,"45","TRI"
"395C5","asynch","TRI-45",9,6,"45","TRI"
"395C5","asynch","TRI-45",10,7,"45","TRI"
"395C5","asynch","TRI-45",11,8,"45","TRI"
"395C5","asynch","TRI-45",12,9,"45","TRI"
"395C5","asynch","TRI-45",13,9,"45","TRI"
"7VZMV","asynch","TRI-45",1,1,"45","TRI"
"7VZMV","asynch","TRI-45",2,2,"45","TRI"
"7VZMV","asynch","TRI-45",3,2,"45","TRI"
"7VZMV","asynch","TRI-45",4,2,"45","TRI"
"7VZMV","asynch","TRI-45",5,2,"45","TRI"
"7VZMV","asynch","TRI-45",6,2,"45","TRI"
"7VZMV","asynch","TRI-45",7,2,"45","TRI"
"7VZMV","asynch","TRI-45",8,2,"45","TRI"
"7VZMV","asynch","TRI-45",9,2,"45","TRI"
"7VZMV","asynch","TRI-45",10,2,"45","TRI"
"7VZMV","asynch","TRI-45",11,2,"45","TRI"
"7VZMV","asynch","TRI-45",12,2,"45","TRI"
"7VZMV","asynch","TRI-45",13,2,"45","TRI"
"6AVLK","asynch","TRI-45",1,0,"45","TRI"
"6AVLK","asynch","TRI-45",2,0,"45","TRI"
"6AVLK","asynch","TRI-45",3,1,"45","TRI"
"6AVLK","asynch","TRI-45",4,2,"45","TRI"
"6AVLK","asynch","TRI-45",5,3,"45","TRI"
"6AVLK","asynch","TRI-45",6,4,"45","TRI"
"6AVLK","asynch","TRI-45",7,5,"45","TRI"
"6AVLK","asynch","TRI-45",8,5,"45","TRI"
"6AVLK","asynch","TRI-45",9,6,"45","TRI"
"6AVLK","asynch","TRI-45",10,7,"45","TRI"
"6AVLK","asynch","TRI-45",11,8,"45","TRI"
"6AVLK","asynch","TRI-45",12,9,"45","TRI"
"6AVLK","asynch","TRI-45",13,10,"45","TRI"
"JO5VM","asynch","TRI-45",1,1,"45","TRI"
"JO5VM","asynch","TRI-45",2,2,"45","TRI"
"JO5VM","asynch","TRI-45",3,3,"45","TRI"
"JO5VM","asynch","TRI-45",4,3,"45","TRI"
"JO5VM","asynch","TRI-45",5,3,"45","TRI"
"JO5VM","asynch","TRI-45",6,4,"45","TRI"
"JO5VM","asynch","TRI-45",7,5,"45","TRI"
"JO5VM","asynch","TRI-45",8,5,"45","TRI"
"JO5VM","asynch","TRI-45",9,6,"45","TRI"
"JO5VM","asynch","TRI-45",10,7,"45","TRI"
"JO5VM","asynch","TRI-45",11,8,"45","TRI"
"JO5VM","asynch","TRI-45",12,8,"45","TRI"
"JO5VM","asynch","TRI-45",13,9,"45","TRI"
"QGBTT","asynch","TRI-45",1,0,"45","TRI"
"QGBTT","asynch","TRI-45",2,0,"45","TRI"
"QGBTT","asynch","TRI-45",3,0,"45","TRI"
"QGBTT","asynch","TRI-45",4,0,"45","TRI"
"QGBTT","asynch","TRI-45",5,0,"45","TRI"
"QGBTT","asynch","TRI-45",6,0,"45","TRI"
"QGBTT","asynch","TRI-45",7,0,"45","TRI"
"QGBTT","asynch","TRI-45",8,0,"45","TRI"
"QGBTT","asynch","TRI-45",9,0,"45","TRI"
"QGBTT","asynch","TRI-45",10,0,"45","TRI"
"QGBTT","asynch","TRI-45",11,0,"45","TRI"
"QGBTT","asynch","TRI-45",12,0,"45","TRI"
"QGBTT","asynch","TRI-45",13,0,"45","TRI"
"F24DY","asynch","ORTH-45",1,1,"45","ORTH"
"F24DY","asynch","ORTH-45",2,1,"45","ORTH"
"F24DY","asynch","ORTH-45",3,2,"45","ORTH"
"F24DY","asynch","ORTH-45",4,3,"45","ORTH"
"F24DY","asynch","ORTH-45",5,3,"45","ORTH"
"F24DY","asynch","ORTH-45",6,3,"45","ORTH"
"F24DY","asynch","ORTH-45",7,3,"45","ORTH"
"F24DY","asynch","ORTH-45",8,3,"45","ORTH"
"F24DY","asynch","ORTH-45",9,4,"45","ORTH"
"F24DY","asynch","ORTH-45",10,5,"45","ORTH"
"F24DY","asynch","ORTH-45",11,5,"45","ORTH"
"F24DY","asynch","ORTH-45",12,5,"45","ORTH"
"F24DY","asynch","ORTH-45",13,5,"45","ORTH"
"SSKFO","asynch","TRI-45",1,1,"45","TRI"
"SSKFO","asynch","TRI-45",2,2,"45","TRI"
"SSKFO","asynch","TRI-45",3,3,"45","TRI"
"SSKFO","asynch","TRI-45",4,4,"45","TRI"
"SSKFO","asynch","TRI-45",5,5,"45","TRI"
"SSKFO","asynch","TRI-45",6,6,"45","TRI"
"SSKFO","asynch","TRI-45",7,7,"45","TRI"
"SSKFO","asynch","TRI-45",8,8,"45","TRI"
"SSKFO","asynch","TRI-45",9,9,"45","TRI"
"SSKFO","asynch","TRI-45",10,10,"45","TRI"
"SSKFO","asynch","TRI-45",11,11,"45","TRI"
"SSKFO","asynch","TRI-45",12,12,"45","TRI"
"SSKFO","asynch","TRI-45",13,13,"45","TRI"
"YS9FT","asynch","TRI-45",1,1,"45","TRI"
"YS9FT","asynch","TRI-45",2,2,"45","TRI"
"YS9FT","asynch","TRI-45",3,3,"45","TRI"
"YS9FT","asynch","TRI-45",4,4,"45","TRI"
"YS9FT","asynch","TRI-45",5,4,"45","TRI"
"YS9FT","asynch","TRI-45",6,5,"45","TRI"
"YS9FT","asynch","TRI-45",7,6,"45","TRI"
"YS9FT","asynch","TRI-45",8,7,"45","TRI"
"YS9FT","asynch","TRI-45",9,8,"45","TRI"
"YS9FT","asynch","TRI-45",10,9,"45","TRI"
"YS9FT","asynch","TRI-45",11,10,"45","TRI"
"YS9FT","asynch","TRI-45",12,11,"45","TRI"
"YS9FT","asynch","TRI-45",13,12,"45","TRI"
"GXB4O","asynch","TRI-45",1,0,"45","TRI"
"GXB4O","asynch","TRI-45",2,1,"45","TRI"
"GXB4O","asynch","TRI-45",3,2,"45","TRI"
"GXB4O","asynch","TRI-45",4,3,"45","TRI"
"GXB4O","asynch","TRI-45",5,4,"45","TRI"
"GXB4O","asynch","TRI-45",6,5,"45","TRI"
"GXB4O","asynch","TRI-45",7,5,"45","TRI"
"GXB4O","asynch","TRI-45",8,6,"45","TRI"
"GXB4O","asynch","TRI-45",9,7,"45","TRI"
"GXB4O","asynch","TRI-45",10,8,"45","TRI"
"GXB4O","asynch","TRI-45",11,9,"45","TRI"
"GXB4O","asynch","TRI-45",12,10,"45","TRI"
"GXB4O","asynch","TRI-45",13,11,"45","TRI"
"QOHN7","asynch","TRI-45",1,0,"45","TRI"
"QOHN7","asynch","TRI-45",2,0,"45","TRI"
"QOHN7","asynch","TRI-45",3,0,"45","TRI"
"QOHN7","asynch","TRI-45",4,0,"45","TRI"
"QOHN7","asynch","TRI-45",5,1,"45","TRI"
"QOHN7","asynch","TRI-45",6,2,"45","TRI"
"QOHN7","asynch","TRI-45",7,3,"45","TRI"
"QOHN7","asynch","TRI-45",8,4,"45","TRI"
"QOHN7","asynch","TRI-45",9,5,"45","TRI"
"QOHN7","asynch","TRI-45",10,6,"45","TRI"
"QOHN7","asynch","TRI-45",11,7,"45","TRI"
"QOHN7","asynch","TRI-45",12,8,"45","TRI"
"QOHN7","asynch","TRI-45",13,9,"45","TRI"
"GC47R","asynch","TRI-45",1,0,"45","TRI"
"GC47R","asynch","TRI-45",2,0,"45","TRI"
"GC47R","asynch","TRI-45",3,0,"45","TRI"
"GC47R","asynch","TRI-45",4,0,"45","TRI"
"GC47R","asynch","TRI-45",5,0,"45","TRI"
"GC47R","asynch","TRI-45",6,0,"45","TRI"
"GC47R","asynch","TRI-45",7,0,"45","TRI"
"GC47R","asynch","TRI-45",8,0,"45","TRI"
"GC47R","asynch","TRI-45",9,1,"45","TRI"
"GC47R","asynch","TRI-45",10,1,"45","TRI"
"GC47R","asynch","TRI-45",11,1,"45","TRI"
"GC47R","asynch","TRI-45",12,1,"45","TRI"
"GC47R","asynch","TRI-45",13,1,"45","TRI"
"T7NPC","asynch","TRI-45",1,1,"45","TRI"
"T7NPC","asynch","TRI-45",2,2,"45","TRI"
"T7NPC","asynch","TRI-45",3,3,"45","TRI"
"T7NPC","asynch","TRI-45",4,4,"45","TRI"
"T7NPC","asynch","TRI-45",5,5,"45","TRI"
"T7NPC","asynch","TRI-45",6,6,"45","TRI"
"T7NPC","asynch","TRI-45",7,7,"45","TRI"
"T7NPC","asynch","TRI-45",8,8,"45","TRI"
"T7NPC","asynch","TRI-45",9,9,"45","TRI"
"T7NPC","asynch","TRI-45",10,10,"45","TRI"
"T7NPC","asynch","TRI-45",11,11,"45","TRI"
"T7NPC","asynch","TRI-45",12,12,"45","TRI"
"T7NPC","asynch","TRI-45",13,12,"45","TRI"
"2CJ7D","asynch","TRI-45",1,0,"45","TRI"
"2CJ7D","asynch","TRI-45",2,0,"45","TRI"
"2CJ7D","asynch","TRI-45",3,0,"45","TRI"
"2CJ7D","asynch","TRI-45",4,0,"45","TRI"
"2CJ7D","asynch","TRI-45",5,0,"45","TRI"
"2CJ7D","asynch","TRI-45",6,0,"45","TRI"
"2CJ7D","asynch","TRI-45",7,0,"45","TRI"
"2CJ7D","asynch","TRI-45",8,0,"45","TRI"
"2CJ7D","asynch","TRI-45",9,0,"45","TRI"
"2CJ7D","asynch","TRI-45",10,0,"45","TRI"
"2CJ7D","asynch","TRI-45",11,0,"45","TRI"
"2CJ7D","asynch","TRI-45",12,0,"45","TRI"
"2CJ7D","asynch","TRI-45",13,0,"45","TRI"
"1EOUS","asynch","TRI-45",1,1,"45","TRI"
"1EOUS","asynch","TRI-45",2,2,"45","TRI"
"1EOUS","asynch","TRI-45",3,3,"45","TRI"
"1EOUS","asynch","TRI-45",4,4,"45","TRI"
"1EOUS","asynch","TRI-45",5,4,"45","TRI"
"1EOUS","asynch","TRI-45",6,4,"45","TRI"
"1EOUS","asynch","TRI-45",7,5,"45","TRI"
"1EOUS","asynch","TRI-45",8,5,"45","TRI"
"1EOUS","asynch","TRI-45",9,6,"45","TRI"
"1EOUS","asynch","TRI-45",10,7,"45","TRI"
"1EOUS","asynch","TRI-45",11,8,"45","TRI"
"1EOUS","asynch","TRI-45",12,9,"45","TRI"
"1EOUS","asynch","TRI-45",13,9,"45","TRI"
"SV20G","asynch","ORTH-45",1,1,"45","ORTH"
"SV20G","asynch","ORTH-45",2,2,"45","ORTH"
"SV20G","asynch","ORTH-45",3,3,"45","ORTH"
"SV20G","asynch","ORTH-45",4,4,"45","ORTH"
"SV20G","asynch","ORTH-45",5,4,"45","ORTH"
"SV20G","asynch","ORTH-45",6,5,"45","ORTH"
"SV20G","asynch","ORTH-45",7,6,"45","ORTH"
"SV20G","asynch","ORTH-45",8,7,"45","ORTH"
"SV20G","asynch","ORTH-45",9,8,"45","ORTH"
"SV20G","asynch","ORTH-45",10,9,"45","ORTH"
"SV20G","asynch","ORTH-45",11,10,"45","ORTH"
"SV20G","asynch","ORTH-45",12,11,"45","ORTH"
"SV20G","asynch","ORTH-45",13,12,"45","ORTH"
"0TUJO","asynch","TRI-45",1,0,"45","TRI"
"0TUJO","asynch","TRI-45",2,1,"45","TRI"
"0TUJO","asynch","TRI-45",3,1,"45","TRI"
"0TUJO","asynch","TRI-45",4,1,"45","TRI"
"0TUJO","asynch","TRI-45",5,1,"45","TRI"
"0TUJO","asynch","TRI-45",6,1,"45","TRI"
"0TUJO","asynch","TRI-45",7,1,"45","TRI"
"0TUJO","asynch","TRI-45",8,1,"45","TRI"
"0TUJO","asynch","TRI-45",9,1,"45","TRI"
"0TUJO","asynch","TRI-45",10,1,"45","TRI"
"0TUJO","asynch","TRI-45",11,1,"45","TRI"
"0TUJO","asynch","TRI-45",12,1,"45","TRI"
"0TUJO","asynch","TRI-45",13,1,"45","TRI"
"4EDBK","asynch","ORTH-45",1,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",2,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",3,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",4,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",5,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",6,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",7,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",8,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",9,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",10,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",11,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",12,0,"45","ORTH"
"4EDBK","asynch","ORTH-45",13,0,"45","ORTH"
"GV92N","asynch","ORTH-45",1,0,"45","ORTH"
"GV92N","asynch","ORTH-45",2,0,"45","ORTH"
"GV92N","asynch","ORTH-45",3,0,"45","ORTH"
"GV92N","asynch","ORTH-45",4,0,"45","ORTH"
"GV92N","asynch","ORTH-45",5,0,"45","ORTH"
"GV92N","asynch","ORTH-45",6,0,"45","ORTH"
"GV92N","asynch","ORTH-45",7,0,"45","ORTH"
"GV92N","asynch","ORTH-45",8,0,"45","ORTH"
"GV92N","asynch","ORTH-45",9,0,"45","ORTH"
"GV92N","asynch","ORTH-45",10,0,"45","ORTH"
"GV92N","asynch","ORTH-45",11,0,"45","ORTH"
"GV92N","asynch","ORTH-45",12,0,"45","ORTH"
"GV92N","asynch","ORTH-45",13,0,"45","ORTH"
"MLNH1","asynch","ORTH-45",1,0,"45","ORTH"
"MLNH1","asynch","ORTH-45",2,0,"45","ORTH"
"MLNH1","asynch","ORTH-45",3,0,"45","ORTH"
"MLNH1","asynch","ORTH-45",4,1,"45","ORTH"
"MLNH1","asynch","ORTH-45",5,2,"45","ORTH"
"MLNH1","asynch","ORTH-45",6,2,"45","ORTH"
"MLNH1","asynch","ORTH-45",7,2,"45","ORTH"
"MLNH1","asynch","ORTH-45",8,3,"45","ORTH"
"MLNH1","asynch","ORTH-45",9,3,"45","ORTH"
"MLNH1","asynch","ORTH-45",10,3,"45","ORTH"
"MLNH1","asynch","ORTH-45",11,4,"45","ORTH"
"MLNH1","asynch","ORTH-45",12,5,"45","ORTH"
