"subject","mode","pretty_condition","question","score"
"CT1PY","asynch","TRI-rotate-45",1,1
"CT1PY","asynch","TRI-rotate-45",2,2
"CT1PY","asynch","TRI-rotate-45",3,3
"CT1PY","asynch","TRI-rotate-45",4,3.5
"CT1PY","asynch","TRI-rotate-45",5,3.5
"CT1PY","asynch","TRI-rotate-45",6,4.5
"CT1PY","asynch","TRI-rotate-45",7,4
"CT1PY","asynch","TRI-rotate-45",8,5
"CT1PY","asynch","TRI-rotate-45",9,6
"CT1PY","asynch","TRI-rotate-45",10,7
"CT1PY","asynch","TRI-rotate-45",11,7
"CT1PY","asynch","TRI-rotate-45",12,7
"CT1PY","asynch","TRI-rotate-45",13,8
"6AVLK","asynch","TRI-rotate-45",1,0.5
"6AVLK","asynch","TRI-rotate-45",2,1
"6AVLK","asynch","TRI-rotate-45",3,2
"6AVLK","asynch","TRI-rotate-45",4,3
"6AVLK","asynch","TRI-rotate-45",5,4
"6AVLK","asynch","TRI-rotate-45",6,5
"6AVLK","asynch","TRI-rotate-45",7,6
"6AVLK","asynch","TRI-rotate-45",8,6.5
"6AVLK","asynch","TRI-rotate-45",9,7.5
"6AVLK","asynch","TRI-rotate-45",10,8.5
"6AVLK","asynch","TRI-rotate-45",11,9.5
"6AVLK","asynch","TRI-rotate-45",12,10.5
"6AVLK","asynch","TRI-rotate-45",13,11.5
"395C5","asynch","TRI-rotate-45",1,-1
"395C5","asynch","TRI-rotate-45",2,0
"395C5","asynch","TRI-rotate-45",3,1
"395C5","asynch","TRI-rotate-45",4,2
"395C5","asynch","TRI-rotate-45",5,1
"395C5","asynch","TRI-rotate-45",6,2
"395C5","asynch","TRI-rotate-45",7,3
"395C5","asynch","TRI-rotate-45",8,4
"395C5","asynch","TRI-rotate-45",9,5
"395C5","asynch","TRI-rotate-45",10,6
"395C5","asynch","TRI-rotate-45",11,7
"395C5","asynch","TRI-rotate-45",12,8
"395C5","asynch","TRI-rotate-45",13,7.5
"F1E89","asynch","TRI-rotate-45",1,0.5
"F1E89","asynch","TRI-rotate-45",2,1
"F1E89","asynch","TRI-rotate-45",3,2
"F1E89","asynch","TRI-rotate-45",4,3
"F1E89","asynch","TRI-rotate-45",5,4
"F1E89","asynch","TRI-rotate-45",6,5
"F1E89","asynch","TRI-rotate-45",7,6
"F1E89","asynch","TRI-rotate-45",8,7
"F1E89","asynch","TRI-rotate-45",9,8
"F1E89","asynch","TRI-rotate-45",10,9
"F1E89","asynch","TRI-rotate-45",11,10
"F1E89","asynch","TRI-rotate-45",12,11
"F1E89","asynch","TRI-rotate-45",13,12
"QOHN7","asynch","TRI-rotate-45",1,-1
"QOHN7","asynch","TRI-rotate-45",2,-2
"QOHN7","asynch","TRI-rotate-45",3,-3
"QOHN7","asynch","TRI-rotate-45",4,-4
"QOHN7","asynch","TRI-rotate-45",5,-3
"QOHN7","asynch","TRI-rotate-45",6,-2
"QOHN7","asynch","TRI-rotate-45",7,-1
"QOHN7","asynch","TRI-rotate-45",8,0
"QOHN7","asynch","TRI-rotate-45",9,1
"QOHN7","asynch","TRI-rotate-45",10,2
"QOHN7","asynch","TRI-rotate-45",11,3
"QOHN7","asynch","TRI-rotate-45",12,4
