"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"083AY","113","TRI-0","SGC4D","winter22","asynch","Female",21,"X-Other","Fourth","U.S. ","I tried my best on most questions","3","3","2","","no",12.2249833333333,"1","chrome","1440","732","0","TRI",10.8397435897436,1.62615815556992,6.44139194139194,0,0,11,11,9,0.846153846153846,6.59071666666667,30.4186923076923,9.005,57.304,11,2,0,0,0,0,0,0,0,-1,"Orthogonal",51.354,1,1,"Triangular",17.96,1,"Triangular",49.967,1,"Triangular",24.919,3,1,2.5152,8,8,4.07551666666667
"0BTAJ","113","TRI-0","SGC4D","winter22","asynch","Female",21,"English","Fourth","USA","I tried my best on most questions","4","4","3","","nO",6.33011666666667,"1","chrome","1440","764","0","TRI",10.444696969697,0.228722258134023,7.07466063348416,0,0,10,10,9.5,0.769230769230769,3.93103333333333,18.1432307692308,5.677,33.817,10,0,0,0,3,1,2,0,1,1,"Triangular",25.148,0,-0.5,"?",25.428,1,"Triangular",15.427,0,"?",23.41,4,3.5,1.49655,6,6,2.43448333333333
"0CH4N","11111221","ORTH-45","SGC4C","summer22","asynch","Female",63,"English",NA,"United States","I tried my best on most questions","5","2","1","","no",6.8792,"2","chrome","1600","757","45","ORTH",1.54084861217214,1.00675770308123,5.47303921568627,0,0,2,3,1,0.230769230769231,3.78948333333333,17.4899230769231,7.842,43.863,3,2,4,0,4,4,4,0,1,1,"Triangular",22.724,0,-1,"Orthogonal",11.519,0,"Orthogonal",17.565,0,"?",31.805,1,1.5,1.08975,2,-0.5,2.69973333333333
"0CY2P","11311221","TRI-45","SGC4C","summer22","asynch","Female",42,"English",NA,"United States","I tried my best on each question","2","4","4","","I have ADHD and may have looked away from the screen once or twice.",23.6320166666667,"1","chrome","1536","714","45","TRI",11.9375,-0.540508511096746,8.08974358974359,0,0,12,12,12.5,0.923076923076923,15.93565,73.5491538461538,10.278,239.952,12,0,1,0,0,1,0,0,1,1,"Triangular",53.961,1,1,"Triangular",188.411,1,"Triangular",34.798,1,"Triangular",183.095,5,5,5.50053333333333,7,7.5,10.4351166666667
"0E6M5","11111221","ORTH-45","SGC4C","summer22","asynch","Female",21,"English",NA,"United States","I tried my best on each question","4","3","3","The graph was a little hard to understand and read.","No",19.2668666666667,"1","chrome","1600","781","45","ORTH",7.52159090909091,1.66425339366516,7.30542986425339,0,0,8,8,5,0.615384615384615,13.0088833333333,60.041,12.282,108.185,8,3,1,0,1,1,1,0,1,1,"Triangular",22.801,0,-0.5,"?",82.248,1,"Triangular",93.823,0,"Orthogonal",97.392,4,3.5,3.96591666666667,4,1.5,9.04296666666667
"0F1A8","111","ORTH-0","SGC3A","fall21","asynch","Female",21,"Other","Fourth","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",13.58045,"NULL","NULL","NULL","NULL","0","ORTH",-0.522594072594073,9.78021978021978,-0.664350355526826,0,0,0,0,-11,0,10.0521333333333,46.3944615384615,5.662,118.934,0,10,0,0,3,0,2,1,0,-1,"Orthogonal",48.286,0,-0.5,"?",118.934,0,"Orthogonal",15.187,0,"Orthogonal",64.121,0,-4.5,5.26808333333333,0,-6.5,4.78405
"0KDXV","111112","ORTH-45","SGC4C","summer22","asynch","Male",21,"English",NA,"United States of America","I tried my best on each question","5","2","1","","No",7.48658333333333,"3.5","chrome","1920","929","45","ORTH",-0.731417602005837,12.8571428571429,-0.223173884938591,0,0,0,0,-13,0,4.98131666666667,22.9906923076923,5.847,41.506,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",16.633,0,-1,"Orthogonal",11.35,0,"Orthogonal",25.807,0,"Orthogonal",35.941,0,-5,1.82078333333333,0,-8,3.16053333333333
"0L78J","113","TRI-0","SGC4D","winter22","asynch","Female",22,"X-Other","Third","America","I tried my best on each question","4","2","3","","",18.5825666666667,"1","chrome","1440","735","0","TRI",4.13376305067482,-0.08409825468649,6.16968325791855,0,0,5,5,3,0.384615384615385,5.01531666666667,23.1476153846154,8.325,52.198,5,2,3,0,3,3,3,0,1,1,"Triangular",16.014,0,-0.5,"?",14.035,1,"Triangular",17.123,0,"Orthogonal",25.968,2,2.5,1.94661666666667,3,0.5,3.0687
"0P0PJ","11111221","ORTH-45","SGC4C","summer22","asynch","Female",37,"English",NA,"USA","I tried my best on each question","5","2","1","","No",11.0485833333333,"1","chrome","1536","746","45","ORTH",8.71742424242424,1.23224789915966,6.88235294117647,0,0,9,9,6.5,0.692307692307692,7.8697,36.3216923076923,10.629,88.92,9,2,0,0,2,0,1,1,1,1,"Triangular",57.137,0,-1,"Orthogonal",27.917,1,"Triangular",29.564,0,"Orthogonal",16.236,4,3,3.67428333333333,5,3.5,4.19541666666667
"0PAWH","111112","ORTH-45","SGC4C","summer22","asynch","Male",21,"English",NA,"United States","I tried my best on each question","3","4","5","","",11.6479833333333,"4","chrome","2558","1369","45","ORTH",12.8666666666667,-0.683365653953889,8.08974358974359,0,0,12,12,12.5,0.923076923076923,6.58061666666667,30.3720769230769,8.67,96.665,12,0,1,0,0,1,0,0,1,1,"Triangular",41.259,1,1,"Triangular",28.437,1,"Triangular",27.172,1,"Triangular",38.806,5,5,2.69813333333333,7,7.5,3.88248333333333
"0TUJO","113112","TRI-45","SGC4C","summer22","asynch","Male",62,"English",NA,"USA","I tried my best on each question","5","2","4","I would have liked the graphs to be larger in size because I found it difficult to locate points on the graph at its current size.","No",16.12825,"1","chrome","1366","768","45","TRI",0.394339973751738,9.03365384615385,0.193492781728076,0,0,1,1,-10,0.0769230769230769,10.4694333333333,48.3204615384615,14.382,103.871,1,10,0,0,2,0,2,0,0,-1,"Orthogonal",53.701,0,-0.5,"?",67.877,0,"Orthogonal",23.042,0,"Orthogonal",19.538,1,-2.5,5.52635,0,-7.5,4.94308333333333
"0V2GP","11111331","ORTH-90","SGC4C","summer22","asynch","Male",24,"English",NA,"USA","I tried my best on most questions","4","3","1","I deal in graphs that are a bit more user friendly","no",12.9837333333333,"1","chrome","1280","689","90","ORTH",-0.16583636951284,3.57150129282482,1.23029250161603,0,0,0,0,-5.5,0,8.45588333333333,39.0271538461538,14.097,85.15,0,4,3,0,6,3,6,0,0,-1,"Orthogonal",44.86,0,-0.5,"?",68.946,0,"?",48.937,0,"Tversky",20.288,0,-2.5,4.56945,0,-3,3.88643333333333
"0XW1U","11311221","TRI-45","SGC4C","summer22","asynch","Male",30,"English",NA,"USA","I tried my best on each question","4","4","2","","None",10.6893333333333,"3","chrome","2560","1297","45","TRI",12,-0.540508511096746,8.16666666666667,0,0,12,12,11.5,0.923076923076923,6.98713333333333,32.2483076923077,5.614,104.99,12,0,0,0,1,0,1,0,1,1,"Triangular",16.652,0,-0.5,"?",52.778,1,"Triangular",20.039,1,"Triangular",104.99,4,3.5,2.225,8,8,4.76213333333333
"0ZQNF","11311221","TRI-45","SGC4C","summer22","asynch","Male",25,"English",NA,"USA","I tried my best on each question","3","4","4","","",9.80126666666667,"1","chrome","1368","840","45","TRI",10.3708333333333,0.530920060331825,7.76666666666667,0,0,10,10,9,0.769230769230769,7.64708333333333,35.2942307692308,7.035,73.824,10,1,1,0,1,1,1,0,1,1,"Triangular",11.811,0,-0.5,"?",49.326,1,"Triangular",32.489,0,"Tversky",42.114,4,3.5,2.30408333333333,6,5.5,5.343
"100LQ","113","TRI-0","SGC4D","winter22","asynch","Female",18,"English","Second","United States","I tried my best on each question","4","2","2","","No",13.1387333333333,"1","chrome","1440","696","0","TRI",0.368982977806507,7.40959653092006,-0.924854557207498,0,0,1,1,-9,0.0769230769230769,9.29753333333333,42.9116923076923,13.718,128.792,1,8,0,0,4,0,4,0,0,-0.5,"?",128.792,1,1,"Triangular",18.691,0,"Orthogonal",23.123,0,"Orthogonal",34.666,1,-2,4.09648333333333,0,-7,5.20105
