"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"HSJBQ","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","62cb2fda77bec729c86fbbba","prolific","asynch","TRUE","I tried my best on each question",3,5,2,"",39,"United States","English","Bachelors Degree","Social Sciences (incl. CogSci)","Male","nope","chrome",1707,891,"Windows 10","2022-08-24T04:49:19.297Z","success","summer22",1,0,8.0895
"6N7FZ","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","5f6f738fef894f0dbf9839f8","prolific","asynch","TRUE","I tried my best on each question",4,3,4,"",32,"United States","English","Graduate Degree","Math or Computer Sciences","Male","","chrome",1920,977,"Windows 10","2022-08-24T09:09:59.368Z","success","summer22",2,0,18.5526166666667
"82VVD","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","5f4fab801ed01f08bff0257e","prolific","asynch","TRUE","I tried my best on each question",4,4,5,"",39,"United States","English","Graduate Degree","Humanities","Female","No","chrome",1440,776,"Mac OS","2022-08-24T02:19:13.489Z","success","summer22",1,0,5.4286
"H3NDL","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","6157503061aaecc87964d076","prolific","asynch","TRUE","I tried my best on each question",4,3,5,"",20,"United States","English","Secondary School/Highschool","Fine Arts","Other-Not Listed","","chrome",1536,754,"Windows 10","2022-08-24T18:15:33.884Z","success","summer22",1,0,8.27885
"087ES","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","5b15d20c444cef0001cb1153","prolific","asynch","TRUE","I tried my best on each question",3,4,3,"",37,"us","English","some college","Fine Arts","Male","","chrome",1536,755,"Windows 8.1","2022-08-24T07:44:48.347Z","success","summer22",4,0,7.9126
"JYQBU","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","5654175604212700054a12b1","prolific","asynch","TRUE","I tried my best on each question",4,4,1,"",31,"United States","English","Secondary School/Highschool","Fine Arts","Male","","chrome",1920,937,"Windows 10","2022-08-24T07:48:26.743Z","success","summer22",3,0,9.00651666666667
"S0HHG","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","62fb516e94e3e8aa31c1e0e7","prolific","asynch","TRUE","I tried my best on each question",4,3,5,"",24,"United States","English","Secondary School/Highschool","Fine Arts","Male","","chrome",1920,969,"Windows 10","2022-08-24T07:34:36.352Z","success","summer22",3,10,14.1539833333333
"MY0UR","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","5d9fa04cd8034b0016b65d79","prolific","asynch","FALSE","I tried my best on each question",5,3,3,"none",19,"usa","English","Bachelors Degree","Math or Computer Sciences","Male","no","chrome",1637,784,"Mac OS","2022-08-24T18:54:20.631Z","success","summer22",1,0,3.50645
"MVXS8","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","62fdda76250ace9232630851","prolific","asynch","TRUE","I tried my best on most questions",4,3,2,"",31,"United States","English","Graduate Degree","Humanities","Male","","chrome",1352,761,"Mac OS","2022-08-24T19:02:28.894Z","success","summer22",1,0,6.55833333333333
"FNUCO","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","5a6fd0626923df0001ef977b","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"I was confused about how the graph worked and it took me a few questions to finally figure it out, so those first questions are wrong.",34,"United States","English","Bachelors Degree","Fine Arts","Other-Not Listed","","chrome",1280,697,"Mac OS","2022-08-24T07:36:11.528Z","success","summer22",1,9,10.0265666666667
