"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_mode","SHAPE","SCALE"
"083AY","113","Tri-Isosceles","winter22","asynch","Female",21,"X-Other","Fourth","U.S. ","I tried my best on most questions","3","3","2","","no",12.2249833333333,"1","chrome","1440","732","online-replication","TRI","isosceles"
"RC56M","113","Tri-Isosceles","winter22","asynch","Female",20,"English","Second","United States","I tried my best on each question","5","1","3","","",11.4406333333333,"1","chrome","1680","939","online-replication","TRI","isosceles"
"7LZSC","113","Tri-Isosceles","winter22","asynch","Male",22,"English","Fourth","United States","I tried my best on each question","4","3","5","The graph was in a very interesting format. I did not understand how to read the data plotted by this unique graph until about 1/3 through.","",29.3514,"3","chrome","1920","969","online-replication","TRI","isosceles"
"4B6X2","113","Tri-Isosceles","winter22","asynch","Male",18,"English","First","USA","I tried my best on most questions","3","3","4","Sometimes the task felt really dull and not too engaging.","NA",15.7682,"2","chrome","1920","975","online-replication","TRI","isosceles"
"WDBTE","113","Tri-Isosceles","winter22","asynch","Female",19,"Spanish","Second","United States","I tried my best on each question","3","3","5","","",8.91781666666667,"1.5","chrome","1440","821","online-replication","TRI","isosceles"
"EJOHQ","113","Tri-Isosceles","winter22","asynch","Male",21,"English","Fourth","US","I tried my best on each question","4","3","5","","",10.7957666666667,"1","chrome","1422","800","online-replication","TRI","isosceles"
"L1F8V","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","4","3","2","the graph was sort of hard to look at for me, all the lines felt like they were. moving and intersecting some","",11.12595,"1","chrome","1440","764","online-replication","TRI","isosceles"
"HW7XP","113","Tri-Isosceles","winter22","asynch","Female",20,"English","Third","Canada","I tried my best on each question","3","4","4","","No",7.75665,"1","chrome","1368","769","online-replication","TRI","isosceles"
"U9386","113","Tri-Isosceles","winter22","asynch","Female",18,"English","First","USA","I tried my best on each question","4","3","2","","no",13.53355,"1","chrome","1440","789","online-replication","TRI","isosceles"
"O3FRB","113","Tri-Isosceles","winter22","asynch","Female",21,"Korean","Third","Korea","I tried my best on each question","1","4","5","I accidently didn't press one thing on one question (don't remember the exact question, but it was asking what shift(s) were in the condition and I only pressed one) ","",5.74901666666667,"1","chrome","1438","687","online-replication","TRI","isosceles"
"ZP1H3","113","Tri-Isosceles","winter22","asynch","Female",21,"Spanish","Third","us","I tried my best on most questions","4","3","3","","",8.98795,"1","chrome","1280","689","online-replication","TRI","isosceles"
"O22H1","113","Tri-Isosceles","winter22","asynch","Female",20,"English","Third","United States","I tried my best on most questions","2","5","1","","",4.21043333333333,"1","chrome","1920","896","online-replication","TRI","isosceles"
"X96N8","113","Tri-Isosceles","winter22","asynch","Male",37,"English","Third","United States","I tried my best on each question","3","2","2","It was ok","No",5.92116666666667,"2","chrome","1440","789","online-replication","TRI","isosceles"
"WVFVS","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","4","5","5","N/A","I have ADHD.",6.64438333333333,"1","chrome","1440","789","online-replication","TRI","isosceles"
"WA4UC","113","Tri-Isosceles","winter22","asynch","Female",22,"English","Fourth","United States","I tried my best on each question","2","4","3","","N/A",21.0459666666667,"1","chrome","1367","695","online-replication","TRI","isosceles"
"20LM4","113","Tri-Isosceles","winter22","asynch","Male",22,"English","Fourth","USA","I tried my best on each question","4","4","2","","No",13.8327833333333,"2","chrome","1920","937","online-replication","TRI","isosceles"
"GE074","113","Tri-Isosceles","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on each question","1","5","5","there was one question where i miss-clicked!","no",7.11766666666667,"1","chrome","1293","720","online-replication","TRI","isosceles"
"EK80Y","113","Tri-Isosceles","winter22","asynch","Female",22,"English","Fourth","United States","I tried my best on each question","3","3","5","","n/a",23.4908,"1","chrome","1440","721","online-replication","TRI","isosceles"
"2Q16G","113","Tri-Isosceles","winter22","asynch","Female",20,"English","Third","United States","I tried my best on most questions","4","2","2","This graph hurts my brain","no",15.2078833333333,"1","chrome","1194","710","online-replication","TRI","isosceles"
"CSJL3","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Second","USA","I tried my best on most questions","3","3","4","Interesting wording, was confused at times by what the question was asking. ","No",8.64423333333333,"2","chrome","1440","821","online-replication","TRI","isosceles"
"7116F","113","Tri-Isosceles","winter22","asynch","Female",18,"English","First","United States","I tried my best on most questions","3","2","3","","",10.35535,"1","chrome","1536","722","online-replication","TRI","isosceles"
"0L78J","113","Tri-Isosceles","winter22","asynch","Female",22,"X-Other","Third","America","I tried my best on each question","4","2","3","","",18.5825666666667,"1","chrome","1440","735","online-replication","TRI","isosceles"
"3UG8D","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions","2","3","3","","",19.8237,"1","chrome","1440","821","online-replication","TRI","isosceles"
"2PQSA","113","Tri-Isosceles","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question","3","4","2","","",8.4372,"3","chrome","1920","961","online-replication","TRI","isosceles"
"CKA0U","113","Tri-Isosceles","winter22","asynch","Male",21,"English","Third","United States","I tried my best on each question","2","5","3","","",9.04665,"1","chrome","1920","979","online-replication","TRI","isosceles"
"WYEDM","113","Tri-Isosceles","winter22","asynch","Female",21,"French","Third","United States","I tried my best on each question","4","3","5","I found it very hard to keep focus, my attention span while being stuck in quarantine has been greatly affected. ","no",15.455,"1","chrome","1440","843","online-replication","TRI","isosceles"
"5012K","113","Tri-Isosceles","winter22","asynch","Female",18,"English","First","United States","I tried my best on most questions","4","2","4","","No.",11.05535,"1","chrome","1440","789","online-replication","TRI","isosceles"
"U2F64","113","Tri-Isosceles","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","3","4","3","","",13.0013833333333,"1","chrome","1440","702","online-replication","TRI","isosceles"
"702QC","113","Tri-Isosceles","winter22","asynch","Male",21,"English","Fourth","US","I tried my best on most questions","2","3","2","","",4.06988333333333,"1","chrome","1440","764","online-replication","TRI","isosceles"
"JJ8JL","113","Tri-Isosceles","winter22","asynch","Female",20,"English","Second","United States","I tried my best on each question","2","4","5","","",10.1815666666667,"2","chrome","1440","705","online-replication","TRI","isosceles"
"RT8OF","113","Tri-Isosceles","winter22","asynch","Male",20,"English","Third","USA","I tried my best on each question","5","2","1","","",6.89321666666667,"1","chrome","1920","937","online-replication","TRI","isosceles"
"1S6DV","113","Tri-Isosceles","winter22","asynch","Male",19,"English","Second","United States","I tried my best on each question","3","3","3","","",13.9875666666667,"1","chrome","1366","768","online-replication","TRI","isosceles"
"PKTN1","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Fourth","United States","I tried my best on most questions","4","3","4","Start times were extremely easy. But when it came to half breaks, I was having difficulty with all the different points on the graph.","No",11.1346,"1","chrome","1440","730","online-replication","TRI","isosceles"
"AOTXC","113","Tri-Isosceles","winter22","asynch","Other-Not Listed",21,"English","Fourth","USA","I tried my best on most questions","4","3","3","","",6.74275,"1.5","chrome","1920","969","online-replication","TRI","isosceles"
"N3APK","113","Tri-Isosceles","winter22","asynch","Female",21,"X-Other","Third","USA","I tried my best on each question","4","3","4","","no",11.5583833333333,"2","chrome","1440","821","online-replication","TRI","isosceles"
"Q77EC","113","Tri-Isosceles","winter22","asynch","Female",20,"Spanish","Third","United States","I tried my best on each question","3","3","4","The fact that the bottom said start and end time was confusing. ","No",11.29625,"1","chrome","1280","800","online-replication","TRI","isosceles"
"WVWN4","113","Tri-Isosceles","winter22","asynch","Female",20,"English","Third","United States","I tried my best on each question","4","4","1","","",9.95525,"1","chrome","1920","896","online-replication","TRI","isosceles"
"EMDA3","113","Tri-Isosceles","winter22","asynch","Female",18,"English","First","United States","I tried my best on most questions","4","3","3","","",12.8286666666667,"1","chrome","1440","789","online-replication","TRI","isosceles"
"8DH5Q","113","Tri-Isosceles","winter22","asynch","Female",22,"English","Fourth","U.S.","I tried my best on each question","2","3","3","","No",12.0233833333333,"1","chrome","1349","738","online-replication","TRI","isosceles"
"NUUUY","113","Tri-Isosceles","winter22","asynch","Female",21,"Spanish","Third","United States","I tried my best on each question","2","4","3","","I have ADHD I dont know if it influenced the task though",17.4618,"1","chrome","2400","1211","online-replication","TRI","isosceles"
"NTBWZ","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question","2","4","4","","NA",10.7905666666667,"1","chrome","1186","737","online-replication","TRI","isosceles"
"100LQ","113","Tri-Isosceles","winter22","asynch","Female",18,"English","Second","United States","I tried my best on each question","4","2","2","","No",13.1387333333333,"1","chrome","1440","696","online-replication","TRI","isosceles"
"SQZ9U","113","Tri-Isosceles","winter22","asynch","Male",22,"English","Fourth","United States","I tried my best on each question","4","3","3","Nothing","ADHD",9.3448,"1","chrome","1792","984","online-replication","TRI","isosceles"
"8V2SA","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Second","US","I tried my best on each question","2","4","5","","no",8.30923333333333,"1","chrome","1440","821","online-replication","TRI","isosceles"
"1AHKL","113","Tri-Isosceles","winter22","asynch","Female",20,"Spanish","Third","United States","I tried my best on each question","2","4","5","","",9.06335,"2","chrome","1256","692","online-replication","TRI","isosceles"
"LR3G1","113","Tri-Isosceles","winter22","asynch","Male",21,"English","Fourth","United Statesa","I tried my best on each question","2","3","3","","",38.5193166666667,"3","chrome","1504","852","online-replication","TRI","isosceles"
"URF3W","113","Tri-Isosceles","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","2","4","4","I may have performed a similar study last year, with the same graphs ","",8.93021666666667,"2","chrome","1855","977","online-replication","TRI","isosceles"
"K27WV","113","Tri-Isosceles","winter22","asynch","Female",19,"Korean","Second","United States","I tried my best on each question","3","4","5","I was first lost when looking at the chart and am still not sure if I am looking at it the right way. ","no",9.5758,"1","chrome","1440","821","online-replication","TRI","isosceles"
"JKMRO","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","4","3","2","The triangle graph was kind of hard to read","No",7.62771666666667,"1","chrome","1280","689","online-replication","TRI","isosceles"
"HP1U2","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","United States of America","I tried my best on each question","2","4","3","At first I didn't understand how to read the graph, but as I went on I figured it out","nope",18.4661333333333,"2","chrome","1536","713","online-replication","TRI","isosceles"
"HLER6","113","Tri-Isosceles","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","1","5","2","","",12.0437833333333,"1","chrome","1440","743","online-replication","TRI","isosceles"
"5380A","113","Tri-Isosceles","winter22","asynch","Male",19,"English","Second","United States","I tried my best on each question","1","4","4","N/A","None",12.8113166666667,"1","chrome","1440","821","online-replication","TRI","isosceles"
"B57QL","113","Tri-Isosceles","winter22","asynch","Male",27,"Arabic",NA,"USA","I tried my best on each question","2","3","3","","NO",4.60528333333333,"1","chrome","1440","725","online-replication","TRI","isosceles"
"CC9FZ","113","Tri-Isosceles","winter22","asynch","Female",21,"X-Other","Third","usa","I tried my best on most questions","3","4","2","color code maybe?","Dyslexia and ADHD",11.6154833333333,"1","chrome","1368","801","online-replication","TRI","isosceles"
"0BTAJ","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","USA","I tried my best on most questions","4","4","3","","nO",6.33011666666667,"1","chrome","1440","764","online-replication","TRI","isosceles"
"67XMW","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","USA","I tried my best on most questions","3","2","3","","",5.98255,"1","chrome","1440","698","online-replication","TRI","isosceles"
"1L782","113","Tri-Isosceles","winter22","asynch","Female",22,"English","Third","United States","I tried my best on each question","5","2","3","","No",13.7557,"1","chrome","1440","755","online-replication","TRI","isosceles"
"ZUG5U","113","Tri-Isosceles","winter22","asynch","Female",18,"English","First","United States","I tried my best on each question","3","4","2","","No",13.6792833333333,"1","chrome","1399","766","online-replication","TRI","isosceles"
"E2TEF","113","Tri-Isosceles","winter22","asynch","Female",19,"Spanish","Second","United States","I tried my best on most questions","4","4","3","","",28.7414,"2","chrome","1664","967","online-replication","TRI","isosceles"
"ETFTW","113","Tri-Isosceles","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","4","2","1","","",16.7339666666667,"1","chrome","1438","697","online-replication","TRI","isosceles"
"DHOKS","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","U.S.A","I tried my best on each question","5","1","3","","",10.7913333333333,"1","chrome","1440","718","online-replication","TRI","isosceles"
"LCA8C","113","Tri-Isosceles","winter22","asynch","Female",18,"Spanish","First","United States","I tried my best on each question","3","2","4","Reading the graph would be a bit easier if it was formatted differently.","No.",68.9800666666667,"2","chrome","1139","684","online-replication","TRI","isosceles"
"JAD4Q","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Second","USA","I tried my best on each question","4","2","4","","no",9.82248333333333,"1","chrome","1536","710","online-replication","TRI","isosceles"
"APAMB","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Third","USA","I tried my best on each question","2","3","3","","no",15.1600666666667,"1","chrome","1440","821","online-replication","TRI","isosceles"
"293QB","113","Tri-Isosceles","winter22","asynch","Female",23,"Spanish","Fourth","United States","I tried my best on each question","4","3","3","","No",11.7343166666667,"1","chrome","1280","721","online-replication","TRI","isosceles"
"DY0BB","113","Tri-Isosceles","winter22","asynch","Female",23,"English","Fifth","USA","I tried my best on most questions","1","2","2","","",14.8554833333333,"2","chrome","1440","821","online-replication","TRI","isosceles"
"MTCEB","113","Tri-Isosceles","winter22","asynch","Other-Not Listed",21,"Spanish","Third","United States","I tried my best on most questions","2","4","2","","",9.49355,"1","chrome","1287","1087","online-replication","TRI","isosceles"
"Y5NMS","113","Tri-Isosceles","winter22","asynch","Female",19,"Korean","Second","USA","I tried my best on most questions","3","3","3","","",9.11136666666667,"1","chrome","1280","689","online-replication","TRI","isosceles"
"4660Y","113","Tri-Isosceles","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on each question","3","4","3","","",10.0346166666667,"1","chrome","1311","705","online-replication","TRI","isosceles"
"O7C4V","113","Tri-Isosceles","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on each question","4","2","2","","no",20.8619333333333,"2","chrome","1440","720","online-replication","TRI","isosceles"
"QAUVK","113","Tri-Isosceles","winter22","asynch","Male",18,"English","Fourth","United States","I tried my best on most questions","3","1","3","made me feel cross-eyed for a bit lol","n/a",10.8577166666667,"1","chrome","1440","789","online-replication","TRI","isosceles"
"4GNS9","113","Tri-Isosceles","winter22","asynch","Female",19,"X-Other","First","Vietnam","I tried my best on each question","3","4","4","The chart was a little bit confusing at first but it gets better as I got used to it.","Nope",11.72685,"2","chrome","1439","736","online-replication","TRI","isosceles"
"APZGR","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions","4","4","2","The visualization was kind of hard to understand at first, especially because the label on the bottom stated that it was representative of times shifted started AND ended— at first I thought I was supposed to look for points on the graph to reveal when a shift ended instead of mentally calculating it using each point's duration and start time.","",13.5192333333333,"2","chrome","1440","689","online-replication","TRI","isosceles"
"304O6","113","Tri-Isosceles","winter22","asynch","Female",30,"English","Third","United States","I tried my best on each question","5","2","1","The grid of the time pyramid diagram caused severe eye strain and triggered a migraine.","eye sensitivity problem distinguishing fine lines.",35.9273666666667,"2","chrome","1536","714","online-replication","TRI","isosceles"
"PX101","113","Tri-Isosceles","winter22","asynch","Male",21,"English","Third","united states","I tried my best on each question","1","4","3","","no",6.48695,"1","chrome","1330","729","online-replication","TRI","isosceles"
"JJTSL","113","Tri-Isosceles","winter22","asynch","Female",20,"English","Third","usa","I tried my best on most questions","5","4","1","","no. average intelligence lol",26.2696,"1","chrome","1504","892","online-replication","TRI","isosceles"
"2WLTY","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question","5","1","5","","",9.5947,"2.5","chrome","1536","722","online-replication","TRI","isosceles"
