"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"2PQSA","asynch","Tri-Isosceles",1,1,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",2,2,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",3,3,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",4,4,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",5,5,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",6,6,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",7,6,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",8,7,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",9,8,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",10,9,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",11,10,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",12,11,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",13,12,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",4,1,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",5,2,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",6,3,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",7,3,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",8,4,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",9,5,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",10,6,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",11,6,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",12,7,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",13,8,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",9,1,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",10,1,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",11,1,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",12,1,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",13,1,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",4,1,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",5,1,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",6,1,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",7,1,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",8,2,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",9,2,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",10,2,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",11,3,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",12,3,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",13,3,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",2,1,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",3,2,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",4,3,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",5,4,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",6,5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",7,6,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",8,7,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",9,8,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",10,9,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",11,10,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",12,11,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",13,12,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",1,1,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",2,2,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",3,3,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",4,4,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",5,5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",6,5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",7,6,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",8,7,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",9,8,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",10,9,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",11,10,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",12,11,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",13,12,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
