"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"2PQSA","asynch","Tri-Isosceles",1,1,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",2,2,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",3,3,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",4,4,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",5,5,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",6,6,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",7,6.5,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",8,7.5,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",9,8.5,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",10,9.5,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",11,10.5,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",12,11.5,"TRI","isosceles"
"2PQSA","asynch","Tri-Isosceles",13,12.5,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",5,-5,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",6,-6,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",7,-7,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",8,-8,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",9,-9,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",10,-10,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",11,-11,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",12,-12,"TRI","isosceles"
"PKTN1","asynch","Tri-Isosceles",13,-13,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",3,-1.5,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",4,-0.5,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",5,0.5,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",6,1.5,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",7,1,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",8,2,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",9,3,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",10,4,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",11,3.5,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",12,4.5,"TRI","isosceles"
"O7C4V","asynch","Tri-Isosceles",13,5.5,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",5,-4.5,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",6,-5.5,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",7,-6,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",8,-7,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",9,-6,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",10,-7,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",11,-8,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",12,-9,"TRI","isosceles"
"4B6X2","asynch","Tri-Isosceles",13,-9.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",2,-0.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",3,-1.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",4,-2.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",5,-3.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",6,-4.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",7,-5.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",8,-6.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",9,-7.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",10,-8.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",11,-9.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",12,-10.5,"TRI","isosceles"
"Y5NMS","asynch","Tri-Isosceles",13,-11.5,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",5,-5,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",6,-6,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",7,-7,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",8,-8,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",9,-9,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",10,-10,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",11,-10.5,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",12,-11.5,"TRI","isosceles"
"20LM4","asynch","Tri-Isosceles",13,-12.5,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",3,-1.5,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",4,-0.5,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",5,-1,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",6,-2,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",7,-3,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",8,-2,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",9,-3,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",10,-4,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",11,-3,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",12,-4,"TRI","isosceles"
"RC56M","asynch","Tri-Isosceles",13,-5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",5,-4.5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",6,-5.5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",7,-6.5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",8,-7.5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",9,-8.5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",10,-9.5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",11,-10.5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",12,-11.5,"TRI","isosceles"
"CSJL3","asynch","Tri-Isosceles",13,-12.5,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",5,-5,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",6,-6,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",7,-7,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",8,-8,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",9,-9,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",10,-10,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",11,-11,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",12,-12,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",13,-13,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",1,0.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",2,1.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",3,2.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",4,3.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",5,4.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",6,5.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",7,6.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",8,7.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",9,8.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",10,9.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",11,10.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",12,11.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",13,12.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",1,1,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",2,2,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",3,3,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",4,4,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",5,5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",6,5.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",7,6.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",8,7.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",9,8.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",10,9.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",11,10.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",12,11.5,"TRI","isosceles"
