"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"083AY","113","Tri-Isosceles","winter22","asynch","Female",21,"X-Other","Fourth","U.S. ","I tried my best on most questions","3","3","2","","no",12.2249833333333,"1","chrome","1440","732","online-replication",10.8397435897436,1.62615815556992,6.44139194139194,0,0,11,11,9,0.846153846153846,6.59071666666667,30.4186923076923,9.005,57.304,11,2,0,0,0,0,0,0,0,-1,"Orthogonal",51.354,1,1,"Triangular",17.96,1,"Triangular",49.967,1,"Triangular",24.919,3,1,2.5152,8,8,4.07551666666667
"087ES","11111112","Orth-Equilateral","summer22","asynch","Male",37,"English",NA,"us","I tried my best on each question","3","4","3","","",7.9126,"4","chrome","1536","755","online-replication",-0.51134184443008,4.28032482223659,1.13389625080802,0,0,0,1,-5.5,0.0769230769230769,4.88793333333333,22.5596923076923,12.489,41.627,1,5,2,0,5,2,5,0,0,-1,"Orthogonal",15.498,0,-0.5,"?",20.683,0,"Orthogonal",34.74,1,"Triangular",15.731,0,-2.5,1.24371666666667,1,-3,3.64421666666667
"08WET","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.16745,"NULL","NULL","NULL","NULL","laboratory",8.63141025641026,2.65949148890325,4.64972527472527,0,0,9,9,6.5,0.692307692307692,7.36886666666667,34.0101538461538,7.405,173.73,9,3,1,0,0,1,0,0,0,-1,"Orthogonal",32.45,1,1,"Triangular",21.63,0,"Orthogonal",21.114,1,"Triangular",19.913,2,0.5,4.78118333333333,7,6,2.58768333333333
"09NKA","11311112","Tri-Equilateral","summer22","asynch","Female",37,"English",NA,"United States","I tried my best on each question","5","2","2","this was very confusing","",11.0193166666667,"1","chrome","1536","722","online-replication",-0.677088597676833,10.1794871794872,-0.871525533290239,0,0,0,0,-12,0,8.43953333333333,38.9516923076923,6.215,85.985,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",21.974,0,-0.5,"?",53.631,0,"Orthogonal",33.369,0,"Orthogonal",40.64,0,-4,3.93326666666667,0,-8,4.50626666666667
"0B9KO","11311112","Tri-Equilateral","summer22","asynch","Male",62,"English",NA,"United States","I tried my best on each question","3","3","3","","",12.0848166666667,"1","chrome","1920","929","online-replication",0.417229584141349,8.09688644688645,0.257810816634346,0,0,1,1,-8.5,0.0769230769230769,8.81885,40.7023846153846,8.408,77.563,1,9,1,0,2,1,2,0,0,-1,"Orthogonal",50.665,1,1,"Triangular",53.612,0,"Orthogonal",24.298,0,"Orthogonal",38.281,1,-1,3.35861666666667,0,-7.5,5.46023333333333
"0BTAJ","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","USA","I tried my best on most questions","4","4","3","","nO",6.33011666666667,"1","chrome","1440","764","online-replication",10.444696969697,0.228722258134023,7.07466063348416,0,0,10,10,9.5,0.769230769230769,3.93103333333333,18.1432307692308,5.677,33.817,10,0,0,0,3,1,2,0,1,1,"Triangular",25.148,0,-0.5,"?",25.428,1,"Triangular",15.427,0,"?",23.41,4,3.5,1.49655,6,6,2.43448333333333
"0CR6Z","113","Tri-Isosceles","spring18","lab-synch","Female",22,"Other","Fourth","Burma / Myanmar","NULL","NULL","NULL","NULL","NULL","NULL",14.3154833333333,"NULL","NULL","NULL","NULL","laboratory",10.8333333333333,-0.740508511096746,7.40909090909091,0,0,11,11,10,0.846153846153846,7.81705,36.0786923076923,5.728,169.744,11,0,0,0,2,0,2,0,1,1,"Triangular",28.493,0,-0.5,"?",169.744,1,"Triangular",64.31,1,"Triangular",16.002,3,2,4.9286,8,8,2.88845
"0L78J","113","Tri-Isosceles","winter22","asynch","Female",22,"X-Other","Third","America","I tried my best on each question","4","2","3","","",18.5825666666667,"1","chrome","1440","735","online-replication",4.13376305067482,-0.08409825468649,6.16968325791855,0,0,5,5,3,0.384615384615385,5.01531666666667,23.1476153846154,8.325,52.198,5,2,3,0,3,3,3,0,1,1,"Triangular",16.014,0,-0.5,"?",14.035,1,"Triangular",17.123,0,"Orthogonal",25.968,2,2.5,1.94661666666667,3,0.5,3.0687
"0VG7G","11311112","Tri-Equilateral","summer22","asynch","Male",54,"English",NA,"US","I tried my best on each question","2","4","4","","no",17.602,"3","chrome","1517","694","online-replication",-0.677846173434409,4.13032482223659,0.160054406377936,0,0,0,0,-8,0,9.49543333333333,43.8250769230769,13.674,79.806,0,5,1,0,7,1,7,0,0,-1,"Orthogonal",31.152,0,-0.5,"?",51.92,0,"?",70.453,0,"?",33.776,0,-2.5,3.78886666666667,0,-5.5,5.70656666666667
"100LQ","113","Tri-Isosceles","winter22","asynch","Female",18,"English","Second","United States","I tried my best on each question","4","2","2","","No",13.1387333333333,"1","chrome","1440","696","online-replication",0.368982977806507,7.40959653092006,-0.924854557207498,0,0,1,1,-9,0.0769230769230769,9.29753333333333,42.9116923076923,13.718,128.792,1,8,0,0,4,0,4,0,0,-0.5,"?",128.792,1,1,"Triangular",18.691,0,"Orthogonal",23.123,0,"Orthogonal",34.666,1,-2,4.09648333333333,0,-7,5.20105
"10XMB","113","Tri-Isosceles","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.1564666666667,"NULL","NULL","NULL","NULL","laboratory",0.596991488903254,8.61057692307692,-0.646250808015514,0,1,1,1,-9.5,0.0769230769230769,10.3714333333333,47.8681538461538,12.329,117.547,1,10,0,0,2,0,1,1,0,-1,"Orthogonal",17.88,1,1,"Triangular",117.547,0,"Orthogonal",22.199,0,"Orthogonal",94.756,1,-2,4.01516666666667,0,-7.5,6.35626666666667
"1AHKL","113","Tri-Isosceles","winter22","asynch","Female",20,"Spanish","Third","United States","I tried my best on each question","2","4","5","","",9.06335,"2","chrome","1256","692","online-replication",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,6.15963333333333,28.4290769230769,10.224,76.709,13,0,0,0,0,0,0,0,1,1,"Triangular",30.396,1,1,"Triangular",31.616,1,"Triangular",37.448,1,"Triangular",15.57,5,5,2.67016666666667,8,8,3.48946666666667
"1GLWL","11311112","Tri-Equilateral","summer22","asynch","Female",22,"English",NA,"United States","I tried my best on each question","3","4","4","","",10.0735166666667,"1","chrome","1920","969","online-replication",1.57615815556992,8.1407967032967,-0.789107950872657,0,1,0,1,-8,0.0769230769230769,7.28815,33.6376153846154,6.638,116.216,1,9,1,0,2,1,1,1,0,-1,"Orthogonal",18.941,1,1,"Triangular",116.216,0,"Orthogonal",18.489,0,"Orthogonal",33.913,1,-2,4.16648333333333,0,-6,3.12166666666667
"1L782","113","Tri-Isosceles","winter22","asynch","Female",22,"English","Third","United States","I tried my best on each question","5","2","3","","No",13.7557,"1","chrome","1440","755","online-replication",-0.419512840101075,3.38032482223659,1.92080101271278,0,0,0,0,-5.5,0,9.99245,46.119,11.199,124.694,0,4,2,0,7,2,5,2,0,-1,"Orthogonal",24.147,0,-0.5,"?",69.468,0,"blank",61.026,0,"blank",79.785,0,-2,2.72198333333333,0,-3.5,7.27046666666667
"1NHXQ","11111112","Orth-Equilateral","summer22","asynch","Female",33,"English",NA,"USA","I tried my best on each question","5","2","4","","Diagnosed ADHD. ",9.8966,"2","chrome","1920","929","online-replication",0.397749064660829,2.55340174531351,2.36947317388494,0,0,0,0,-4.5,0,5.01338333333333,23.1386923076923,6.693,65.224,0,4,4,0,5,4,5,0,0,-1,"Orthogonal",32.212,0,-0.5,"?",46.166,0,"Orthogonal",23.591,0,"Tversky",15.285,0,0,2.1003,0,-4.5,2.91308333333333
"1S6DV","113","Tri-Isosceles","winter22","asynch","Male",19,"English","Second","United States","I tried my best on each question","3","3","3","","",13.9875666666667,"1","chrome","1366","768","online-replication",-0.455927405927406,10.9230769230769,-0.664350355526826,0,0,0,0,-11.5,0,9.31581666666667,42.9960769230769,9.227,95.749,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",21.344,0,-0.5,"?",95.749,0,"Orthogonal",23.059,0,"Orthogonal",78.706,0,-4.5,4.05291666666667,0,-7,5.2629
"1ZY3L","111","Orth-Isosceles","spring18","lab-synch","Male",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",10.4007333333333,"NULL","NULL","NULL","NULL","laboratory",12.8017533936652,1.95949148890325,7.95399698340875,0,0,10,10,11.5,0.769230769230769,5.88351666666667,27.1546923076923,5.731,77.015,10,0,0,0,3,3,0,0,0,0.5,"both tri + orth",60.225,1,1,"Triangular",77.015,1,"Triangular",23.992,1,"Triangular",27.436,4,4.5,3.17326666666667,6,7,2.71025
