"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","rt_s","condition"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.3338,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,1,0,"A ",3.644,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.434316666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,1,0,"E ",5.887,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.61805,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"Z ",10.887,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.9724,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.0833333333333333,0,0,1,0,"U ",21.156,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.369,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"U ",23.674,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",1.49675,"Which shift(s) are six hours long?","duration","6","FALSE",-0.166666666666667,0,0,2,0,"E ,G ",6.465,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.61645,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",7.072,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.01521666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.0833333333333333,0,0,1,0,"E ",23.814,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",2.13151666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.0833333333333333,0,0,1,0,"I ",6.87,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.18881666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"B ",3.336,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.3029,"Which shift(s) start at 12pm?","starttime","11","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",6.733,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.3615,"Which shift(s) start at the same time as F?","starts","12","FALSE",-0.0833333333333333,0,0,1,0,"B ",3.323,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",2.59696666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"F ,X ",14.002,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",3.22126666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.0833333333333333,0,0,1,0,"B ",37.343,"11115"
"YM960","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",3.80368333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.166666666666667,0,0,2,0,"E ,F ",34.543,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.298883333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,1,0,"A ",6.865,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.407833333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,1,0,"E ",6.449,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.411366666666667,"Which shift(s) begin when C ends?","meets","3","FALSE",0,0,0,0,1,"",0.128,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.586416666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.166666666666667,0,0,2,0,"D ,E ",10.412,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",0.988316666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"O ",24.027,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",1.43905,"Which shift(s) are six hours long?","duration","6","FALSE",-0.166666666666667,0,0,2,0,"E ,G ",23.052,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.55073333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",6.616,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.93198333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.0833333333333333,0,0,1,0,"E ",22.788,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",2.10311666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.0833333333333333,0,0,1,0,"I ",10.151,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.57803333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"X ",28.404,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.66976666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",5.403,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.71526666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE",-0.0833333333333333,0,0,1,0,"B ",2.645,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",3.18031666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"E ,X ",27.807,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",3.41048333333333,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.0833333333333333,0,0,1,0,"B ",13.692,"11115"
"EUUV1","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",3.96733333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.0833333333333333,0,0,1,0,"E ",33.29,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.20126666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,1,0,"A ",28.217,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.35651666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,1,0,"E ",9.216,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.60633333333333,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"Z ",14.902,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.85751666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.0833333333333333,0,0,1,0,"U ",14.979,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",4.33336666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"U ",88.458,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",4.65213333333333,"Which shift(s) are six hours long?","duration","6","FALSE",-0.166666666666667,0,0,2,0,"E ,G ",16.637,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",5.36831666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",42.863,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",6.03043333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.0833333333333333,0,0,1,0,"E ",39.635,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",6.35866666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.0833333333333333,0,0,1,0,"I ",19.593,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",6.61743333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"X ",15.437,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",6.7538,"Which shift(s) start at 12pm?","starttime","11","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",8.088,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",6.84006666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE",-0.0833333333333333,0,0,1,0,"B ",5.087,"11115"
"9DK63","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",7.27471666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"F ,X ",25.987,"11115"
