"subject","condition","term","mode","q","response"
"9Z01R","11115","winter22","asynch",16,"By subtracting the number of hours to the point of time that is shown."
"RD6JR","11115","winter22","asynch",16,"I look at the 12pm spot on the x axis and look directly up, I see shifts B and F"
"KTUY1","11115","winter22","asynch",16,"View which dots line up vertically at 12PM"
"2W0WT","11115","winter22","asynch",16,"looking at the x axis"
"WBJQG","11115","winter22","asynch",16,"It will change"
"0S724","11115","winter22","asynch",16,"i look at 12 PM on the x axis and go up and whatever letter is in the line, i select"
"DJ72H","11115","winter22","asynch",16,"Go to the x value of 12 and look at the corresponding y values"
"R8SJJ","11115","winter22","asynch",16,"go to 12 pm, drag cursor in a vertical lone mpving upwards, the dogs passed are the ones that start at 12pm"
"YM960","11115","winter22","asynch",16,"Look at what data points are along the 12 pm x axis"
"GXAV1","11115","winter22","asynch",16,"go from 12pm on the x axis and work your way up on the graph"
"MJ2W9","11115","winter22","asynch",16,"look at 12 pm on the x axis and look up from that line"
"AEEBQ","11115","winter22","asynch",16,"look at the label on the X axis to see those numbers indicate start and end time"
"3TPYE","11115","winter22","asynch",16,""
"LV82T","11115","winter22","asynch",16,"Look for dots that lie on the line x=12pm"
"S3JZD","11115","winter22","asynch",16,"On the x axis, find the tick mark for 12 pm. Any letters that correspond to that location on the x axis begin at 12 pm."
"SLYYU","11115","winter22","asynch",16,"F&B same x axis 12 pm"
"Y82VR","11115","winter22","asynch",16,"you go on the x axis and find 12pm, then go straight up and run into shifts B and F"
"KPQ31","11115","winter22","asynch",16,"both B and F line up with 12 vertically "
"H1PJT","11115","winter22","asynch",16,"the right line for the up downside triangle (at 12pm) indicates the shifts start.(M,L) The vertical points above 12pm indicate the coffee break for B and F"
"ES98M","11115","winter22","asynch",16,"Look at the y axis, it will tell you whose shift starts at 12"
"OLFCD","11115","winter22","asynch",16,"x axis"
"K4OUL","11115","winter22","asynch",16," To determine what events start at 12, I would go to 12 pm and follow that line up towards the right and whatever points are on that line are events that start at 12. "
"NHP4G","11115","winter22","asynch",16,"look at the x axis"
"9T8HW","11115","winter22","asynch",16,"B and F starts shift at 12pm. "
"VWB05","11115","winter22","asynch",16,"It should line up at 12 pm"
"NU1ZQ","11115","winter22","asynch",16,"Find 12PM on the x-axis, then find any points on vertical at 12PM and that should give start times of 12PM."
"TMVAO","11115","winter22","asynch",16,"Go to the x axis, find 12 pm and go up vertically to see what points lie on that axis. "
"XHMNM","11115","winter22","asynch",16,"check the x axis and look for data points that lay on x= 12pm "
"T2MAH","11115","winter22","asynch",16,"any shifts which vertically correspond to 12 pm on the x axis"
"BCPEC","11115","winter22","asynch",16,"F and B will start"
"31386","11115","winter22","asynch",16,"follow the positively sloped line at 12 and it will tell you who starts their shift at that time."
"ZKG07","11115","winter22","asynch",16,"you look at the x axis to find 12pm, and then follow the diagonal line with a positive slope that starts at the x of 12pm "
"UV0QH","11115","winter22","asynch",16,"the dot must correspond to 12pm on the x axis"
"YV5WY","11115","winter22","asynch",16,"Find the 12 PM on the X-axis and find the shifts that begin there by going up."
"6TQE3","11115","winter22","asynch",16,"look at the y axis and find the dot start with 12pm"
"5CNJR","11115","winter22","asynch",16,"look at the x axis where it says 12pm and go up the right line, that's when events start."
"KZOE9","11115","winter22","asynch",16,"imaginary line going up vertically from the ""12 PM"" hash"
"J3FYJ","11115","winter22","asynch",16,"Go to the x axis and locate 12pm, then move up the y axis until you reach data points"
"11NFO","11115","winter22","asynch",16,"whichever points are alligned with 12pm "
"GNP7O","11115","winter22","asynch",16,"IF the points are on at 12 PM on the x axis"
"F37T6","11115","winter22","asynch",16,"Look at all the dots lies on x=12 pm (horizontal axis)"
"Z84ZV","11115","winter22","asynch",16,"look at the bottom and if it is vertically above 12pm then it begins at that time"
"QMZ24","11115","winter22","asynch",16,"I look at the x-axis where x=12 and follow the line that starts there and increases in duration as increases."
"YCA39","11115","winter22","asynch",16,"Observe where 12pm is on the graph and look up to see which plot points are on the 12pm line"
"OU3SL","11115","winter22","asynch",16,"Look at the X axis and go up."
"7OBDZ","11115","winter22","asynch",16,"by looking at 12 on the x axis and moving up"
"OFP8T","11115","winter22","asynch",16,"See what letters are above the 12pm slot"
