"subject","condition","term","mode","question","q","answer","correct","rt_s","response","num_o"
"YM960","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,3.644,"A ",2
"YM960","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,5.887,"E ",2
"YM960","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,10.887,"Z ",2
"YM960","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,21.156,"U ",2
"YM960","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,23.674,"U ",2
"YM960","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,6.465,"E G ",4
"YM960","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,7.072,"B F ",4
"YM960","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,23.814,"E ",2
"YM960","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,6.87,"I ",2
"YM960","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"B ",FALSE,3.336,"B ",2
"YM960","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,6.733,"B F ",4
"YM960","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,3.323,"B ",2
"YM960","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,14.002,"F X ",4
"YM960","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,37.343,"B ",2
"YM960","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,34.543,"E F ",4
"EUUV1","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,6.865,"A ",2
"EUUV1","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,6.449,"E ",2
"EUUV1","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"",FALSE,0.128,"",0
"EUUV1","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"D ,E ",FALSE,10.412,"D E ",4
"EUUV1","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,24.027,"O ",2
"EUUV1","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,23.052,"E G ",4
"EUUV1","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,6.616,"B F ",4
"EUUV1","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,22.788,"E ",2
