"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","absolute_score"
"9Z01R","11115","winter22","asynch","Male",20,"English","Third","United States","I tried my best on most questions",4,3,2,"","No",16.7931833333333,0
"RD6JR","11115","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on each question",4,4,3,"The extra lines on the graph were confusing ","No ",8.49143333333333,0
"KTUY1","11115","winter22","asynch","Female",20,"X-Other","Second","U.S.","I tried my best on each question",3,3,3,"","No",5.57523333333333,0
"2W0WT","11115","winter22","asynch","Female",21,"Spanish","Third","USA","I tried my best on each question",3,2,4,"","",8.77831666666667,0
"WBJQG","11115","winter22","asynch","Female",20,"English","Third","usa","I tried my best on most questions",3,1,3,"","",3.14773333333333,0
"0S724","11115","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question",3,3,3,"","",7.67065,0
"DJ72H","11115","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",3,3,4,"","",6.68038333333333,0
"R8SJJ","11115","winter22","asynch","Female",19,"English","Fourth","US","I tried my best on each question",2,2,4,"n/a","no",9.32825,0
"YM960","11115","winter22","asynch","Female",18,"English","First","United States of America","I tried my best on each question",4,3,3,"N/A","N/A",4.96561666666667,0
"GXAV1","11115","winter22","asynch","Male",21,"English","Third","USA","I tried my best on each question",2,5,2,"","",6.48005,0
"MJ2W9","11115","winter22","asynch","Female",22,"English","Fourth","United States","I tried my best on each question",3,3,4,"","no",5.80906666666667,0
"AEEBQ","11115","winter22","asynch","Female",20,"Spanish","Third","United States of America","I tried my best on each question",3,4,2,"","N/A",15.341,0
"3TPYE","11115","winter22","asynch","Female",21,"English","Third","United States","I tried my best on most questions",4,3,1,"","",8.93703333333333,0
"LV82T","11115","winter22","asynch","Male",27,"Spanish","Fifth","USA","I tried my best on each question",3,4,4,"It would be easier if you could allow users to create vertical lines since (at least for me) it was a little tough with the triangles to make sure I was where I wanted to be when checking for stuff. or maybe use a grid with the hour marks being more bold than the half hour marks, but i figure the triangles were chosen for a reason lol","No",21.2504,0
"S3JZD","11115","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",2,4,4,"","",10.0823833333333,0
"SLYYU","11115","winter22","asynch","Female",22,"X-Other","Fourth","United States","I tried my best on each question",4,3,5,"The Triangle was helpful","",8.1672,0
"Y82VR","11115","winter22","asynch","Female",21,"Spanish","Third","United States","I tried my best on most questions",2,4,3,"","",25.6886,0
"KPQ31","11115","winter22","asynch","Male",20,"English","Third","US","I tried my best on each question",4,2,2,"","",10.6783666666667,0
