"subject","mode","condition","question","score","pretty_condition"
"YM960","asynch","11115",1,0,"click-point"
"YM960","asynch","11115",2,0,"click-point"
"YM960","asynch","11115",3,0,"click-point"
"YM960","asynch","11115",4,0,"click-point"
"YM960","asynch","11115",5,0,"click-point"
"YM960","asynch","11115",6,0,"click-point"
"YM960","asynch","11115",7,0,"click-point"
"YM960","asynch","11115",8,0,"click-point"
"YM960","asynch","11115",9,0,"click-point"
"YM960","asynch","11115",10,0,"click-point"
"YM960","asynch","11115",11,0,"click-point"
"YM960","asynch","11115",12,0,"click-point"
"YM960","asynch","11115",13,0,"click-point"
"EUUV1","asynch","11115",1,0,"click-point"
"EUUV1","asynch","11115",2,0,"click-point"
"EUUV1","asynch","11115",3,0,"click-point"
"EUUV1","asynch","11115",4,0,"click-point"
"EUUV1","asynch","11115",5,1,"click-point"
"EUUV1","asynch","11115",6,1,"click-point"
"EUUV1","asynch","11115",7,1,"click-point"
"EUUV1","asynch","11115",8,1,"click-point"
"EUUV1","asynch","11115",9,1,"click-point"
"EUUV1","asynch","11115",10,1,"click-point"
"EUUV1","asynch","11115",11,1,"click-point"
"EUUV1","asynch","11115",12,1,"click-point"
"EUUV1","asynch","11115",13,1,"click-point"
"9DK63","asynch","11115",1,0,"click-point"
"9DK63","asynch","11115",2,0,"click-point"
"9DK63","asynch","11115",3,0,"click-point"
"9DK63","asynch","11115",4,0,"click-point"
"9DK63","asynch","11115",5,0,"click-point"
"9DK63","asynch","11115",6,0,"click-point"
"9DK63","asynch","11115",7,0,"click-point"
"9DK63","asynch","11115",8,0,"click-point"
"9DK63","asynch","11115",9,0,"click-point"
"9DK63","asynch","11115",10,0,"click-point"
"9DK63","asynch","11115",11,0,"click-point"
"9DK63","asynch","11115",12,0,"click-point"
"9DK63","asynch","11115",13,0,"click-point"
"ZKG07","asynch","11115",1,0,"click-point"
"ZKG07","asynch","11115",2,0,"click-point"
"ZKG07","asynch","11115",3,0,"click-point"
"ZKG07","asynch","11115",4,0,"click-point"
"ZKG07","asynch","11115",5,1,"click-point"
"ZKG07","asynch","11115",6,1,"click-point"
"ZKG07","asynch","11115",7,1,"click-point"
"ZKG07","asynch","11115",8,2,"click-point"
"ZKG07","asynch","11115",9,3,"click-point"
"ZKG07","asynch","11115",10,4,"click-point"
"ZKG07","asynch","11115",11,5,"click-point"
"ZKG07","asynch","11115",12,6,"click-point"
"ZKG07","asynch","11115",13,7,"click-point"
"VPBE4","asynch","11115",1,0,"click-point"
"VPBE4","asynch","11115",2,0,"click-point"
"VPBE4","asynch","11115",3,0,"click-point"
"VPBE4","asynch","11115",4,0,"click-point"
"VPBE4","asynch","11115",5,0,"click-point"
"VPBE4","asynch","11115",6,0,"click-point"
"VPBE4","asynch","11115",7,0,"click-point"
"VPBE4","asynch","11115",8,0,"click-point"
"VPBE4","asynch","11115",9,0,"click-point"
"VPBE4","asynch","11115",10,0,"click-point"
"VPBE4","asynch","11115",11,0,"click-point"
"VPBE4","asynch","11115",12,0,"click-point"
"VPBE4","asynch","11115",13,0,"click-point"
"520AG","asynch","11115",1,0,"click-point"
"520AG","asynch","11115",2,0,"click-point"
"520AG","asynch","11115",3,0,"click-point"
"520AG","asynch","11115",4,0,"click-point"
"520AG","asynch","11115",5,0,"click-point"
"520AG","asynch","11115",6,0,"click-point"
"520AG","asynch","11115",7,0,"click-point"
"520AG","asynch","11115",8,0,"click-point"
"520AG","asynch","11115",9,0,"click-point"
"520AG","asynch","11115",10,0,"click-point"
"520AG","asynch","11115",11,0,"click-point"
"520AG","asynch","11115",12,0,"click-point"
"520AG","asynch","11115",13,0,"click-point"
"LV82T","asynch","11115",1,0,"click-point"
"LV82T","asynch","11115",2,0,"click-point"
"LV82T","asynch","11115",3,0,"click-point"
"LV82T","asynch","11115",4,0,"click-point"
"LV82T","asynch","11115",5,0,"click-point"
"LV82T","asynch","11115",6,0,"click-point"
"LV82T","asynch","11115",7,0,"click-point"
"LV82T","asynch","11115",8,0,"click-point"
"LV82T","asynch","11115",9,0,"click-point"
"LV82T","asynch","11115",10,0,"click-point"
"LV82T","asynch","11115",11,0,"click-point"
"LV82T","asynch","11115",12,0,"click-point"
"LV82T","asynch","11115",13,0,"click-point"
"MNLNJ","asynch","11115",1,0,"click-point"
"MNLNJ","asynch","11115",2,0,"click-point"
"MNLNJ","asynch","11115",3,0,"click-point"
