"subject","mode","condition","question","score","pretty_condition"
"YM960","asynch","11115",1,-1,"click-point"
"YM960","asynch","11115",2,-2,"click-point"
"YM960","asynch","11115",3,-3,"click-point"
"YM960","asynch","11115",4,-4,"click-point"
"YM960","asynch","11115",5,-5,"click-point"
"YM960","asynch","11115",6,-6,"click-point"
"YM960","asynch","11115",7,-7,"click-point"
"YM960","asynch","11115",8,-7.5,"click-point"
"YM960","asynch","11115",9,-8.5,"click-point"
"YM960","asynch","11115",10,-9.5,"click-point"
"YM960","asynch","11115",11,-10.5,"click-point"
"YM960","asynch","11115",12,-11.5,"click-point"
"YM960","asynch","11115",13,-12.5,"click-point"
"EUUV1","asynch","11115",1,-1,"click-point"
"EUUV1","asynch","11115",2,-2,"click-point"
"EUUV1","asynch","11115",3,-2,"click-point"
"EUUV1","asynch","11115",4,-2.5,"click-point"
"EUUV1","asynch","11115",5,-1.5,"click-point"
"EUUV1","asynch","11115",6,-2.5,"click-point"
"EUUV1","asynch","11115",7,-3.5,"click-point"
"EUUV1","asynch","11115",8,-4.5,"click-point"
"EUUV1","asynch","11115",9,-5.5,"click-point"
"EUUV1","asynch","11115",10,-6.5,"click-point"
"EUUV1","asynch","11115",11,-7,"click-point"
"EUUV1","asynch","11115",12,-8,"click-point"
"EUUV1","asynch","11115",13,-9,"click-point"
"9DK63","asynch","11115",1,-1,"click-point"
"9DK63","asynch","11115",2,-2,"click-point"
"9DK63","asynch","11115",3,-3,"click-point"
"9DK63","asynch","11115",4,-4,"click-point"
"9DK63","asynch","11115",5,-5,"click-point"
"9DK63","asynch","11115",6,-6,"click-point"
"9DK63","asynch","11115",7,-7,"click-point"
"9DK63","asynch","11115",8,-8,"click-point"
"9DK63","asynch","11115",9,-9,"click-point"
"9DK63","asynch","11115",10,-10,"click-point"
"9DK63","asynch","11115",11,-11,"click-point"
"9DK63","asynch","11115",12,-12,"click-point"
"9DK63","asynch","11115",13,-13,"click-point"
"ZKG07","asynch","11115",1,-1,"click-point"
"ZKG07","asynch","11115",2,-2,"click-point"
"ZKG07","asynch","11115",3,-3,"click-point"
"ZKG07","asynch","11115",4,-4,"click-point"
"ZKG07","asynch","11115",5,-3,"click-point"
"ZKG07","asynch","11115",6,-2.5,"click-point"
"ZKG07","asynch","11115",7,-3.5,"click-point"
"ZKG07","asynch","11115",8,-2.5,"click-point"
"ZKG07","asynch","11115",9,-1.5,"click-point"
"ZKG07","asynch","11115",10,-0.5,"click-point"
"ZKG07","asynch","11115",11,0.5,"click-point"
"ZKG07","asynch","11115",12,1.5,"click-point"
"ZKG07","asynch","11115",13,2.5,"click-point"
"VPBE4","asynch","11115",1,-1,"click-point"
"VPBE4","asynch","11115",2,-2,"click-point"
"VPBE4","asynch","11115",3,-3,"click-point"
"VPBE4","asynch","11115",4,-4,"click-point"
"VPBE4","asynch","11115",5,-4.5,"click-point"
"VPBE4","asynch","11115",6,-5.5,"click-point"
"VPBE4","asynch","11115",7,-6.5,"click-point"
"VPBE4","asynch","11115",8,-7.5,"click-point"
"VPBE4","asynch","11115",9,-8.5,"click-point"
"VPBE4","asynch","11115",10,-9.5,"click-point"
"VPBE4","asynch","11115",11,-10.5,"click-point"
"VPBE4","asynch","11115",12,-10.5,"click-point"
"VPBE4","asynch","11115",13,-10.5,"click-point"
"520AG","asynch","11115",1,-1,"click-point"
