"subject","mode","pretty_condition","question","score"
"YM960","asynch","11115",1,-1
"YM960","asynch","11115",2,-2
"YM960","asynch","11115",3,-3
"YM960","asynch","11115",4,-4
"YM960","asynch","11115",5,-5
"YM960","asynch","11115",6,-6
"YM960","asynch","11115",7,-7
"YM960","asynch","11115",8,-7.5
"YM960","asynch","11115",9,-8.5
"YM960","asynch","11115",10,-9.5
"YM960","asynch","11115",11,-10.5
"YM960","asynch","11115",12,-11.5
"YM960","asynch","11115",13,-12.5
"EUUV1","asynch","11115",1,-1
"EUUV1","asynch","11115",2,-2
"EUUV1","asynch","11115",3,-2
"EUUV1","asynch","11115",4,-2.5
"EUUV1","asynch","11115",5,-1.5
"EUUV1","asynch","11115",6,-2.5
"EUUV1","asynch","11115",7,-3.5
"EUUV1","asynch","11115",8,-4.5
"EUUV1","asynch","11115",9,-5.5
"EUUV1","asynch","11115",10,-6.5
"EUUV1","asynch","11115",11,-7
"EUUV1","asynch","11115",12,-8
"EUUV1","asynch","11115",13,-9
"9DK63","asynch","11115",1,-1
"9DK63","asynch","11115",2,-2
"9DK63","asynch","11115",3,-3
"9DK63","asynch","11115",4,-4
"9DK63","asynch","11115",5,-5
"9DK63","asynch","11115",6,-6
"9DK63","asynch","11115",7,-7
"9DK63","asynch","11115",8,-8
"9DK63","asynch","11115",9,-9
"9DK63","asynch","11115",10,-10
"9DK63","asynch","11115",11,-11
"9DK63","asynch","11115",12,-12
"9DK63","asynch","11115",13,-13
"ZKG07","asynch","11115",1,-1
"ZKG07","asynch","11115",2,-2
"ZKG07","asynch","11115",3,-3
"ZKG07","asynch","11115",4,-4
"ZKG07","asynch","11115",5,-3
"ZKG07","asynch","11115",6,-2.5
"ZKG07","asynch","11115",7,-3.5
"ZKG07","asynch","11115",8,-2.5
"ZKG07","asynch","11115",9,-1.5
"ZKG07","asynch","11115",10,-0.5
"ZKG07","asynch","11115",11,0.5
"ZKG07","asynch","11115",12,1.5
"ZKG07","asynch","11115",13,2.5
"VPBE4","asynch","11115",1,-1
"VPBE4","asynch","11115",2,-2
"VPBE4","asynch","11115",3,-3
"VPBE4","asynch","11115",4,-4
"VPBE4","asynch","11115",5,-4.5
"VPBE4","asynch","11115",6,-5.5
"VPBE4","asynch","11115",7,-6.5
"VPBE4","asynch","11115",8,-7.5
"VPBE4","asynch","11115",9,-8.5
"VPBE4","asynch","11115",10,-9.5
"VPBE4","asynch","11115",11,-10.5
"VPBE4","asynch","11115",12,-10.5
"VPBE4","asynch","11115",13,-10.5
"520AG","asynch","11115",1,-1
"520AG","asynch","11115",2,-2
"520AG","asynch","11115",3,-2.5
"520AG","asynch","11115",4,-3.5
"520AG","asynch","11115",5,-4.5
"520AG","asynch","11115",6,-5.5
"520AG","asynch","11115",7,-6.5
"520AG","asynch","11115",8,-7.5
"520AG","asynch","11115",9,-8.5
"520AG","asynch","11115",10,-9.5
"520AG","asynch","11115",11,-10.5
"520AG","asynch","11115",12,-11.5
"520AG","asynch","11115",13,-12.5
"LV82T","asynch","11115",1,-1
"LV82T","asynch","11115",2,-2
"LV82T","asynch","11115",3,-3
"LV82T","asynch","11115",4,-4
"LV82T","asynch","11115",5,-5
"LV82T","asynch","11115",6,-6
"LV82T","asynch","11115",7,-7
"LV82T","asynch","11115",8,-8
"LV82T","asynch","11115",9,-9
"LV82T","asynch","11115",10,-10
"LV82T","asynch","11115",11,-11
"LV82T","asynch","11115",12,-12
"LV82T","asynch","11115",13,-13
"MNLNJ","asynch","11115",1,-1
"MNLNJ","asynch","11115",2,-2
"MNLNJ","asynch","11115",3,-3
"MNLNJ","asynch","11115",4,-4
"MNLNJ","asynch","11115",5,-4.5
"MNLNJ","asynch","11115",6,-5.5
"MNLNJ","asynch","11115",7,-6.5
"MNLNJ","asynch","11115",8,-7
"MNLNJ","asynch","11115",9,-8
"MNLNJ","asynch","11115",10,-9
"MNLNJ","asynch","11115",11,-9.5
"MNLNJ","asynch","11115",12,-10.5
"MNLNJ","asynch","11115",13,-11.5
"MTFDT","asynch","11115",1,-1
"MTFDT","asynch","11115",2,-2
"MTFDT","asynch","11115",3,-1.5
"MTFDT","asynch","11115",4,-2.5
"MTFDT","asynch","11115",5,-2.5
"MTFDT","asynch","11115",6,-3.5
"MTFDT","asynch","11115",7,-3.5
"MTFDT","asynch","11115",8,-3.5
"MTFDT","asynch","11115",9,-4.5
"MTFDT","asynch","11115",10,-5.5
"MTFDT","asynch","11115",11,-6.5
"MTFDT","asynch","11115",12,-7.5
"MTFDT","asynch","11115",13,-7.5
"K4OUL","asynch","11115",1,-1
"K4OUL","asynch","11115",2,-2
"K4OUL","asynch","11115",3,-2.5
"K4OUL","asynch","11115",4,-1.5
"K4OUL","asynch","11115",5,-2
"K4OUL","asynch","11115",6,-3
"K4OUL","asynch","11115",7,-3
"K4OUL","asynch","11115",8,-2
"K4OUL","asynch","11115",9,-3
"K4OUL","asynch","11115",10,-4
"K4OUL","asynch","11115",11,-3
"K4OUL","asynch","11115",12,-2
"K4OUL","asynch","11115",13,-1
"AEEBQ","asynch","11115",1,-1
"AEEBQ","asynch","11115",2,-2
"AEEBQ","asynch","11115",3,-3
"AEEBQ","asynch","11115",4,-4
"AEEBQ","asynch","11115",5,-4.5
"AEEBQ","asynch","11115",6,-5.5
"AEEBQ","asynch","11115",7,-6.5
"AEEBQ","asynch","11115",8,-7.5
"AEEBQ","asynch","11115",9,-8.5
"AEEBQ","asynch","11115",10,-9.5
"AEEBQ","asynch","11115",11,-10.5
"AEEBQ","asynch","11115",12,-11.5
"AEEBQ","asynch","11115",13,-12.5
"Z84ZV","asynch","11115",1,-1
"Z84ZV","asynch","11115",2,-2
"Z84ZV","asynch","11115",3,-1.5
