"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"0A9WN","11115","point-click","winter22","asynch","Female",20,"X-Other","Third","USA","I tried my best on most questions",5,2,3,"","no",21.2460666666667,2,"chrome",1440,821,3.58081501831502,3.98700980392157,2.65889625080802,0,0,0,4,-1.5,0.307692307692308,8.12738333333333,37.511,2.438,125.204,4,4,0,0,5,0,3,2,0,-1,"Orthogonal",101.699,0,0,"blank",44.607,1,"Triangular",125.204,0,"?",9.32,0,-4,264.869,4,2.5,222.774
"0AXM8","11115","point-click","winter22","asynch","Female",21,"English","Third","United States","I tried my best on most questions",5,2,2,"","",13.1043333333333,1,"chrome",1600,761,-0.0202704158586511,4.33508672699849,0.7188779357897,0,0,0,1,-6,0.0769230769230769,8.93058333333333,41.2180769230769,5.082,126.223,1,5,1,0,6,1,5,1,0,-1,"Orthogonal",24.516,1,1,"Triangular",30.53,0,"Orthogonal",19.577,0,"blank",74.992,1,-2,108.014,0,-4,427.821
"0S724","11115","point-click","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question",3,3,3,"","",7.67065,1,"chrome",1440,731,0.988553113553114,5.22724358974359,0.0485347985347985,0,0,0,2,-6,0.153846153846154,5.02048333333333,23.1714615384615,5.042,47.42,2,6,0,0,5,0,4,1,0,-1,"Orthogonal",25.008,1,1,"Triangular",21.984,0,"Orthogonal",28.723,1,"Triangular",18.334,1,-2.5,152.053,1,-3.5,149.176
"11NFO","11115","point-click","winter22","asynch","Female",19,"English","First","kenya","I tried my best on most questions",3,2,5,"","",14.61165,1,"chrome",1414,698,0.585086726998492,8.78974358974359,-0.148068842921784,0,0,0,1,-7,0.0769230769230769,9.84575,45.4419230769231,7.602,105.576,1,8,1,0,3,1,1,2,0,-1,"Orthogonal",22.167,1,1,"Triangular",29.433,0,"Tversky",55.558,0,"frenzy",96.231,1,-1,127.841,0,-6,462.904
"1JPFK","11115","point-click","winter22","asynch","Other-Not Listed",20,"English","Third","United States of America","I tried my best on each question",3,2,4,"N/A","N/A",11.4479,1,"chrome",1280,720,12.9230769230769,-0.619079939668175,8.08974358974359,0,0,0,12,12.5,0.923076923076923,6.26663333333333,28.9229230769231,12.258,82.658,12,0,1,0,0,1,0,0,0,0.5,"Tversky",82.658,1,1,"Triangular",17.003,1,"Triangular",27.774,1,"Triangular",20.724,4,4.5,213.029,8,8,162.969
"2W0WT","11115","point-click","winter22","asynch","Female",21,"Spanish","Third","USA","I tried my best on each question",3,2,4,"","",8.77831666666667,3,"chrome",1536,905,0.16365815556992,7.84807692307692,-0.452340551605257,0,0,0,1,-9,0.0769230769230769,5.14355,23.7394615384615,8.551,48.719,1,8,0,0,4,0,4,0,0,-1,"Orthogonal",20.552,1,1,"Triangular",26.67,0,"Orthogonal",14.03,0,"Orthogonal",48.719,1,-2,90,0,-7,218.613
"2ZH12","11115","point-click","winter22","asynch","Female",18,"Spanish","First","United States","I tried my best on most questions",3,3,4,"","",14.9749833333333,1,"chrome",1475,757,0.70733016983017,5.06282051282051,0.105540293040293,0,0,0,1,-6.5,0.0769230769230769,9.06396666666667,41.8336923076923,9.977,103.992,1,5,0,0,7,0,5,2,0,-1,"Orthogonal",57.812,0,-0.5,"?",29.168,0,"Orthogonal",67.496,1,"Triangular",17.627,0,-3,223.09,1,-3.5,320.748
"31386","11115","point-click","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",4,3,5,"","no",12.4850833333333,1,"chrome",1440,789,8.72664835164835,2.63092006033183,3.98438644688645,0,0,0,8,7,0.615384615384615,7.74648333333333,35.753,9.329,72.774,10,3,0,0,0,0,0,0,0,-1,"Orthogonal",57.919,1,1,"Triangular",70.167,0,"Triangular",51.39,0,"Triangular",45.024,2,-1,244.847,6,8,219.942
"3H75M","11115","point-click","winter22","asynch","Male",18,"Mandarin","First","China","I tried my best on each question",5,1,3,"","",7.60953333333333,1,"chrome",1440,725,0.957900432900433,-0.643589743589744,4.10374919198449,0,0,0,2,1,0.153846153846154,4.17968333333333,19.2908461538462,7.224,39.436,2,1,4,0,6,4,4,2,0,0,"blank",18.349,0,-0.5,"?",15.861,0,"Tversky",24.214,0,"frenzy",33.138,0,0,81.876,2,1,168.905
"3N5PQ","11115","point-click","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question",3,4,4,"It was an interesting experience, it is nice to see how graphs can be demonstrated and also interpreted. ","N/A",9.92216666666667,1,"chrome",1440,796,0.57615815556992,11.9230769230769,-0.723173884938591,0,0,0,1,-11,0.0769230769230769,6.33443333333333,29.2358461538462,6.833,87.088,1,12,0,0,0,0,0,0,0,-1,"Orthogonal",12.82,1,1,"Triangular",87.088,0,"Orthogonal",15.485,0,"Orthogonal",48.889,1,-3,180.418,0,-8,199.648
