"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"2WB13","SGC4A","113","Tri-Sparse","wi22sona","2218","29293","sona","asynch","FALSE","Go to 12 on the x axis and move up the y axis to see what points it includes","I tried my best on each question",4,1,5,"",22,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1200,689,"Windows 10","2022-02-28T02:08:05.890Z","success","winter22",4,1,25.1250833333333,"exceeded-violations"
"ARGF8","SGC4A","115","Orth-Grid","wi22sona","2218","41362","sona","asynch","TRUE","going on the y axis of of 12 pm ","I tried my best on each question",3,3,3,"",20,"CA","English","Third","Humanities","Female","no","chrome",1440,696,"Mac OS","2022-02-28T23:17:26.172Z","success","winter22",3.5,0,265.663066666667,"exceeded-violations"
"0EGVA","SGC4A","113","Tri-Sparse","wi22sona","2217","33734","sona","asynch","TRUE","look at the x-axis and see what dot corresponds with x=12","I tried my best on each question",4,2,4,"it was an enjoyable task unlike other studies i have done before",21,"usa","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1504,852,"Windows 10","2022-03-09T19:39:32.824Z","success","winter22",4,0,7.7501,"exceeded-violations"
"TPDUS","SGC4A","115","Orth-Grid","wi22sona","2217","38228","sona","asynch","TRUE","If the x value of a data point is 12pm, then that shift starts at 12pm","I tried my best on most questions",3,4,3,"I did not enjoy the unique gridline design of the graph when trying to read it, but it was a cool design aesthetically. ",24,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1536,745,"Windows 10","2022-03-09T17:10:41.292Z","success","winter22",4,0,16.2415333333333,"exceeded-violations"
"OSCKJ","SGC4A","113","Tri-Sparse","wi22sona","2218","33653","sona","asynch","TRUE","The events that start at 12pm have the points there. For example, events B and F both start at 12pm because the points align with 12pm for the time of day.","I tried my best on each question",4,4,4,"It might be easier to have straight lines that cross perpendicularly rather than diamond shapes because they kept distracting and confusing me as I was trying to figure out where the points started and ended.",20,"US","Spanish","Third","Social Sciences (incl. CogSci)","Female","Technically, I'm visually impaired since I have a moderately strong glasses prescription.","chrome",1280,720,"Windows 10","2022-02-28T23:22:52.372Z","success","winter22",3.5,0,27.1168,"exceeded-violations"
"LOGQV","SGC4A","115","Orth-Grid","wi22sona","2218","40039","sona","asynch","TRUE","the right line of the 12 pm section
","I tried my best on each question",3,5,3,"",20,"United States","X-Other","Third","Social Sciences (incl. CogSci)","Male","","chrome",1440,789,"Mac OS","2022-02-28T07:06:22.277Z","success","winter22",5,7,31.7190333333333,"exceeded-violations"
"DFW5H","SGC4A","113","Tri-Sparse","wi22sona","2218","43234","sona","asynch","FALSE","Look at the time and then look up","I tried my best on most questions",3,2,3,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1600,752,"Windows 10","2022-03-05T05:50:42.053Z","success","winter22",4,0,7.09575,"exceeded-violations"
"GN65J","SGC4A","113","Tri-Sparse","wi22sona","2218","38658","sona","asynch","TRUE","By matching them to the x-axis
","I tried my best on each question",3,3,4,"I think they should be a bit more descriptive on how to read the graph.",19,"United States","English","Third","Biomedical & Health Sciences","Female","N/A","chrome",1536,746,"Windows 10","2022-03-03T20:33:29.382Z","success","winter22",5,0,8.09208333333333,"exceeded-violations"
"QNO4D","SGC4A","115","Orth-Grid","wi22sona","2217","38820","sona","asynch","TRUE","You look on the x-axis where it is labeled 12 pm.","I tried my best on each question",3,4,4,"",26,"US","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,734,"Mac OS","2022-03-09T17:54:22.250Z","success","winter22",4,0,32.2894333333333,"exceeded-violations"
"VX2RY","SGC4A","113","Tri-Sparse","wi22sona","2218","41228","sona","asynch","TRUE","begin at the 12 pm mark and follow the line diagonally to the right, noting the labels on this line","I tried my best on each question",4,4,3,"I changed my interpretation of the figure beginning on the second question- I realized it made more sense a different way",30,"USA","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1280,720,"Windows 10","2022-03-04T03:19:50.788Z","success","winter22",6,11,11.4696833333333,"exceeded-violations"
