Q,RELATION,TEXT,DATAFILE,OPTIONS,REF_POINT,CORRECT,TRIANGULAR,TRI_allow,ORTHOGONAL,ORTH_allow,SATISFICE_left,SATISFICE_right,TV_max,TV_max_allow,TV_start,TV_start_allow,TV_end,TV_end_allow,TV_dur,TV_dur_allow,BOTH
1,starttime,Which shift(s) start at 11 am?,acme_control,AIKGXJDBCHUZOFE,,F,F,Z,A,OI,,,CF,Z,F,Z,C,,,,AF
2,starts,Which shift(s) start at the same time as D?,acme_control,AIKGXJDBCHUZOFE,D,K,K,Z,E,G,,,AKJX,Z,AK,Z,X,,J,,EK
3,meets,Which shift(s) begin when C ends?,acme_control,AIKGXJDBCHUZOFE,C,F,F,Z,Z,FIO,,,AUBFOJ,,OJ,,F,Z,AUB,,FZ
4,endtime,Which shift(s) end at 4 pm?,acme_control,AIKGXJDBCHUZOFE,,H,H,,U,OF,,,BH,,B,,H,,,,HU
5,midpoint,Coffee breaks happen halfway through a shift. Which shift(s) share a break with I?,acme_control,AIKGXJDBCHUZOFE,I,O,O,AZ,U,,,,UGX,AZKD,X,,UG,,,,OU
7,duration+starts,Which 2 shifts less than 5 hours long start at the same time?,acme_main,ABCDEFGHIJKLMNOPZX,,OX,OX,,BF,M,,,IJZNCHOX,,OX,,IJZN,,CH,,BFOX
8,duration+contained,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",acme_main,ABCDEFGHIJKLMNOPZX,BX,G,G,,E,F,,,,,,,,,,,EG
10,ends,Which shift(s) end at the same time as F?,acme_main,ABCDEFGHIJKLMNOPZX,F,E,E,,X,,,,EGZ,,G,,E,,Z,,EX
11,starttime,Which shift(s) start at 12pm?,acme_main,ABCDEFGHIJKLMNOPZX,,ML,ML,,FB,,,,,,,,,,,,BFLM
12,starts,Which shift(s) start at the same time as F?,acme_main,ABCDEFGHIJKLMNOPZX,F,G,G,,B,,,,GZ,,G,,,,Z,,BG
13,meets,Which 2 shifts end when Z begins?,acme_main,ABCDEFGHIJKLMNOPZX,Z,EF,EF,,FX,,,,,,,,,,,,EFX
14,endtime,Which shift(s) end at 3pm?,acme_main,ABCDEFGHIJKLMNOPZX,,X,X,,B,,,,XJND,,,,X,,JND,,BX
15,midpoint,Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?,acme_main,ABCDEFGHIJKLMNOPZX,,XK,XK,,EF,B,,,XKZ,,Z,,,,,,EFKX
6,duration,Which shift(s) are six hours long?,acme_main,ABCDEFGHIJKLMNOPZX,,EG,EG,,EG,,,,,,,,,,,,EG
9,starttime+before+endtime+during,Which shift(s) begins before J begins and ends during B?,acme_main,ABCDEFGHIJKLMNOPZX,JB,I,I,,I,,,,,,,,,,,,I
