"subject","session","term","condition","q","question","answer","rt","correct","orth_correct","explicit","impasse","axis"
"WLO69","a16308330","fall21","111","16",NA,"the positively sloped lines indicate when shifts start. Find 12 pm and follow the positive sloped line up to the event point(s).",66538,NA,NA,NA,NA,NA
"63VL0","a1677674","fall21","121","16",NA,"To determine which events start at 12 pm, go to the x axis, and follow the lines that lean toward the right. If an event (or shift) is on that same line, then it must start at 12 pm.",114012,NA,NA,NA,NA,NA
"LZSME","a16348482","fall21","111","16",NA,"take 12 pm spot on x-axis as the left bottom mark as a triangle which has the shift name as the top mark.",75896,NA,NA,NA,NA,NA
"TE7JZ","a13190800","fall21","111","16",NA,"I begin with looking at the Horizontal axis (Start & end time) and go up from there ",51771,NA,NA,NA,NA,NA
"UDSVX","a16031916","fall21","111","16",NA,"Start on x axis, move right until 12pm, then go up on the line segment that starts at 12pm and goes up to the right (towards M), continue until end of line. M & L both start at 12pm because they both lay on the line up and right starting at 12pm.",66393,NA,NA,NA,NA,NA
"1SY41","a15673149","fall21","111","16",NA,"On the X axis of the graph, the start of a shift is marked by the left side of a triangle formed by the 2 lines that emerge below each shift's dot on the graph",81749,NA,NA,NA,NA,NA
"DGVGP","a15458549","fall21","121","16",NA,"find 12 on x axis follow diagonal line to the right",24765,NA,NA,NA,NA,NA
"9PELV","a15839275","fall21","121","16",NA,"be",12946,NA,NA,NA,NA,NA
"Q20EE","16132934","fall21","111","16",NA,"1. FIND 12 PM; 2. FOLLOW THE RIGHT, DIAGONAL LINE UP; 3. THESE SHIFTS START AT 12: M, L ",45018,NA,NA,NA,NA,NA
"SQ3V5","a15960387","fall21","111","16",NA,"You look at the x coordinate of the graph, start & and time, look for 12pm once you have located 12pm you move diagonally to the right moving upwards and search for the letters on that line when moving diagonally",123608,NA,NA,NA,NA,NA
"ZV99C","a15378348","fall21","121","16",NA,"1) Find 12pm on the horizontal axis 2) look at the diagonal line that starts from the 12pm point on the horizontal axis and that goes upwards to the right 3) the lines that lay on that diagonal line are the events that start at 12pm - in this case it's M and L",124831,NA,NA,NA,NA,NA
"07MCH","a15664520","fall21","111","16",NA,"start at 12pm on the x axis, take the northeast line and identify all the points along that line",40771,NA,NA,NA,NA,NA
"JPZWL","a16622527","fall21","111","16",NA,"I lI look at the x-axis (time of day), locate where 12 PM is and follow the diagonal line that slants to the right, locating any points along that line.",71025,NA,NA,NA,NA,NA
"7K6V3","a15815721","fall21","121","16",NA,"First locate 12pm on the x-axis the follow the diagonal to the right of it. Any event starting at that time will be along that line.",68105,NA,NA,NA,NA,NA
"SGEJ0","a15644634","fall21","121","16",NA,"go to the 12 pm mark on horizontal axis, follow diagonal up towards right, any points on that line segment would be the shifts starting at 12pm",78860,NA,NA,NA,NA,NA
"LNVKO","a16143137","fall21","121","16",NA,"look at 12pm on x axis and follow line going up and to the right. Everything on that line starts at 12pm",49342,NA,NA,NA,NA,NA
"GXWDP","a15564584","fall21","121","16",NA,"whichever line veering right starting at the 12pm point is the starting line, so anything plotted along that right leaning line starts at 12pm. ",75846,NA,NA,NA,NA,NA
"LCFZM","a15505662","fall21","111","16",NA,"Follow the line up and right that, 12pm to see what shifts are there",136888,NA,NA,NA,NA,NA
"KFXNR","a15583685","fall21","111","16",NA,"Go to 12pm on the x-axis and go upward to the right and see what points are on that diagonal line",75844,NA,NA,NA,NA,NA
"OUCFL","a15428617","fall21","111","16",NA,"To determine what events start at 12 PM you go to the x axis that says 12 PM and you look at the right and left branches it has. This tells us that M and L both start at 12 PM even though they have different shift durations ",60457,NA,NA,NA,NA,NA
"B0QF0","a15588293","fall21","121","16",NA,"Using the right most diagonal line that starts at 12pm.",34614,NA,NA,NA,NA,NA
"RRQXQ","a16176734","fall21","111","16",NA,"follow the diagonal line",15579,NA,NA,NA,NA,NA
"P1STY","a16623408","fall21","111","16",NA,"Locate 12 PM on the X-axis, then follow the diagonal line going upward-left. All points along that line start at 12 PM.",98391,NA,NA,NA,NA,NA
"WWMDF","a17213518","fall21","121","16",NA,"LooLook at the X axis to where 12 pm is and then go up the y axis to determine which dots are marked. ",49604,NA,NA,NA,NA,NA
"ACEXT","a15515318","fall21","121","16",NA,"look at the dot and subtract the hours on the left by the time on the bottom",23859,NA,NA,NA,NA,NA
"ALN2P","a16561685","fall21","121","16",NA,"Look at the X-axis for the dots corresponding with the time at 12",30404,NA,NA,NA,NA,NA
"TD0NU","a15428815","fall21","121","16",NA,"You can determine what event(s) start at 12pm by first looking at the times at the bottom of the chart. From there you can go upward from 12 and see what dots align.",40000,NA,NA,NA,NA,NA
"XZ05Q","a15462161","fall21","121","16",NA,"Find 12PM on the bottom axis and follow the diagonal line up and to the right, anything on that line starts at 12PM.",42677,NA,NA,NA,NA,NA
"5TMTW","a15882706","fall21","111","16",NA,"Find 12 PM on the x-axis. Trace a vertical line upwards from the 12 PM on the x-axis. All the points on that line begin at 12pm.",106930,NA,NA,NA,NA,NA
"QOR74","a16843950","fall21","111","16",NA,"Drawing a line straight up from the x axis and the given time",36067,NA,NA,NA,NA,NA
"431GR","a16797648","fall21","121","16",NA,"Which events start at the line angles up to the right at the number 12 on the x-axis start at 12 pm. ",43344,NA,NA,NA,NA,NA
"HUNJ8","a15481598","fall21","111","16",NA,"draw a vertical line up from 12PM",33561,NA,NA,NA,NA,NA
"SGTQJ","a16121250","fall21","111","16",NA,"The shifts that line up above 12pm on the x axis",45527,NA,NA,NA,NA,NA
"QVWU9","a15407629","fall21","121","16",NA,"look at the 12 pm dash and look up",18911,NA,NA,NA,NA,NA
"P83KE","a15461540","fall21","121","16",NA,"SShifts B and G start at 12 pm",31335,NA,NA,NA,NA,NA
"57KJC","a16524240","fall21","121","16",NA,"find 12 on the bottom and then climb diagonally to the right, so the shifts starting at 12 would be M and L ",42737,NA,NA,NA,NA,NA
"8DL90","16114839","fall21","111","16",NA,"follow the 12 pm line that goes up towards the right. any points on that line starts at 12",27504,NA,NA,NA,NA,NA
"ECJQV","a15977973","fall21","111","16",NA,"I Look at the line and go up to see which aligns with the 12 pm mark",31502,NA,NA,NA,NA,NA
"LS93R","a16583212","fall21","111","16",NA,"Look at the x axis",8563,NA,NA,NA,NA,NA
"0YVPY","a15857484","fall21","121","16",NA,"yyou have to look at the x axis of this graph and find where 12pm is. then you follow that point up the diagonal line until you hit a letter or letters. thoes letters or letter are the shifts or shift that starts at 12 pm",81648,NA,NA,NA,NA,NA
"QNNZZ","a15992567","fall21","121","16",NA,"draw a vertical line from the 12 pm point and look at which events have start points that intersect with the line. In this case, B and F.
",84236,NA,NA,NA,NA,NA
"K3AE8","a16811213","fall21","121","16",NA,"use the graph, find 12 on the x axis and go up",33291,NA,NA,NA,NA,NA
"A9JCU","a16254358","fall21","121","16",NA,"loolook at 12 pm on the x axis then move in a straight line upwards until coming to a dot",31606,NA,NA,NA,NA,NA
"BR500","a16622681","fall21","121","16",NA,"I look at the x axis, go to the 12pm time, and move up the graph. ",25899,NA,NA,NA,NA,NA
"OFOB1","17012262","fall21","111","16",NA,"Shifts that start at 12pm are along the line that goes to the right starting from 12pm, meaning that M and L start at 12pm.",119852,NA,NA,NA,NA,NA
"B44PE","a17235796","fall21","111","16",NA,"if the left line of the dot begins at 12pm",36163,NA,NA,NA,NA,NA
"96GEP","a16219353","fall21","111","16",NA,"Look Look at the graph where it says 12p and then look at the line to the right to see which shifts start are 12pm. ",52697,NA,NA,NA,NA,NA
"VP6G3","a15415850","fall21","111","16",NA,"You look at B and F see they are parallel points to 12 pm.",31536,NA,NA,NA,NA,NA
"98VDX","a16783696","fall21","121","16",NA,"You look at 12 pm on the x axis and look at the number above it that occur along the same line on the y axis.",29594,NA,NA,NA,NA,NA
"8MT4O","a16325198","fall21","111","16",NA,"Looking for the letters on the graph that have lined up with 12pm (F and B)",36578,NA,NA,NA,NA,NA
"K9UQH","a16413173","fall21","111","16",NA,"Whichever letters align with 12pm right above the horizontal axis (B and F in this case, based on my interpretation of the graph).",103063,NA,NA,NA,NA,NA
"EZ7J5","a16109769","fall21","111","16",NA,"Look at what points match the point of 12 pm based on the X-axis.",49499,NA,NA,NA,NA,NA
"WYZCU","a09436222","fall21","121","16",NA,"Look at the bottom where time of day is and find 12pm. Afterwards, look up to see which dots are aligned with 12pm",73099,NA,NA,NA,NA,NA
"WB4HC","a16847802","fall21","111","16",NA,"Vertical axis",11916,NA,NA,NA,NA,NA
"OE3DT","a15889123","fall21","111","16",NA,"The left line moving up and to the right indicate the start time of shifts, so by finding the coordinating point and left line at 12pm, you can find what shifts start at that time",87212,NA,NA,NA,NA,NA
"1QMGP","a15777676","fall21","111","16",NA,"Oh no i read the x axis wrong, 12pm is the vertex of the diamond part of the graph not the one before. From there you go up the y axis",55755,NA,NA,NA,NA,NA
"Z461O","a16608791","fall21","121","16",NA,"Look Look at x axis and see which letter starts there/ has a point",26096,NA,NA,NA,NA,NA
"E6KMK","a16074760","fall21","121","16",NA,"Look at the x axis (start and end time (time of day) go to 12pm on that axis scan up and you will located the two shifts that start at 12 pm",87320,NA,NA,NA,NA,NA
"0F1A8","a15404283","fall21","121","16",NA,"12 pm on the x-axis going up are the shifts that start at 12 pm",38616,NA,NA,NA,NA,NA
"9S5Z0","a16528837","fall21","121","16",NA,"F & B start at 12 because the dots are aligned with 12pm",54264,NA,NA,NA,NA,NA
"ARCSZ","a17184034","fall21","121","16",NA,"look at 12pm",38117,NA,NA,NA,NA,NA
"F86ZM","a16348868","fall21","111","16",NA,"LookI looked at X-axis and look for 12 pm.",24391,NA,NA,NA,NA,NA
"UN6MT","a17174133","fall21","121","16",NA,"Go to the x-axis and find 12 PM, then follow a vertical line up and any shifts along that line start then. ",107473,NA,NA,NA,NA,NA
"KNH2B","a16683922","fall21","111","16",NA,"Draw a vertical line up from the 12PM label on the x axis, and any dots that fall on that line are events that begin at 12PM.",47411,NA,NA,NA,NA,NA
