"subject","session","term","condition","q","question","answer","rt","correct","orth_correct","explicit","impasse","axis"
"47SB1","a15769204","fall21","211","16",NA,"Look at 12pm on the time axis, and look at the line pointing diagonally to the right from 12. You will find M and L along this line, therefore they begin at 12. ",46054,NA,NA,NA,NA,NA
"G17YM","a15449379","fall21","121","16",NA,"If the data point is line up with 12 pm on the x axis, that is when it starts",59515,NA,NA,NA,NA,NA
"QLO9H","a14821119","fall21","111","16",NA,"go to 12pm on the x axis and move up vertically to see which events are on that line",32320,NA,NA,NA,NA,NA
"5TXOT","a14821119","fall21","111","16",NA,"go to 12pm on the X axis and go directly up to see which evnts are aligned ",22760,NA,NA,NA,NA,NA
"NTSOK","a16900930","fall21","111","16",NA,"you can tell which event starts by looking at where the shift ends and count backwards in order to find out when it started.",331946,NA,NA,NA,NA,NA
"L6X0K","a16900930","fall21","111","16",NA,"     You check the duration of the shift and counts backwards to determine which events start at 12pm",68899,NA,NA,NA,NA,NA
"G0O8S","a15049392","fall21","111","16",NA,"any dots on the line originating from 12 pm and headed towards the right",58816,NA,NA,NA,NA,NA
"2NF6Q","a15769204","fall21","121","16",NA,"Look on the x axis for 12pm, then follow the diagonal line that goes up and to the right of the tick at 12pm. Every dot on that line represents an event that starts at 12",44275,NA,NA,NA,NA,NA
"TE76G","a15449379","fall21","111","16",NA,"If the data point lies on the 12 pm point on the x axis",28263,NA,NA,NA,NA,NA
"X3B04","a17082219","fall21","121","16",NA,"look vertically to see if there are any dots on the line, but now im starting to seee that the shifts are shown horizontally on the graph (?)",76694,NA,NA,NA,NA,NA
"802RA","a16924586","fall21","111","16",NA,"see vertically which alphabets are above 12pm",28466,NA,NA,NA,NA,NA
"XO4JG","a16924586","fall21","111","16",NA,"see vertically above 12pm ",14670,NA,NA,NA,NA,NA
"WUB39","a15585339","fall21","111","16",NA,"I look at the dots that align with 12pm on the x-axis",35655,NA,NA,NA,NA,NA
"ELVPK","a17082219","fall21","121","16",NA,"shifts b and f begin",190001,NA,NA,NA,NA,NA
"BASO5","a15049392","fall21","111","16",NA,"The diagonal line on the right determines that it is the starting time so from 12 pm go up and the two points on the right leaning diagonal line are L and M",86180,NA,NA,NA,NA,NA
"77W0T","a15585339","fall21","111","16",NA,"I looked at the dots that were lined up with the 12pm tick mark
",156159,NA,NA,NA,NA,NA
"47SB1","a15769204","fall21","211","1","starttime","F",45395,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","2","starts","K",10894,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","3","meets","F",7447,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","4","endtime","H",6532,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","5","midpoint","O",11844,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","6","duration","EG",15177,1,1,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","7","duration+starts","XO",27216,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","8","duration+contained","AG",24101,0,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","9","starttime+before+endtime+during","I",62257,1,1,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","10","ends","E",7380,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","11","starttime","ML",8194,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","12","starts","FG",7834,0,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","13","meets","EF",9918,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","14","endtime","X",7933,1,0,"2","1","Orthogonal-XInside-YFull"
"47SB1","a15769204","fall21","211","15","midpoint","KX",9886,1,0,"2","1","Orthogonal-XInside-YFull"
