"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"BASO5","a15049392","fall21","111",4,7,11,0,1,1,"1","1","Orthogonal-XInside-YFull",431344,500598,103343,328001,1,"Other","Fourth","Social Sciences (incl. CogSci)","USA","Other",22
"WUB39","a15585339","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",542533,666802,173815,368718,1,"English","Fourth","Biomedical & Health Sciences","USA","Male",21
"XO4JG","a16924586","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",269619,337201,80621,188998,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","CHINA","Male",18
"47SB1","a15769204","fall21","211",5,8,13,0,2,2,"2","1","Orthogonal-XInside-YFull",308062,393624,82112,225950,1,"English","Third","Social Sciences (incl. CogSci)","the United States","Female",21
"ELVPK","a17082219","fall21","121",2,2,4,0,3,3,"1","2","Orthogonal-XInside-YFull",1060988,1211586,144418,916570,1,"English","First","Social Sciences (incl. CogSci)","usa","Female",18
"L6X0K","a16900930","fall21","111",0,4,4,2,4,6,"1","1","Orthogonal-XInside-YFull",615553,684091,131858,483695,1,"Spanish","First","Fine Arts","United States","Female",18
"2NF6Q","a15769204","fall21","121",5,9,14,0,2,2,"1","2","Orthogonal-XInside-YFull",250508,312394,34154,216354,1,"English","Third","Social Sciences (incl. CogSci)","the United States","Female",21
"QLO9H","a14821119","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",463588,594055,216835,246753,1,"Other","Fifth","Humanities","thailand","Female",22
"5TXOT","a14821119","fall21","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",209881,269796,46638,163243,1,"Other","Fifth","Social Sciences (incl. CogSci)","Thailand\nThailand","Female",22
"802RA","a16924586","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",353581,408664,155865,197716,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","China","Male",18
"X3B04","a17082219","fall21","121",1,2,3,0,4,4,"1","2","Orthogonal-XInside-YFull",629171,753795,191675,437496,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",18
"NTSOK","a16900930","fall21","111",1,2,3,1,4,5,"1","1","Orthogonal-XInside-YFull",1716500,2153231,444645,1271855,1,"Spanish","First","Fine Arts","United States","Female",18
"77W0T","a15585339","fall21","111",0,2,2,5,9,14,"1","1","Orthogonal-XInside-YFull",985027,1076925,480011,505016,1,"English","Fourth","Biomedical & Health Sciences","USA","Male",21
"TE76G","a15449379","fall21","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",542054,623277,227653,314401,1,"English","Fourth","Humanities","United States of America","Male",21
"G17YM","a15449379","fall21","121",0,2,2,0,6,6,"1","2","Orthogonal-XInside-YFull",516125,613843,195156,320969,1,"English","Fourth","Natural Sciences","United States of America","Male",21
"G0O8S","a15049392","fall21","111",4,7,11,0,1,1,"1","1","Orthogonal-XInside-YFull",772255,891954,291051,481204,1,"Spanish","Fourth","Social Sciences (incl. CogSci)","US","Female",22
