"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","totaltime_m"
"DMJ14","SGC3A","121","wi22sona","2218","35743","sona","asynch","TRUE","B and F referring to the y axis","I tried my best on each question",3,3,3,"it would be useful if the question have some instruction to indicate whether it is a multiple-choice or just leave the blank if there is no right answer ",25,"United States","Cantonese","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1680,939,"Mac OS","2022-02-27T07:24:42.564Z","success","winter22",1,1,-0.5,3,3,10,1,5.8638
"UJFX9","SGC3A","121","wi22sona","2218","30653","sona","asynch","TRUE","You start on the x axis where the times are listed and look for the points that land on 12pm and those are are the shifts that start at 12pm.","I tried my best on each question",2,2,3,"",21,"United States","English","Fourth","Biomedical & Health Sciences","Female","no","chrome",1440,789,"Mac OS","2022-02-25T03:14:15.264Z","success","winter22",1,0,-4.33333333333333,0,6,4,5,9.82103333333333
"34FAZ","SGC3A","121","wi22sona","2218","32667","sona","asynch","TRUE","starting at the 12 pm point on the x-axis and going up vertically, these are the shifts that begin at 12 pm
","I tried my best on each question",3,4,5,"adding a control question to see if people are paying attention or adding a ""none"" option",22,"US","Arabic","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-02-27T02:03:17.477Z","success","winter22",1,0,-6.58333333333333,0,9,1,4,13.5930166666667
"RDYS7","SGC3A","111","wi22sona","2218","42526","sona","asynch","TRUE","focus on a point and look what it is under on the y axis, so for M the point on the y axis will be 12:30 ","I tried my best on most questions",2,1,4,"I think you guys did well, I just misunderstood the graph and realized it on the last question.",19,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-02-27T04:19:10.491Z","success","winter22",1,3,-1,6,5,6,0,20.51585
"NBR5N","SGC3A","121","wi22sona","2218","37698","sona","asynch","TRUE","Each shift point creates a triangle with the left side of the triangle leading back to where the shift starts on the x-axis.  To see which event starts at 12, one must look for the points on the diagonal line starting from 12 on the x-axis that is going in the upper right direction.","I tried my best on each question",3,4,5,"",19,"United States of America","English","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1440,789,"Mac OS","2022-02-23T05:52:07.292Z","success","winter22",3,12,12,15,0,0,0,12.97525
"QWPKO","SGC3A","121","wi22sona","2218","38841","sona","asynch","TRUE","Go to 12pm on x axis then go up diagonally on the line that begins there.","I tried my best on each question",4,2,5,"Best study I've done, would do these on my own time.",19,"US","English","Third","Social Sciences (incl. CogSci)","Other-Not Listed","No","chrome",1920,937,"Windows 10","2022-02-26T01:20:59.867Z","success","winter22",1,9,8.91666666666667,11,1,1,1,5.79518333333333
"2KS3T","SGC3A","121","wi22sona","2218","42915","sona","asynch","TRUE","B and F shows the start time of the day","I tried my best on each question",4,3,3,"The first half was hard the second half was easier",21,"United States","X-Other","Fourth","Biomedical & Health Sciences","Male","n/a","chrome",1920,937,"Windows 10","2022-02-23T09:52:35.248Z","success","winter22",2,1,-4.5,1,7,4,0,13.2959
"UN7PD","SGC3A","111","wi22sona","2218","43049","sona","asynch","TRUE","Start on the x-axis at 12pm, then trace up the diagonal line that goes towards the right. Doing so would show that M and L start at 12pm.","I tried my best on most questions",3,4,4,"I believe I had been reading the graph wrong within the first initial questions, but one of the questions changed how I read the graph.",19,"United States","English","Second","Social Sciences (incl. CogSci)","Male","NA","chrome",1440,796,"Mac OS","2022-02-24T21:34:48.092Z","success","winter22",1,9,6.91666666666667,12,2,0,0,11.8386
"JHTYA","SGC3A","111","wi22sona","2218","36591","sona","asynch","TRUE","M & L start at 12pm because I followed the line of the triangle","I tried my best on each question",1,3,4,"",24,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1366,689,"Mac OS","2022-02-27T03:03:33.440Z","success","winter22",2,2,-4.66666666666667,2,9,7,0,18.8103833333333
"HV8ZE","SGC3A","121","wi22sona","2218","34583","sona","asynch","TRUE","I follow the straight line from where it says 12pm so F and B","I tried my best on each question",5,2,5,"",20,"USA","Spanish","Third","Social Sciences (incl. CogSci)","Female","NO","chrome",1395,693,"Mac OS","2022-02-23T04:18:18.071Z","success","winter22",1,2,1.16666666666667,7,4,8,0,10.9188166666667
"43L8M","SGC3A","121","wi22sona","2218","27653","sona","asynch","TRUE","dots that are on the up-right line from 12
","I tried my best on each question",2,3,4,"I misunderstood the graph for the first 3 or so questions, so those answers are blank. :(",22,"US","English","Fourth","Natural Sciences","Male","Nope","chrome",2048,1042,"Windows 10","2022-02-26T08:20:16.613Z","success","winter22",3,9,9,12,0,0,3,6.2756
"WBJ2T","SGC3A","121","wi22sona","2218","34535","sona","asynch","TRUE","I am looking at the linear line that starts at 12pm and goes up one and right one every hour. So M and L started at 12pm.","I tried my best on each question",2,4,4,"",21,"United States of America","English","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1440,821,"Mac OS","2022-02-26T00:15:04.634Z","success","winter22",1.5,5,5.08333333333333,8,0,3,3,7.32353333333333
