"subject","session","term","condition","q","question","answer","rt","correct","orth_correct","explicit","impasse","axis"
"UQWX4","alpha","spring18","111","16",NA,"The events that start at 12 PM will fall on a straight, upward line protruding from the 12 PM spot on the x-axis.",74211,NA,NA,NA,NA,NA
"4RGO3","alpha","spring18","111","16",NA,"Look at the x-axis(which is for start & end times), and then follow the time up vertically to see which letters start at a given time. In this case, B and F start at 12",86637,NA,NA,NA,NA,NA
"Z5Z7P","alpha","spring18","111","16",NA,"LOOK AT THE X-AXIS FOR 12 pm AND GO UP THE GRAPH",30693,NA,NA,NA,NA,NA
"YE3VQ","bravo","spring18","121","16",NA,"any dots that are placed before 12pm ",35646,NA,NA,NA,NA,NA
"DKL3R","bravo","spring18","121","16",NA,"First find 12pm on the x-axis and then go up from the 12pm point and find any dots that represent events. ",145011,NA,NA,NA,NA,NA
"781AU","alpha","spring18","111","16",NA,"Look at the x-axis (start and end time) and then look up the graph",25947,NA,NA,NA,NA,NA
"CC7G0","charlie","spring18","111","16",NA,"shifts on the line that start at 12 and goes upper right direction",124841,NA,NA,NA,NA,NA
"A9CZD","charlie","spring18","111","16",NA,"There are two diagonal lines leading away from 12PM. The one towards the left means any events ending at 12pm, and one towards the right is any events starting at 12pm. You can follow the right line to see that M and L both start at 12pm, since they are both on this line.",132503,NA,NA,NA,NA,NA
"DOQRP","bravo","spring18","121","16",NA,"F and B begin there shift.",37057,NA,NA,NA,NA,NA
"Q8EDD","charlie","spring18","111","16",NA,"you look at the time on the bottom and then look at what dots are on that line",21600,NA,NA,NA,NA,NA
"RGJZL","bravo","spring18","121","16",NA,"I look at the x-axis for ""START & END TIME (time of day)"" and search for 12PM. Then I scan vertically up to see which shift(s) is/are directly on that 12 PM line.",105686,NA,NA,NA,NA,NA
"W7EBS","charlie","spring18","111","16",NA,"Find the point of 12 PM at x axis, and the line that begins at this point and positive ",130506,NA,NA,NA,NA,NA
"EGP0T","charlie","spring18","111","16",NA,"lOOK AT THE X-AXIS FOR 12 PM AND SEE THE DOTS THAT MATCH UP WITH IT.",20801,NA,NA,NA,NA,NA
"CK5DF","charlie","spring18","111","16",NA,"Read the x axis, indicated start and end time. Upon reaching the 12 pm marker, read vertically upward. The dots that fall on this line are those starting at 12 pm. They end at a time indicated by the y axis, which reads duration (in hours).",121326,NA,NA,NA,NA,NA
"9BBMD","charlie","spring18","111","16",NA,"find 12pm on the x axis and see which plot points are above it",35578,NA,NA,NA,NA,NA
"UX4QZ","charlie","spring18","111","16",NA,"look up 12 on the x axis and then follow from that point up the y axis.",64487,NA,NA,NA,NA,NA
"GQ35Z","charlie","spring18","111","16",NA,"Any event that is on a positive sloped line intersecting 12pm or any event whose x-coordinate shifted to the left by their (y-coordinate divided by 2) is 12pm. ",157147,NA,NA,NA,NA,NA
"WKBNA","charlie","spring18","111","16",NA,"Start at 12 PM on the horizontal axis, and then follow the line angled toward the right. ",61980,NA,NA,NA,NA,NA
"F3GZE","charlie","spring18","111","16",NA,"Start at 12 from the bottom of the graph (x-axis) and follow the line that goes up and towards the right.",59183,NA,NA,NA,NA,NA
"X9PTQ","charlie","spring18","111","16",NA,"By looking at the X axis of the graph",25359,NA,NA,NA,NA,NA
"J1JP6","charlie","spring18","111","16",NA,"I would look along the x- axis until i see 12pm. Then I look up the y-axis to see which shift would begin at that time.",57212,NA,NA,NA,NA,NA
