"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"1QMGP","a15777676","fall21","121",0,2,2,0,6,6,"1","2","Orthogonal-XInside-YFull",495194,586980,134299,360895,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"E6KMK","a16074760","fall21","111",0,2,2,2,8,10,"1","1","Orthogonal-XInside-YFull",1107260,1558678,257520,849740,1,"Spanish","Fifth","Biomedical & Health Sciences","Mexico","Female",25
"BR500","a16622681","fall21","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",412321,484062,230704,181617,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"LAZ3T","a16885269
a16885269","fall21","111",5,10,15,0,2,2,"1","1","Orthogonal-XInside-YFull",623603,736443,137699,485904,1,"Other","First","Biomedical & Health Sciences","USA","Female",18
"VP6G3","a15415850","fall21","121",1,2,3,0,4,4,"1","2","Orthogonal-XInside-YFull",319725,399145,84831,234894,1,"Mandarin or Cantonese","Fourth","Social Sciences (incl. CogSci)","China","Male",21
"8MT4O","a16325198","fall21","121",0,2,2,0,5,5,"1","2","Orthogonal-XInside-YFull",346811,517784,110922,235889,1,"English","Second","Fine Arts","United States","Female",19
"CHP0K","a17155299","fall21","121",2,8,10,0,2,2,"1","2","Orthogonal-XInside-YFull",570234,692210,195112,375122,1,"English","Third","Social Sciences (incl. CogSci)","United States of America","Female",26
"KT7ZF","a16577976","fall21","121",0,2,2,0,3,3,"1","2","Orthogonal-XInside-YFull",438818,647232,123690,315128,1,"Other","Fourth","Social Sciences (incl. CogSci)","Somalia","Female",30
"YAZM5","a16328170
a16328170","fall21","121",4,8,12,0,1,1,"1","2","Orthogonal-XInside-YFull",1032642,1168112,257998,774644,1,"Spanish","Second","Social Sciences (incl. CogSci)","United States of America","Female",19
"1SY41","a15673149","fall21","121",5,10,15,0,2,2,"1","2","Orthogonal-XInside-YFull",800678,1245146,361115,439563,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"5TMTW","a15882706","fall21","121",0,2,2,0,10,10,"1","2","Orthogonal-XInside-YFull",656123,742363,302900,353223,1,"English","Third","Social Sciences (incl. CogSci)","United States of America","Male",19
"WWMDF","a17213518
a17213518","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",555816,838353,210305,345511,1,"English","Third","Social Sciences (incl. CogSci)","\nUnited States","Male",25
"QOR74","a16843950","fall21","121",1,2,3,0,8,8,"1","2","Orthogonal-XInside-YFull",622713,754030,263565,359148,1,"English","First","Social Sciences (incl. CogSci)","India\nIndia","Male",18
"57KJC","a16524240","fall21","121",4,10,14,0,2,2,"1","2","Orthogonal-XInside-YFull",409887,507342,151573,258314,1,"Spanish","Fourth","Social Sciences (incl. CogSci)","USA","Male",22
"OUCFL","a15428617","fall21","121",1,6,7,0,2,2,"1","2","Orthogonal-XInside-YFull",539705,656693,193891,345814,1,"English","Fourth","Biomedical & Health Sciences","United States\nUnited States","Female",21
"LNVKO","a16143137","fall21","111",5,10,15,0,2,2,"1","1","Orthogonal-XInside-YFull",353296,511343,81166,272130,1,"English","Third","Social Sciences (incl. CogSci)","USA","Male",20
"63VL0","a1677674","fall21","121",2,9,11,0,1,1,"1","2","Orthogonal-XInside-YFull",523063,885253,146456,376607,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"EZ7J5","a16109769","fall21","111",1,7,8,2,4,6,"1","1","Orthogonal-XInside-YFull",458399,584089,74123,384276,1,"English","Fifth","Social Sciences (incl. CogSci)","United States","Male",25
"ZL796","a16333285","fall21","111",0,2,2,4,9,13,"1","1","Orthogonal-XInside-YFull",580882,692483,209374,371508,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"A9JCU","a16254358","fall21","111",0,2,2,3,8,11,"1","1","Orthogonal-XInside-YFull",518300,646950,153811,364489,1,"English","Second","Biomedical & Health Sciences","USA","Male",18
"E9SDE","a16641170","fall21","121",0,3,3,0,5,5,"1","2","Orthogonal-XInside-YFull",701719,802754,370870,330849,1,"English","Second","Social Sciences (incl. CogSci)","United States\nUnited States","Female",19
"XOZJ7","a17243733","fall21","111",0,3,3,2,4,6,"1","1","Orthogonal-XInside-YFull",353928,462176,140178,213750,1,"Other","Fifth","Social Sciences (incl. CogSci)","Morocco","Female",22
"5N035","hollanlab","fall21","111",5,9,14,0,1,1,"1","1","Orthogonal-XInside-YFull",438076,19949428,96128,341948,1,"Other","Graduate","Social Sciences (incl. CogSci)","Italy","Female",27
"8DL90","16114839","fall21","121",4,4,8,0,1,1,"1","2","Orthogonal-XInside-YFull",119005,174531,36854,82151,1,"English","Third","Social Sciences (incl. CogSci)","Japan","Female",22
"0F1A8","a15404283","fall21","111",0,2,2,4,8,12,"1","1","Orthogonal-XInside-YFull",671639,814827,316085,355554,1,"Other","Fourth","Social Sciences (incl. CogSci)","Iraq","Female",21
"SGTQJ","a16121250","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",394671,466658,133602,261069,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"ALN2P","a16561685","fall21","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",470422,614198,113646,356776,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",23
"0YVPY","a15857484","fall21","121",4,1,5,0,2,2,"1","2","Orthogonal-XInside-YFull",615497,717521,273753,341744,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"5TXOT","a14821119","fall21","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",209881,269796,46638,163243,1,"Other","Fifth","Social Sciences (incl. CogSci)","Thailand\nThailand","Female",22
"ACEXT","a15515318
a15515318","fall21","121",0,2,2,0,1,1,"1","2","Orthogonal-XInside-YFull",847220,947995,497624,349596,1,"English","Fourth","Social Sciences (incl. CogSci)","United States\nUnited States","Female",22
"QVWU9","a15407629","fall21","121",1,2,3,0,4,4,"1","2","Orthogonal-XInside-YFull",263676,382976,102257,161419,1,"English","Fourth","Social Sciences (incl. CogSci)","US","Female",21
"9S5Z0","a16528837","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",1115078,1404111,191912,923166,1,"Other","Fourth","Social Sciences (incl. CogSci)","USA","Male",23
"HUNJ8","a15481598","fall21","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",417355,509051,133107,284248,1,"English","Fourth","Biomedical & Health Sciences","United States","Female",21
"Q7A44","a17236014","fall21","121",5,10,15,0,2,2,"1","2","Orthogonal-XInside-YFull",342882,983485,125617,217265,1,"English","Third","Social Sciences (incl. CogSci)","United States of America","Male",21
"96GEP","a16219353","fall21","121",4,8,12,0,2,2,"1","2","Orthogonal-XInside-YFull",714243,847727,230968,483275,1,"Other","Second","Natural Sciences","Iraq","Female",20
"G17YM","a15449379","fall21","121",0,2,2,0,6,6,"1","2","Orthogonal-XInside-YFull",516125,613843,195156,320969,1,"English","Fourth","Natural Sciences","United States of America","Male",21
"WYZCU","a09436222","fall21","111",1,3,4,2,8,10,"1","1","Orthogonal-XInside-YFull",383985,481224,66693,317292,1,"Other","Fourth","Social Sciences (incl. CogSci)","United States","Male",31
"QLO9H","a14821119
a14821119","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",463588,594055,216835,246753,1,"Other","Fifth","Humanities","thailand","Female",22
"ARCSZ","a17184034","fall21","121",1,2,3,0,9,9,"1","2","Orthogonal-XInside-YFull",674334,754846,126343,547991,1,"Mandarin or Cantonese","Third","Humanities","us\nus","Male",20
"F86ZM","a16348868","fall21","111",0,2,2,0,9,9,"1","1","Orthogonal-XInside-YFull",598723,739556,356432,242291,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","China","Female",19
"LS93R","a16583212","fall21","121",0,2,2,0,6,6,"1","2","Orthogonal-XInside-YFull",263210,365564,107952,155258,1,"Other","Fourth","Social Sciences (incl. CogSci)","usa","Female",21
"OFOB1","17012262
a17012262","fall21","111",0,6,6,2,3,5,"1","1","Orthogonal-XInside-YFull",593093,749430,216832,376261,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",18
"WB4HC","a16847802","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",1111365,1253084,304592,806773,1,"Mandarin or Cantonese","First","Math or Computer Sciences","United States","Male",18
