"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"LV9FA","juliet","fall17","311",4,10,14,1,2,3,"3","1","full",381978,785981,145848,236130,1,"English","Second","Social Sciences (incl. CogSci)","United States","Male",19
"H9B17","mike","fall17","221",2,6,8,0,2,2,"2","2","full",441904,635766,146816,295088,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Male",21
"LY74F","kilo","fall17","221",5,8,13,0,1,1,"2","2","full",375877,464213,166506,209371,1,"Other","Third","Social Sciences (incl. CogSci)","Thailand","Male",20
"DOS1L","india","fall17","321",5,10,15,0,2,2,"3","2","full",386303,519005,164120,222183,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",18
"N53LC","india","fall17","111",0,2,2,4,10,14,"1","1","full",578902,736426,248723,330179,1,"English","Fourth","Social Sciences (incl. CogSci)","US","Female",21
"LJTDL","foxtrot","fall17","121",4,9,13,0,1,1,"1","2","full",635592,930809,349495,286097,1,"English","First","Engineering","USA","Male",18
"HK4RU","pinecone","fall17","311",5,10,15,0,2,2,"3","1","full",684020,832558,266482,417538,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","USA","Female",19
"5WPCV","mike","fall17","121",0,2,2,0,10,10,"1","2","full",919890,1069788,597908,321982,1,"English","First","Social Sciences (incl. CogSci)","United States of America","Male",18
"DON7Q","golf","fall17","311",2,9,11,2,1,3,"3","1","full",457517,648998,275242,182275,1,"English","Second","Social Sciences (incl. CogSci)","Korea","Female",19
"KBQPW","echo","fall17","121",1,2,3,0,9,9,"1","2","full",672579,783246,200108,472471,1,"English","Fifth","Social Sciences (incl. CogSci)","United States","Male",27
"DF3OH","kilo","fall17","321",5,9,14,0,1,1,"3","2","full",423922,572906,198763,225159,1,"English","Second","Natural Sciences","USA","Male",19
"SMXP5","charlie","fall17","211",2,8,10,2,2,4,"2","1","full",425298,587205,164541,260757,1,"English","Fourth","Social Sciences (incl. CogSci)","United States ","Female",21
"F58KT","kilo","fall17","311",1,2,3,4,7,11,"3","1","full",377589,531761,121827,255762,1,"English","Fourth","Humanities","Philippines","Female",21
"DUV1M","india","fall17","221",4,9,13,0,1,1,"2","2","full",347457,488947,108422,239035,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"SH7C5","india","fall17","221",2,8,10,0,1,1,"2","2","full",284132,415047,121162,162970,1,"English","Third","Biomedical & Health Sciences","US","Female",20
"6VE21","lima","fall17","211",0,2,2,3,10,13,"2","1","full",646716,784221,335475,311241,1,"English","Fourth","Biomedical & Health Sciences","USA","Male",21
