"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"Y4FZ1","alfa","fall17","112",0,2,2,4,10,14,"1","1","partial",642424,914643,346571,295853,1,"English","First","Math or Computer Sciences","USA","Male",18
"N53LC","india","fall17","111",0,2,2,4,10,14,"1","1","full",578902,736426,248723,330179,1,"English","Fourth","Social Sciences (incl. CogSci)","US","Female",21
"9N508","alfa","fall17","113",5,8,13,0,1,1,"1","1","diagonal",480349,756358,184489,295860,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"R8PM2","charlie","fall17","111",0,2,2,4,10,14,"1","1","full",362278,505184,169373,192905,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"OQB9V","kilo","fall17","111",5,10,15,0,2,2,"1","1","full",271539,433045,94723,176816,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"TX10R","india","fall17","111",0,2,2,5,8,13,"1","1","full",511221,629994,253224,257997,1,"English","Third","Engineering","USA","Male",20
"M1REU","juliet","fall17","111",5,10,15,0,2,2,"1","1","full",612448,832906,197899,414549,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",22
"U6RT2","alfa","fall17","113",3,9,12,1,2,3,"1","1","diagonal",346020,506504,142980,203040,1,"English","Second","Social Sciences (incl. CogSci)","United States","Male",19
"62ULH","alfa","fall17","112",1,2,3,2,9,11,"1","1","partial",569027,700605,372392,196635,1,"English","First","Engineering","USA","Female",18
"M444E","alfa","fall17","112",0,4,4,3,6,9,"1","1","partial",853412,1148703,259349,594063,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",18
"L5SUE","alfa","fall17","112",0,3,3,2,9,11,"1","1","partial",558032,866605,291462,266570,1,"Spanish","Third","Social Sciences (incl. CogSci)","United States","Male",22
"4GSTQ","delta","fall17","111",0,2,2,4,9,13,"1","1","full",523058,805271,275159,247899,1,"English","Fifth","Social Sciences (incl. CogSci)","United States of America","Male",22
"2BBZ9","india","fall17","111",0,2,2,5,10,15,"1","1","full",600156,743451,357250,242906,1,"English","Second","Natural Sciences","United States ","Female",19
"N2UK6","juliet","fall17","111",0,2,2,5,10,15,"1","1","full",562082,719366,272515,289567,1,"English","Fifth","Biomedical & Health Sciences","USA","Female",22
"EN7PB","echo","fall17","111",0,1,1,2,8,10,"1","1","full",435059,710165,214997,220062,1,"English","Third","Biomedical & Health Sciences","USA","Male",19
"XQZYP","lima","fall17","111",1,6,7,2,3,5,"1","1","full",669446,811001,344214,325232,1,"English","Fifth","Biomedical & Health Sciences","USA","Male",22
"7DXXS","alfa","fall17","112",0,2,2,5,9,14,"1","1","partial",646657,781391,299414,347243,1,"English","Second","Social Sciences (incl. CogSci)","USA","Male",20
"3B1TL","mike","fall17","111",4,10,14,0,2,2,"1","1","full",934728,1230256,531905,402823,1,"English","Second","Humanities","United States","Female",19
"3QO3J","bravo","fall17","111",1,3,4,1,5,6,"1","1","full",226248,472251,84055,142193,1,"English","First","Humanities","USA","Female",18
"EC0K7","lima","fall17","111",0,2,2,5,9,14,"1","1","full",579484,752040,275709,303775,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"6G1ZR","lima","fall17","111",0,2,2,5,9,14,"1","1","full",356773,499301,129320,227453,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"KLYG7","golf","fall17","111",0,2,2,1,4,5,"1","1","full",723636,1004294,279611,444025,1,"English","Second","Fine Arts","Vietnam ","Male",18
"YGEAY","foxtrot","fall17","111",0,3,3,4,8,12,"1","1","full",672669,904374,374312,298357,1,"English","First","Natural Sciences","United States of America","Female",18
"LL91X","alfa","fall17","112",1,2,3,2,10,12,"1","1","partial",411940,683732,136496,275444,1,"English","First","Biomedical & Health Sciences","USA","Male",18
"G0CPA","lima","fall17","111",0,2,2,4,10,14,"1","1","full",398545,553141,171521,227024,1,"English","Fifth","Biomedical & Health Sciences","USA","Male",23
"2JRT6","mike","fall17","111",2,3,5,1,1,2,"1","1","full",1197239,1431322,325095,872144,1,"English","Third","Social Sciences (incl. CogSci)","United States","Female",20
"ZZHFE","alfa","fall17","113",0,2,2,4,10,14,"1","1","diagonal",754007,1072115,412546,341461,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",21
"7L4J4","hotel","fall17","111",0,2,2,4,10,14,"1","1","full",599353,826911,299297,300056,1,"Other","Third","Biomedical & Health Sciences","USA","Female",20
"77PFQ","alfa","fall17","112",0,2,2,5,9,14,"1","1","partial",853709,1102865,436760,416949,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"QSGCP","juliet","fall17","111",0,2,2,5,10,15,"1","1","full",350937,531635,114962,235975,1,"English","Second","Humanities","United States of America","Female",19
"X0PRP","mike","fall17","111",0,2,2,4,10,14,"1","1","full",504826,693916,268419,236407,1,"English","Third","Social Sciences (incl. CogSci)","United States","Male",20
"8V51R","hotel","fall17","111",0,1,1,5,8,13,"1","1","full",523784,856089,226529,297255,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"B3OKB","hotel","fall17","111",0,7,7,5,4,9,"1","1","full",550860,807137,256455,294405,1,"English","First","Engineering","India","Male",19
"GJ8WG","alfa","fall17","112",0,2,2,5,10,15,"1","1","partial",539809,833466,310244,229565,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",29
