"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"GQ35Z","charlie","spring18","111",5,10,15,0,2,2,"1","1","Orthogonal-XInside-YFull",528083,760792,162584,365499,1,"Other","First","Social Sciences (incl. CogSci)","Israel","Male",19
"PQN6T","thine","spring18","111",1,1,2,2,4,6,"1","1","full",327184,424958,74110,253074,1,"English","Third","Biomedical & Health Sciences","India","Female",20
"67NP2","golf","spring18","121",4,3,7,0,7,7,"1","2","Orthogonal-XInside-YFull",719292,847520,281681,437611,1,"English","Third","Math or Computer Sciences","India","Male",20
"781AU","alpha","spring18","111",0,2,2,3,7,10,"1","1","Orthogonal-XInside-YFull",706776,991689,312613,394163,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"BKTUJ","heaven","spring18","111",0,2,2,5,9,14,"1","1","full",722877,844727,375530,347347,1,"English","Third","Biomedical & Health Sciences","USA","Female",20
"QGQ61","echo","spring18","121",5,9,14,0,2,2,"1","2","Orthogonal-XInside-YFull",337569,989894,124213,213356,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"TVQKD","sox","spring18","121",1,7,8,0,1,1,"1","2","full",645007,800518,299796,345211,1,"English","Fourth","Social Sciences (incl. CogSci)","usa","Female",21
"QY1F7","sox","spring18","121",3,3,6,0,4,4,"1","2","full",485595,624486,148815,336780,1,"Other","Second","Humanities","U.S.","Female",20
"YE3VQ","bravo","spring18","121",1,3,4,0,3,3,"1","2","Orthogonal-XInside-YFull",478185,631069,159801,318384,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","China","Female",21
"CKRHQ","too","spring18","121",0,1,1,0,7,7,"1","2","full",608599,798422,254547,354052,1,"English","Third","Biomedical & Health Sciences","USA","Female",20
"4RGO3","alpha","spring18","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",922004,1216969,364513,557491,1,"English","Fourth","Social Sciences (incl. CogSci)","United States of America","Male",21
"D3LUH","hotel","spring18","121",4,9,13,0,1,1,"1","2","Orthogonal-XInside-YFull",352259,630380,129500,222759,1,"Other","Third","Biomedical & Health Sciences","Iraq","Male",20
"J1JP6","charlie","spring18","111",0,3,3,4,9,13,"1","1","Orthogonal-XInside-YFull",1199373,1330634,649023,550350,1,"English","Other","Natural Sciences","USA","Male",25
"X9PTQ","charlie","spring18","111",0,2,2,4,7,11,"1","1","Orthogonal-XInside-YFull",691116,913338,297014,394102,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"X9GRY","sox","spring18","121",5,9,14,0,1,1,"1","2","full",582215,718331,200596,381619,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",23
"R06S6","echo","spring18","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",429773,615605,153792,275981,1,"English","Third","Social Sciences (incl. CogSci)","USA\n","Female",21
"W7EBS","charlie","spring18","111",4,9,13,1,2,3,"1","1","Orthogonal-XInside-YFull",540167,768554,214801,325366,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","China","Female",19
"DOQRP","bravo","spring18","121",1,2,3,0,10,10,"1","2","Orthogonal-XInside-YFull",478683,552439,79231,399452,1,"English","Fourth","Social Sciences (incl. CogSci)","u.S.","Male",21
"DKL3R","bravo","spring18","121",3,4,7,0,8,8,"1","2","Orthogonal-XInside-YFull",555006,731703,101832,453174,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","China","Female",19
"9393C","too","spring18","121",0,2,2,0,10,10,"1","2","full",662043,850953,324160,337883,1,"English","Second","Social Sciences (incl. CogSci)","united states","Female",20
"JZWPZ","sox","spring18","121",1,3,4,0,6,6,"1","2","full",244022,368049,96006,148016,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"8LGZ4","fire","spring18","111",0,2,2,5,8,13,"1","1","full",669399,841138,261925,407474,1,"English","Third","Biomedical & Health Sciences","USA","Male",21
"QOJ6L","hotel","spring18","121",5,9,14,0,1,1,"1","2","Orthogonal-XInside-YFull",550144,924178,172925,377219,1,"Mandarin or Cantonese","Fifth","Social Sciences (incl. CogSci)","China","Male",22
"808YR","echo","spring18","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",667447,856325,439316,228131,1,"Other","Third","Biomedical & Health Sciences","United States of America","Female",20
"H1RGT","golf","spring18","121",5,8,13,0,1,1,"1","2","Orthogonal-XInside-YFull",386527,551093,81611,304916,1,"Other","Fourth","Social Sciences (incl. CogSci)","Thailand","Female",21
"4FETN","too","spring18","121",4,9,13,0,1,1,"1","2","full",512507,706021,181681,330826,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"KYTVX","thine","spring18","111",0,2,2,5,9,14,"1","1","full",526140,826274,193101,333039,1,"English","Fourth","Math or Computer Sciences","USA","Male",22
"ZJPX1","flower","spring18","121",2,2,4,0,10,10,"1","2","full",757294,915273,376387,380907,1,"English","Fourth","Biomedical & Health Sciences","USA","Female",22
"L0W0F","tree","spring18","111",5,10,15,0,2,2,"1","1","full",395983,565482,157656,238327,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",28
"J994U","thine","spring18","111",0,2,2,5,8,13,"1","1","full",590961,798111,240994,349967,1,"English","Third","Social Sciences (incl. CogSci)","Sri Lanka","Male",20
"FU11G","too","spring18","121",1,1,2,0,4,4,"1","2","full",505309,1248499,213352,291957,1,"English","Third","Natural Sciences","USA","Female",20
